EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WOLFSEGG, AUSTRIA (STAID: 23983)
Blended and updated with sources:125440 125453 911001 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23983,125440,19511101,-9999,    9
 23983,125440,19511102,-9999,    9
 23983,125440,19511103,-9999,    9
 23983,125440,19511104,-9999,    9
 23983,125440,19511105,-9999,    9
 23983,125440,19511106,-9999,    9
 23983,125440,19511107,-9999,    9
 23983,125440,19511108,-9999,    9
 23983,125440,19511109,-9999,    9
 23983,125440,19511110,-9999,    9
 23983,125440,19511111,   81,    0
 23983,125440,19511112,   91,    0
 23983,125440,19511113,   75,    0
 23983,125440,19511114,   65,    0
 23983,125440,19511115,   40,    0
 23983,125440,19511116,   38,    0
 23983,125440,19511117,   33,    0
 23983,125440,19511118,   13,    0
 23983,125440,19511119,   46,    0
 23983,125440,19511120,   89,    0
 23983,125440,19511121,   52,    0
 23983,125440,19511122,   37,    0
 23983,125440,19511123,   21,    0
 23983,125440,19511124,   52,    0
 23983,125440,19511125,   97,    0
 23983,125440,19511126,   48,    0
 23983,125440,19511127,   13,    0
 23983,125440,19511128,   25,    0
 23983,125440,19511129,   20,    0
 23983,125440,19511130,   12,    0
 23983,125440,19511201,   31,    0
 23983,125440,19511202,   15,    0
 23983,125440,19511203,    4,    0
 23983,125440,19511204,    6,    0
 23983,125440,19511205,   38,    0
 23983,125440,19511206,   41,    0
 23983,125440,19511207,   31,    0
 23983,125440,19511208,    1,    0
 23983,125440,19511209,   -2,    0
 23983,125440,19511210,    7,    0
 23983,125440,19511211,  -23,    0
 23983,125440,19511212,  -23,    0
 23983,125440,19511213,  -24,    0
 23983,125440,19511214,    4,    0
 23983,125440,19511215,   -5,    0
 23983,125440,19511216,   22,    0
 23983,125440,19511217,   35,    0
 23983,125440,19511218,    9,    0
 23983,125440,19511219,    1,    0
 23983,125440,19511220,   -1,    0
 23983,125440,19511221,  -16,    0
 23983,125440,19511222,  -26,    0
 23983,125440,19511223,  -40,    0
 23983,125440,19511224,  -39,    0
 23983,125440,19511225,  -49,    0
 23983,125440,19511226,  -27,    0
 23983,125440,19511227,    6,    0
 23983,125440,19511228,    8,    0
 23983,125440,19511229,   -2,    0
 23983,125440,19511230,  -10,    0
 23983,125440,19511231,   10,    0
 23983,125440,19520101,   30,    0
 23983,125440,19520102,   16,    0
 23983,125440,19520103,   19,    0
 23983,125440,19520104,   -9,    0
 23983,125440,19520105,  -15,    0
 23983,125440,19520106,  -30,    0
 23983,125440,19520107,  -19,    0
 23983,125440,19520108,    0,    0
 23983,125440,19520109,   10,    0
 23983,125440,19520110,   20,    0
 23983,125440,19520111,   43,    0
 23983,125440,19520112,   25,    0
 23983,125440,19520113,  -15,    0
 23983,125440,19520114,  -25,    0
 23983,125440,19520115,   15,    0
 23983,125440,19520116,   30,    0
 23983,125440,19520117,   40,    0
 23983,125440,19520118,   -1,    0
 23983,125440,19520119,  -25,    0
 23983,125440,19520120,  -34,    0
 23983,125440,19520121,  -45,    0
 23983,125440,19520122,  -34,    0
 23983,125440,19520123,  -44,    0
 23983,125440,19520124,  -62,    0
 23983,125440,19520125,  -53,    0
 23983,125440,19520126,  -55,    0
 23983,125440,19520127,  -60,    0
 23983,125440,19520128,  -50,    0
 23983,125440,19520129,  -60,    0
 23983,125440,19520130,  -28,    0
 23983,125440,19520131,  -43,    0
 23983,125440,19520201,  -30,    0
 23983,125440,19520202,  -29,    0
 23983,125440,19520203,  -19,    0
 23983,125440,19520204,  -28,    0
 23983,125440,19520205,  -33,    0
 23983,125440,19520206,  -47,    0
 23983,125440,19520207,  -37,    0
 23983,125440,19520208,   -2,    0
