EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAMBACH, AUSTRIA (STAID: 23985)
Blended and updated with sources:125479 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23985,125479,19520301,   31,    0
 23985,125479,19520302,    9,    0
 23985,125479,19520303,    3,    0
 23985,125479,19520304,   46,    0
 23985,125479,19520305,    3,    0
 23985,125479,19520306,  -65,    0
 23985,125479,19520307,  -72,    0
 23985,125479,19520308,  -70,    0
 23985,125479,19520309,  -37,    0
 23985,125479,19520310,  -41,    0
 23985,125479,19520311,   14,    0
 23985,125479,19520312,   28,    0
 23985,125479,19520313,   28,    0
 23985,125479,19520314,  -16,    0
 23985,125479,19520315,  -17,    0
 23985,125479,19520316,   -1,    0
 23985,125479,19520317,   47,    0
 23985,125479,19520318,   51,    0
 23985,125479,19520319,   38,    0
 23985,125479,19520320,   15,    0
 23985,125479,19520321,   25,    0
 23985,125479,19520322,   55,    0
 23985,125479,19520323,   69,    0
 23985,125479,19520324,   89,    0
 23985,125479,19520325,   88,    0
 23985,125479,19520326,   53,    0
 23985,125479,19520327,   -2,    0
 23985,125479,19520328,   14,    0
 23985,125479,19520329,    9,    0
 23985,125479,19520330,   45,    0
 23985,125479,19520331,   94,    0
 23985,125479,19520401,   72,    0
 23985,125479,19520402,   -9,    0
 23985,125479,19520403,   -1,    0
 23985,125479,19520404,   18,    0
