EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WELS-SCHLEISSHEIM, AUSTRIA (STAID: 23986)
Blended and updated with sources:125492 125505 911059 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23986,125505,19420515,  129,    0
 23986,125505,19420516,  142,    0
 23986,125505,19420517,  131,    0
 23986,125505,19420518,  145,    0
 23986,125505,19420519,  165,    0
 23986,125505,19420520,  181,    0
 23986,125505,19420521,  185,    0
 23986,125505,19420522,  147,    0
 23986,125505,19420523,  142,    0
 23986,125505,19420524,  127,    0
 23986,125505,19420525,  124,    0
 23986,125505,19420526,-9999,    9
 23986,125505,19420527,-9999,    9
 23986,125505,19420528,-9999,    9
 23986,125505,19420529,-9999,    9
 23986,125505,19420530,-9999,    9
 23986,125505,19420531,-9999,    9
 23986,125505,19420601,  134,    0
 23986,125505,19420602,  135,    0
 23986,125505,19420603,  138,    0
 23986,125505,19420604,  163,    0
 23986,125505,19420605,  187,    0
 23986,125505,19420606,  205,    0
 23986,125505,19420607,  198,    0
 23986,125505,19420608,  219,    0
 23986,125505,19420609,  198,    0
 23986,125505,19420610,  190,    0
 23986,125505,19420611,  196,    0
 23986,125505,19420612,  189,    0
 23986,125505,19420613,  155,    0
 23986,125505,19420614,  157,    0
 23986,125505,19420615,  133,    0
 23986,125505,19420616,  100,    0
 23986,125505,19420617,  120,    0
 23986,125505,19420618,  147,    0
 23986,125505,19420619,  145,    0
 23986,125505,19420620,  166,    0
 23986,125505,19420621,  177,    0
 23986,125505,19420622,  161,    0
 23986,125505,19420623,  147,    0
 23986,125505,19420624,  170,    0
 23986,125505,19420625,  154,    0
 23986,125505,19420626,  154,    0
 23986,125505,19420627,  150,    0
 23986,125505,19420628,  125,    0
 23986,125505,19420629,  151,    0
 23986,125505,19420630,  172,    0
 23986,125505,19420701,  179,    0
 23986,125505,19420702,  195,    0
 23986,125505,19420703,  186,    0
 23986,125505,19420704,  183,    0
 23986,125505,19420705,  188,    0
 23986,125505,19420706,  225,    0
 23986,125505,19420707,  212,    0
 23986,125505,19420708,  187,    0
 23986,125505,19420709,  204,    0
 23986,125505,19420710,  228,    0
 23986,125505,19420711,  159,    0
 23986,125505,19420712,  152,    0
 23986,125505,19420713,  142,    0
 23986,125505,19420714,  160,    0
 23986,125505,19420715,  150,    0
 23986,125505,19420716,  152,    0
 23986,125505,19420717,  160,    0
 23986,125505,19420718,  157,    0
 23986,125505,19420719,  138,    0
 23986,125505,19420720,  143,    0
 23986,125505,19420721,  145,    0
 23986,125505,19420722,  175,    0
 23986,125505,19420723,  167,    0
 23986,125505,19420724,  168,    0
 23986,125505,19420725,  182,    0
 23986,125505,19420726,  206,    0
 23986,125505,19420727,  200,    0
 23986,125505,19420728,  177,    0
 23986,125505,19420729,  157,    0
 23986,125505,19420730,  175,    0
 23986,125505,19420731,  158,    0
 23986,125505,19420801,  169,    0
 23986,125505,19420802,  200,    0
 23986,125505,19420803,  195,    0
 23986,125505,19420804,  174,    0
 23986,125505,19420805,  168,    0
 23986,125505,19420806,  144,    0
 23986,125505,19420807,  150,    0
 23986,125505,19420808,  153,    0
 23986,125505,19420809,  161,    0
 23986,125505,19420810,  161,    0
 23986,125505,19420811,  181,    0
 23986,125505,19420812,  167,    0
 23986,125505,19420813,  168,    0
 23986,125505,19420814,  157,    0
 23986,125505,19420815,  164,    0
 23986,125505,19420816,  165,    0
 23986,125505,19420817,  168,    0
 23986,125505,19420818,  176,    0
 23986,125505,19420819,  219,    0
 23986,125505,19420820,  212,    0
 23986,125505,19420821,  199,    0
 23986,125505,19420822,  199,    0
 23986,125505,19420823,  203,    0
 23986,125505,19420824,  201,    0
 23986,125505,19420825,  205,    0
 23986,125505,19420826,  214,    0
 23986,125505,19420827,  210,    0
 23986,125505,19420828,  209,    0
 23986,125505,19420829,  212,    0
 23986,125505,19420830,  215,    0
 23986,125505,19420831,  234,    0
 23986,125505,19420901,  220,    0
 23986,125505,19420902,  205,    0
 23986,125505,19420903,  222,    0
 23986,125505,19420904,  215,    0
 23986,125505,19420905,  220,    0
 23986,125505,19420906,  202,    0
 23986,125505,19420907,  196,    0
 23986,125505,19420908,  181,    0
 23986,125505,19420909,  170,    0
 23986,125505,19420910,  201,    0
 23986,125505,19420911,  187,    0
 23986,125505,19420912,  187,    0
 23986,125505,19420913,  186,    0
 23986,125505,19420914,  188,    0
 23986,125505,19420915,  176,    0
 23986,125505,19420916,  152,    0
 23986,125505,19420917,  134,    0
 23986,125505,19420918,  140,    0
 23986,125505,19420919,  145,    0
 23986,125505,19420920,  168,    0
 23986,125505,19420921,  164,    0
 23986,125505,19420922,  165,    0
 23986,125505,19420923,  149,    0
 23986,125505,19420924,  159,    0
 23986,125505,19420925,  146,    0
 23986,125505,19420926,  175,    0
 23986,125505,19420927,  190,    0
 23986,125505,19420928,  174,    0
 23986,125505,19420929,  146,    0
 23986,125505,19420930,  132,    0
 23986,125505,19421001,  144,    0
 23986,125505,19421002,  165,    0
 23986,125505,19421003,  144,    0
 23986,125505,19421004,  142,    0
 23986,125505,19421005,  154,    0
 23986,125505,19421006,  156,    0
 23986,125505,19421007,  157,    0
 23986,125505,19421008,  153,    0
 23986,125505,19421009,   97,    0
 23986,125505,19421010,  101,    0
 23986,125505,19421011,   98,    0
 23986,125505,19421012,  112,    0
 23986,125505,19421013,   68,    0
 23986,125505,19421014,  100,    0
 23986,125505,19421015,  102,    0
 23986,125505,19421016,  139,    0
 23986,125505,19421017,  110,    0
 23986,125505,19421018,  110,    0
 23986,125505,19421019,   95,    0
 23986,125505,19421020,   73,    0
 23986,125505,19421021,  106,    0
 23986,125505,19421022,   95,    0
 23986,125505,19421023,   95,    0
 23986,125505,19421024,  141,    0
 23986,125505,19421025,  101,    0
 23986,125505,19421026,   88,    0
 23986,125505,19421027,  116,    0
 23986,125505,19421028,  107,    0
 23986,125505,19421029,  130,    0
 23986,125505,19421030,   83,    0
 23986,125505,19421031,  103,    0
 23986,125505,19421101,  115,    0
 23986,125505,19421102,   88,    0
 23986,125505,19421103,   82,    0
 23986,125505,19421104,   80,    0
 23986,125505,19421105,   80,    0
 23986,125505,19421106,   87,    0
 23986,125505,19421107,   83,    0
 23986,125505,19421108,   50,    0
 23986,125505,19421109,   60,    0
 23986,125505,19421110,   35,    0
 23986,125505,19421111,   35,    0
 23986,125505,19421112,   23,    0
 23986,125505,19421113,   13,    0
 23986,125505,19421114,   15,    0
 23986,125505,19421115,   11,    0
 23986,125505,19421116,    7,    0
 23986,125505,19421117,   20,    0
 23986,125505,19421118,    1,    0
 23986,125505,19421119,   24,    0
 23986,125505,19421120,   41,    0
 23986,125505,19421121,   40,    0
 23986,125505,19421122,   20,    0
 23986,125505,19421123,    5,    0
 23986,125505,19421124,  -11,    0
 23986,125505,19421125,  -76,    0
 23986,125505,19421126,  -94,    0
 23986,125505,19421127,  -87,    0
 23986,125505,19421128,  -15,    0
 23986,125505,19421129,    8,    0
 23986,125505,19421130,    8,    0
 23986,125505,19421201,   -4,    0
 23986,125505,19421202,    1,    0
 23986,125505,19421203,    2,    0
 23986,125505,19421204,  -16,    0
 23986,125505,19421205,  -43,    0
 23986,125505,19421206,   26,    0
 23986,125505,19421207,   52,    0
 23986,125505,19421208,   23,    0
 23986,125505,19421209,   44,    0
 23986,125505,19421210,   25,    0
 23986,125505,19421211,  -11,    0
 23986,125505,19421212,   -2,    0
 23986,125505,19421213,   -8,    0
 23986,125505,19421214,   -1,    0
 23986,125505,19421215,    6,    0
 23986,125505,19421216,   11,    0
 23986,125505,19421217,   17,    0
 23986,125505,19421218,   10,    0
 23986,125505,19421219,   19,    0
 23986,125505,19421220,   18,    0
 23986,125505,19421221,   26,    0
 23986,125505,19421222,   13,    0
 23986,125505,19421223,    3,    0
 23986,125505,19421224,   18,    0
 23986,125505,19421225,   14,    0
 23986,125505,19421226,    2,    0
 23986,125505,19421227,  -15,    0
 23986,125505,19421228,  -27,    0
 23986,125505,19421229,  -45,    0
 23986,125505,19421230,  -24,    0
 23986,125505,19421231,   -9,    0
 23986,125505,19430101,  -10,    0
 23986,125505,19430102,   -5,    0
 23986,125505,19430103,    4,    0
 23986,125505,19430104,   -4,    0
 23986,125505,19430105,  -18,    0
 23986,125505,19430106,  -51,    0
 23986,125505,19430107, -100,    0
 23986,125505,19430108,  -53,    0
 23986,125505,19430109,  -41,    0
 23986,125505,19430110,  -82,    0
 23986,125505,19430111, -119,    0
 23986,125505,19430112,  -98,    0
 23986,125505,19430113,  -65,    0
 23986,125505,19430114,  -29,    0
 23986,125505,19430115,  -22,    0
 23986,125505,19430116,   -6,    0
 23986,125505,19430117,  -29,    0
 23986,125505,19430118,  -71,    0
 23986,125505,19430119,  -72,    0
 23986,125505,19430120,  -44,    0
 23986,125505,19430121,  -74,    0
 23986,125505,19430122,  -65,    0
 23986,125505,19430123,  -53,    0
 23986,125505,19430124,    8,    0
 23986,125505,19430125,  -22,    0
 23986,125505,19430126,  -78,    0
 23986,125505,19430127,  -18,    0
 23986,125505,19430128,   20,    0
 23986,125505,19430129,    5,    0
 23986,125505,19430130,  -21,    0
 23986,125505,19430131,   11,    0
 23986,125505,19430201,   -6,    0
 23986,125505,19430202,   36,    0
 23986,125505,19430203,   22,    0
 23986,125505,19430204,   24,    0
 23986,125505,19430205,   20,    0
 23986,125505,19430206,    5,    0
 23986,125505,19430207,   12,    0
 23986,125505,19430208,    6,    0
 23986,125505,19430209,   -6,    0
 23986,125505,19430210,  -10,    0
 23986,125505,19430211,   14,    0
 23986,125505,19430212,   42,    0
 23986,125505,19430213,   45,    0
 23986,125505,19430214,   31,    0
 23986,125505,19430215,   61,    0
 23986,125505,19430216,   42,    0
 23986,125505,19430217,   19,    0
 23986,125505,19430218,   19,    0
 23986,125505,19430219,   33,    0
 23986,125505,19430220,   25,    0
 23986,125505,19430221,   29,    0
 23986,125505,19430222,   44,    0
 23986,125505,19430223,   46,    0
 23986,125505,19430224,   52,    0
 23986,125505,19430225,   43,    0
 23986,125505,19430226,   36,    0
 23986,125505,19430227,   51,    0
 23986,125505,19430228,   26,    0
 23986,125505,19430301,   51,    0
 23986,125505,19430302,   95,    0
 23986,125505,19430303,   81,    0
 23986,125505,19430304,   21,    0
 23986,125505,19430305,   56,    0
 23986,125505,19430306,   -2,    0
 23986,125505,19430307,   27,    0
 23986,125505,19430308,   36,    0
 23986,125505,19430309,   46,    0
 23986,125505,19430310,   60,    0
 23986,125505,19430311,   47,    0
 23986,125505,19430312,   41,    0
 23986,125505,19430313,   51,    0
 23986,125505,19430314,   55,    0
 23986,125505,19430315,   63,    0
 23986,125505,19430316,   70,    0
 23986,125505,19430317,   55,    0
 23986,125505,19430318,   61,    0
 23986,125505,19430319,   69,    0
 23986,125505,19430320,   55,    0
 23986,125505,19430321,   75,    0
 23986,125505,19430322,   76,    0
 23986,125505,19430323,   90,    0
 23986,125505,19430324,   81,    0
 23986,125505,19430325,   73,    0
 23986,125505,19430326,  120,    0
 23986,125505,19430327,   78,    0
 23986,125505,19430328,   97,    0
 23986,125505,19430329,   81,    0
 23986,125505,19430330,   84,    0
 23986,125505,19430331,   86,    0
 23986,125505,19430401,   92,    0
 23986,125505,19430402,   48,    0
 23986,125505,19430403,   48,    0
 23986,125505,19430404,   77,    0
 23986,125505,19430405,   80,    0
 23986,125505,19430406,  100,    0
 23986,125505,19430407,   27,    0
 23986,125505,19430408,  100,    0
 23986,125505,19430409,   15,    0
 23986,125505,19430410,   57,    0
 23986,125505,19430411,   74,    0
 23986,125505,19430412,   76,    0
 23986,125505,19430413,   83,    0
 23986,125505,19430414,   94,    0
 23986,125505,19430415,  106,    0
 23986,125505,19430416,  109,    0
 23986,125505,19430417,  135,    0
 23986,125505,19430418,  148,    0
 23986,125505,19430419,  139,    0
 23986,125505,19430420,  170,    0
 23986,125505,19430421,  121,    0
