EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STEYR, AUSTRIA (STAID: 23991)
Blended and updated with sources:125544 131264 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 23991,125544,19480101,   -1,    0
 23991,125544,19480102,   34,    0
 23991,125544,19480103,   73,    0
 23991,125544,19480104,   96,    0
 23991,125544,19480105,   56,    0
 23991,125544,19480106,   51,    0
 23991,125544,19480107,   40,    0
 23991,125544,19480108,   62,    0
 23991,125544,19480109,   36,    0
 23991,125544,19480110,   25,    0
 23991,125544,19480111,   51,    0
 23991,125544,19480112,   51,    0
 23991,125544,19480113,  106,    0
 23991,125544,19480114,   97,    0
 23991,125544,19480115,   44,    0
 23991,125544,19480116,   33,    0
 23991,125544,19480117,   10,    0
 23991,125544,19480118,   20,    0
 23991,125544,19480119,   25,    0
 23991,125544,19480120,    0,    0
 23991,125544,19480121,    9,    0
 23991,125544,19480122,  -30,    0
 23991,125544,19480123,  -39,    0
 23991,125544,19480124,  -36,    0
 23991,125544,19480125,   15,    0
 23991,125544,19480126,   35,    0
 23991,125544,19480127,   40,    0
 23991,125544,19480128,   75,    0
 23991,125544,19480129,   15,    0
 23991,125544,19480130,   50,    0
 23991,125544,19480131,   96,    0
 23991,125544,19480201,   88,    0
 23991,125544,19480202,   60,    0
 23991,125544,19480203,   85,    0
 23991,125544,19480204,   60,    0
 23991,125544,19480205,   35,    0
 23991,125544,19480206,   40,    0
 23991,125544,19480207,   40,    0
 23991,125544,19480208,   47,    0
