EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MELK, AUSTRIA (STAID: 24005)
Blended and updated with sources:125726 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24005,125726,19740801,  222,    0
 24005,125726,19740802,  245,    0
 24005,125726,19740803,  248,    0
 24005,125726,19740804,  261,    0
 24005,125726,19740805,  224,    0
 24005,125726,19740806,  195,    0
 24005,125726,19740807,  182,    0
 24005,125726,19740808,  192,    0
 24005,125726,19740809,  184,    0
 24005,125726,19740810,  187,    0
 24005,125726,19740811,  160,    0
 24005,125726,19740812,  159,    0
 24005,125726,19740813,  177,    0
 24005,125726,19740814,  205,    0
 24005,125726,19740815,  245,    0
 24005,125726,19740816,  262,    0
 24005,125726,19740817,  260,    0
 24005,125726,19740818,  250,    0
 24005,125726,19740819,  243,    0
 24005,125726,19740820,  221,    0
 24005,125726,19740821,  212,    0
 24005,125726,19740822,  205,    0
 24005,125726,19740823,  216,    0
 24005,125726,19740824,  213,    0
 24005,125726,19740825,  203,    0
 24005,125726,19740826,  186,    0
 24005,125726,19740827,  192,    0
 24005,125726,19740828,  146,    0
 24005,125726,19740829,  189,    0
 24005,125726,19740830,  191,    0
 24005,125726,19740831,  192,    0
 24005,125726,19740901,  180,    0
 24005,125726,19740902,  190,    0
 24005,125726,19740903,  200,    0
 24005,125726,19740904,  163,    0
 24005,125726,19740905,  170,    0
 24005,125726,19740906,  185,    0
 24005,125726,19740907,  147,    0
 24005,125726,19740908,  165,    0
 24005,125726,19740909,  210,    0
 24005,125726,19740910,  161,    0
 24005,125726,19740911,  136,    0
 24005,125726,19740912,  168,    0
 24005,125726,19740913,  173,    0
 24005,125726,19740914,  211,    0
 24005,125726,19740915,  201,    0
 24005,125726,19740916,  197,    0
 24005,125726,19740917,  206,    0
 24005,125726,19740918,  186,    0
 24005,125726,19740919,  178,    0
 24005,125726,19740920,  155,    0
 24005,125726,19740921,  141,    0
 24005,125726,19740922,  141,    0
 24005,125726,19740923,  135,    0
 24005,125726,19740924,   92,    0
 24005,125726,19740925,  108,    0
 24005,125726,19740926,  102,    0
 24005,125726,19740927,  117,    0
 24005,125726,19740928,  107,    0
 24005,125726,19740929,   97,    0
 24005,125726,19740930,   98,    0
 24005,125726,19741001,   70,    0
 24005,125726,19741002,   75,    0
 24005,125726,19741003,  106,    0
 24005,125726,19741004,   70,    0
 24005,125726,19741005,   80,    0
 24005,125726,19741006,   73,    0
 24005,125726,19741007,   96,    0
 24005,125726,19741008,   77,    0
 24005,125726,19741009,   73,    0
 24005,125726,19741010,   81,    0
 24005,125726,19741011,   76,    0
 24005,125726,19741012,   55,    0
 24005,125726,19741013,   69,    0
 24005,125726,19741014,   44,    0
 24005,125726,19741015,   43,    0
 24005,125726,19741016,   56,    0
 24005,125726,19741017,   65,    0
 24005,125726,19741018,   57,    0
 24005,125726,19741019,   73,    0
 24005,125726,19741020,   90,    0
 24005,125726,19741021,   64,    0
 24005,125726,19741022,   52,    0
 24005,125726,19741023,   42,    0
 24005,125726,19741024,   60,    0
 24005,125726,19741025,   83,    0
 24005,125726,19741026,   63,    0
 24005,125726,19741027,   61,    0
 24005,125726,19741028,   61,    0
 24005,125726,19741029,   55,    0
 24005,125726,19741030,   37,    0
 24005,125726,19741031,   35,    0
 24005,125726,19741101,   25,    0
 24005,125726,19741102,   35,    0
 24005,125726,19741103,   52,    0
 24005,125726,19741104,   41,    0
 24005,125726,19741105,   38,    0
 24005,125726,19741106,   28,    0
 24005,125726,19741107,   23,    0
 24005,125726,19741108,   11,    0
 24005,125726,19741109,   10,    0
 24005,125726,19741110,   24,    0
 24005,125726,19741111,   70,    0
 24005,125726,19741112,   31,    0
 24005,125726,19741113,   60,    0
 24005,125726,19741114,   17,    0
 24005,125726,19741115,   35,    0
 24005,125726,19741116,   40,    0
 24005,125726,19741117,   74,    0
 24005,125726,19741118,   56,    0
 24005,125726,19741119,   55,    0
 24005,125726,19741120,   42,    0
 24005,125726,19741121,   11,    0
 24005,125726,19741122,   14,    0
 24005,125726,19741123,   45,    0
 24005,125726,19741124,   62,    0
 24005,125726,19741125,   62,    0
 24005,125726,19741126,   35,    0
 24005,125726,19741127,   29,    0
 24005,125726,19741128,   29,    0
 24005,125726,19741129,   41,    0
 24005,125726,19741130,   35,    0
 24005,125726,19741201,   38,    0
 24005,125726,19741202,   75,    0
 24005,125726,19741203,   92,    0
 24005,125726,19741204,   91,    0
 24005,125726,19741205,   66,    0
 24005,125726,19741206,   35,    0
 24005,125726,19741207,   34,    0
 24005,125726,19741208,   67,    0
 24005,125726,19741209,   85,    0
 24005,125726,19741210,   66,    0
 24005,125726,19741211,   54,    0
 24005,125726,19741212,   25,    0
 24005,125726,19741213,    2,    0
 24005,125726,19741214,  -15,    0
 24005,125726,19741215,  -13,    0
 24005,125726,19741216,   25,    0
 24005,125726,19741217,   23,    0
 24005,125726,19741218,   36,    0
 24005,125726,19741219,   25,    0
 24005,125726,19741220,   51,    0
 24005,125726,19741221,   51,    0
 24005,125726,19741222,   10,    0
 24005,125726,19741223,   20,    0
 24005,125726,19741224,    6,    0
 24005,125726,19741225,   14,    0
 24005,125726,19741226,   61,    0
 24005,125726,19741227,   96,    0
 24005,125726,19741228,   78,    0
 24005,125726,19741229,  119,    0
 24005,125726,19741230,   93,    0
 24005,125726,19741231,   29,    0
 24005,125726,19750101,   30,    0
 24005,125726,19750102,   41,    0
 24005,125726,19750103,   36,    0
 24005,125726,19750104,   14,    0
 24005,125726,19750105,   38,    0
 24005,125726,19750106,   63,    0
 24005,125726,19750107,   71,    0
 24005,125726,19750108,   29,    0
 24005,125726,19750109,    8,    0
 24005,125726,19750110,   15,    0
 24005,125726,19750111,    0,    0
 24005,125726,19750112,   48,    0
 24005,125726,19750113,   29,    0
 24005,125726,19750114,    2,    0
