EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAINFELD/KASBERG, AUSTRIA (STAID: 24020)
Blended and updated with sources:125921 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24020,125921,19931201,  -29,    0
 24020,125921,19931202,  -27,    0
 24020,125921,19931203,   60,    0
 24020,125921,19931204,   78,    0
 24020,125921,19931205,   86,    0
 24020,125921,19931206,   28,    0
 24020,125921,19931207,  -12,    0
 24020,125921,19931208,    7,    0
 24020,125921,19931209,   74,    0
 24020,125921,19931210,   69,    0
 24020,125921,19931211,   49,    0
 24020,125921,19931212,    5,    0
 24020,125921,19931213,   40,    0
 24020,125921,19931214,   38,    0
 24020,125921,19931215,   38,    0
 24020,125921,19931216,   16,    0
 24020,125921,19931217,   23,    0
 24020,125921,19931218,   40,    0
 24020,125921,19931219,   33,    0
 24020,125921,19931220,   87,    0
 24020,125921,19931221,   87,    0
 24020,125921,19931222,   43,    0
 24020,125921,19931223,   35,    0
 24020,125921,19931224,   35,    0
 24020,125921,19931225,   -5,    0
 24020,125921,19931226,  -31,    0
 24020,125921,19931227,  -35,    0
 24020,125921,19931228,  -21,    0
 24020,125921,19931229,  -28,    0
 24020,125921,19931230,    4,    0
 24020,125921,19931231,   56,    0
 24020,125921,19940101,   33,    0
 24020,125921,19940102,    2,    0
 24020,125921,19940103,   33,    0
 24020,125921,19940104,   40,    0
 24020,125921,19940105,   47,    0
 24020,125921,19940106,   71,    0
 24020,125921,19940107,  116,    0
 24020,125921,19940108,   87,    0
 24020,125921,19940109,   29,    0
 24020,125921,19940110,   29,    0
 24020,125921,19940111,   22,    0
 24020,125921,19940112,   52,    0
 24020,125921,19940113,   78,    0
 24020,125921,19940114,   75,    0
 24020,125921,19940115,   28,    0
 24020,125921,19940116,  -10,    0
 24020,125921,19940117,   -5,    0
 24020,125921,19940118,  -26,    0
 24020,125921,19940119,  -20,    0
 24020,125921,19940120,  -43,    0
 24020,125921,19940121,  -17,    0
 24020,125921,19940122,  -26,    0
 24020,125921,19940123,   44,    0
 24020,125921,19940124,   47,    0
 24020,125921,19940125,   58,    0
 24020,125921,19940126,   49,    0
 24020,125921,19940127,   34,    0
 24020,125921,19940128,   44,    0
 24020,125921,19940129,  -23,    0
 24020,125921,19940130,    6,    0
 24020,125921,19940131,   29,    0
 24020,125921,19940201,   33,    0
 24020,125921,19940202,   29,    0
 24020,125921,19940203,   46,    0
 24020,125921,19940204,   12,    0
 24020,125921,19940205,   41,    0
 24020,125921,19940206,   68,    0
 24020,125921,19940207,   27,    0
 24020,125921,19940208,   13,    0
 24020,125921,19940209,   12,    0
 24020,125921,19940210,    6,    0
 24020,125921,19940211,    1,    0
 24020,125921,19940212,  -26,    0
 24020,125921,19940213,  -87,    0
 24020,125921,19940214,  -98,    0
 24020,125921,19940215,  -87,    0
 24020,125921,19940216,  -86,    0
 24020,125921,19940217,  -90,    0
 24020,125921,19940218,  -76,    0
 24020,125921,19940219,  -60,    0
 24020,125921,19940220,  -44,    0
 24020,125921,19940221,  -13,    0
 24020,125921,19940222,   33,    0
 24020,125921,19940223,   46,    0
 24020,125921,19940224,   23,    0
 24020,125921,19940225,   36,    0
