EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WIEN/SCHOENBRUNN, AUSTRIA (STAID: 24031)
Blended and updated with sources:126038 126051 126064 911080 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24031,126038,19360101,   77,    0
 24031,126038,19360102,   39,    0
 24031,126038,19360103,   33,    0
 24031,126038,19360104,   53,    0
 24031,126038,19360105,   34,    0
 24031,126038,19360106,    1,    0
 24031,126038,19360107,   -5,    0
 24031,126038,19360108,   27,    0
 24031,126038,19360109,   14,    0
 24031,126038,19360110,   50,    0
 24031,126038,19360111,  111,    0
 24031,126038,19360112,   60,    0
 24031,126038,19360113,   15,    0
 24031,126038,19360114,    9,    0
 24031,126038,19360115,   -5,    0
 24031,126038,19360116,  -35,    0
 24031,126038,19360117,   14,    0
 24031,126038,19360118,    8,    0
 24031,126038,19360119,  -33,    0
 24031,126038,19360120,   16,    0
 24031,126038,19360121,   34,    0
 24031,126038,19360122,    5,    0
 24031,126038,19360123,   30,    0
 24031,126038,19360124,   16,    0
 24031,126038,19360125,    3,    0
 24031,126038,19360126,   18,    0
 24031,126038,19360127,   47,    0
 24031,126038,19360128,   41,    0
 24031,126038,19360129,   20,    0
 24031,126038,19360130,   15,    0
 24031,126038,19360131,   34,    0
 24031,126038,19360201,   72,    0
 24031,126038,19360202,   42,    0
 24031,126038,19360203,   48,    0
 24031,126038,19360204,   18,    0
 24031,126038,19360205,   12,    0
 24031,126038,19360206,   -1,    0
 24031,126038,19360207,  -12,    0
 24031,126038,19360208,  -15,    0
 24031,126038,19360209,  -12,    0
 24031,126038,19360210,  -66,    0
 24031,126038,19360211, -106,    0
 24031,126038,19360212, -117,    0
 24031,126038,19360213,  -11,    0
 24031,126038,19360214,    3,    0
 24031,126038,19360215,  -41,    0
 24031,126038,19360216,   -7,    0
 24031,126038,19360217,   -6,    0
 24031,126038,19360218,   16,    0
 24031,126038,19360219,   25,    0
