EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRRSDORF, AUSTRIA (STAID: 24044)
Blended and updated with sources:126207 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24044,126207,19740601,  117,    0
 24044,126207,19740602,  119,    0
 24044,126207,19740603,  151,    0
 24044,126207,19740604,  160,    0
 24044,126207,19740605,  166,    0
 24044,126207,19740606,  147,    0
 24044,126207,19740607,   85,    0
 24044,126207,19740608,  112,    0
 24044,126207,19740609,  106,    0
 24044,126207,19740610,   88,    0
 24044,126207,19740611,   92,    0
 24044,126207,19740612,   59,    0
 24044,126207,19740613,   55,    0
 24044,126207,19740614,  108,    0
 24044,126207,19740615,  144,    0
 24044,126207,19740616,  146,    0
 24044,126207,19740617,  162,    0
 24044,126207,19740618,  154,    0
 24044,126207,19740619,  139,    0
 24044,126207,19740620,  132,    0
 24044,126207,19740621,  142,    0
 24044,126207,19740622,  153,    0
 24044,126207,19740623,  167,    0
 24044,126207,19740624,  139,    0
 24044,126207,19740625,  161,    0
 24044,126207,19740626,  192,    0
 24044,126207,19740627,  163,    0
 24044,126207,19740628,  145,    0
 24044,126207,19740629,  149,    0
 24044,126207,19740630,  149,    0
 24044,126207,19740701,  172,    0
 24044,126207,19740702,  167,    0
 24044,126207,19740703,  169,    0
 24044,126207,19740704,  140,    0
 24044,126207,19740705,  158,    0
 24044,126207,19740706,  174,    0
 24044,126207,19740707,  138,    0
 24044,126207,19740708,  139,    0
 24044,126207,19740709,  171,    0
 24044,126207,19740710,  154,    0
 24044,126207,19740711,  167,    0
 24044,126207,19740712,  185,    0
 24044,126207,19740713,  203,    0
 24044,126207,19740714,  186,    0
 24044,126207,19740715,  159,    0
 24044,126207,19740716,  182,    0
 24044,126207,19740717,  170,    0
 24044,126207,19740718,  118,    0
 24044,126207,19740719,  118,    0
 24044,126207,19740720,  116,    0
 24044,126207,19740721,  115,    0
 24044,126207,19740722,  137,    0
 24044,126207,19740723,  174,    0
 24044,126207,19740724,  185,    0
 24044,126207,19740725,  137,    0
 24044,126207,19740726,  143,    0
 24044,126207,19740727,  166,    0
 24044,126207,19740728,  193,    0
 24044,126207,19740729,  192,    0
 24044,126207,19740730,  204,    0
 24044,126207,19740731,  200,    0
 24044,126207,19740801,  204,    0
 24044,126207,19740802,  207,    0
 24044,126207,19740803,  210,    0
 24044,126207,19740804,  239,    0
 24044,126207,19740805,  200,    0
 24044,126207,19740806,  168,    0
 24044,126207,19740807,  160,    0
 24044,126207,19740808,  153,    0
 24044,126207,19740809,  142,    0
 24044,126207,19740810,  152,    0
 24044,126207,19740811,  132,    0
 24044,126207,19740812,  139,    0
 24044,126207,19740813,  173,    0
 24044,126207,19740814,  207,    0
 24044,126207,19740815,  230,    0
 24044,126207,19740816,  239,    0
 24044,126207,19740817,  241,    0
 24044,126207,19740818,  216,    0
 24044,126207,19740819,  197,    0
 24044,126207,19740820,  175,    0
 24044,126207,19740821,  183,    0
 24044,126207,19740822,  182,    0
 24044,126207,19740823,  187,    0
 24044,126207,19740824,  172,    0
 24044,126207,19740825,  180,    0
 24044,126207,19740826,  167,    0
 24044,126207,19740827,  149,    0
 24044,126207,19740828,  109,    0
 24044,126207,19740829,  156,    0
 24044,126207,19740830,  174,    0
 24044,126207,19740831,  173,    0
 24044,126207,19740901,  168,    0
 24044,126207,19740902,  165,    0
 24044,126207,19740903,  167,    0
 24044,126207,19740904,  140,    0
 24044,126207,19740905,  140,    0
 24044,126207,19740906,  168,    0
 24044,126207,19740907,  130,    0
 24044,126207,19740908,  147,    0
 24044,126207,19740909,  176,    0
 24044,126207,19740910,  150,    0
 24044,126207,19740911,  110,    0
 24044,126207,19740912,  152,    0
 24044,126207,19740913,  174,    0
 24044,126207,19740914,  189,    0
 24044,126207,19740915,  171,    0
 24044,126207,19740916,  169,    0
 24044,126207,19740917,  169,    0
 24044,126207,19740918,  176,    0
 24044,126207,19740919,  159,    0
 24044,126207,19740920,  138,    0
 24044,126207,19740921,  101,    0
 24044,126207,19740922,  106,    0
 24044,126207,19740923,   90,    0
 24044,126207,19740924,   84,    0
 24044,126207,19740925,   90,    0
 24044,126207,19740926,   68,    0
 24044,126207,19740927,   95,    0
 24044,126207,19740928,  126,    0
