EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SEIBERSDORF, AUSTRIA (STAID: 24082)
Blended and updated with sources:126142 126701 132174 911387 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24082,126701,19610601,  175,    0
 24082,126701,19610602,  175,    0
 24082,126701,19610603,  140,    0
 24082,126701,19610604,  163,    0
 24082,126701,19610605,  173,    0
 24082,126701,19610606,  175,    0
 24082,126701,19610607,  165,    0
 24082,126701,19610608,  170,    0
 24082,126701,19610609,  193,    0
 24082,126701,19610610,  185,    0
 24082,126701,19610611,  165,    0
 24082,126701,19610612,  178,    0
 24082,126701,19610613,  168,    0
 24082,126701,19610614,  173,    0
 24082,126701,19610615,  148,    0
 24082,126701,19610616,  170,    0
 24082,126701,19610617,  175,    0
 24082,126701,19610618,  195,    0
 24082,126701,19610619,  235,    0
 24082,126701,19610620,  215,    0
 24082,126701,19610621,  195,    0
 24082,126701,19610622,  208,    0
 24082,126701,19610623,  220,    0
 24082,126701,19610624,  233,    0
 24082,126701,19610625,  220,    0
 24082,126701,19610626,  228,    0
 24082,126701,19610627,  245,    0
 24082,126701,19610628,  183,    0
 24082,126701,19610629,  173,    0
 24082,126701,19610630,  190,    0
 24082,126701,19610701,  203,    0
 24082,126701,19610702,  220,    0
 24082,126701,19610703,  223,    0
 24082,126701,19610704,  250,    0
 24082,126701,19610705,  173,    0
 24082,126701,19610706,  153,    0
 24082,126701,19610707,  155,    0
