EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALLEIN, AUSTRIA (STAID: 24097)
Blended and updated with sources:126896 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24097,126896,19470501,-9999,    9
 24097,126896,19470502,-9999,    9
 24097,126896,19470503,-9999,    9
 24097,126896,19470504,-9999,    9
 24097,126896,19470505,-9999,    9
 24097,126896,19470506,-9999,    9
 24097,126896,19470507,-9999,    9
 24097,126896,19470508,-9999,    9
 24097,126896,19470509,-9999,    9
 24097,126896,19470510,-9999,    9
 24097,126896,19470511,-9999,    9
 24097,126896,19470512,-9999,    9
 24097,126896,19470513,-9999,    9
 24097,126896,19470514,-9999,    9
 24097,126896,19470515,-9999,    9
 24097,126896,19470516,-9999,    9
 24097,126896,19470517,-9999,    9
 24097,126896,19470518,-9999,    9
 24097,126896,19470519,-9999,    9
 24097,126896,19470520,-9999,    9
 24097,126896,19470521,-9999,    9
 24097,126896,19470522,-9999,    9
 24097,126896,19470523,-9999,    9
 24097,126896,19470524,-9999,    9
 24097,126896,19470525,-9999,    9
 24097,126896,19470526,-9999,    9
 24097,126896,19470527,-9999,    9
 24097,126896,19470528,-9999,    9
 24097,126896,19470529,-9999,    9
 24097,126896,19470530,-9999,    9
 24097,126896,19470531,-9999,    9
 24097,126896,19470601,  211,    0
 24097,126896,19470602,  218,    0
 24097,126896,19470603,  235,    0
 24097,126896,19470604,  250,    0
 24097,126896,19470605,  209,    0
 24097,126896,19470606,  160,    0
 24097,126896,19470607,  111,    0
 24097,126896,19470608,  135,    0
 24097,126896,19470609,  116,    0
 24097,126896,19470610,  114,    0
 24097,126896,19470611,  123,    0
 24097,126896,19470612,  144,    0
 24097,126896,19470613,  155,    0
 24097,126896,19470614,  179,    0
 24097,126896,19470615,  187,    0
 24097,126896,19470616,  141,    0
 24097,126896,19470617,  146,    0
 24097,126896,19470618,  149,    0
 24097,126896,19470619,  168,    0
 24097,126896,19470620,  180,    0
 24097,126896,19470621,  180,    0
 24097,126896,19470622,  164,    0
 24097,126896,19470623,  116,    0
 24097,126896,19470624,  168,    0
 24097,126896,19470625,  195,    0
 24097,126896,19470626,  221,    0
 24097,126896,19470627,  218,    0
 24097,126896,19470628,  213,    0
 24097,126896,19470629,  228,    0
 24097,126896,19470630,  210,    0
 24097,126896,19470701,  211,    0
 24097,126896,19470702,  166,    0
 24097,126896,19470703,  203,    0
 24097,126896,19470704,  209,    0
 24097,126896,19470705,  215,    0
 24097,126896,19470706,  188,    0
 24097,126896,19470707,  196,    0
 24097,126896,19470708,  205,    0
 24097,126896,19470709,  153,    0
 24097,126896,19470710,  142,    0
 24097,126896,19470711,  171,    0
 24097,126896,19470712,  188,    0
 24097,126896,19470713,  150,    0
 24097,126896,19470714,  165,    0
 24097,126896,19470715,  170,    0
 24097,126896,19470716,  168,    0
 24097,126896,19470717,  178,    0
 24097,126896,19470718,  185,    0
 24097,126896,19470719,  183,    0
 24097,126896,19470720,  162,    0
 24097,126896,19470721,  165,    0
 24097,126896,19470722,  174,    0
 24097,126896,19470723,  190,    0
 24097,126896,19470724,  216,    0
 24097,126896,19470725,  216,    0
 24097,126896,19470726,  230,    0
 24097,126896,19470727,  238,    0
 24097,126896,19470728,  243,    0
 24097,126896,19470729,  256,    0
 24097,126896,19470730,  257,    0
 24097,126896,19470731,  243,    0
 24097,126896,19470801,  225,    0
 24097,126896,19470802,  220,    0
 24097,126896,19470803,  235,    0
 24097,126896,19470804,  216,    0
 24097,126896,19470805,  241,    0
 24097,126896,19470806,  175,    0
 24097,126896,19470807,  195,    0
 24097,126896,19470808,  171,    0
 24097,126896,19470809,  172,    0
 24097,126896,19470810,  180,    0
 24097,126896,19470811,  169,    0
 24097,126896,19470812,  170,    0
 24097,126896,19470813,  176,    0
 24097,126896,19470814,  185,    0
 24097,126896,19470815,  211,    0
 24097,126896,19470816,  205,    0
 24097,126896,19470817,  195,    0
 24097,126896,19470818,  196,    0
 24097,126896,19470819,  215,    0
 24097,126896,19470820,  190,    0
 24097,126896,19470821,  195,    0
 24097,126896,19470822,  190,    0
 24097,126896,19470823,  170,    0
 24097,126896,19470824,  163,    0
 24097,126896,19470825,  160,    0
 24097,126896,19470826,  138,    0
 24097,126896,19470827,  146,    0
 24097,126896,19470828,  142,    0
 24097,126896,19470829,  151,    0
 24097,126896,19470830,  149,    0
 24097,126896,19470831,  143,    0
 24097,126896,19470901,  135,    0
 24097,126896,19470902,  150,    0
 24097,126896,19470903,  144,    0
 24097,126896,19470904,  143,    0
 24097,126896,19470905,  165,    0
 24097,126896,19470906,  150,    0
 24097,126896,19470907,  153,    0
 24097,126896,19470908,  169,    0
 24097,126896,19470909,  148,    0
 24097,126896,19470910,  184,    0
 24097,126896,19470911,  194,    0
 24097,126896,19470912,  209,    0
 24097,126896,19470913,  225,    0
 24097,126896,19470914,  229,    0
 24097,126896,19470915,  230,    0
 24097,126896,19470916,  239,    0
 24097,126896,19470917,  213,    0
 24097,126896,19470918,  205,    0
 24097,126896,19470919,  215,    0
 24097,126896,19470920,  230,    0
 24097,126896,19470921,  174,    0
 24097,126896,19470922,  149,    0
 24097,126896,19470923,  123,    0
 24097,126896,19470924,  126,    0
 24097,126896,19470925,  153,    0
 24097,126896,19470926,  197,    0
 24097,126896,19470927,  181,    0
 24097,126896,19470928,  167,    0
 24097,126896,19470929,  158,    0
 24097,126896,19470930,  124,    0
 24097,126896,19471001,  103,    0
 24097,126896,19471002,   89,    0
 24097,126896,19471003,   86,    0
 24097,126896,19471004,   89,    0
 24097,126896,19471005,  116,    0
 24097,126896,19471006,  130,    0
 24097,126896,19471007,  135,    0
 24097,126896,19471008,  140,    0
 24097,126896,19471009,  141,    0
 24097,126896,19471010,  138,    0
 24097,126896,19471011,  134,    0
 24097,126896,19471012,  104,    0
 24097,126896,19471013,   98,    0
 24097,126896,19471014,  100,    0
 24097,126896,19471015,  100,    0
 24097,126896,19471016,   98,    0
 24097,126896,19471017,   98,    0
 24097,126896,19471018,   57,    0
 24097,126896,19471019,   40,    0
 24097,126896,19471020,   48,    0
 24097,126896,19471021,   63,    0
 24097,126896,19471022,   81,    0
 24097,126896,19471023,   83,    0
 24097,126896,19471024,   50,    0
 24097,126896,19471025,   29,    0
