EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ABTENAU, AUSTRIA (STAID: 24098)
Blended and updated with sources:126909 132460 136061 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24098,132460,19630801,  196,    0
 24098,132460,19630802,  194,    0
 24098,132460,19630803,  210,    0
 24098,132460,19630804,  203,    0
 24098,132460,19630805,  196,    0
 24098,132460,19630806,  211,    0
 24098,132460,19630807,  200,    0
 24098,132460,19630808,  168,    0
 24098,132460,19630809,  148,    0
 24098,132460,19630810,  149,    0
 24098,132460,19630811,  165,    0
 24098,132460,19630812,  178,    0
 24098,132460,19630813,  147,    0
 24098,132460,19630814,  185,    0
 24098,132460,19630815,  164,    0
 24098,132460,19630816,  160,    0
 24098,132460,19630817,  159,    0
 24098,132460,19630818,  119,    0
 24098,132460,19630819,  132,    0
 24098,132460,19630820,  127,    0
 24098,132460,19630821,   99,    0
 24098,132460,19630822,  105,    0
 24098,132460,19630823,  142,    0
 24098,132460,19630824,  164,    0
 24098,132460,19630825,  169,    0
 24098,132460,19630826,  193,    0
 24098,132460,19630827,  212,    0
 24098,132460,19630828,  132,    0
 24098,132460,19630829,  106,    0
 24098,132460,19630830,   98,    0
 24098,132460,19630831,  133,    0
 24098,132460,19630901,  155,    0
 24098,132460,19630902,  162,    0
 24098,132460,19630903,  157,    0
 24098,132460,19630904,  169,    0
 24098,132460,19630905,  144,    0
 24098,132460,19630906,  118,    0
 24098,132460,19630907,  111,    0
 24098,132460,19630908,  115,    0
 24098,132460,19630909,  122,    0
 24098,132460,19630910,  136,    0
 24098,132460,19630911,  144,    0
 24098,132460,19630912,  144,    0
 24098,132460,19630913,  160,    0
 24098,132460,19630914,  181,    0
 24098,132460,19630915,  183,    0
 24098,132460,19630916,  165,    0
 24098,132460,19630917,  189,    0
 24098,132460,19630918,  179,    0
 24098,132460,19630919,  169,    0
 24098,132460,19630920,  196,    0
 24098,132460,19630921,  170,    0
 24098,132460,19630922,  172,    0
 24098,132460,19630923,  169,    0
 24098,132460,19630924,  163,    0
 24098,132460,19630925,  126,    0
 24098,132460,19630926,  100,    0
 24098,132460,19630927,  115,    0
 24098,132460,19630928,   86,    0
 24098,132460,19630929,   89,    0
 24098,132460,19630930,   93,    0
 24098,132460,19631001,   94,    0
 24098,132460,19631002,  115,    0
 24098,132460,19631003,   98,    0
 24098,132460,19631004,   94,    0
 24098,132460,19631005,   63,    0
 24098,132460,19631006,   65,    0
 24098,132460,19631007,   72,    0
 24098,132460,19631008,   67,    0
 24098,132460,19631009,   78,    0
 24098,132460,19631010,   78,    0
 24098,132460,19631011,   88,    0
 24098,132460,19631012,  102,    0
 24098,132460,19631013,  106,    0
 24098,132460,19631014,   57,    0
 24098,132460,19631015,   63,    0
 24098,132460,19631016,   59,    0
 24098,132460,19631017,   79,    0
 24098,132460,19631018,  107,    0
 24098,132460,19631019,  105,    0
 24098,132460,19631020,   91,    0
 24098,132460,19631021,   86,    0
 24098,132460,19631022,   92,    0
 24098,132460,19631023,  106,    0
 24098,132460,19631024,  110,    0
 24098,132460,19631025,   90,    0
 24098,132460,19631026,   42,    0
 24098,132460,19631027,   52,    0
 24098,132460,19631028,   37,    0
 24098,132460,19631029,   18,    0
 24098,132460,19631030,   29,    0
 24098,132460,19631031,   64,    0
 24098,132460,19631101,  119,    0
 24098,132460,19631102,   82,    0
 24098,132460,19631103,  129,    0
 24098,132460,19631104,  106,    0
 24098,132460,19631105,  139,    0
 24098,132460,19631106,  139,    0
 24098,132460,19631107,   77,    0
 24098,132460,19631108,   64,    0
 24098,132460,19631109,   58,    0
 24098,132460,19631110,   57,    0
 24098,132460,19631111,   98,    0
 24098,132460,19631112,   82,    0
 24098,132460,19631113,   56,    0
 24098,132460,19631114,   26,    0
 24098,132460,19631115,   54,    0
 24098,132460,19631116,   52,    0
 24098,132460,19631117,   16,    0
 24098,132460,19631118,   13,    0
 24098,132460,19631119,   36,    0
 24098,132460,19631120,   52,    0
 24098,132460,19631121,   11,    0
 24098,132460,19631122,   -2,    0
 24098,132460,19631123,   40,    0
 24098,132460,19631124,   24,    0
 24098,132460,19631125,   19,    0
 24098,132460,19631126,   34,    0
 24098,132460,19631127,   26,    0
 24098,132460,19631128,   36,    0
 24098,132460,19631129,   18,    0
 24098,132460,19631130,   29,    0
 24098,132460,19631201,    9,    0
 24098,132460,19631202,   14,    0
 24098,132460,19631203,   32,    0
 24098,132460,19631204,   14,    0
 24098,132460,19631205,   -8,    0
 24098,132460,19631206,  -15,    0
 24098,132460,19631207,  -64,    0
 24098,132460,19631208,  -71,    0
 24098,132460,19631209,  -89,    0
 24098,132460,19631210,  -79,    0
 24098,132460,19631211,  -78,    0
 24098,132460,19631212,  -92,    0
 24098,132460,19631213,  -66,    0
 24098,132460,19631214, -100,    0
 24098,132460,19631215, -122,    0
 24098,132460,19631216, -128,    0
 24098,132460,19631217, -144,    0
 24098,132460,19631218, -171,    0
 24098,132460,19631219, -149,    0
 24098,132460,19631220, -113,    0
 24098,132460,19631221,  -71,    0
 24098,132460,19631222,  -77,    0
 24098,132460,19631223, -140,    0
 24098,132460,19631224,  -54,    0
 24098,132460,19631225,   11,    0
 24098,132460,19631226,  -27,    0
 24098,132460,19631227,  -19,    0
 24098,132460,19631228,  -36,    0
 24098,132460,19631229,  -39,    0
 24098,132460,19631230,  -12,    0
 24098,132460,19631231,  -57,    0
 24098,132460,19640101,  -54,    0
 24098,132460,19640102,  -40,    0
 24098,132460,19640103,  -81,    0
 24098,132460,19640104,  -88,    0
 24098,132460,19640105,  -79,    0
 24098,132460,19640106,  -93,    0
 24098,132460,19640107, -124,    0
 24098,132460,19640108,  -93,    0
 24098,132460,19640109,  -54,    0
 24098,132460,19640110,  -41,    0
 24098,132460,19640111,  -50,    0
 24098,132460,19640112,  -17,    0
 24098,132460,19640113,  -41,    0
 24098,132460,19640114,  -48,    0
 24098,132460,19640115,  -14,    0
 24098,132460,19640116,  -86,    0
 24098,132460,19640117, -133,    0
 24098,132460,19640118, -110,    0
 24098,132460,19640119, -108,    0
 24098,132460,19640120, -116,    0
 24098,132460,19640121,  -86,    0
 24098,132460,19640122,  -86,    0
 24098,132460,19640123,  -92,    0
 24098,132460,19640124, -101,    0
 24098,132460,19640125,  -77,    0
 24098,132460,19640126,  -28,    0
 24098,132460,19640127,  -40,    0
 24098,132460,19640128,  -69,    0
 24098,132460,19640129,  -66,    0
 24098,132460,19640130,  -68,    0
 24098,132460,19640131,  -50,    0
 24098,132460,19640201,  -32,    0
 24098,132460,19640202,   27,    0
 24098,132460,19640203,   19,    0
 24098,132460,19640204,    4,    0
 24098,132460,19640205,  -11,    0
 24098,132460,19640206,  -38,    0
 24098,132460,19640207,  -96,    0
 24098,132460,19640208,  -66,    0
 24098,132460,19640209,  -16,    0
 24098,132460,19640210,    4,    0
 24098,132460,19640211,    7,    0
 24098,132460,19640212,   -4,    0
 24098,132460,19640213,  -30,    0
 24098,132460,19640214,  -90,    0
