EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRIPPENSTEIN, AUSTRIA (STAID: 24100)
Blended and updated with sources:126935 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24100,126935,19570101,  -23,    0
 24100,126935,19570102,  -26,    0
 24100,126935,19570103,  -38,    0
 24100,126935,19570104,  -60,    0
 24100,126935,19570105,  -27,    0
 24100,126935,19570106,   -5,    0
 24100,126935,19570107,  -38,    0
 24100,126935,19570108,  -43,    0
 24100,126935,19570109,   -9,    0
 24100,126935,19570110,  -48,    0
 24100,126935,19570111, -116,    0
 24100,126935,19570112, -130,    0
 24100,126935,19570113, -117,    0
 24100,126935,19570114,  -98,    0
 24100,126935,19570115, -104,    0
 24100,126935,19570116, -142,    0
 24100,126935,19570117, -146,    0
 24100,126935,19570118,  -98,    0
 24100,126935,19570119,  -54,    0
 24100,126935,19570120,  -40,    0
 24100,126935,19570121,  -24,    0
 24100,126935,19570122,  -51,    0
 24100,126935,19570123,  -58,    0
 24100,126935,19570124,  -71,    0
 24100,126935,19570125,  -86,    0
 24100,126935,19570126,  -80,    0
 24100,126935,19570127,  -58,    0
 24100,126935,19570128, -102,    0
 24100,126935,19570129,  -85,    0
 24100,126935,19570130,  -51,    0
 24100,126935,19570131,  -50,    0
 24100,126935,19570201,  -12,    0
 24100,126935,19570202,   30,    0
 24100,126935,19570203,   65,    0
 24100,126935,19570204,   22,    0
 24100,126935,19570205,   22,    0
 24100,126935,19570206,    5,    0
 24100,126935,19570207,  -21,    0
 24100,126935,19570208,   -8,    0
 24100,126935,19570209,  -33,    0
 24100,126935,19570210,  -45,    0
 24100,126935,19570211,  -70,    0
 24100,126935,19570212,  -55,    0
 24100,126935,19570213,  -38,    0
 24100,126935,19570214,  -40,    0
 24100,126935,19570215,  -45,    0
 24100,126935,19570216,  -72,    0
 24100,126935,19570217,  -58,    0
 24100,126935,19570218,  -63,    0
 24100,126935,19570219,  -84,    0
 24100,126935,19570220,  -67,    0
 24100,126935,19570221,  -83,    0
 24100,126935,19570222,  -98,    0
 24100,126935,19570223,  -63,    0
 24100,126935,19570224,  -48,    0
 24100,126935,19570225,  -45,    0
 24100,126935,19570226,  -54,    0
 24100,126935,19570227,  -55,    0
 24100,126935,19570228,  -94,    0
 24100,126935,19570301, -117,    0
 24100,126935,19570302,  -85,    0
 24100,126935,19570303, -130,    0
 24100,126935,19570304, -118,    0
 24100,126935,19570305,  -33,    0
 24100,126935,19570306,  -19,    0
 24100,126935,19570307,   -8,    0
 24100,126935,19570308,  -31,    0
 24100,126935,19570309,  -38,    0
 24100,126935,19570310,  -47,    0
 24100,126935,19570311,  -17,    0
 24100,126935,19570312,   17,    0
 24100,126935,19570313,   22,    0
 24100,126935,19570314,   30,    0
 24100,126935,19570315,   15,    0
 24100,126935,19570316,    9,    0
 24100,126935,19570317,   18,    0
 24100,126935,19570318,   15,    0
 24100,126935,19570319,   19,    0
 24100,126935,19570320,   65,    0
 24100,126935,19570321,   27,    0
 24100,126935,19570322,    4,    0
 24100,126935,19570323,   29,    0
 24100,126935,19570324,   10,    0
 24100,126935,19570325,   -4,    0
 24100,126935,19570326,   14,    0
 24100,126935,19570327,   21,    0
 24100,126935,19570328,    9,    0
 24100,126935,19570329,  -12,    0
 24100,126935,19570330,  -51,    0
 24100,126935,19570331,  -45,    0
 24100,126935,19570401,  -41,    0
 24100,126935,19570402,  -26,    0
 24100,126935,19570403,  -39,    0
 24100,126935,19570404,  -13,    0
 24100,126935,19570405,   18,    0
 24100,126935,19570406,   10,    0
 24100,126935,19570407,  -38,    0
 24100,126935,19570408,  -68,    0
 24100,126935,19570409,  -45,    0
 24100,126935,19570410,   -4,    0
 24100,126935,19570411,  -29,    0
 24100,126935,19570412,  -78,    0
 24100,126935,19570413,  -93,    0
 24100,126935,19570414,  -88,    0
 24100,126935,19570415,  -94,    0
 24100,126935,19570416,  -70,    0
 24100,126935,19570417,  -39,    0
 24100,126935,19570418,  -31,    0
 24100,126935,19570419,  -33,    0
 24100,126935,19570420,  -26,    0
 24100,126935,19570421,  -37,    0
 24100,126935,19570422,  -36,    0
 24100,126935,19570423,   -2,    0
 24100,126935,19570424,    2,    0
 24100,126935,19570425,   14,    0
 24100,126935,19570426,   45,    0
 24100,126935,19570427,   39,    0
 24100,126935,19570428,   65,    0
 24100,126935,19570429,   56,    0
 24100,126935,19570430,   48,    0
 24100,126935,19570501,   -8,    0
 24100,126935,19570502,  -20,    0
 24100,126935,19570503,  -29,    0
 24100,126935,19570504,  -25,    0
 24100,126935,19570505,  -42,    0
 24100,126935,19570506,  -82,    0
 24100,126935,19570507, -107,    0
 24100,126935,19570508,  -81,    0
 24100,126935,19570509,  -35,    0
 24100,126935,19570510,    2,    0
 24100,126935,19570511,    5,    0
 24100,126935,19570512,   33,    0
 24100,126935,19570513,   26,    0
 24100,126935,19570514,   28,    0
 24100,126935,19570515,   65,    0
 24100,126935,19570516,   53,    0
 24100,126935,19570517,   -3,    0
 24100,126935,19570518,   38,    0
 24100,126935,19570519,   55,    0
 24100,126935,19570520,   15,    0
 24100,126935,19570521,   -7,    0
 24100,126935,19570522,  -11,    0
 24100,126935,19570523,   21,    0
 24100,126935,19570524,   16,    0
 24100,126935,19570525,   23,    0
 24100,126935,19570526,  -18,    0
 24100,126935,19570527,  -30,    0
 24100,126935,19570528,  -23,    0
 24100,126935,19570529,  -26,    0
 24100,126935,19570530,   10,    0
 24100,126935,19570531,   35,    0
 24100,126935,19570601,   32,    0
 24100,126935,19570602,   68,    0
 24100,126935,19570603,   76,    0
 24100,126935,19570604,   55,    0
 24100,126935,19570605,   28,    0
 24100,126935,19570606,   36,    0
 24100,126935,19570607,   73,    0
 24100,126935,19570608,   68,    0
 24100,126935,19570609,   61,    0
 24100,126935,19570610,   82,    0
 24100,126935,19570611,  110,    0
 24100,126935,19570612,   95,    0
 24100,126935,19570613,  113,    0
 24100,126935,19570614,  148,    0
 24100,126935,19570615,  158,    0
 24100,126935,19570616,  143,    0
 24100,126935,19570617,  113,    0
 24100,126935,19570618,   99,    0
 24100,126935,19570619,   95,    0
 24100,126935,19570620,  121,    0
 24100,126935,19570621,  145,    0
 24100,126935,19570622,  121,    0
 24100,126935,19570623,  110,    0
 24100,126935,19570624,   94,    0
 24100,126935,19570625,   72,    0
 24100,126935,19570626,    6,    0
 24100,126935,19570627,   18,    0
 24100,126935,19570628,   73,    0
 24100,126935,19570629,  100,    0
 24100,126935,19570630,  142,    0
 24100,126935,19570701,  154,    0
 24100,126935,19570702,  139,    0
 24100,126935,19570703,  158,    0
 24100,126935,19570704,  181,    0
 24100,126935,19570705,  200,    0
 24100,126935,19570706,  205,    0
 24100,126935,19570707,  202,    0
 24100,126935,19570708,  168,    0
 24100,126935,19570709,  126,    0
 24100,126935,19570710,   64,    0
 24100,126935,19570711,   39,    0
 24100,126935,19570712,   48,    0
 24100,126935,19570713,  105,    0
 24100,126935,19570714,   89,    0
 24100,126935,19570715,   44,    0
 24100,126935,19570716,   22,    0
 24100,126935,19570717,   58,    0
 24100,126935,19570718,   72,    0
 24100,126935,19570719,   80,    0
 24100,126935,19570720,   41,    0
 24100,126935,19570721,   35,    0
 24100,126935,19570722,   10,    0
 24100,126935,19570723,   13,    0
 24100,126935,19570724,   33,    0
 24100,126935,19570725,   56,    0
 24100,126935,19570726,   73,    0
 24100,126935,19570727,   43,    0
 24100,126935,19570728,   26,    0
 24100,126935,19570729,   45,    0
 24100,126935,19570730,   35,    0
 24100,126935,19570731,   55,    0
 24100,126935,19570801,   99,    0
 24100,126935,19570802,  109,    0
 24100,126935,19570803,   80,    0
 24100,126935,19570804,   95,    0
 24100,126935,19570805,  110,    0
 24100,126935,19570806,  131,    0
 24100,126935,19570807,  121,    0
 24100,126935,19570808,  123,    0
 24100,126935,19570809,  124,    0
 24100,126935,19570810,   80,    0
 24100,126935,19570811,  120,    0
 24100,126935,19570812,  106,    0
 24100,126935,19570813,  136,    0
 24100,126935,19570814,   85,    0
 24100,126935,19570815,   90,    0
 24100,126935,19570816,   45,    0
 24100,126935,19570817,   38,    0
 24100,126935,19570818,   43,    0
 24100,126935,19570819,   15,    0
 24100,126935,19570820,   26,    0
 24100,126935,19570821,   45,    0
