EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BREGENZ, AUSTRIA (STAID: 24135)
Blended and updated with sources:127364 127377 127390 911101 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24135,127364,19360101,   21,    0
 24135,127364,19360102,   35,    0
 24135,127364,19360103,   77,    0
 24135,127364,19360104,   74,    0
 24135,127364,19360105,   30,    0
 24135,127364,19360106,   39,    0
 24135,127364,19360107,   23,    0
 24135,127364,19360108,   42,    0
 24135,127364,19360109,   39,    0
 24135,127364,19360110,   62,    0
 24135,127364,19360111,  109,    0
 24135,127364,19360112,   72,    0
 24135,127364,19360113,   55,    0
 24135,127364,19360114,   39,    0
 24135,127364,19360115,    2,    0
 24135,127364,19360116,    7,    0
 24135,127364,19360117,   37,    0
 24135,127364,19360118,   14,    0
 24135,127364,19360119,   -8,    0
 24135,127364,19360120,   51,    0
 24135,127364,19360121,   61,    0
 24135,127364,19360122,   46,    0
 24135,127364,19360123,   26,    0
 24135,127364,19360124,   15,    0
 24135,127364,19360125,   40,    0
 24135,127364,19360126,   41,    0
 24135,127364,19360127,   49,    0
 24135,127364,19360128,   57,    0
 24135,127364,19360129,   31,    0
 24135,127364,19360130,   35,    0
 24135,127364,19360131,   49,    0
 24135,127364,19360201,   92,    0
 24135,127364,19360202,   52,    0
 24135,127364,19360203,   25,    0
 24135,127364,19360204,   -5,    0
 24135,127364,19360205,  -10,    0
 24135,127364,19360206,  -20,    0
 24135,127364,19360207,  -50,    0
 24135,127364,19360208,  -55,    0
 24135,127364,19360209,  -63,    0
 24135,127364,19360210,  -69,    0
 24135,127364,19360211,  -92,    0
 24135,127364,19360212,  -24,    0
 24135,127364,19360213,  -30,    0
 24135,127364,19360214,  -46,    0
 24135,127364,19360215,  -27,    0
 24135,127364,19360216,   45,    0
 24135,127364,19360217,   30,    0
 24135,127364,19360218,   19,    0
 24135,127364,19360219,   72,    0
 24135,127364,19360220,   69,    0
 24135,127364,19360221,   40,    0
 24135,127364,19360222,   86,    0
 24135,127364,19360223,   63,    0
 24135,127364,19360224,   48,    0
 24135,127364,19360225,   24,    0
 24135,127364,19360226,   20,    0
 24135,127364,19360227,    8,    0
 24135,127364,19360228,   17,    0
 24135,127364,19360229,   22,    0
 24135,127364,19360301,   28,    0
 24135,127364,19360302,   33,    0
 24135,127364,19360303,   73,    0
 24135,127364,19360304,   93,    0
 24135,127364,19360305,   48,    0
 24135,127364,19360306,   24,    0
 24135,127364,19360307,   28,    0
 24135,127364,19360308,   17,    0
 24135,127364,19360309,   54,    0
 24135,127364,19360310,   62,    0
 24135,127364,19360311,  104,    0
 24135,127364,19360312,   68,    0
 24135,127364,19360313,   38,    0
 24135,127364,19360314,   40,    0
 24135,127364,19360315,   25,    0
 24135,127364,19360316,   12,    0
 24135,127364,19360317,   26,    0
 24135,127364,19360318,   22,    0
 24135,127364,19360319,   46,    0
 24135,127364,19360320,   62,    0
 24135,127364,19360321,   73,    0
 24135,127364,19360322,  108,    0
 24135,127364,19360323,  108,    0
 24135,127364,19360324,  103,    0
 24135,127364,19360325,  116,    0
 24135,127364,19360326,   91,    0
 24135,127364,19360327,   71,    0
 24135,127364,19360328,   95,    0
 24135,127364,19360329,  112,    0
 24135,127364,19360330,  126,    0
 24135,127364,19360331,  126,    0
 24135,127364,19360401,  127,    0
 24135,127364,19360402,  139,    0
 24135,127364,19360403,  115,    0
 24135,127364,19360404,  120,    0
 24135,127364,19360405,  115,    0
 24135,127364,19360406,   94,    0
