EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRAXERN, AUSTRIA (STAID: 24136)
Blended and updated with sources:127403 127416 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24136,127403,19841201,   84,    0
 24136,127403,19841202,   85,    0
 24136,127403,19841203,   50,    0
 24136,127403,19841204,   21,    0
 24136,127403,19841205,   23,    0
 24136,127403,19841206,   63,    0
 24136,127403,19841207,   46,    0
 24136,127403,19841208,   53,    0
 24136,127403,19841209,   55,    0
 24136,127403,19841210,   28,    0
 24136,127403,19841211,   73,    0
 24136,127403,19841212,   60,    0
 24136,127403,19841213,   42,    0
 24136,127403,19841214,   31,    0
 24136,127403,19841215,   40,    0
 24136,127403,19841216,   24,    0
 24136,127403,19841217,   30,    0
 24136,127403,19841218,   45,    0
 24136,127403,19841219,   28,    0
 24136,127403,19841220,    3,    0
 24136,127403,19841221,   25,    0
 24136,127403,19841222,    2,    0
 24136,127403,19841223,    0,    0
 24136,127403,19841224,    7,    0
 24136,127403,19841225,    7,    0
 24136,127403,19841226,  -13,    0
 24136,127403,19841227,  -21,    0
 24136,127403,19841228,  -19,    0
 24136,127403,19841229,  -33,    0
 24136,127403,19841230,  -50,    0
 24136,127403,19841231,  -65,    0
 24136,127403,19850101,  -58,    0
 24136,127403,19850102,  -41,    0
 24136,127403,19850103,  -74,    0
 24136,127403,19850104, -104,    0
 24136,127403,19850105, -156,    0
 24136,127403,19850106, -160,    0
 24136,127403,19850107, -161,    0
 24136,127403,19850108, -183,    0
 24136,127403,19850109, -158,    0
 24136,127403,19850110, -118,    0
 24136,127403,19850111, -100,    0
 24136,127403,19850112, -111,    0
 24136,127403,19850113, -102,    0
 24136,127403,19850114, -121,    0
 24136,127403,19850115, -133,    0
 24136,127403,19850116, -101,    0
 24136,127403,19850117,  -71,    0
 24136,127403,19850118,  -27,    0
 24136,127403,19850119,   -8,    0
 24136,127403,19850120,  -15,    0
 24136,127403,19850121,   24,    0
 24136,127403,19850122,   61,    0
 24136,127403,19850123,   48,    0
 24136,127403,19850124,   -6,    0
 24136,127403,19850125,  -35,    0
 24136,127403,19850126,   10,    0
 24136,127403,19850127,    3,    0
 24136,127403,19850128,  -18,    0
 24136,127403,19850129,   18,    0
 24136,127403,19850130,   14,    0
 24136,127403,19850131,   38,    0
 24136,127403,19850201,   59,    0
 24136,127403,19850202,   74,    0
 24136,127403,19850203,   58,    0
 24136,127403,19850204,   35,    0
 24136,127403,19850205,   63,    0
 24136,127403,19850206,   54,    0
 24136,127403,19850207,   53,    0
 24136,127403,19850208,   28,    0
 24136,127403,19850209,   58,    0
 24136,127403,19850210,   -2,    0
 24136,127403,19850211,  -67,    0
 24136,127403,19850212,  -89,    0
 24136,127403,19850213,  -55,    0
 24136,127403,19850214,   -8,    0
 24136,127403,19850215,  -36,    0
 24136,127403,19850216,  -64,    0
 24136,127403,19850217,  -71,    0
 24136,127403,19850218,  -94,    0
 24136,127403,19850219, -110,    0
 24136,127403,19850220,  -88,    0
 24136,127403,19850221,  -63,    0
 24136,127403,19850222,  -37,    0
 24136,127403,19850223,  -15,    0
 24136,127403,19850224,   33,    0
 24136,127403,19850225,   63,    0
 24136,127403,19850226,   63,    0
 24136,127403,19850227,   56,    0
 24136,127403,19850228,   56,    0
 24136,127403,19850301,   73,    0
 24136,127403,19850302,   45,    0
 24136,127403,19850303,   40,    0
 24136,127403,19850304,   67,    0
 24136,127403,19850305,   50,    0
 24136,127403,19850306,   34,    0
 24136,127403,19850307,   25,    0
 24136,127403,19850308,   17,    0
 24136,127403,19850309,   20,    0
 24136,127403,19850310,   16,    0
 24136,127403,19850311,    2,    0
 24136,127403,19850312,   -6,    0
 24136,127403,19850313,   -2,    0
 24136,127403,19850314,    9,    0
 24136,127403,19850315,    8,    0
 24136,127403,19850316,   10,    0
 24136,127403,19850317,  -21,    0
 24136,127403,19850318,  -30,    0
 24136,127403,19850319,  -38,    0
 24136,127403,19850320,   -5,    0
 24136,127403,19850321,   49,    0
 24136,127403,19850322,   54,    0
 24136,127403,19850323,   46,    0
 24136,127403,19850324,   45,    0
 24136,127403,19850325,   68,    0
 24136,127403,19850326,   80,    0
 24136,127403,19850327,   59,    0
 24136,127403,19850328,    0,    0
 24136,127403,19850329,   19,    0
 24136,127403,19850330,   75,    0
 24136,127403,19850331,  108,    0
 24136,127403,19850401,  112,    0
 24136,127403,19850402,  118,    0
 24136,127403,19850403,  117,    0
 24136,127403,19850404,  145,    0
 24136,127403,19850405,  151,    0
 24136,127403,19850406,  111,    0
 24136,127403,19850407,   99,    0
 24136,127403,19850408,  109,    0
 24136,127403,19850409,   73,    0
 24136,127403,19850410,   52,    0
 24136,127403,19850411,   70,    0
 24136,127403,19850412,   55,    0
 24136,127403,19850413,   62,    0
 24136,127403,19850414,   60,    0
 24136,127403,19850415,   48,    0
 24136,127403,19850416,   38,    0
 24136,127403,19850417,   62,    0
 24136,127403,19850418,   58,    0
 24136,127403,19850419,   86,    0
 24136,127403,19850420,  125,    0
 24136,127403,19850421,  143,    0
 24136,127403,19850422,  140,    0
 24136,127403,19850423,  106,    0
 24136,127403,19850424,   36,    0
 24136,127403,19850425,   58,    0
 24136,127403,19850426,   62,    0
 24136,127403,19850427,   56,    0
 24136,127403,19850428,   34,    0
 24136,127403,19850429,   10,    0
 24136,127403,19850430,   33,    0
 24136,127403,19850501,   78,    0
 24136,127403,19850502,   58,    0
 24136,127403,19850503,   31,    0
 24136,127403,19850504,   50,    0
 24136,127403,19850505,  102,    0
 24136,127403,19850506,  130,    0
 24136,127403,19850507,  123,    0
 24136,127403,19850508,   70,    0
 24136,127403,19850509,   61,    0
 24136,127403,19850510,   93,    0
 24136,127403,19850511,  125,    0
 24136,127403,19850512,  150,    0
 24136,127403,19850513,  155,    0
 24136,127403,19850514,  141,    0
 24136,127403,19850515,  136,    0
 24136,127403,19850516,  147,    0
 24136,127403,19850517,  152,    0
 24136,127403,19850518,  154,    0
 24136,127403,19850519,  153,    0
 24136,127403,19850520,  160,    0
 24136,127403,19850521,  125,    0
 24136,127403,19850522,   89,    0
 24136,127403,19850523,  109,    0
 24136,127403,19850524,  137,    0
