EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FELDKIRCH, AUSTRIA (STAID: 24141)
Blended and updated with sources:127468 134475 911105 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24141,134475,18950701,-9999,    9
 24141,134475,18950702,-9999,    9
 24141,134475,18950703,-9999,    9
 24141,134475,18950704,-9999,    9
 24141,134475,18950705,-9999,    9
 24141,134475,18950706,-9999,    9
 24141,134475,18950707,-9999,    9
 24141,134475,18950708,-9999,    9
 24141,134475,18950709,-9999,    9
 24141,134475,18950710,-9999,    9
 24141,134475,18950711,-9999,    9
 24141,134475,18950712,-9999,    9
 24141,134475,18950713,-9999,    9
 24141,134475,18950714,-9999,    9
 24141,134475,18950715,-9999,    9
 24141,134475,18950716,-9999,    9
 24141,134475,18950717,-9999,    9
 24141,134475,18950718,-9999,    9
 24141,134475,18950719,-9999,    9
 24141,134475,18950720,-9999,    9
 24141,134475,18950721,-9999,    9
 24141,134475,18950722,-9999,    9
 24141,134475,18950723,-9999,    9
 24141,134475,18950724,-9999,    9
 24141,134475,18950725,-9999,    9
 24141,134475,18950726,-9999,    9
 24141,134475,18950727,-9999,    9
 24141,134475,18950728,-9999,    9
 24141,134475,18950729,-9999,    9
 24141,134475,18950730,-9999,    9
 24141,134475,18950731,-9999,    9
 24141,134475,18950801,-9999,    9
 24141,134475,18950802,-9999,    9
 24141,134475,18950803,-9999,    9
 24141,134475,18950804,-9999,    9
 24141,134475,18950805,-9999,    9
 24141,134475,18950806,-9999,    9
 24141,134475,18950807,-9999,    9
 24141,134475,18950808,-9999,    9
 24141,134475,18950809,-9999,    9
 24141,134475,18950810,-9999,    9
 24141,134475,18950811,-9999,    9
 24141,134475,18950812,-9999,    9
 24141,134475,18950813,-9999,    9
 24141,134475,18950814,-9999,    9
 24141,134475,18950815,-9999,    9
 24141,134475,18950816,-9999,    9
 24141,134475,18950817,-9999,    9
 24141,134475,18950818,-9999,    9
 24141,134475,18950819,-9999,    9
 24141,134475,18950820,-9999,    9
 24141,134475,18950821,-9999,    9
 24141,134475,18950822,-9999,    9
 24141,134475,18950823,-9999,    9
 24141,134475,18950824,-9999,    9
 24141,134475,18950825,-9999,    9
 24141,134475,18950826,-9999,    9
 24141,134475,18950827,-9999,    9
 24141,134475,18950828,-9999,    9
 24141,134475,18950829,-9999,    9
 24141,134475,18950830,-9999,    9
 24141,134475,18950831,-9999,    9
 24141,134475,18950901,-9999,    9
 24141,134475,18950902,-9999,    9
 24141,134475,18950903,-9999,    9
 24141,134475,18950904,-9999,    9
 24141,134475,18950905,-9999,    9
 24141,134475,18950906,-9999,    9
 24141,134475,18950907,-9999,    9
 24141,134475,18950908,-9999,    9
 24141,134475,18950909,-9999,    9
 24141,134475,18950910,-9999,    9
 24141,134475,18950911,-9999,    9
 24141,134475,18950912,-9999,    9
 24141,134475,18950913,-9999,    9
 24141,134475,18950914,-9999,    9
 24141,134475,18950915,-9999,    9
 24141,134475,18950916,-9999,    9
 24141,134475,18950917,-9999,    9
 24141,134475,18950918,-9999,    9
 24141,134475,18950919,-9999,    9
 24141,134475,18950920,-9999,    9
 24141,134475,18950921,-9999,    9
 24141,134475,18950922,-9999,    9
 24141,134475,18950923,-9999,    9
 24141,134475,18950924,-9999,    9
 24141,134475,18950925,-9999,    9
 24141,134475,18950926,-9999,    9
 24141,134475,18950927,-9999,    9
 24141,134475,18950928,-9999,    9
 24141,134475,18950929,-9999,    9
