EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALBERSCHWENDE, AUSTRIA (STAID: 24144)
Blended and updated with sources:127507 911301 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24144,127507,19951101,   89,    0
 24144,127507,19951102,   52,    0
 24144,127507,19951103,   36,    0
 24144,127507,19951104,    1,    0
 24144,127507,19951105,  -34,    0
 24144,127507,19951106,  -61,    0
 24144,127507,19951107,   16,    0
 24144,127507,19951108,   24,    0
 24144,127507,19951109,   43,    0
 24144,127507,19951110,   50,    0
 24144,127507,19951111,  100,    0
 24144,127507,19951112,  110,    0
 24144,127507,19951113,   63,    0
 24144,127507,19951114,   72,    0
 24144,127507,19951115,   65,    0
 24144,127507,19951116,   62,    0
 24144,127507,19951117,   54,    0
 24144,127507,19951118,    2,    0
 24144,127507,19951119,  -48,    0
 24144,127507,19951120,  -20,    0
 24144,127507,19951121,  -63,    0
 24144,127507,19951122,  -19,    0
 24144,127507,19951123,   21,    0
 24144,127507,19951124,    1,    0
 24144,127507,19951125,   11,    0
 24144,127507,19951126,   32,    0
 24144,127507,19951127,    5,    0
 24144,127507,19951128,   -2,    0
 24144,127507,19951129,   27,    0
 24144,127507,19951130,   51,    0
 24144,127507,19951201,   42,    0
 24144,127507,19951202,   15,    0
 24144,127507,19951203,   29,    0
 24144,127507,19951204,   -2,    0
 24144,127507,19951205,  -23,    0
 24144,127507,19951206,  -29,    0
 24144,127507,19951207,  -53,    0
 24144,127507,19951208,   -6,    0
 24144,127507,19951209,   20,    0
 24144,127507,19951210,  -50,    0
 24144,127507,19951211,  -52,    0
 24144,127507,19951212,  -18,    0
 24144,127507,19951213,  -43,    0
 24144,127507,19951214,  -66,    0
 24144,127507,19951215,  -51,    0
 24144,127507,19951216,   -5,    0
 24144,127507,19951217,  -13,    0
 24144,127507,19951218,   15,    0
 24144,127507,19951219,   22,    0
 24144,127507,19951220,   28,    0
 24144,127507,19951221,   34,    0
 24144,127507,19951222,   53,    0
 24144,127507,19951223,   78,    0
 24144,127507,19951224,   78,    0
 24144,127507,19951225,   50,    0
 24144,127507,19951226,   10,    0
 24144,127507,19951227,  -56,    0
 24144,127507,19951228, -107,    0
 24144,127507,19951229, -100,    0
 24144,127507,19951230,  -55,    0
 24144,127507,19951231,  -20,    0
 24144,127507,19960101,    5,    0
 24144,127507,19960102,  -40,    0
 24144,127507,19960103,  -12,    0
 24144,127507,19960104,  -18,    0
 24144,127507,19960105,  -41,    0
 24144,127507,19960106,  -27,    0
 24144,127507,19960107,   16,    0
 24144,127507,19960108,   41,    0
 24144,127507,19960109,   -4,    0
 24144,127507,19960110,   46,    0
 24144,127507,19960111,   65,    0
 24144,127507,19960112,   59,    0
 24144,127507,19960113,   45,    0
 24144,127507,19960114,    5,    0
 24144,127507,19960115,  -20,    0
 24144,127507,19960116,  -40,    0
 24144,127507,19960117,  -35,    0
 24144,127507,19960118,  -32,    0
 24144,127507,19960119,  -15,    0
 24144,127507,19960120,  -43,    0
 24144,127507,19960121,  -12,    0
 24144,127507,19960122,  -23,    0
 24144,127507,19960123,   -9,    0
 24144,127507,19960124,  -10,    0
 24144,127507,19960125,  -23,    0
 24144,127507,19960126,  -28,    0
 24144,127507,19960127,   -7,    0
 24144,127507,19960128,  -13,    0
 24144,127507,19960129,   -7,    0
 24144,127507,19960130,  -36,    0
 24144,127507,19960131,  -46,    0
 24144,127507,19960201,  -36,    0
 24144,127507,19960202,   29,    0
 24144,127507,19960203,   21,    0
 24144,127507,19960204,  -22,    0
 24144,127507,19960205,  -53,    0
 24144,127507,19960206,  -82,    0
 24144,127507,19960207,  -29,    0
 24144,127507,19960208,  -39,    0
 24144,127507,19960209,  -36,    0
 24144,127507,19960210,  -35,    0
 24144,127507,19960211,    2,    0
 24144,127507,19960212,   28,    0
 24144,127507,19960213,   23,    0
 24144,127507,19960214,  -12,    0
 24144,127507,19960215,  -38,    0
 24144,127507,19960216,  -31,    0
 24144,127507,19960217,   13,    0
 24144,127507,19960218,   14,    0
 24144,127507,19960219,   14,    0
 24144,127507,19960220,  -23,    0
 24144,127507,19960221,  -36,    0
 24144,127507,19960222,  -64,    0
 24144,127507,19960223,  -82,    0
 24144,127507,19960224,  -45,    0
 24144,127507,19960225,    7,    0
 24144,127507,19960226,   31,    0
 24144,127507,19960227,   41,    0
 24144,127507,19960228,   29,    0
 24144,127507,19960229,   -8,    0
 24144,127507,19960301,  -10,    0
 24144,127507,19960302,  -44,    0
 24144,127507,19960303,  -36,    0
 24144,127507,19960304,  -44,    0
 24144,127507,19960305,  -40,    0
 24144,127507,19960306,  -12,    0
 24144,127507,19960307,   25,    0
 24144,127507,19960308,    5,    0
 24144,127507,19960309,    7,    0
 24144,127507,19960310,  -19,    0
 24144,127507,19960311,  -34,    0
 24144,127507,19960312,  -56,    0
 24144,127507,19960313,  -64,    0
 24144,127507,19960314,   -2,    0
