EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WARTH, AUSTRIA (STAID: 24152)
Blended and updated with sources:127611 911308 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24152,127611,19841201,   50,    0
 24152,127611,19841202,   49,    0
 24152,127611,19841203,   28,    0
 24152,127611,19841204,   35,    0
 24152,127611,19841205,   37,    0
 24152,127611,19841206,   39,    0
 24152,127611,19841207,   10,    0
 24152,127611,19841208,   38,    0
 24152,127611,19841209,    3,    0
 24152,127611,19841210,  -15,    0
 24152,127611,19841211,   28,    0
 24152,127611,19841212,   39,    0
 24152,127611,19841213,   51,    0
 24152,127611,19841214,   13,    0
 24152,127611,19841215,  -31,    0
 24152,127611,19841216,  -18,    0
 24152,127611,19841217,   -4,    0
 24152,127611,19841218,  -15,    0
 24152,127611,19841219,  -32,    0
 24152,127611,19841220,  -55,    0
 24152,127611,19841221,   -4,    0
 24152,127611,19841222,  -70,    0
 24152,127611,19841223,  -62,    0
 24152,127611,19841224,  -32,    0
 24152,127611,19841225,  -52,    0
 24152,127611,19841226,  -75,    0
 24152,127611,19841227,  -66,    0
 24152,127611,19841228,  -62,    0
 24152,127611,19841229,  -84,    0
 24152,127611,19841230,  -95,    0
 24152,127611,19841231, -126,    0
 24152,127611,19850101, -105,    0
 24152,127611,19850102,  -78,    0
 24152,127611,19850103, -113,    0
 24152,127611,19850104, -145,    0
 24152,127611,19850105, -215,    0
 24152,127611,19850106, -211,    0
 24152,127611,19850107, -193,    0
 24152,127611,19850108, -169,    0
 24152,127611,19850109, -190,    0
 24152,127611,19850110, -163,    0
 24152,127611,19850111, -124,    0
 24152,127611,19850112, -129,    0
 24152,127611,19850113, -116,    0
 24152,127611,19850114, -138,    0
 24152,127611,19850115, -103,    0
 24152,127611,19850116,  -43,    0
 24152,127611,19850117,  -23,    0
 24152,127611,19850118,  -45,    0
 24152,127611,19850119,  -19,    0
 24152,127611,19850120,  -38,    0
 24152,127611,19850121,   -5,    0
 24152,127611,19850122,   42,    0
 24152,127611,19850123,   31,    0
 24152,127611,19850124,  -46,    0
 24152,127611,19850125,  -70,    0
 24152,127611,19850126,  -21,    0
 24152,127611,19850127,  -33,    0
 24152,127611,19850128,  -49,    0
 24152,127611,19850129,  -22,    0
 24152,127611,19850130,  -26,    0
 24152,127611,19850131,    7,    0
 24152,127611,19850201,   23,    0
 24152,127611,19850202,   27,    0
 24152,127611,19850203,   17,    0
 24152,127611,19850204,  -25,    0
 24152,127611,19850205,   29,    0
 24152,127611,19850206,   24,    0
 24152,127611,19850207,    2,    0
 24152,127611,19850208,    3,    0
 24152,127611,19850209,   23,    0
 24152,127611,19850210,  -23,    0
 24152,127611,19850211,  -95,    0
 24152,127611,19850212,  -90,    0
 24152,127611,19850213,  -57,    0
 24152,127611,19850214,  -26,    0
 24152,127611,19850215,  -68,    0
 24152,127611,19850216, -109,    0
 24152,127611,19850217,  -70,    0
 24152,127611,19850218, -131,    0
 24152,127611,19850219, -156,    0
 24152,127611,19850220, -108,    0
 24152,127611,19850221,  -68,    0
 24152,127611,19850222,  -94,    0
 24152,127611,19850223,  -71,    0
 24152,127611,19850224,   -4,    0
 24152,127611,19850225,   33,    0
 24152,127611,19850226,   39,    0
 24152,127611,19850227,   26,    0
 24152,127611,19850228,   14,    0
 24152,127611,19850301,   26,    0
 24152,127611,19850302,   -3,    0
 24152,127611,19850303,  -10,    0
 24152,127611,19850304,    2,    0
 24152,127611,19850305,   16,    0
 24152,127611,19850306,   13,    0
 24152,127611,19850307,   17,    0
 24152,127611,19850308,   -2,    0
 24152,127611,19850309,  -27,    0
 24152,127611,19850310,  -50,    0
 24152,127611,19850311,  -47,    0
 24152,127611,19850312,  -51,    0
 24152,127611,19850313,  -18,    0
 24152,127611,19850314,  -50,    0
 24152,127611,19850315,  -50,    0
 24152,127611,19850316,  -50,    0
 24152,127611,19850317,  -75,    0
 24152,127611,19850318,  -82,    0
 24152,127611,19850319,  -83,    0
 24152,127611,19850320,  -67,    0
 24152,127611,19850321,  -11,    0
 24152,127611,19850322,    3,    0
 24152,127611,19850323,    3,    0
 24152,127611,19850324,  -23,    0
 24152,127611,19850325,   14,    0
 24152,127611,19850326,   22,    0
 24152,127611,19850327,   12,    0
 24152,127611,19850328,  -43,    0
 24152,127611,19850329,  -25,    0
 24152,127611,19850330,   21,    0
 24152,127611,19850331,   52,    0
 24152,127611,19850401,   51,    0
 24152,127611,19850402,   52,    0
 24152,127611,19850403,   49,    0
 24152,127611,19850404,   78,    0
 24152,127611,19850405,   85,    0
 24152,127611,19850406,   51,    0
 24152,127611,19850407,   43,    0
 24152,127611,19850408,   38,    0
 24152,127611,19850409,   30,    0
 24152,127611,19850410,    4,    0
 24152,127611,19850411,   15,    0
 24152,127611,19850412,   -3,    0
 24152,127611,19850413,    7,    0
 24152,127611,19850414,   -4,    0
 24152,127611,19850415,   -6,    0
 24152,127611,19850416,   -6,    0
 24152,127611,19850417,    6,    0
 24152,127611,19850418,  -12,    0
 24152,127611,19850419,   29,    0
 24152,127611,19850420,   56,    0
 24152,127611,19850421,   70,    0
 24152,127611,19850422,   70,    0
 24152,127611,19850423,   49,    0
 24152,127611,19850424,  -13,    0
 24152,127611,19850425,    6,    0
 24152,127611,19850426,   12,    0
 24152,127611,19850427,   15,    0
 24152,127611,19850428,  -17,    0
 24152,127611,19850429,  -43,    0
 24152,127611,19850430,  -14,    0
 24152,127611,19850501,   30,    0
 24152,127611,19850502,   18,    0
 24152,127611,19850503,  -16,    0
 24152,127611,19850504,  -21,    0
 24152,127611,19850505,   43,    0
 24152,127611,19850506,   59,    0
 24152,127611,19850507,   58,    0
 24152,127611,19850508,   24,    0
 24152,127611,19850509,   25,    0
 24152,127611,19850510,   50,    0
 24152,127611,19850511,   70,    0
 24152,127611,19850512,   92,    0
 24152,127611,19850513,  100,    0
 24152,127611,19850514,  102,    0
 24152,127611,19850515,   86,    0
 24152,127611,19850516,   92,    0
 24152,127611,19850517,   97,    0
 24152,127611,19850518,   84,    0
 24152,127611,19850519,  100,    0
 24152,127611,19850520,   91,    0
 24152,127611,19850521,   79,    0
 24152,127611,19850522,   45,    0
 24152,127611,19850523,   55,    0
 24152,127611,19850524,   79,    0
 24152,127611,19850525,  107,    0
 24152,127611,19850526,  124,    0
 24152,127611,19850527,  134,    0
 24152,127611,19850528,  105,    0
 24152,127611,19850529,   94,    0
 24152,127611,19850530,  104,    0
 24152,127611,19850531,  110,    0
 24152,127611,19850601,  103,    0
 24152,127611,19850602,  102,    0
 24152,127611,19850603,  114,    0
 24152,127611,19850604,  128,    0
 24152,127611,19850605,  133,    0
 24152,127611,19850606,  145,    0
 24152,127611,19850607,  103,    0
 24152,127611,19850608,   47,    0
 24152,127611,19850609,   38,    0
 24152,127611,19850610,   63,    0
 24152,127611,19850611,   36,    0
 24152,127611,19850612,   79,    0
 24152,127611,19850613,   83,    0
 24152,127611,19850614,  100,    0
 24152,127611,19850615,   73,    0
 24152,127611,19850616,   58,    0
 24152,127611,19850617,   42,    0
 24152,127611,19850618,   60,    0
 24152,127611,19850619,   86,    0
 24152,127611,19850620,   76,    0
 24152,127611,19850621,   87,    0
 24152,127611,19850622,   87,    0
 24152,127611,19850623,   62,    0
 24152,127611,19850624,   70,    0
 24152,127611,19850625,   75,    0
 24152,127611,19850626,  108,    0
 24152,127611,19850627,   84,    0
 24152,127611,19850628,   87,    0
 24152,127611,19850629,  108,    0
 24152,127611,19850630,  125,    0
 24152,127611,19850701,  130,    0
 24152,127611,19850702,  123,    0
 24152,127611,19850703,  133,    0
 24152,127611,19850704,  182,    0
 24152,127611,19850705,  145,    0
 24152,127611,19850706,  128,    0
 24152,127611,19850707,  130,    0
 24152,127611,19850708,  135,    0
 24152,127611,19850709,  126,    0
 24152,127611,19850710,  120,    0
 24152,127611,19850711,  120,    0
 24152,127611,19850712,  129,    0
 24152,127611,19850713,  150,    0
 24152,127611,19850714,  176,    0
