EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REUTTE, AUSTRIA (STAID: 24160)
Blended and updated with sources:127715 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24160,127715,19360101,   53,    0
 24160,127715,19360102,   24,    0
 24160,127715,19360103,   47,    0
 24160,127715,19360104,   21,    0
 24160,127715,19360105,   -2,    0
 24160,127715,19360106,   -6,    0
 24160,127715,19360107,   -5,    0
 24160,127715,19360108,    0,    0
 24160,127715,19360109,   -8,    0
 24160,127715,19360110,   31,    0
 24160,127715,19360111,   67,    0
 24160,127715,19360112,   31,    0
 24160,127715,19360113,   10,    0
 24160,127715,19360114,   -5,    0
 24160,127715,19360115,  -40,    0
 24160,127715,19360116,  -31,    0
 24160,127715,19360117,   16,    0
 24160,127715,19360118,  -33,    0
 24160,127715,19360119,  -50,    0
 24160,127715,19360120,   15,    0
 24160,127715,19360121,   26,    0
 24160,127715,19360122,   18,    0
 24160,127715,19360123,  -32,    0
 24160,127715,19360124,  -41,    0
 24160,127715,19360125,   29,    0
 24160,127715,19360126,   56,    0
 24160,127715,19360127,    8,    0
 24160,127715,19360128,   30,    0
 24160,127715,19360129,   25,    0
 24160,127715,19360130,    1,    0
 24160,127715,19360131,   35,    0
 24160,127715,19360201,   52,    0
 24160,127715,19360202,   19,    0
 24160,127715,19360203,    2,    0
 24160,127715,19360204,  -33,    0
 24160,127715,19360205,  -66,    0
 24160,127715,19360206,  -65,    0
 24160,127715,19360207,  -87,    0
 24160,127715,19360208, -120,    0
 24160,127715,19360209,  -86,    0
 24160,127715,19360210, -130,    0
 24160,127715,19360211, -125,    0
 24160,127715,19360212,  -56,    0
 24160,127715,19360213,  -42,    0
 24160,127715,19360214,  -36,    0
 24160,127715,19360215,   -9,    0
 24160,127715,19360216,   40,    0
 24160,127715,19360217,   18,    0
 24160,127715,19360218,   39,    0
 24160,127715,19360219,   50,    0
 24160,127715,19360220,   29,    0
 24160,127715,19360221,   30,    0
 24160,127715,19360222,   56,    0
 24160,127715,19360223,   45,    0
 24160,127715,19360224,   13,    0
 24160,127715,19360225,  -10,    0
 24160,127715,19360226,    6,    0
 24160,127715,19360227,    9,    0
 24160,127715,19360228,   -5,    0
 24160,127715,19360229,   25,    0
 24160,127715,19360301,   12,    0
 24160,127715,19360302,   -4,    0
 24160,127715,19360303,   51,    0
 24160,127715,19360304,  101,    0
 24160,127715,19360305,   56,    0
 24160,127715,19360306,    4,    0
 24160,127715,19360307,   -3,    0
 24160,127715,19360308,   24,    0
 24160,127715,19360309,   50,    0
 24160,127715,19360310,   51,    0
 24160,127715,19360311,   89,    0
 24160,127715,19360312,   57,    0
 24160,127715,19360313,   10,    0
 24160,127715,19360314,   15,    0
 24160,127715,19360315,    1,    0
 24160,127715,19360316,  -21,    0
 24160,127715,19360317,  -16,    0
 24160,127715,19360318,   55,    0
 24160,127715,19360319,   68,    0
 24160,127715,19360320,   58,    0
 24160,127715,19360321,   51,    0
 24160,127715,19360322,   64,    0
 24160,127715,19360323,  113,    0
 24160,127715,19360324,   89,    0
 24160,127715,19360325,   80,    0
 24160,127715,19360326,  117,    0
 24160,127715,19360327,   58,    0
 24160,127715,19360328,   75,    0
 24160,127715,19360329,   90,    0
 24160,127715,19360330,   90,    0
