EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SEEFELD, AUSTRIA (STAID: 24169)
Blended and updated with sources:127832 135229 911119 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24169,135229,19480501,   55,    0
 24169,135229,19480502,   68,    0
 24169,135229,19480503,   81,    0
 24169,135229,19480504,   76,    0
 24169,135229,19480505,   88,    0
 24169,135229,19480506,  113,    0
 24169,135229,19480507,  103,    0
 24169,135229,19480508,  103,    0
 24169,135229,19480509,  116,    0
 24169,135229,19480510,  128,    0
 24169,135229,19480511,  130,    0
 24169,135229,19480512,  133,    0
 24169,135229,19480513,  166,    0
 24169,135229,19480514,  142,    0
 24169,135229,19480515,  149,    0
 24169,135229,19480516,  136,    0
 24169,135229,19480517,  128,    0
 24169,135229,19480518,  103,    0
 24169,135229,19480519,   62,    0
 24169,135229,19480520,   67,    0
 24169,135229,19480521,   65,    0
 24169,135229,19480522,   85,    0
 24169,135229,19480523,  100,    0
 24169,135229,19480524,  113,    0
 24169,135229,19480525,  133,    0
 24169,135229,19480526,  138,    0
 24169,135229,19480527,  116,    0
 24169,135229,19480528,  129,    0
 24169,135229,19480529,  127,    0
 24169,135229,19480530,   75,    0
 24169,135229,19480531,   84,    0
 24169,135229,19480601,  104,    0
 24169,135229,19480602,   62,    0
 24169,135229,19480603,   61,    0
 24169,135229,19480604,   40,    0
 24169,135229,19480605,   83,    0
 24169,135229,19480606,  110,    0
 24169,135229,19480607,  139,    0
 24169,135229,19480608,  152,    0
 24169,135229,19480609,  165,    0
 24169,135229,19480610,  160,    0
 24169,135229,19480611,  167,    0
 24169,135229,19480612,  179,    0
 24169,135229,19480613,  182,    0
 24169,135229,19480614,  168,    0
 24169,135229,19480615,  181,    0
 24169,135229,19480616,  160,    0
 24169,135229,19480617,  167,    0
 24169,135229,19480618,  159,    0
 24169,135229,19480619,   89,    0
 24169,135229,19480620,   55,    0
 24169,135229,19480621,   55,    0
 24169,135229,19480622,  112,    0
 24169,135229,19480623,   65,    0
 24169,135229,19480624,   64,    0
 24169,135229,19480625,   48,    0
 24169,135229,19480626,   85,    0
 24169,135229,19480627,  118,    0
 24169,135229,19480628,  110,    0
 24169,135229,19480629,   78,    0
 24169,135229,19480630,   66,    0
 24169,135229,19480701,   56,    0
 24169,135229,19480702,   85,    0
 24169,135229,19480703,   79,    0
 24169,135229,19480704,  105,    0
 24169,135229,19480705,   96,    0
 24169,135229,19480706,   58,    0
