EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SAALBACH, AUSTRIA (STAID: 24198)
Blended and updated with sources:128196 132655 135177 911366 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24198,135177,19751101,   56,    0
 24198,135177,19751102,   62,    0
 24198,135177,19751103,   71,    0
 24198,135177,19751104,   37,    0
 24198,135177,19751105,   58,    0
 24198,135177,19751106,   39,    0
 24198,135177,19751107,   27,    0
 24198,135177,19751108,   28,    0
 24198,135177,19751109,    4,    0
 24198,135177,19751110,   20,    0
 24198,135177,19751111,   19,    0
 24198,135177,19751112,   41,    0
 24198,135177,19751113,   24,    0
 24198,135177,19751114,   28,    0
 24198,135177,19751115,   17,    0
 24198,135177,19751116,  -12,    0
 24198,135177,19751117,  -10,    0
 24198,135177,19751118,   28,    0
 24198,135177,19751119,   13,    0
 24198,135177,19751120,    1,    0
 24198,135177,19751121,  -28,    0
 24198,135177,19751122,  -66,    0
 24198,135177,19751123,  -92,    0
 24198,135177,19751124, -149,    0
 24198,135177,19751125, -100,    0
 24198,135177,19751126,  -64,    0
 24198,135177,19751127,  -45,    0
 24198,135177,19751128,  -29,    0
 24198,135177,19751129,  -10,    0
 24198,135177,19751130,   -5,    0
 24198,135177,19751201,    5,    0
 24198,135177,19751202,  -35,    0
 24198,135177,19751203,   -7,    0
 24198,135177,19751204,   -7,    0
 24198,135177,19751205,  -44,    0
 24198,135177,19751206,   -6,    0
 24198,135177,19751207,   -8,    0
