EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAZ, AUSTRIA (STAID: 24219)
Blended and updated with sources:128469 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24219,128469,19760701,  210,    0
 24219,128469,19760702,  215,    0
 24219,128469,19760703,  218,    0
 24219,128469,19760704,  213,    0
 24219,128469,19760705,  218,    0
 24219,128469,19760706,  197,    0
 24219,128469,19760707,  194,    0
 24219,128469,19760708,  200,    0
 24219,128469,19760709,  186,    0
 24219,128469,19760710,  151,    0
 24219,128469,19760711,  190,    0
 24219,128469,19760712,  203,    0
 24219,128469,19760713,  176,    0
 24219,128469,19760714,  180,    0
 24219,128469,19760715,  201,    0
 24219,128469,19760716,  224,    0
 24219,128469,19760717,  225,    0
 24219,128469,19760718,  205,    0
 24219,128469,19760719,  192,    0
 24219,128469,19760720,  167,    0
 24219,128469,19760721,  138,    0
 24219,128469,19760722,   96,    0
 24219,128469,19760723,   74,    0
 24219,128469,19760724,   97,    0
 24219,128469,19760725,   96,    0
 24219,128469,19760726,   88,    0
 24219,128469,19760727,  102,    0
 24219,128469,19760728,  137,    0
 24219,128469,19760729,  141,    0
 24219,128469,19760730,  152,    0
 24219,128469,19760731,  170,    0
 24219,128469,19760801,  110,    0
 24219,128469,19760802,  108,    0
 24219,128469,19760803,  145,    0
 24219,128469,19760804,  161,    0
 24219,128469,19760805,  145,    0
 24219,128469,19760806,  138,    0
 24219,128469,19760807,  163,    0
 24219,128469,19760808,  172,    0
