EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOCHSERFAUS, AUSTRIA (STAID: 24227)
Blended and updated with sources:128573 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24227,128573,19350101,  -29,    0
 24227,128573,19350102,  -37,    0
 24227,128573,19350103,  -61,    0
 24227,128573,19350104,  -67,    0
 24227,128573,19350105,  -63,    0
 24227,128573,19350106,  -83,    0
 24227,128573,19350107,  -92,    0
 24227,128573,19350108, -106,    0
 24227,128573,19350109, -132,    0
 24227,128573,19350110, -143,    0
 24227,128573,19350111, -119,    0
 24227,128573,19350112,  -99,    0
 24227,128573,19350113,  -96,    0
 24227,128573,19350114, -106,    0
 24227,128573,19350115,  -95,    0
 24227,128573,19350116,  -94,    0
 24227,128573,19350117,  -62,    0
 24227,128573,19350118,  -88,    0
 24227,128573,19350119, -107,    0
 24227,128573,19350120, -102,    0
 24227,128573,19350121,  -94,    0
 24227,128573,19350122,  -61,    0
 24227,128573,19350123,  -31,    0
 24227,128573,19350124,  -62,    0
 24227,128573,19350125,  -40,    0
 24227,128573,19350126,  -58,    0
 24227,128573,19350127,  -98,    0
 24227,128573,19350128,  -94,    0
 24227,128573,19350129, -103,    0
 24227,128573,19350130, -107,    0
 24227,128573,19350131,  -78,    0
 24227,128573,19350201,  -70,    0
 24227,128573,19350202,  -31,    0
 24227,128573,19350203,  -45,    0
 24227,128573,19350204,  -33,    0
 24227,128573,19350205,  -32,    0
 24227,128573,19350206,  -65,    0
 24227,128573,19350207, -105,    0
 24227,128573,19350208, -119,    0
 24227,128573,19350209, -148,    0
 24227,128573,19350210, -168,    0
 24227,128573,19350211, -140,    0
 24227,128573,19350212,  -92,    0
 24227,128573,19350213,  -72,    0
 24227,128573,19350214,  -26,    0
 24227,128573,19350215,  -41,    0
 24227,128573,19350216,  -17,    0
 24227,128573,19350217,   -2,    0
 24227,128573,19350218,  -24,    0
 24227,128573,19350219,   16,    0
 24227,128573,19350220,   12,    0
 24227,128573,19350221,   16,    0
 24227,128573,19350222,   -2,    0
 24227,128573,19350223,  -34,    0
 24227,128573,19350224,  -30,    0
 24227,128573,19350225,  -18,    0
 24227,128573,19350226,  -56,    0
 24227,128573,19350227,  -54,    0
 24227,128573,19350228,  -55,    0
 24227,128573,19350301,  -43,    0
 24227,128573,19350302,  -62,    0
 24227,128573,19350303,  -58,    0
 24227,128573,19350304,  -66,    0
 24227,128573,19350305,  -88,    0
 24227,128573,19350306,  -94,    0
 24227,128573,19350307,  -89,    0
 24227,128573,19350308, -154,    0
 24227,128573,19350309, -149,    0
 24227,128573,19350310,  -97,    0
 24227,128573,19350311,  -31,    0
 24227,128573,19350312,  -29,    0
 24227,128573,19350313,  -56,    0
 24227,128573,19350314,    4,    0
 24227,128573,19350315,  -26,    0
 24227,128573,19350316,  -16,    0
 24227,128573,19350317,  -15,    0
 24227,128573,19350318,    2,    0
 24227,128573,19350319,   -2,    0
 24227,128573,19350320,   22,    0
 24227,128573,19350321,   36,    0
 24227,128573,19350322,   11,    0
 24227,128573,19350323,  -11,    0
 24227,128573,19350324,  -12,    0
 24227,128573,19350325,  -18,    0
 24227,128573,19350326,    5,    0
 24227,128573,19350327,   47,    0
 24227,128573,19350328,   16,    0
 24227,128573,19350329,  -53,    0
 24227,128573,19350330, -101,    0
 24227,128573,19350331,  -91,    0
 24227,128573,19350401,   -1,    0
 24227,128573,19350402,  -20,    0
 24227,128573,19350403,  -79,    0
 24227,128573,19350404,  -81,    0
 24227,128573,19350405,  -88,    0
 24227,128573,19350406,  -46,    0
 24227,128573,19350407,  -17,    0
 24227,128573,19350408,   11,    0
 24227,128573,19350409,   33,    0
 24227,128573,19350410,   75,    0
 24227,128573,19350411,   69,    0
 24227,128573,19350412,   39,    0
 24227,128573,19350413,    9,    0
 24227,128573,19350414,  -35,    0
 24227,128573,19350415,  -31,    0
 24227,128573,19350416,  -28,    0
 24227,128573,19350417,  -23,    0
 24227,128573,19350418,  -43,    0
 24227,128573,19350419,  -10,    0
 24227,128573,19350420,    4,    0
 24227,128573,19350421,   30,    0
 24227,128573,19350422,   42,    0
 24227,128573,19350423,   37,    0
 24227,128573,19350424,   19,    0
 24227,128573,19350425,    4,    0
 24227,128573,19350426,   15,    0
 24227,128573,19350427,    9,    0
 24227,128573,19350428,   12,    0
 24227,128573,19350429,   32,    0
 24227,128573,19350430,   12,    0
 24227,128573,19350501,  -40,    0
 24227,128573,19350502,  -50,    0
 24227,128573,19350503,   -8,    0
 24227,128573,19350504,   36,    0
 24227,128573,19350505,   54,    0
 24227,128573,19350506,   75,    0
 24227,128573,19350507,   57,    0
 24227,128573,19350508,   11,    0
 24227,128573,19350509,   27,    0
 24227,128573,19350510,   49,    0
 24227,128573,19350511,   75,    0
 24227,128573,19350512,   52,    0
 24227,128573,19350513,   37,    0
 24227,128573,19350514,   44,    0
 24227,128573,19350515,   44,    0
 24227,128573,19350516,  -10,    0
 24227,128573,19350517,  -29,    0
 24227,128573,19350518,  -18,    0
 24227,128573,19350519,  -31,    0
 24227,128573,19350520,  -26,    0
 24227,128573,19350521,   30,    0
 24227,128573,19350522,   61,    0
 24227,128573,19350523,   61,    0
 24227,128573,19350524,   86,    0
 24227,128573,19350525,   88,    0
 24227,128573,19350526,   71,    0
 24227,128573,19350527,   64,    0
 24227,128573,19350528,   74,    0
 24227,128573,19350529,   70,    0
 24227,128573,19350530,   58,    0
 24227,128573,19350531,   66,    0
 24227,128573,19350601,   66,    0
 24227,128573,19350602,   67,    0
 24227,128573,19350603,   69,    0
 24227,128573,19350604,   74,    0
 24227,128573,19350605,   98,    0
 24227,128573,19350606,   54,    0
 24227,128573,19350607,   92,    0
 24227,128573,19350608,  130,    0
 24227,128573,19350609,  138,    0
 24227,128573,19350610,  149,    0
 24227,128573,19350611,  148,    0
 24227,128573,19350612,   95,    0
 24227,128573,19350613,  113,    0
 24227,128573,19350614,  137,    0
 24227,128573,19350615,   91,    0
 24227,128573,19350616,   53,    0
 24227,128573,19350617,   62,    0
 24227,128573,19350618,   84,    0
 24227,128573,19350619,   97,    0
 24227,128573,19350620,  101,    0
 24227,128573,19350621,   91,    0
 24227,128573,19350622,  111,    0
 24227,128573,19350623,  112,    0
 24227,128573,19350624,  134,    0
 24227,128573,19350625,  145,    0
 24227,128573,19350626,  176,    0
 24227,128573,19350627,  195,    0
 24227,128573,19350628,  180,    0
 24227,128573,19350629,  152,    0
 24227,128573,19350630,  150,    0
 24227,128573,19350701,  181,    0
 24227,128573,19350702,  137,    0
 24227,128573,19350703,  119,    0
 24227,128573,19350704,   69,    0
 24227,128573,19350705,  112,    0
 24227,128573,19350706,  114,    0
 24227,128573,19350707,   68,    0
 24227,128573,19350708,   94,    0
 24227,128573,19350709,  119,    0
 24227,128573,19350710,  127,    0
 24227,128573,19350711,  140,    0
 24227,128573,19350712,  137,    0
 24227,128573,19350713,  140,    0
 24227,128573,19350714,  132,    0
 24227,128573,19350715,  126,    0
 24227,128573,19350716,  132,    0
 24227,128573,19350717,  146,    0
 24227,128573,19350718,  134,    0
 24227,128573,19350719,  117,    0
 24227,128573,19350720,  125,    0
 24227,128573,19350721,  100,    0
 24227,128573,19350722,   74,    0
 24227,128573,19350723,   89,    0
 24227,128573,19350724,  122,    0
 24227,128573,19350725,  143,    0
 24227,128573,19350726,  134,    0
 24227,128573,19350727,  122,    0
 24227,128573,19350728,  142,    0
 24227,128573,19350729,  139,    0
 24227,128573,19350730,   76,    0
 24227,128573,19350731,   56,    0
 24227,128573,19350801,   93,    0
 24227,128573,19350802,  119,    0
 24227,128573,19350803,   88,    0
 24227,128573,19350804,   87,    0
 24227,128573,19350805,   88,    0
 24227,128573,19350806,  110,    0
 24227,128573,19350807,  124,    0
 24227,128573,19350808,  146,    0
 24227,128573,19350809,  144,    0
 24227,128573,19350810,  114,    0
 24227,128573,19350811,  124,    0
 24227,128573,19350812,  147,    0
 24227,128573,19350813,  121,    0
 24227,128573,19350814,   72,    0
 24227,128573,19350815,   30,    0
 24227,128573,19350816,   64,    0
 24227,128573,19350817,   84,    0
 24227,128573,19350818,   94,    0
 24227,128573,19350819,   97,    0
 24227,128573,19350820,   96,    0
 24227,128573,19350821,   95,    0
 24227,128573,19350822,  110,    0
 24227,128573,19350823,  126,    0
 24227,128573,19350824,  133,    0
 24227,128573,19350825,  135,    0
 24227,128573,19350826,  133,    0
 24227,128573,19350827,   79,    0
 24227,128573,19350828,   86,    0
 24227,128573,19350829,   51,    0
 24227,128573,19350830,   53,    0
 24227,128573,19350831,  103,    0
 24227,128573,19350901,  127,    0
 24227,128573,19350902,  144,    0
 24227,128573,19350903,  124,    0
 24227,128573,19350904,   84,    0
 24227,128573,19350905,   77,    0
 24227,128573,19350906,   89,    0
 24227,128573,19350907,   70,    0
 24227,128573,19350908,   57,    0
 24227,128573,19350909,   79,    0
 24227,128573,19350910,   61,    0
 24227,128573,19350911,   67,    0
 24227,128573,19350912,   88,    0
 24227,128573,19350913,  101,    0
 24227,128573,19350914,  115,    0
 24227,128573,19350915,  125,    0
 24227,128573,19350916,   81,    0
 24227,128573,19350917,   95,    0
 24227,128573,19350918,   47,    0
 24227,128573,19350919,   56,    0
 24227,128573,19350920,  142,    0
 24227,128573,19350921,  145,    0
 24227,128573,19350922,  152,    0
 24227,128573,19350923,  101,    0
 24227,128573,19350924,   52,    0
 24227,128573,19350925,   55,    0
 24227,128573,19350926,   19,    0
 24227,128573,19350927,   48,    0
 24227,128573,19350928,  118,    0
 24227,128573,19350929,  117,    0
 24227,128573,19350930,   91,    0
 24227,128573,19351001,   88,    0
 24227,128573,19351002,   28,    0
 24227,128573,19351003,   26,    0
 24227,128573,19351004,   94,    0
 24227,128573,19351005,   86,    0
 24227,128573,19351006,   59,    0
 24227,128573,19351007,   46,    0
 24227,128573,19351008,   63,    0
 24227,128573,19351009,   81,    0
 24227,128573,19351010,   92,    0
 24227,128573,19351011,   73,    0
