EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KUEHTAI, AUSTRIA (STAID: 24231)
Blended and updated with sources:128625 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24231,128625,19760601,   40,    0
 24231,128625,19760602,   24,    0
 24231,128625,19760603,   13,    0
 24231,128625,19760604,    7,    0
 24231,128625,19760605,   29,    0
 24231,128625,19760606,   43,    0
 24231,128625,19760607,   61,    0
 24231,128625,19760608,   94,    0
 24231,128625,19760609,  105,    0
 24231,128625,19760610,   66,    0
 24231,128625,19760611,   87,    0
 24231,128625,19760612,   86,    0
 24231,128625,19760613,   97,    0
 24231,128625,19760614,  104,    0
 24231,128625,19760615,  110,    0
 24231,128625,19760616,   79,    0
 24231,128625,19760617,   54,    0
 24231,128625,19760618,   80,    0
 24231,128625,19760619,  101,    0
 24231,128625,19760620,  110,    0
 24231,128625,19760621,  114,    0
 24231,128625,19760622,  123,    0
 24231,128625,19760623,  121,    0
 24231,128625,19760624,  120,    0
 24231,128625,19760625,  113,    0
 24231,128625,19760626,  123,    0
 24231,128625,19760627,  120,    0
 24231,128625,19760628,  120,    0
 24231,128625,19760629,  135,    0
 24231,128625,19760630,  146,    0
 24231,128625,19760701,  146,    0
 24231,128625,19760702,  144,    0
 24231,128625,19760703,  133,    0
 24231,128625,19760704,  124,    0
 24231,128625,19760705,  137,    0
 24231,128625,19760706,  131,    0
 24231,128625,19760707,  121,    0
 24231,128625,19760708,  121,    0
 24231,128625,19760709,   99,    0
 24231,128625,19760710,   83,    0
 24231,128625,19760711,  122,    0
 24231,128625,19760712,  137,    0
 24231,128625,19760713,   99,    0
 24231,128625,19760714,  108,    0
 24231,128625,19760715,  132,    0
 24231,128625,19760716,  151,    0
 24231,128625,19760717,  159,    0
 24231,128625,19760718,  147,    0
 24231,128625,19760719,  141,    0
 24231,128625,19760720,  105,    0
 24231,128625,19760721,   97,    0
 24231,128625,19760722,   60,    0
 24231,128625,19760723,   25,    0
 24231,128625,19760724,   52,    0
 24231,128625,19760725,   30,    0
 24231,128625,19760726,   26,    0
 24231,128625,19760727,   52,    0
 24231,128625,19760728,   85,    0
 24231,128625,19760729,   74,    0
 24231,128625,19760730,   92,    0
 24231,128625,19760731,   90,    0
 24231,128625,19760801,   32,    0
 24231,128625,19760802,   48,    0
 24231,128625,19760803,   78,    0
 24231,128625,19760804,   69,    0
 24231,128625,19760805,   51,    0
 24231,128625,19760806,   80,    0
 24231,128625,19760807,   96,    0
 24231,128625,19760808,  103,    0
 24231,128625,19760809,   67,    0
 24231,128625,19760810,   74,    0
 24231,128625,19760811,   55,    0
 24231,128625,19760812,   81,    0
 24231,128625,19760813,   90,    0
 24231,128625,19760814,   82,    0
 24231,128625,19760815,   87,    0
 24231,128625,19760816,   74,    0
 24231,128625,19760817,   53,    0
 24231,128625,19760818,   57,    0
 24231,128625,19760819,   51,    0
 24231,128625,19760820,   45,    0
 24231,128625,19760821,   57,    0
 24231,128625,19760822,   43,    0
 24231,128625,19760823,   83,    0
 24231,128625,19760824,   90,    0
 24231,128625,19760825,   96,    0
 24231,128625,19760826,  101,    0
 24231,128625,19760827,   84,    0
 24231,128625,19760828,   83,    0
 24231,128625,19760829,  102,    0
 24231,128625,19760830,   84,    0
 24231,128625,19760831,   63,    0
 24231,128625,19760901,   47,    0
 24231,128625,19760902,   69,    0
 24231,128625,19760903,   36,    0
 24231,128625,19760904,    8,    0
 24231,128625,19760905,   11,    0
 24231,128625,19760906,   33,    0
 24231,128625,19760907,   56,    0
 24231,128625,19760908,   79,    0
 24231,128625,19760909,   77,    0
 24231,128625,19760910,   35,    0
 24231,128625,19760911,   10,    0
 24231,128625,19760912,   58,    0
 24231,128625,19760913,   86,    0
 24231,128625,19760914,   46,    0
 24231,128625,19760915,   43,    0
 24231,128625,19760916,   27,    0
 24231,128625,19760917,    7,    0
 24231,128625,19760918,   16,    0
 24231,128625,19760919,   40,    0
 24231,128625,19760920,   44,    0
 24231,128625,19760921,   40,    0
 24231,128625,19760922,   45,    0
 24231,128625,19760923,   64,    0
 24231,128625,19760924,   80,    0
 24231,128625,19760925,   96,    0
 24231,128625,19760926,   94,    0
 24231,128625,19760927,  113,    0
 24231,128625,19760928,   83,    0
 24231,128625,19760929,   78,    0
 24231,128625,19760930,   67,    0
 24231,128625,19761001,   80,    0
 24231,128625,19761002,   87,    0
 24231,128625,19761003,   64,    0
 24231,128625,19761004,   68,    0
 24231,128625,19761005,   22,    0
 24231,128625,19761006,   48,    0
 24231,128625,19761007,  109,    0
 24231,128625,19761008,  115,    0
 24231,128625,19761009,  115,    0
 24231,128625,19761010,  101,    0
 24231,128625,19761011,   89,    0
 24231,128625,19761012,   85,    0
 24231,128625,19761013,   54,    0
 24231,128625,19761014,   39,    0
 24231,128625,19761015,    5,    0
 24231,128625,19761016,    4,    0
 24231,128625,19761017,    5,    0
 24231,128625,19761018,   16,    0
 24231,128625,19761019,   10,    0
 24231,128625,19761020,   15,    0
 24231,128625,19761021,   19,    0
 24231,128625,19761022,   25,    0
 24231,128625,19761023,   65,    0
 24231,128625,19761024,   38,    0
 24231,128625,19761025,   45,    0
 24231,128625,19761026,   50,    0
 24231,128625,19761027,   53,    0
 24231,128625,19761028,   35,    0
 24231,128625,19761029,   31,    0
 24231,128625,19761030,   39,    0
 24231,128625,19761031,   10,    0
 24231,128625,19761101,   -4,    0
 24231,128625,19761102,    2,    0
 24231,128625,19761103,  -14,    0
 24231,128625,19761104,   -7,    0
 24231,128625,19761105,   17,    0
 24231,128625,19761106,   42,    0
 24231,128625,19761107,   10,    0
 24231,128625,19761108,  -34,    0
 24231,128625,19761109,  -25,    0
 24231,128625,19761110,   19,    0
 24231,128625,19761111,    5,    0
 24231,128625,19761112,  -25,    0
 24231,128625,19761113,   -5,    0
 24231,128625,19761114,  -28,    0
 24231,128625,19761115,  -34,    0
 24231,128625,19761116,  -32,    0
 24231,128625,19761117,  -44,    0
 24231,128625,19761118,  -64,    0
 24231,128625,19761119,  -56,    0
 24231,128625,19761120,  -80,    0
 24231,128625,19761121,  -66,    0
 24231,128625,19761122,  -54,    0
 24231,128625,19761123,  -84,    0
 24231,128625,19761124,  -82,    0
 24231,128625,19761125,  -50,    0
 24231,128625,19761126,  -45,    0
 24231,128625,19761127,  -21,    0
 24231,128625,19761128,  -31,    0
 24231,128625,19761129,  -14,    0
 24231,128625,19761130,   -2,    0
 24231,128625,19761201,  -29,    0
 24231,128625,19761202,  -43,    0
 24231,128625,19761203,  -78,    0
 24231,128625,19761204,  -85,    0
 24231,128625,19761205,  -96,    0
 24231,128625,19761206,  -89,    0
 24231,128625,19761207,  -48,    0
 24231,128625,19761208,  -46,    0
 24231,128625,19761209,  -37,    0
 24231,128625,19761210,  -74,    0
 24231,128625,19761211, -112,    0
 24231,128625,19761212, -107,    0
 24231,128625,19761213, -127,    0
 24231,128625,19761214, -137,    0
 24231,128625,19761215, -117,    0
 24231,128625,19761216,  -85,    0
 24231,128625,19761217,  -55,    0
 24231,128625,19761218,  -24,    0
 24231,128625,19761219,  -20,    0
 24231,128625,19761220,  -30,    0
 24231,128625,19761221,  -53,    0
 24231,128625,19761222,  -53,    0
 24231,128625,19761223,  -44,    0
 24231,128625,19761224,  -54,    0
