EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHNEIDERAU, AUSTRIA (STAID: 24243)
Blended and updated with sources:128781 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24243,128781,19610601,  131,    0
 24243,128781,19610602,  120,    0
 24243,128781,19610603,   80,    0
 24243,128781,19610604,   87,    0
 24243,128781,19610605,   98,    0
 24243,128781,19610606,  130,    0
 24243,128781,19610607,  115,    0
 24243,128781,19610608,  105,    0
 24243,128781,19610609,  115,    0
 24243,128781,19610610,  105,    0
 24243,128781,19610611,  120,    0
 24243,128781,19610612,  105,    0
 24243,128781,19610613,  125,    0
 24243,128781,19610614,   88,    0
 24243,128781,19610615,  112,    0
 24243,128781,19610616,  130,    0
 24243,128781,19610617,  140,    0
 24243,128781,19610618,  158,    0
 24243,128781,19610619,  175,    0
 24243,128781,19610620,  168,    0
 24243,128781,19610621,  184,    0
 24243,128781,19610622,  185,    0
 24243,128781,19610623,  175,    0
 24243,128781,19610624,  200,    0
 24243,128781,19610625,  205,    0
 24243,128781,19610626,  165,    0
 24243,128781,19610627,  195,    0
 24243,128781,19610628,  140,    0
 24243,128781,19610629,  175,    0
 24243,128781,19610630,  185,    0
 24243,128781,19610701,  195,    0
 24243,128781,19610702,  213,    0
 24243,128781,19610703,  235,    0
 24243,128781,19610704,  191,    0
 24243,128781,19610705,  105,    0
 24243,128781,19610706,  105,    0
 24243,128781,19610707,  128,    0
 24243,128781,19610708,  135,    0
 24243,128781,19610709,  105,    0
 24243,128781,19610710,  130,    0
 24243,128781,19610711,  178,    0
 24243,128781,19610712,  200,    0
 24243,128781,19610713,  132,    0
 24243,128781,19610714,  135,    0
 24243,128781,19610715,  140,    0
 24243,128781,19610716,   90,    0
 24243,128781,19610717,   95,    0
 24243,128781,19610718,  105,    0
 24243,128781,19610719,  120,    0
 24243,128781,19610720,  120,    0
 24243,128781,19610721,  125,    0
 24243,128781,19610722,  143,    0
 24243,128781,19610723,  100,    0
 24243,128781,19610724,  128,    0
 24243,128781,19610725,  149,    0
 24243,128781,19610726,  170,    0
 24243,128781,19610727,  190,    0
 24243,128781,19610728,  170,    0
 24243,128781,19610729,  101,    0
 24243,128781,19610730,   78,    0
 24243,128781,19610731,  120,    0
 24243,128781,19610801,  150,    0
 24243,128781,19610802,  166,    0
 24243,128781,19610803,  115,    0
 24243,128781,19610804,  140,    0
 24243,128781,19610805,  195,    0
 24243,128781,19610806,  215,    0
 24243,128781,19610807,  215,    0
 24243,128781,19610808,  200,    0
 24243,128781,19610809,  205,    0
 24243,128781,19610810,  215,    0
 24243,128781,19610811,  199,    0
 24243,128781,19610812,  105,    0
 24243,128781,19610813,   85,    0
 24243,128781,19610814,  118,    0
 24243,128781,19610815,  118,    0
 24243,128781,19610816,   85,    0
 24243,128781,19610817,   65,    0
 24243,128781,19610818,   80,    0
 24243,128781,19610819,  125,    0
 24243,128781,19610820,   93,    0
 24243,128781,19610821,  128,    0
 24243,128781,19610822,  155,    0
 24243,128781,19610823,  104,    0
 24243,128781,19610824,  136,    0
 24243,128781,19610825,  150,    0
 24243,128781,19610826,  150,    0
 24243,128781,19610827,  175,    0
 24243,128781,19610828,  180,    0
 24243,128781,19610829,  175,    0
 24243,128781,19610830,  180,    0
 24243,128781,19610831,  186,    0
 24243,128781,19610901,  175,    0
 24243,128781,19610902,  180,    0
 24243,128781,19610903,  170,    0
 24243,128781,19610904,  166,    0
 24243,128781,19610905,  154,    0
 24243,128781,19610906,  145,    0
 24243,128781,19610907,  145,    0
 24243,128781,19610908,  104,    0
 24243,128781,19610909,   83,    0
 24243,128781,19610910,  119,    0
 24243,128781,19610911,  120,    0
 24243,128781,19610912,  133,    0
 24243,128781,19610913,  135,    0
 24243,128781,19610914,  150,    0
 24243,128781,19610915,  144,    0
 24243,128781,19610916,  153,    0
 24243,128781,19610917,  180,    0
 24243,128781,19610918,  173,    0
 24243,128781,19610919,  175,    0
 24243,128781,19610920,  165,    0
 24243,128781,19610921,  172,    0
 24243,128781,19610922,  164,    0
 24243,128781,19610923,  154,    0
 24243,128781,19610924,  153,    0
 24243,128781,19610925,  140,    0
