EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOLM SAIGURN, AUSTRIA (STAID: 24248)
Blended and updated with sources:128846 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24248,128846,19951101,   57,    0
 24248,128846,19951102,   -2,    0
 24248,128846,19951103,  -28,    0
 24248,128846,19951104,  -61,    0
 24248,128846,19951105, -100,    0
 24248,128846,19951106,  -98,    0
 24248,128846,19951107,  -39,    0
 24248,128846,19951108,  -27,    0
 24248,128846,19951109,   -2,    0
 24248,128846,19951110,   30,    0
 24248,128846,19951111,   60,    0
 24248,128846,19951112,   76,    0
 24248,128846,19951113,   56,    0
 24248,128846,19951114,   34,    0
 24248,128846,19951115,   26,    0
 24248,128846,19951116,   60,    0
 24248,128846,19951117,   45,    0
 24248,128846,19951118,  -50,    0
 24248,128846,19951119,  -82,    0
 24248,128846,19951120,  -84,    0
 24248,128846,19951121,  -85,    0
 24248,128846,19951122,  -19,    0
 24248,128846,19951123,   13,    0
 24248,128846,19951124,   15,    0
 24248,128846,19951125,   19,    0
 24248,128846,19951126,   29,    0
 24248,128846,19951127,   49,    0
 24248,128846,19951128,   16,    0
 24248,128846,19951129,  -11,    0
 24248,128846,19951130,    3,    0
 24248,128846,19951201,-9999,    9
 24248,128846,19951202,-9999,    9
 24248,128846,19951203,-9999,    9
 24248,128846,19951204,-9999,    9
 24248,128846,19951205,-9999,    9
 24248,128846,19951206,-9999,    9
 24248,128846,19951207,-9999,    9
 24248,128846,19951208,-9999,    9
 24248,128846,19951209,-9999,    9
 24248,128846,19951210,-9999,    9
 24248,128846,19951211,-9999,    9
 24248,128846,19951212,-9999,    9
 24248,128846,19951213,-9999,    9
 24248,128846,19951214,-9999,    9
 24248,128846,19951215,-9999,    9
 24248,128846,19951216,-9999,    9
 24248,128846,19951217,-9999,    9
 24248,128846,19951218,-9999,    9
 24248,128846,19951219,-9999,    9
 24248,128846,19951220,-9999,    9
 24248,128846,19951221,-9999,    9
 24248,128846,19951222,-9999,    9
 24248,128846,19951223,-9999,    9
 24248,128846,19951224,-9999,    9
 24248,128846,19951225,-9999,    9
 24248,128846,19951226,-9999,    9
 24248,128846,19951227,-9999,    9
 24248,128846,19951228,-9999,    9
 24248,128846,19951229,-9999,    9
 24248,128846,19951230,-9999,    9
 24248,128846,19951231,-9999,    9
 24248,128846,19960101,-9999,    9
 24248,128846,19960102,-9999,    9
 24248,128846,19960103,-9999,    9
 24248,128846,19960104,-9999,    9
 24248,128846,19960105,-9999,    9
 24248,128846,19960106,-9999,    9
 24248,128846,19960107,-9999,    9
 24248,128846,19960108,-9999,    9
 24248,128846,19960109,-9999,    9
 24248,128846,19960110,-9999,    9
 24248,128846,19960111,   54,    0
 24248,128846,19960112,   46,    0
 24248,128846,19960113,   35,    0
 24248,128846,19960114,   16,    0
 24248,128846,19960115,    0,    0
 24248,128846,19960116,   -9,    0
 24248,128846,19960117,   -7,    0
 24248,128846,19960118,    2,    0
 24248,128846,19960119,  -12,    0
 24248,128846,19960120,  -45,    0
 24248,128846,19960121,  -38,    0
 24248,128846,19960122,  -20,    0
 24248,128846,19960123,   -8,    0
 24248,128846,19960124,   30,    0
 24248,128846,19960125,   28,    0
 24248,128846,19960126,   28,    0
 24248,128846,19960127,   -1,    0
 24248,128846,19960128,  -14,    0
 24248,128846,19960129,  -10,    0
 24248,128846,19960130,  -36,    0
 24248,128846,19960131,  -33,    0
 24248,128846,19960201,   11,    0
 24248,128846,19960202,   39,    0
 24248,128846,19960203,    4,    0
 24248,128846,19960204,  -49,    0
 24248,128846,19960205,  -89,    0
 24248,128846,19960206, -105,    0
 24248,128846,19960207,  -80,    0
 24248,128846,19960208,  -69,    0
 24248,128846,19960209,  -92,    0
 24248,128846,19960210,  -54,    0
 24248,128846,19960211,  -36,    0
 24248,128846,19960212,  -53,    0
 24248,128846,19960213,  -33,    0
 24248,128846,19960214,  -63,    0
 24248,128846,19960215,  -80,    0
 24248,128846,19960216,  -66,    0
 24248,128846,19960217,  -29,    0
 24248,128846,19960218,  -45,    0
