EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAD GASTEIN, AUSTRIA (STAID: 24249)
Blended and updated with sources:128859 133071 133084 134293 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24249,133071,19350101,   10,    0
 24249,133071,19350102,   -6,    0
 24249,133071,19350103,    2,    0
 24249,133071,19350104,  -15,    0
 24249,133071,19350105,  -17,    0
 24249,133071,19350106,  -38,    0
 24249,133071,19350107,  -60,    0
 24249,133071,19350108,  -79,    0
 24249,133071,19350109,  -83,    0
 24249,133071,19350110,  -94,    0
 24249,133071,19350111, -131,    0
 24249,133071,19350112, -134,    0
 24249,133071,19350113,  -88,    0
 24249,133071,19350114,  -90,    0
 24249,133071,19350115,  -54,    0
 24249,133071,19350116,  -90,    0
 24249,133071,19350117,  -80,    0
 24249,133071,19350118,  -60,    0
 24249,133071,19350119, -106,    0
 24249,133071,19350120, -122,    0
 24249,133071,19350121, -135,    0
 24249,133071,19350122, -117,    0
 24249,133071,19350123,  -97,    0
 24249,133071,19350124,  -55,    0
 24249,133071,19350125,  -23,    0
 24249,133071,19350126,   15,    0
 24249,133071,19350127,  -32,    0
 24249,133071,19350128,  -45,    0
 24249,133071,19350129,  -44,    0
 24249,133071,19350130,  -95,    0
 24249,133071,19350131,  -84,    0
 24249,133071,19350201,  -26,    0
 24249,133071,19350202,    3,    0
 24249,133071,19350203,    0,    0
 24249,133071,19350204,   -1,    0
 24249,133071,19350205,    5,    0
 24249,133071,19350206,  -29,    0
 24249,133071,19350207,  -60,    0
 24249,133071,19350208,  -76,    0
 24249,133071,19350209,  -95,    0
 24249,133071,19350210, -119,    0
 24249,133071,19350211, -142,    0
 24249,133071,19350212,  -69,    0
 24249,133071,19350213,  -79,    0
 24249,133071,19350214,  -36,    0
 24249,133071,19350215,  -11,    0
 24249,133071,19350216,  -11,    0
 24249,133071,19350217,   18,    0
 24249,133071,19350218,    7,    0
 24249,133071,19350219,  -15,    0
 24249,133071,19350220,  -10,    0
 24249,133071,19350221,    0,    0
 24249,133071,19350222,   20,    0
 24249,133071,19350223,   34,    0
 24249,133071,19350224,  -10,    0
 24249,133071,19350225,   18,    0
 24249,133071,19350226,   27,    0
 24249,133071,19350227,  -26,    0
 24249,133071,19350228,  -47,    0
 24249,133071,19350301,  -21,    0
 24249,133071,19350302,    0,    0
 24249,133071,19350303,   -5,    0
 24249,133071,19350304,  -14,    0
 24249,133071,19350305,  -33,    0
 24249,133071,19350306,  -40,    0
 24249,133071,19350307,  -27,    0
 24249,133071,19350308,  -85,    0
 24249,133071,19350309,  -79,    0
 24249,133071,19350310,  -57,    0
 24249,133071,19350311,  -35,    0
 24249,133071,19350312,  -17,    0
 24249,133071,19350313,  -23,    0
 24249,133071,19350314,   14,    0
 24249,133071,19350315,    9,    0
 24249,133071,19350316,   18,    0
 24249,133071,19350317,   30,    0
 24249,133071,19350318,   24,    0
 24249,133071,19350319,   57,    0
 24249,133071,19350320,   39,    0
 24249,133071,19350321,   41,    0
 24249,133071,19350322,   49,    0
 24249,133071,19350323,   22,    0
 24249,133071,19350324,   16,    0
 24249,133071,19350325,   24,    0
 24249,133071,19350326,   35,    0
 24249,133071,19350327,   61,    0
 24249,133071,19350328,   41,    0
 24249,133071,19350329,    6,    0
 24249,133071,19350330,  -49,    0
 24249,133071,19350331,  -16,    0
 24249,133071,19350401,   -3,    0
 24249,133071,19350402,   31,    0
 24249,133071,19350403,  -16,    0
 24249,133071,19350404,  -23,    0
 24249,133071,19350405,  -28,    0
 24249,133071,19350406,  -20,    0
 24249,133071,19350407,   14,    0
 24249,133071,19350408,   55,    0
 24249,133071,19350409,   54,    0
 24249,133071,19350410,   91,    0
 24249,133071,19350411,  107,    0
 24249,133071,19350412,  106,    0
 24249,133071,19350413,   62,    0
 24249,133071,19350414,   25,    0
 24249,133071,19350415,   27,    0
 24249,133071,19350416,   44,    0
 24249,133071,19350417,   45,    0
 24249,133071,19350418,   14,    0
 24249,133071,19350419,   45,    0
 24249,133071,19350420,   64,    0
 24249,133071,19350421,   86,    0
 24249,133071,19350422,  100,    0
 24249,133071,19350423,  101,    0
 24249,133071,19350424,  101,    0
 24249,133071,19350425,   72,    0
 24249,133071,19350426,   76,    0
 24249,133071,19350427,   52,    0
 24249,133071,19350428,   71,    0
 24249,133071,19350429,   75,    0
 24249,133071,19350430,   62,    0
 24249,133071,19350501,   11,    0
 24249,133071,19350502,   19,    0
 24249,133071,19350503,   42,    0
 24249,133071,19350504,   75,    0
 24249,133071,19350505,   94,    0
 24249,133071,19350506,  121,    0
 24249,133071,19350507,  130,    0
 24249,133071,19350508,   76,    0
 24249,133071,19350509,   97,    0
 24249,133071,19350510,  109,    0
 24249,133071,19350511,  131,    0
 24249,133071,19350512,  127,    0
 24249,133071,19350513,   67,    0
 24249,133071,19350514,   94,    0
 24249,133071,19350515,   93,    0
 24249,133071,19350516,   65,    0
 24249,133071,19350517,   15,    0
 24249,133071,19350518,   50,    0
 24249,133071,19350519,   35,    0
 24249,133071,19350520,   36,    0
 24249,133071,19350521,   75,    0
 24249,133071,19350522,  110,    0
 24249,133071,19350523,  116,    0
 24249,133071,19350524,  139,    0
 24249,133071,19350525,  145,    0
 24249,133071,19350526,  131,    0
 24249,133071,19350527,  124,    0
 24249,133071,19350528,  139,    0
 24249,133071,19350529,  117,    0
 24249,133071,19350530,  106,    0
 24249,133071,19350531,  111,    0
 24249,133071,19350601,  115,    0
 24249,133071,19350602,  132,    0
 24249,133071,19350603,  120,    0
 24249,133071,19350604,  130,    0
 24249,133071,19350605,  179,    0
 24249,133071,19350606,  115,    0
 24249,133071,19350607,  138,    0
 24249,133071,19350608,  171,    0
 24249,133071,19350609,  188,    0
 24249,133071,19350610,  196,    0
 24249,133071,19350611,  202,    0
 24249,133071,19350612,  159,    0
 24249,133071,19350613,  160,    0
 24249,133071,19350614,  180,    0
 24249,133071,19350615,  182,    0
 24249,133071,19350616,   87,    0
 24249,133071,19350617,  115,    0
 24249,133071,19350618,  141,    0
 24249,133071,19350619,  136,    0
 24249,133071,19350620,  121,    0
 24249,133071,19350621,  139,    0
 24249,133071,19350622,  147,    0
 24249,133071,19350623,  147,    0
 24249,133071,19350624,  174,    0
 24249,133071,19350625,  195,    0
 24249,133071,19350626,  210,    0
 24249,133071,19350627,  225,    0
 24249,133071,19350628,  226,    0
 24249,133071,19350629,  197,    0
 24249,133071,19350630,  194,    0
 24249,133071,19350701,  200,    0
 24249,133071,19350702,  205,    0
 24249,133071,19350703,  156,    0
 24249,133071,19350704,  140,    0
 24249,133071,19350705,  164,    0
 24249,133071,19350706,  158,    0
 24249,133071,19350707,  107,    0
 24249,133071,19350708,  130,    0
 24249,133071,19350709,  153,    0
 24249,133071,19350710,  177,    0
 24249,133071,19350711,  184,    0
 24249,133071,19350712,  188,    0
 24249,133071,19350713,  182,    0
 24249,133071,19350714,  181,    0
 24249,133071,19350715,  175,    0
 24249,133071,19350716,  185,    0
 24249,133071,19350717,  185,    0
 24249,133071,19350718,  190,    0
 24249,133071,19350719,  156,    0
 24249,133071,19350720,  184,    0
 24249,133071,19350721,  143,    0
 24249,133071,19350722,  121,    0
 24249,133071,19350723,  156,    0
 24249,133071,19350724,  159,    0
 24249,133071,19350725,  161,    0
 24249,133071,19350726,  165,    0
 24249,133071,19350727,  167,    0
 24249,133071,19350728,  194,    0
 24249,133071,19350729,  200,    0
 24249,133071,19350730,  150,    0
 24249,133071,19350731,   86,    0
 24249,133071,19350801,  138,    0
 24249,133071,19350802,  166,    0
 24249,133071,19350803,  170,    0
 24249,133071,19350804,  166,    0
 24249,133071,19350805,  132,    0
 24249,133071,19350806,  154,    0
 24249,133071,19350807,  170,    0
 24249,133071,19350808,  182,    0
 24249,133071,19350809,  182,    0
 24249,133071,19350810,  146,    0
 24249,133071,19350811,  176,    0
 24249,133071,19350812,  187,    0
 24249,133071,19350813,  170,    0
 24249,133071,19350814,  151,    0
 24249,133071,19350815,  100,    0
 24249,133071,19350816,  105,    0
 24249,133071,19350817,  124,    0
 24249,133071,19350818,  119,    0
 24249,133071,19350819,  121,    0
 24249,133071,19350820,  151,    0
 24249,133071,19350821,  136,    0
 24249,133071,19350822,  161,    0
 24249,133071,19350823,  156,    0
 24249,133071,19350824,  162,    0
 24249,133071,19350825,  185,    0
 24249,133071,19350826,  197,    0
 24249,133071,19350827,  156,    0
 24249,133071,19350828,  140,    0
 24249,133071,19350829,  131,    0
 24249,133071,19350830,  105,    0
 24249,133071,19350831,  134,    0
 24249,133071,19350901,  169,    0
 24249,133071,19350902,  178,    0
 24249,133071,19350903,  171,    0
 24249,133071,19350904,  140,    0
