EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KATSCHBERG, AUSTRIA (STAID: 24255)
Blended and updated with sources:128937 911349 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24255,128937,19981001,-9999,    9
 24255,128937,19981002,-9999,    9
 24255,128937,19981003,-9999,    9
 24255,128937,19981004,-9999,    9
 24255,128937,19981005,-9999,    9
 24255,128937,19981006,-9999,    9
 24255,128937,19981007,-9999,    9
 24255,128937,19981008,-9999,    9
 24255,128937,19981009,-9999,    9
 24255,128937,19981010,-9999,    9
 24255,128937,19981011,-9999,    9
 24255,128937,19981012,-9999,    9
 24255,128937,19981013,    8,    0
 24255,128937,19981014,   40,    0
 24255,128937,19981015,  102,    0
 24255,128937,19981016,   99,    0
 24255,128937,19981017,   64,    0
 24255,128937,19981018,   61,    0
 24255,128937,19981019,   19,    0
 24255,128937,19981020,    8,    0
 24255,128937,19981021,   10,    0
 24255,128937,19981022,   60,    0
 24255,128937,19981023,   74,    0
 24255,128937,19981024,   43,    0
 24255,128937,19981025,   28,    0
 24255,128937,19981026,    7,    0
 24255,128937,19981027,    3,    0
 24255,128937,19981028,   34,    0
 24255,128937,19981029,   40,    0
 24255,128937,19981030,   -2,    0
 24255,128937,19981031,    1,    0
 24255,128937,19981101,   14,    0
 24255,128937,19981102,   17,    0
 24255,128937,19981103,   27,    0
 24255,128937,19981104,   27,    0
 24255,128937,19981105,  -27,    0
 24255,128937,19981106,  -20,    0
 24255,128937,19981107,  -14,    0
 24255,128937,19981108,   12,    0
 24255,128937,19981109,   44,    0
 24255,128937,19981110,   63,    0
 24255,128937,19981111,   -5,    0
 24255,128937,19981112,  -50,    0
 24255,128937,19981113,  -26,    0
 24255,128937,19981114,  -45,    0
 24255,128937,19981115,  -40,    0
 24255,128937,19981116,  -36,    0
 24255,128937,19981117,  -67,    0
 24255,128937,19981118,  -84,    0
 24255,128937,19981119,  -88,    0
 24255,128937,19981120, -104,    0
 24255,128937,19981121, -122,    0
 24255,128937,19981122, -118,    0
 24255,128937,19981123,  -77,    0
 24255,128937,19981124,  -32,    0
 24255,128937,19981125,  -29,    0
 24255,128937,19981126,  -44,    0
 24255,128937,19981127,  -50,    0
 24255,128937,19981128,  -62,    0
 24255,128937,19981129,  -67,    0
 24255,128937,19981130,  -49,    0
 24255,128937,19981201,  -57,    0
 24255,128937,19981202,  -65,    0
 24255,128937,19981203,  -57,    0
 24255,128937,19981204,  -52,    0
 24255,128937,19981205,  -60,    0
 24255,128937,19981206,  -90,    0
 24255,128937,19981207, -103,    0
 24255,128937,19981208, -100,    0
 24255,128937,19981209,  -85,    0
 24255,128937,19981210,  -43,    0
 24255,128937,19981211,  -57,    0
 24255,128937,19981212,  -16,    0
 24255,128937,19981213,   21,    0
 24255,128937,19981214,  -12,    0
 24255,128937,19981215,   45,    0
 24255,128937,19981216,   37,    0
 24255,128937,19981217,   13,    0
 24255,128937,19981218,   28,    0
 24255,128937,19981219,   10,    0
 24255,128937,19981220,  -25,    0
 24255,128937,19981221,  -67,    0
 24255,128937,19981222,  -88,    0
 24255,128937,19981223,  -66,    0
 24255,128937,19981224,  -74,    0
 24255,128937,19981225,  -47,    0
 24255,128937,19981226,  -19,    0
 24255,128937,19981227,   11,    0
 24255,128937,19981228,   11,    0
 24255,128937,19981229,   -2,    0
 24255,128937,19981230,  -24,    0
 24255,128937,19981231,  -36,    0
 24255,128937,19990101,  -19,    0
 24255,128937,19990102,  -12,    0
 24255,128937,19990103,  -21,    0
 24255,128937,19990104,    6,    0
 24255,128937,19990105,   52,    0
 24255,128937,19990106,   69,    0
 24255,128937,19990107,   65,    0
 24255,128937,19990108,   16,    0
 24255,128937,19990109,  -29,    0
 24255,128937,19990110,  -63,    0
 24255,128937,19990111,  -49,    0
 24255,128937,19990112,  -54,    0
 24255,128937,19990113,  -64,    0
 24255,128937,19990114,  -63,    0
 24255,128937,19990115,  -49,    0
 24255,128937,19990116,  -14,    0
 24255,128937,19990117,  -13,    0
 24255,128937,19990118,   29,    0
 24255,128937,19990119,   13,    0
 24255,128937,19990120,   22,    0
 24255,128937,19990121,    5,    0
 24255,128937,19990122,   -2,    0
 24255,128937,19990123,  -11,    0
 24255,128937,19990124,    4,    0
 24255,128937,19990125,   18,    0
 24255,128937,19990126,   13,    0
 24255,128937,19990127,  -35,    0
 24255,128937,19990128,  -57,    0
 24255,128937,19990129,  -94,    0
 24255,128937,19990130, -152,    0
 24255,128937,19990131, -131,    0
 24255,128937,19990201, -101,    0
 24255,128937,19990202,  -41,    0
 24255,128937,19990203,   -6,    0
 24255,128937,19990204,   16,    0
 24255,128937,19990205,    7,    0
 24255,128937,19990206,  -57,    0
 24255,128937,19990207,  -57,    0
 24255,128937,19990208,  -88,    0
 24255,128937,19990209, -102,    0
 24255,128937,19990210,  -90,    0
 24255,128937,19990211, -128,    0
 24255,128937,19990212, -136,    0
 24255,128937,19990213, -120,    0
 24255,128937,19990214,  -89,    0
 24255,128937,19990215,  -72,    0
 24255,128937,19990216,  -50,    0
 24255,128937,19990217,  -63,    0
 24255,128937,19990218,  -98,    0
 24255,128937,19990219,  -33,    0
 24255,128937,19990220,   16,    0
 24255,128937,19990221,    3,    0
 24255,128937,19990222,  -46,    0
 24255,128937,19990223,  -85,    0
 24255,128937,19990224,  -77,    0
 24255,128937,19990225,  -73,    0
 24255,128937,19990226,  -19,    0
 24255,128937,19990227,   41,    0
 24255,128937,19990228,   35,    0
 24255,128937,19990301,   15,    0
 24255,128937,19990302,   39,    0
 24255,128937,19990303,   24,    0
 24255,128937,19990304,    1,    0
 24255,128937,19990305,  -21,    0
 24255,128937,19990306,  -32,    0
 24255,128937,19990307,  -50,    0
 24255,128937,19990308,  -61,    0
 24255,128937,19990309,  -30,    0
 24255,128937,19990310,    5,    0
 24255,128937,19990311,   16,    0
 24255,128937,19990312,   43,    0
 24255,128937,19990313,   64,    0
 24255,128937,19990314,   58,    0
 24255,128937,19990315,   45,    0
 24255,128937,19990316,   12,    0
 24255,128937,19990317,  -42,    0
 24255,128937,19990318,  -63,    0
 24255,128937,19990319,  -44,    0
 24255,128937,19990320,  -40,    0
 24255,128937,19990321,  -25,    0
 24255,128937,19990322,  -27,    0
 24255,128937,19990323,  -13,    0
 24255,128937,19990324,   30,    0
 24255,128937,19990325,   28,    0
 24255,128937,19990326,   23,    0
 24255,128937,19990327,    6,    0
 24255,128937,19990328,    7,    0
 24255,128937,19990329,   27,    0
 24255,128937,19990330,   21,    0
 24255,128937,19990331,   29,    0
 24255,128937,19990401,   38,    0
 24255,128937,19990402,   37,    0
 24255,128937,19990403,   58,    0
 24255,128937,19990404,   59,    0
 24255,128937,19990405,   42,    0
 24255,128937,19990406,   62,    0
 24255,128937,19990407,   47,    0
 24255,128937,19990408,    1,    0
 24255,128937,19990409,   11,    0
 24255,128937,19990410,   40,    0
 24255,128937,19990411,   51,    0
 24255,128937,19990412,   14,    0
 24255,128937,19990413,    6,    0
 24255,128937,19990414,   -8,    0
 24255,128937,19990415,   15,    0
 24255,128937,19990416,   14,    0
 24255,128937,19990417,  -10,    0
 24255,128937,19990418,  -12,    0
 24255,128937,19990419,   -9,    0
 24255,128937,19990420,   -2,    0
 24255,128937,19990421,   19,    0
 24255,128937,19990422,   35,    0
 24255,128937,19990423,   45,    0
 24255,128937,19990424,   54,    0
 24255,128937,19990425,   65,    0
 24255,128937,19990426,   62,    0
 24255,128937,19990427,   62,    0
 24255,128937,19990428,   65,    0
 24255,128937,19990429,   85,    0
 24255,128937,19990430,   79,    0
 24255,128937,19990501,   76,    0
 24255,128937,19990502,   94,    0
 24255,128937,19990503,  103,    0
 24255,128937,19990504,   92,    0
 24255,128937,19990505,   63,    0
 24255,128937,19990506,   32,    0
 24255,128937,19990507,   43,    0
 24255,128937,19990508,   90,    0
 24255,128937,19990509,   79,    0
 24255,128937,19990510,  101,    0
 24255,128937,19990511,  100,    0
 24255,128937,19990512,   87,    0
 24255,128937,19990513,  102,    0
 24255,128937,19990514,   95,    0
 24255,128937,19990515,   67,    0
 24255,128937,19990516,   47,    0
 24255,128937,19990517,   56,    0
 24255,128937,19990518,   93,    0
 24255,128937,19990519,   59,    0
 24255,128937,19990520,   90,    0
 24255,128937,19990521,   52,    0
 24255,128937,19990522,   67,    0
 24255,128937,19990523,   74,    0
 24255,128937,19990524,   97,    0
 24255,128937,19990525,  117,    0
 24255,128937,19990526,  104,    0
 24255,128937,19990527,  124,    0
 24255,128937,19990528,  134,    0
 24255,128937,19990529,  127,    0
 24255,128937,19990530,  152,    0
 24255,128937,19990531,  158,    0
 24255,128937,19990601,  142,    0
 24255,128937,19990602,  161,    0
 24255,128937,19990603,  128,    0
 24255,128937,19990604,   93,    0
 24255,128937,19990605,   94,    0
 24255,128937,19990606,  125,    0
 24255,128937,19990607,  129,    0
 24255,128937,19990608,   91,    0
 24255,128937,19990609,   90,    0
 24255,128937,19990610,  109,    0
 24255,128937,19990611,   96,    0
 24255,128937,19990612,  101,    0
 24255,128937,19990613,   97,    0
 24255,128937,19990614,  117,    0
 24255,128937,19990615,  113,    0
 24255,128937,19990616,   97,    0
 24255,128937,19990617,  112,    0
 24255,128937,19990618,  105,    0
 24255,128937,19990619,   70,    0
 24255,128937,19990620,   79,    0
 24255,128937,19990621,   68,    0
 24255,128937,19990622,   27,    0
 24255,128937,19990623,   67,    0
 24255,128937,19990624,   78,    0
 24255,128937,19990625,  109,    0
 24255,128937,19990626,  127,    0
 24255,128937,19990627,  121,    0
 24255,128937,19990628,  116,    0
 24255,128937,19990629,  121,    0
 24255,128937,19990630,  137,    0
 24255,128937,19990701,  132,    0
 24255,128937,19990702,  152,    0
 24255,128937,19990703,  176,    0
 24255,128937,19990704,  193,    0
 24255,128937,19990705,  179,    0
 24255,128937,19990706,  165,    0
 24255,128937,19990707,  116,    0
 24255,128937,19990708,   98,    0
 24255,128937,19990709,  100,    0
 24255,128937,19990710,  104,    0
 24255,128937,19990711,  109,    0
 24255,128937,19990712,  123,    0
 24255,128937,19990713,  150,    0
 24255,128937,19990714,  126,    0
 24255,128937,19990715,  123,    0
 24255,128937,19990716,  116,    0
 24255,128937,19990717,  132,    0
 24255,128937,19990718,  144,    0
 24255,128937,19990719,  167,    0
 24255,128937,19990720,  165,    0
 24255,128937,19990721,  159,    0
 24255,128937,19990722,  115,    0
 24255,128937,19990723,   71,    0
 24255,128937,19990724,   91,    0
 24255,128937,19990725,   94,    0
 24255,128937,19990726,  139,    0
 24255,128937,19990727,  161,    0
 24255,128937,19990728,  142,    0
 24255,128937,19990729,  123,    0
 24255,128937,19990730,  112,    0
 24255,128937,19990731,  110,    0
 24255,128937,19990801,  115,    0
 24255,128937,19990802,  119,    0
 24255,128937,19990803,  131,    0
 24255,128937,19990804,  130,    0
 24255,128937,19990805,  158,    0
 24255,128937,19990806,  160,    0
 24255,128937,19990807,  165,    0
 24255,128937,19990808,  143,    0
 24255,128937,19990809,  173,    0
 24255,128937,19990810,  137,    0
 24255,128937,19990811,  116,    0
 24255,128937,19990812,  119,    0
 24255,128937,19990813,   78,    0
 24255,128937,19990814,   92,    0
 24255,128937,19990815,  126,    0
 24255,128937,19990816,  127,    0
 24255,128937,19990817,   98,    0
 24255,128937,19990818,  109,    0
 24255,128937,19990819,  133,    0
 24255,128937,19990820,  118,    0
 24255,128937,19990821,   89,    0
 24255,128937,19990822,   98,    0
 24255,128937,19990823,  108,    0
 24255,128937,19990824,  117,    0
 24255,128937,19990825,  137,    0
 24255,128937,19990826,  151,    0
 24255,128937,19990827,  128,    0
 24255,128937,19990828,  128,    0
 24255,128937,19990829,  102,    0
 24255,128937,19990830,   92,    0
 24255,128937,19990831,  105,    0
 24255,128937,19990901,   94,    0
 24255,128937,19990902,   61,    0
 24255,128937,19990903,   63,    0
 24255,128937,19990904,   94,    0
 24255,128937,19990905,   97,    0
 24255,128937,19990906,  115,    0
