EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GUESSING, AUSTRIA (STAID: 24277)
Blended and updated with sources:129210 129236 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24277,129210,19480101,  -66,    0
 24277,129210,19480102,  -48,    0
 24277,129210,19480103,  -15,    0
 24277,129210,19480104,   35,    0
 24277,129210,19480105,    6,    0
 24277,129210,19480106,   44,    0
 24277,129210,19480107,   40,    0
 24277,129210,19480108,   47,    0
 24277,129210,19480109,   24,    0
 24277,129210,19480110,   17,    0
 24277,129210,19480111,   33,    0
 24277,129210,19480112,    6,    0
 24277,129210,19480113,   37,    0
 24277,129210,19480114,   76,    0
 24277,129210,19480115,   30,    0
 24277,129210,19480116,   10,    0
 24277,129210,19480117,   -1,    0
 24277,129210,19480118,   -1,    0
 24277,129210,19480119,    8,    0
 24277,129210,19480120,    8,    0
 24277,129210,19480121,   -2,    0
 24277,129210,19480122,  -34,    0
 24277,129210,19480123,  -32,    0
 24277,129210,19480124,   -2,    0
 24277,129210,19480125,   30,    0
 24277,129210,19480126,   51,    0
 24277,129210,19480127,   28,    0
 24277,129210,19480128,   28,    0
 24277,129210,19480129,   50,    0
 24277,129210,19480130,   50,    0
 24277,129210,19480131,   58,    0
 24277,129210,19480201,   26,    0
 24277,129210,19480202,   52,    0
 24277,129210,19480203,   52,    0
 24277,129210,19480204,   54,    0
 24277,129210,19480205,   47,    0
 24277,129210,19480206,   40,    0
 24277,129210,19480207,   29,    0
 24277,129210,19480208,   47,    0
 24277,129210,19480209,   58,    0
 24277,129210,19480210,   65,    0
 24277,129210,19480211,   26,    0
 24277,129210,19480212,   28,    0
 24277,129210,19480213,   37,    0
 24277,129210,19480214,    6,    0
 24277,129210,19480215,    0,    0
 24277,129210,19480216,   -3,    0
 24277,129210,19480217,  -29,    0
 24277,129210,19480218,  -38,    0
 24277,129210,19480219,  -89,    0
 24277,129210,19480220,  -81,    0
 24277,129210,19480221,  -50,    0
 24277,129210,19480222,  -27,    0
 24277,129210,19480223,    7,    0
 24277,129210,19480224,  -81,    0
 24277,129210,19480225,  -79,    0
 24277,129210,19480226,  -97,    0
 24277,129210,19480227,  -71,    0
 24277,129210,19480228,  -74,    0
 24277,129210,19480229,  -65,    0
 24277,129210,19480301,  -58,    0
 24277,129210,19480302,  -30,    0
 24277,129210,19480303,  -11,    0
 24277,129210,19480304,    0,    0
 24277,129210,19480305,   17,    0
 24277,129210,19480306,   17,    0
 24277,129210,19480307,   31,    0
 24277,129210,19480308,   68,    0
 24277,129210,19480309,   93,    0
 24277,129210,19480310,  120,    0
 24277,129210,19480311,   81,    0
 24277,129210,19480312,   50,    0
 24277,129210,19480313,   45,    0
 24277,129210,19480314,   39,    0
 24277,129210,19480315,   47,    0
 24277,129210,19480316,   81,    0
 24277,129210,19480317,   56,    0
 24277,129210,19480318,   43,    0
 24277,129210,19480319,   53,    0
 24277,129210,19480320,   68,    0
 24277,129210,19480321,  109,    0
 24277,129210,19480322,  113,    0
 24277,129210,19480323,   76,    0
 24277,129210,19480324,   53,    0
 24277,129210,19480325,   55,    0
 24277,129210,19480326,   71,    0
 24277,129210,19480327,   14,    0
 24277,129210,19480328,   19,    0
 24277,129210,19480329,   47,    0
 24277,129210,19480330,   67,    0
 24277,129210,19480331,   71,    0
 24277,129210,19480401,  133,    0
 24277,129210,19480402,   90,    0
 24277,129210,19480403,   69,    0
 24277,129210,19480404,   92,    0
 24277,129210,19480405,   91,    0
 24277,129210,19480406,  114,    0
 24277,129210,19480407,   76,    0
 24277,129210,19480408,   85,    0
 24277,129210,19480409,   51,    0
 24277,129210,19480410,   95,    0
 24277,129210,19480411,   65,    0
 24277,129210,19480412,  122,    0
 24277,129210,19480413,  120,    0
 24277,129210,19480414,   89,    0
 24277,129210,19480415,   89,    0
 24277,129210,19480416,  116,    0
 24277,129210,19480417,  123,    0
 24277,129210,19480418,  132,    0
 24277,129210,19480419,  133,    0
 24277,129210,19480420,  133,    0
 24277,129210,19480421,  110,    0
 24277,129210,19480422,  125,    0
 24277,129210,19480423,  130,    0
 24277,129210,19480424,  133,    0
 24277,129210,19480425,  115,    0
 24277,129210,19480426,   70,    0
 24277,129210,19480427,  110,    0
 24277,129210,19480428,  113,    0
 24277,129210,19480429,  115,    0
 24277,129210,19480430,  156,    0
 24277,129210,19480501,  125,    0
 24277,129210,19480502,  100,    0
 24277,129210,19480503,  120,    0
 24277,129210,19480504,  135,    0
 24277,129210,19480505,  165,    0
 24277,129210,19480506,  150,    0
 24277,129210,19480507,  175,    0
 24277,129210,19480508,  181,    0
 24277,129210,19480509,  183,    0
 24277,129210,19480510,  181,    0
 24277,129210,19480511,  178,    0
 24277,129210,19480512,  190,    0
 24277,129210,19480513,  194,    0
 24277,129210,19480514,  200,    0
 24277,129210,19480515,  191,    0
 24277,129210,19480516,  195,    0
 24277,129210,19480517,  168,    0
 24277,129210,19480518,  140,    0
 24277,129210,19480519,  124,    0
 24277,129210,19480520,  101,    0
 24277,129210,19480521,  114,    0
 24277,129210,19480522,  130,    0
 24277,129210,19480523,  140,    0
 24277,129210,19480524,  147,    0
 24277,129210,19480525,  149,    0
 24277,129210,19480526,  168,    0
 24277,129210,19480527,  157,    0
 24277,129210,19480528,  149,    0
 24277,129210,19480529,  178,    0
 24277,129210,19480530,  145,    0
 24277,129210,19480531,  120,    0
 24277,129210,19480601,  139,    0
 24277,129210,19480602,  136,    0
 24277,129210,19480603,  127,    0
 24277,129210,19480604,  106,    0
 24277,129210,19480605,  132,    0
 24277,129210,19480606,  150,    0
 24277,129210,19480607,  195,    0
 24277,129210,19480608,  189,    0
 24277,129210,19480609,  206,    0
 24277,129210,19480610,  202,    0
 24277,129210,19480611,  210,    0
 24277,129210,19480612,  219,    0
 24277,129210,19480613,  185,    0
 24277,129210,19480614,  172,    0
 24277,129210,19480615,  164,    0
 24277,129210,19480616,  180,    0
 24277,129210,19480617,  216,    0
 24277,129210,19480618,  200,    0
 24277,129210,19480619,  215,    0
 24277,129210,19480620,  185,    0
 24277,129210,19480621,  165,    0
 24277,129210,19480622,  146,    0
 24277,129210,19480623,  146,    0
 24277,129210,19480624,  155,    0
 24277,129210,19480625,  132,    0
 24277,129210,19480626,  134,    0
 24277,129210,19480627,  135,    0
 24277,129210,19480628,  157,    0
 24277,129210,19480629,  150,    0
 24277,129210,19480630,  151,    0
 24277,129210,19480701,  133,    0
 24277,129210,19480702,  145,    0
 24277,129210,19480703,  130,    0
 24277,129210,19480704,  147,    0
 24277,129210,19480705,  135,    0
 24277,129210,19480706,  132,    0
 24277,129210,19480707,  167,    0
 24277,129210,19480708,  176,    0
 24277,129210,19480709,  147,    0
 24277,129210,19480710,  115,    0
 24277,129210,19480711,  124,    0
 24277,129210,19480712,  154,    0
 24277,129210,19480713,  175,    0
 24277,129210,19480714,  205,    0
 24277,129210,19480715,  192,    0
 24277,129210,19480716,  155,    0
 24277,129210,19480717,  158,    0
 24277,129210,19480718,  151,    0
 24277,129210,19480719,  186,    0
 24277,129210,19480720,  190,    0
 24277,129210,19480721,  201,    0
 24277,129210,19480722,  213,    0
 24277,129210,19480723,  224,    0
 24277,129210,19480724,  210,    0
 24277,129210,19480725,  219,    0
 24277,129210,19480726,  226,    0
 24277,129210,19480727,  228,    0
 24277,129210,19480728,  215,    0
 24277,129210,19480729,  192,    0
 24277,129210,19480730,  195,    0
 24277,129210,19480731,  217,    0
 24277,129210,19480801,  222,    0
 24277,129210,19480802,  210,    0
 24277,129210,19480803,  220,    0
 24277,129210,19480804,  220,    0
 24277,129210,19480805,  194,    0
 24277,129210,19480806,  188,    0
 24277,129210,19480807,  204,    0
 24277,129210,19480808,  220,    0
 24277,129210,19480809,  214,    0
 24277,129210,19480810,  212,    0
 24277,129210,19480811,  194,    0
 24277,129210,19480812,  193,    0
 24277,129210,19480813,  166,    0
 24277,129210,19480814,  127,    0
 24277,129210,19480815,  186,    0
 24277,129210,19480816,  168,    0
 24277,129210,19480817,  168,    0
 24277,129210,19480818,  182,    0
 24277,129210,19480819,  192,    0
 24277,129210,19480820,  160,    0
 24277,129210,19480821,  143,    0
 24277,129210,19480822,  185,    0
 24277,129210,19480823,  203,    0
 24277,129210,19480824,  185,    0
 24277,129210,19480825,  222,    0
 24277,129210,19480826,  219,    0
 24277,129210,19480827,  174,    0
 24277,129210,19480828,  177,    0
 24277,129210,19480829,  152,    0
 24277,129210,19480830,  157,    0
 24277,129210,19480831,  140,    0
 24277,129210,19480901,  147,    0
 24277,129210,19480902,  140,    0
 24277,129210,19480903,  187,    0
 24277,129210,19480904,  187,    0
 24277,129210,19480905,  206,    0
 24277,129210,19480906,  176,    0
 24277,129210,19480907,  153,    0
 24277,129210,19480908,  166,    0
 24277,129210,19480909,  186,    0
 24277,129210,19480910,  193,    0
 24277,129210,19480911,  179,    0
 24277,129210,19480912,  172,    0
 24277,129210,19480913,  169,    0
 24277,129210,19480914,  166,    0
 24277,129210,19480915,  171,    0
 24277,129210,19480916,  177,    0
 24277,129210,19480917,  154,    0
 24277,129210,19480918,  155,    0
 24277,129210,19480919,  131,    0
 24277,129210,19480920,  138,    0
 24277,129210,19480921,   84,    0
 24277,129210,19480922,  104,    0
 24277,129210,19480923,  100,    0
 24277,129210,19480924,   95,    0
 24277,129210,19480925,  113,    0
 24277,129210,19480926,  129,    0
 24277,129210,19480927,  143,    0
 24277,129210,19480928,  156,    0
 24277,129210,19480929,  155,    0
 24277,129210,19480930,  166,    0
 24277,129210,19481001,  141,    0
 24277,129210,19481002,  107,    0
 24277,129210,19481003,  143,    0
 24277,129210,19481004,  138,    0
 24277,129210,19481005,   86,    0
 24277,129210,19481006,   55,    0
 24277,129210,19481007,   66,    0
 24277,129210,19481008,   97,    0
 24277,129210,19481009,  106,    0
 24277,129210,19481010,   74,    0
 24277,129210,19481011,   30,    0
 24277,129210,19481012,   67,    0
 24277,129210,19481013,   54,    0
 24277,129210,19481014,   86,    0
 24277,129210,19481015,  104,    0
 24277,129210,19481016,  137,    0
 24277,129210,19481017,  131,    0
 24277,129210,19481018,  157,    0
 24277,129210,19481019,  124,    0
 24277,129210,19481020,   78,    0
 24277,129210,19481021,   74,    0
 24277,129210,19481022,   71,    0
 24277,129210,19481023,   80,    0
 24277,129210,19481024,  119,    0
 24277,129210,19481025,  107,    0
 24277,129210,19481026,  125,    0
 24277,129210,19481027,  133,    0
 24277,129210,19481028,  134,    0
 24277,129210,19481029,   89,    0
 24277,129210,19481030,   72,    0
 24277,129210,19481031,  102,    0
 24277,129210,19481101,   94,    0
 24277,129210,19481102,   93,    0
 24277,129210,19481103,   90,    0
 24277,129210,19481104,  109,    0
 24277,129210,19481105,   89,    0
 24277,129210,19481106,  109,    0
 24277,129210,19481107,  103,    0
 24277,129210,19481108,   90,    0
 24277,129210,19481109,   29,    0
 24277,129210,19481110,    0,    0
 24277,129210,19481111,   24,    0
 24277,129210,19481112,   31,    0
 24277,129210,19481113,    5,    0
 24277,129210,19481114,   20,    0
 24277,129210,19481115,   25,    0
 24277,129210,19481116,   31,    0
 24277,129210,19481117,   36,    0
 24277,129210,19481118,   61,    0
 24277,129210,19481119,   52,    0
 24277,129210,19481120,   27,    0
 24277,129210,19481121,   10,    0
 24277,129210,19481122,   22,    0
 24277,129210,19481123,   41,    0
 24277,129210,19481124,   23,    0
 24277,129210,19481125,    0,    0
 24277,129210,19481126,  -10,    0
 24277,129210,19481127,  -38,    0
 24277,129210,19481128,   26,    0
