EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NAUDERS, AUSTRIA (STAID: 24291)
Blended and updated with sources:129392 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24291,129392,19580601,  133,    0
 24291,129392,19580602,  148,    0
 24291,129392,19580603,  150,    0
 24291,129392,19580604,  125,    0
 24291,129392,19580605,  108,    0
 24291,129392,19580606,  120,    0
 24291,129392,19580607,  134,    0
 24291,129392,19580608,  144,    0
 24291,129392,19580609,  153,    0
 24291,129392,19580610,  100,    0
 24291,129392,19580611,   76,    0
 24291,129392,19580612,   98,    0
 24291,129392,19580613,   72,    0
 24291,129392,19580614,   87,    0
 24291,129392,19580615,  113,    0
 24291,129392,19580616,  156,    0
 24291,129392,19580617,  144,    0
 24291,129392,19580618,  158,    0
 24291,129392,19580619,  139,    0
 24291,129392,19580620,  136,    0
 24291,129392,19580621,  125,    0
 24291,129392,19580622,  115,    0
 24291,129392,19580623,   94,    0
 24291,129392,19580624,   91,    0
 24291,129392,19580625,  120,    0
 24291,129392,19580626,  118,    0
 24291,129392,19580627,   63,    0
 24291,129392,19580628,   69,    0
 24291,129392,19580629,  135,    0
 24291,129392,19580630,  142,    0
 24291,129392,19580701,  164,    0
 24291,129392,19580702,  127,    0
 24291,129392,19580703,   92,    0
 24291,129392,19580704,   63,    0
 24291,129392,19580705,  114,    0
 24291,129392,19580706,   94,    0
 24291,129392,19580707,  135,    0
 24291,129392,19580708,  154,    0
 24291,129392,19580709,  158,    0
 24291,129392,19580710,  170,    0
 24291,129392,19580711,  160,    0
 24291,129392,19580712,  168,    0
 24291,129392,19580713,  176,    0
 24291,129392,19580714,  187,    0
 24291,129392,19580715,  169,    0
 24291,129392,19580716,  181,    0
 24291,129392,19580717,  134,    0
 24291,129392,19580718,  142,    0
 24291,129392,19580719,  173,    0
 24291,129392,19580720,  167,    0
 24291,129392,19580721,  162,    0
 24291,129392,19580722,  115,    0
 24291,129392,19580723,  102,    0
 24291,129392,19580724,  108,    0
 24291,129392,19580725,  132,    0
 24291,129392,19580726,  146,    0
 24291,129392,19580727,  175,    0
 24291,129392,19580728,  171,    0
 24291,129392,19580729,  190,    0
 24291,129392,19580730,  190,    0
 24291,129392,19580731,  200,    0
 24291,129392,19580801,  206,    0
 24291,129392,19580802,  203,    0
 24291,129392,19580803,  133,    0
 24291,129392,19580804,  141,    0
 24291,129392,19580805,  143,    0
 24291,129392,19580806,  168,    0
 24291,129392,19580807,  116,    0
 24291,129392,19580808,  128,    0
 24291,129392,19580809,  174,    0
 24291,129392,19580810,  192,    0
 24291,129392,19580811,  176,    0
 24291,129392,19580812,  140,    0
 24291,129392,19580813,  134,    0
 24291,129392,19580814,  151,    0
 24291,129392,19580815,  193,    0
 24291,129392,19580816,  160,    0
 24291,129392,19580817,  172,    0
 24291,129392,19580818,  171,    0
 24291,129392,19580819,  167,    0
 24291,129392,19580820,  121,    0
 24291,129392,19580821,  107,    0
 24291,129392,19580822,  112,    0
 24291,129392,19580823,  100,    0
 24291,129392,19580824,  114,    0
 24291,129392,19580825,  112,    0
 24291,129392,19580826,   83,    0
 24291,129392,19580827,  102,    0
 24291,129392,19580828,  152,    0
 24291,129392,19580829,  183,    0
 24291,129392,19580830,  189,    0
 24291,129392,19580831,  173,    0
 24291,129392,19580901,  161,    0
 24291,129392,19580902,  149,    0
 24291,129392,19580903,  144,    0
 24291,129392,19580904,  142,    0
 24291,129392,19580905,  149,    0
 24291,129392,19580906,  148,    0
 24291,129392,19580907,  158,    0
 24291,129392,19580908,  163,    0
 24291,129392,19580909,  159,    0
 24291,129392,19580910,  118,    0
 24291,129392,19580911,  118,    0
 24291,129392,19580912,  117,    0
 24291,129392,19580913,  130,    0
 24291,129392,19580914,  142,    0
 24291,129392,19580915,  143,    0
 24291,129392,19580916,  153,    0
 24291,129392,19580917,  160,    0
 24291,129392,19580918,  130,    0
 24291,129392,19580919,  141,    0
 24291,129392,19580920,  129,    0
 24291,129392,19580921,  144,    0
 24291,129392,19580922,  103,    0
 24291,129392,19580923,   91,    0
 24291,129392,19580924,   87,    0
 24291,129392,19580925,  122,    0
 24291,129392,19580926,   96,    0
 24291,129392,19580927,   73,    0
 24291,129392,19580928,   77,    0
 24291,129392,19580929,   85,    0
 24291,129392,19580930,   99,    0
 24291,129392,19581001,  115,    0
 24291,129392,19581002,   92,    0
 24291,129392,19581003,  106,    0
 24291,129392,19581004,  116,    0
 24291,129392,19581005,  110,    0
 24291,129392,19581006,   96,    0
 24291,129392,19581007,   86,    0
 24291,129392,19581008,  112,    0
 24291,129392,19581009,  116,    0
 24291,129392,19581010,  128,    0
 24291,129392,19581011,  112,    0
 24291,129392,19581012,   95,    0
 24291,129392,19581013,   53,    0
 24291,129392,19581014,   46,    0
 24291,129392,19581015,   90,    0
 24291,129392,19581016,   52,    0
 24291,129392,19581017,  -10,    0
 24291,129392,19581018,    6,    0
 24291,129392,19581019,   -3,    0
 24291,129392,19581020,   -4,    0
 24291,129392,19581021,    7,    0
 24291,129392,19581022,    2,    0
 24291,129392,19581023,   -6,    0
 24291,129392,19581024,    0,    0
 24291,129392,19581025,   25,    0
 24291,129392,19581026,   32,    0
 24291,129392,19581027,   30,    0
 24291,129392,19581028,   21,    0
 24291,129392,19581029,   37,    0
 24291,129392,19581030,   26,    0
 24291,129392,19581031,   20,    0
 24291,129392,19581101,    9,    0
 24291,129392,19581102,   -4,    0
 24291,129392,19581103,   -4,    0
 24291,129392,19581104,   28,    0
 24291,129392,19581105,   38,    0
 24291,129392,19581106,   19,    0
 24291,129392,19581107,   25,    0
 24291,129392,19581108,   14,    0
 24291,129392,19581109,   27,    0
 24291,129392,19581110,   14,    0
 24291,129392,19581111,   22,    0
 24291,129392,19581112,    7,    0
 24291,129392,19581113,    6,    0
 24291,129392,19581114,   31,    0
 24291,129392,19581115,   25,    0
 24291,129392,19581116,   18,    0
 24291,129392,19581117,   30,    0
 24291,129392,19581118,   33,    0
 24291,129392,19581119,   -7,    0
 24291,129392,19581120,  -20,    0
 24291,129392,19581121,   14,    0
 24291,129392,19581122,   50,    0
 24291,129392,19581123,   45,    0
 24291,129392,19581124,   26,    0
 24291,129392,19581125,   32,    0
 24291,129392,19581126,   26,    0
 24291,129392,19581127,   21,    0
 24291,129392,19581128,   14,    0
 24291,129392,19581129,   12,    0
 24291,129392,19581130,    2,    0
 24291,129392,19581201,   -6,    0
 24291,129392,19581202,  -55,    0
 24291,129392,19581203,  -73,    0
 24291,129392,19581204,  -91,    0
 24291,129392,19581205,  -66,    0
 24291,129392,19581206,  -76,    0
 24291,129392,19581207,  -74,    0
 24291,129392,19581208,  -34,    0
 24291,129392,19581209,  -37,    0
 24291,129392,19581210,  -15,    0
 24291,129392,19581211,  -29,    0
 24291,129392,19581212,  -25,    0
 24291,129392,19581213,  -26,    0
 24291,129392,19581214,  -28,    0
 24291,129392,19581215,  -74,    0
 24291,129392,19581216,  -16,    0
