EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRUNNENKOGEL, AUSTRIA (STAID: 24299)
Blended and updated with sources:129496 911318 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24299,129496,20030701,   -1,    0
 24299,129496,20030702,  -28,    0
 24299,129496,20030703,  -23,    0
 24299,129496,20030704,  -39,    0
 24299,129496,20030705,  -35,    0
 24299,129496,20030706,  -20,    0
 24299,129496,20030707,    3,    0
 24299,129496,20030708,    7,    0
 24299,129496,20030709,   20,    0
 24299,129496,20030710,   14,    0
 24299,129496,20030711,   21,    0
 24299,129496,20030712,   33,    0
 24299,129496,20030713,   37,    0
 24299,129496,20030714,   55,    0
 24299,129496,20030715,   62,    0
 24299,129496,20030716,   58,    0
 24299,129496,20030717,   38,    0
 24299,129496,20030718,   14,    0
 24299,129496,20030719,   57,    0
 24299,129496,20030720,   65,    0
 24299,129496,20030721,   48,    0
 24299,129496,20030722,   48,    0
 24299,129496,20030723,   18,    0
 24299,129496,20030724,   19,    0
 24299,129496,20030725,   13,    0
 24299,129496,20030726,   43,    0
 24299,129496,20030727,   62,    0
 24299,129496,20030728,   24,    0
 24299,129496,20030729,  -21,    0
 24299,129496,20030730,   -2,    0
 24299,129496,20030731,   -5,    0
 24299,129496,20030801,   13,    0
 24299,129496,20030802,   49,    0
 24299,129496,20030803,   76,    0
 24299,129496,20030804,   86,    0
 24299,129496,20030805,   90,    0
 24299,129496,20030806,   58,    0
 24299,129496,20030807,   46,    0
 24299,129496,20030808,   48,    0
 24299,129496,20030809,   47,    0
 24299,129496,20030810,   55,    0
 24299,129496,20030811,   72,    0
 24299,129496,20030812,   69,    0
 24299,129496,20030813,   83,    0
 24299,129496,20030814,   52,    0
 24299,129496,20030815,   11,    0
 24299,129496,20030816,   31,    0
 24299,129496,20030817,   48,    0
 24299,129496,20030818,   27,    0
 24299,129496,20030819,   22,    0
