EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DOELLACH-SAGRITZ, AUSTRIA (STAID: 24304)
Blended and updated with sources:129561 129574 135788 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24304,135788,19260801,  155,    0
 24304,135788,19260802,  125,    0
 24304,135788,19260803,  142,    0
 24304,135788,19260804,  123,    0
 24304,135788,19260805,  120,    0
 24304,135788,19260806,  126,    0
 24304,135788,19260807,  119,    0
 24304,135788,19260808,  106,    0
 24304,135788,19260809,  145,    0
 24304,135788,19260810,  131,    0
 24304,135788,19260811,  140,    0
 24304,135788,19260812,  121,    0
 24304,135788,19260813,  147,    0
 24304,135788,19260814,  145,    0
 24304,135788,19260815,  165,    0
 24304,135788,19260816,  185,    0
 24304,135788,19260817,  186,    0
 24304,135788,19260818,  175,    0
 24304,135788,19260819,  188,    0
 24304,135788,19260820,  175,    0
 24304,135788,19260821,  175,    0
 24304,135788,19260822,  206,    0
 24304,135788,19260823,  171,    0
 24304,135788,19260824,  152,    0
 24304,135788,19260825,  162,    0
 24304,135788,19260826,  185,    0
 24304,135788,19260827,  177,    0
 24304,135788,19260828,  152,    0
 24304,135788,19260829,  161,    0
 24304,135788,19260830,  150,    0
 24304,135788,19260831,  153,    0
 24304,135788,19260901,  180,    0
 24304,135788,19260902,  177,    0
 24304,135788,19260903,  134,    0
 24304,135788,19260904,  163,    0
 24304,135788,19260905,  155,    0
 24304,135788,19260906,  174,    0
 24304,135788,19260907,  166,    0
 24304,135788,19260908,  179,    0
 24304,135788,19260909,  157,    0
 24304,135788,19260910,  157,    0
 24304,135788,19260911,  160,    0
 24304,135788,19260912,  160,    0
 24304,135788,19260913,  145,    0
 24304,135788,19260914,  154,    0
 24304,135788,19260915,  157,    0
