EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERVELLACH, AUSTRIA (STAID: 24309)
Blended and updated with sources:129626 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24309,129626,19700901,  142,    0
 24309,129626,19700902,  158,    0
 24309,129626,19700903,  170,    0
 24309,129626,19700904,  179,    0
 24309,129626,19700905,  149,    0
 24309,129626,19700906,  178,    0
 24309,129626,19700907,  175,    0
 24309,129626,19700908,  181,    0
 24309,129626,19700909,  187,    0
 24309,129626,19700910,  189,    0
 24309,129626,19700911,  195,    0
 24309,129626,19700912,  194,    0
 24309,129626,19700913,  154,    0
 24309,129626,19700914,  154,    0
 24309,129626,19700915,  149,    0
 24309,129626,19700916,  105,    0
 24309,129626,19700917,  113,    0
 24309,129626,19700918,   98,    0
 24309,129626,19700919,  126,    0
 24309,129626,19700920,  160,    0
 24309,129626,19700921,  162,    0
 24309,129626,19700922,  180,    0
 24309,129626,19700923,  141,    0
 24309,129626,19700924,  119,    0
 24309,129626,19700925,  108,    0
 24309,129626,19700926,  119,    0
 24309,129626,19700927,  125,    0
 24309,129626,19700928,  125,    0
 24309,129626,19700929,   99,    0
 24309,129626,19700930,  110,    0
 24309,129626,19701001,  100,    0
 24309,129626,19701002,  114,    0
 24309,129626,19701003,   92,    0
 24309,129626,19701004,   78,    0
 24309,129626,19701005,   86,    0
 24309,129626,19701006,  120,    0
 24309,129626,19701007,  125,    0
 24309,129626,19701008,  139,    0
 24309,129626,19701009,  165,    0
 24309,129626,19701010,  166,    0
 24309,129626,19701011,  160,    0
 24309,129626,19701012,  151,    0
 24309,129626,19701013,  132,    0
 24309,129626,19701014,  107,    0
 24309,129626,19701015,   91,    0
 24309,129626,19701016,   60,    0
 24309,129626,19701017,   59,    0
 24309,129626,19701018,   33,    0
 24309,129626,19701019,   61,    0
 24309,129626,19701020,   28,    0
 24309,129626,19701021,   40,    0
 24309,129626,19701022,   22,    0
 24309,129626,19701023,   38,    0
 24309,129626,19701024,   40,    0
 24309,129626,19701025,   64,    0
 24309,129626,19701026,   75,    0
 24309,129626,19701027,   83,    0
 24309,129626,19701028,   69,    0
 24309,129626,19701029,   97,    0
 24309,129626,19701030,  110,    0
 24309,129626,19701031,   97,    0
 24309,129626,19701101,  108,    0
 24309,129626,19701102,  103,    0
 24309,129626,19701103,  141,    0
 24309,129626,19701104,  139,    0
 24309,129626,19701105,   73,    0
 24309,129626,19701106,   82,    0
 24309,129626,19701107,   26,    0
 24309,129626,19701108,   31,    0
 24309,129626,19701109,   61,    0
 24309,129626,19701110,   66,    0
 24309,129626,19701111,   71,    0
 24309,129626,19701112,   68,    0
 24309,129626,19701113,   43,    0
 24309,129626,19701114,   57,    0
 24309,129626,19701115,   42,    0
 24309,129626,19701116,   42,    0
 24309,129626,19701117,   10,    0
 24309,129626,19701118,   44,    0
 24309,129626,19701119,   72,    0
 24309,129626,19701120,   66,    0
 24309,129626,19701121,   32,    0
 24309,129626,19701122,   58,    0
 24309,129626,19701123,   55,    0
 24309,129626,19701124,   14,    0
 24309,129626,19701125,   14,    0
 24309,129626,19701126,   26,    0
