EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LITZLHOF, AUSTRIA (STAID: 24311)
Blended and updated with sources:129613 129652 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24311,129613,19530501,  149,    0
 24311,129613,19530502,  165,    0
 24311,129613,19530503,  171,    0
 24311,129613,19530504,  167,    0
 24311,129613,19530505,  147,    0
 24311,129613,19530506,  154,    0
 24311,129613,19530507,  102,    0
 24311,129613,19530508,  108,    0
 24311,129613,19530509,   85,    0
 24311,129613,19530510,   85,    0
 24311,129613,19530511,   94,    0
 24311,129613,19530512,  115,    0
 24311,129613,19530513,  125,    0
 24311,129613,19530514,  164,    0
 24311,129613,19530515,  174,    0
 24311,129613,19530516,  196,    0
 24311,129613,19530517,  227,    0
 24311,129613,19530518,  239,    0
 24311,129613,19530519,  208,    0
 24311,129613,19530520,  206,    0
 24311,129613,19530521,  192,    0
 24311,129613,19530522,  188,    0
 24311,129613,19530523,  156,    0
 24311,129613,19530524,  204,    0
 24311,129613,19530525,  225,    0
 24311,129613,19530526,  224,    0
 24311,129613,19530527,  232,    0
 24311,129613,19530528,  160,    0
 24311,129613,19530529,  166,    0
 24311,129613,19530530,  132,    0
 24311,129613,19530531,  131,    0
 24311,129613,19530601,  126,    0
 24311,129613,19530602,   66,    0
 24311,129613,19530603,   96,    0
 24311,129613,19530604,  119,    0
 24311,129613,19530605,  132,    0
 24311,129613,19530606,  161,    0
 24311,129613,19530607,  150,    0
 24311,129613,19530608,  196,    0
 24311,129613,19530609,  170,    0
 24311,129613,19530610,  177,    0
 24311,129613,19530611,  168,    0
 24311,129613,19530612,  184,    0
 24311,129613,19530613,  195,    0
 24311,129613,19530614,  173,    0
 24311,129613,19530615,  190,    0
 24311,129613,19530616,  186,    0
 24311,129613,19530617,  197,    0
 24311,129613,19530618,  182,    0
 24311,129613,19530619,  195,    0
 24311,129613,19530620,  193,    0
 24311,129613,19530621,  187,    0
 24311,129613,19530622,  175,    0
 24311,129613,19530623,  188,    0
 24311,129613,19530624,  194,    0
 24311,129613,19530625,  185,    0
 24311,129613,19530626,  161,    0
 24311,129613,19530627,  185,    0
 24311,129613,19530628,  181,    0
 24311,129613,19530629,  200,    0
 24311,129613,19530630,  190,    0
 24311,129613,19530701,  189,    0
 24311,129613,19530702,  184,    0
 24311,129613,19530703,  185,    0
 24311,129613,19530704,  192,    0
 24311,129613,19530705,  197,    0
 24311,129613,19530706,  187,    0
 24311,129613,19530707,  208,    0
 24311,129613,19530708,  219,    0
 24311,129613,19530709,  216,    0
 24311,129613,19530710,  169,    0
 24311,129613,19530711,  128,    0
 24311,129613,19530712,  136,    0
 24311,129613,19530713,  147,    0
 24311,129613,19530714,  159,    0
 24311,129613,19530715,  166,    0
 24311,129613,19530716,  183,    0
 24311,129613,19530717,  200,    0
 24311,129613,19530718,  222,    0
 24311,129613,19530719,  164,    0
 24311,129613,19530720,  152,    0
 24311,129613,19530721,  168,    0
 24311,129613,19530722,  195,    0
 24311,129613,19530723,  209,    0
 24311,129613,19530724,  209,    0
 24311,129613,19530725,  197,    0
 24311,129613,19530726,  209,    0
 24311,129613,19530727,  209,    0
 24311,129613,19530728,  185,    0
 24311,129613,19530729,  189,    0
 24311,129613,19530730,  141,    0
 24311,129613,19530731,  156,    0
 24311,129613,19530801,  186,    0
 24311,129613,19530802,  166,    0
 24311,129613,19530803,  113,    0
 24311,129613,19530804,  119,    0
 24311,129613,19530805,  152,    0
 24311,129613,19530806,  153,    0
 24311,129613,19530807,  158,    0
 24311,129613,19530808,  173,    0
 24311,129613,19530809,  186,    0
 24311,129613,19530810,  173,    0
 24311,129613,19530811,  193,    0
 24311,129613,19530812,  191,    0
 24311,129613,19530813,  199,    0
 24311,129613,19530814,  203,    0
 24311,129613,19530815,  195,    0
 24311,129613,19530816,  186,    0
 24311,129613,19530817,  183,    0
 24311,129613,19530818,  200,    0
 24311,129613,19530819,  194,    0
 24311,129613,19530820,  186,    0
 24311,129613,19530821,  182,    0
 24311,129613,19530822,  131,    0
 24311,129613,19530823,  132,    0
 24311,129613,19530824,  143,    0
 24311,129613,19530825,  172,    0
 24311,129613,19530826,  159,    0
 24311,129613,19530827,  106,    0
 24311,129613,19530828,  128,    0
 24311,129613,19530829,  147,    0
 24311,129613,19530830,  182,    0
 24311,129613,19530831,  206,    0
 24311,129613,19530901,  203,    0
 24311,129613,19530902,  201,    0
 24311,129613,19530903,  208,    0
 24311,129613,19530904,  196,    0
 24311,129613,19530905,  185,    0
 24311,129613,19530906,  162,    0
 24311,129613,19530907,  123,    0
 24311,129613,19530908,  149,    0
 24311,129613,19530909,  179,    0
 24311,129613,19530910,  156,    0
 24311,129613,19530911,   84,    0
 24311,129613,19530912,  118,    0
 24311,129613,19530913,  115,    0
 24311,129613,19530914,  109,    0
 24311,129613,19530915,  119,    0
 24311,129613,19530916,  132,    0
 24311,129613,19530917,  161,    0
 24311,129613,19530918,  167,    0
 24311,129613,19530919,  179,    0
 24311,129613,19530920,  140,    0
 24311,129613,19530921,  129,    0
 24311,129613,19530922,  100,    0
 24311,129613,19530923,  129,    0
 24311,129613,19530924,  125,    0
 24311,129613,19530925,  159,    0
 24311,129613,19530926,  180,    0
 24311,129613,19530927,  197,    0
 24311,129613,19530928,  159,    0
 24311,129613,19530929,  148,    0
 24311,129613,19530930,  151,    0
 24311,129613,19531001,  162,    0
 24311,129613,19531002,  141,    0
 24311,129613,19531003,  144,    0
 24311,129613,19531004,  114,    0
 24311,129613,19531005,   99,    0
 24311,129613,19531006,   64,    0
 24311,129613,19531007,   74,    0
 24311,129613,19531008,   79,    0
 24311,129613,19531009,   60,    0
 24311,129613,19531010,   69,    0
 24311,129613,19531011,   76,    0
 24311,129613,19531012,  104,    0
 24311,129613,19531013,  116,    0
 24311,129613,19531014,  137,    0
 24311,129613,19531015,  136,    0
 24311,129613,19531016,  142,    0
 24311,129613,19531017,  149,    0
 24311,129613,19531018,  149,    0
 24311,129613,19531019,  156,    0
 24311,129613,19531020,  151,    0
 24311,129613,19531021,  140,    0
 24311,129613,19531022,  110,    0
 24311,129613,19531023,  109,    0
 24311,129613,19531024,  109,    0
 24311,129613,19531025,  112,    0
 24311,129613,19531026,  116,    0
 24311,129613,19531027,  131,    0
 24311,129613,19531028,  122,    0
 24311,129613,19531029,   90,    0
 24311,129613,19531030,   57,    0
 24311,129613,19531031,   57,    0
 24311,129613,19531101,   55,    0
 24311,129613,19531102,   49,    0
 24311,129613,19531103,   35,    0
 24311,129613,19531104,   32,    0
 24311,129613,19531105,   42,    0
 24311,129613,19531106,   37,    0
 24311,129613,19531107,   50,    0
 24311,129613,19531108,   35,    0
 24311,129613,19531109,   29,    0
 24311,129613,19531110,   27,    0
 24311,129613,19531111,  -15,    0
 24311,129613,19531112,  -10,    0
 24311,129613,19531113,    5,    0
 24311,129613,19531114,  -15,    0
 24311,129613,19531115,    5,    0
 24311,129613,19531116,   48,    0
