EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FLATTNITZ, AUSTRIA (STAID: 24313)
Blended and updated with sources:129678 132798 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24313,132798,19700901,   92,    0
 24313,132798,19700902,   98,    0
 24313,132798,19700903,  105,    0
 24313,132798,19700904,  113,    0
 24313,132798,19700905,  102,    0
 24313,132798,19700906,  121,    0
 24313,132798,19700907,  108,    0
 24313,132798,19700908,  115,    0
 24313,132798,19700909,  133,    0
 24313,132798,19700910,  141,    0
 24313,132798,19700911,  138,    0
 24313,132798,19700912,  137,    0
 24313,132798,19700913,   89,    0
 24313,132798,19700914,   99,    0
 24313,132798,19700915,   73,    0
 24313,132798,19700916,   80,    0
 24313,132798,19700917,   50,    0
 24313,132798,19700918,   58,    0
 24313,132798,19700919,   76,    0
 24313,132798,19700920,  103,    0
 24313,132798,19700921,  110,    0
 24313,132798,19700922,   97,    0
 24313,132798,19700923,   70,    0
 24313,132798,19700924,   53,    0
 24313,132798,19700925,   70,    0
 24313,132798,19700926,   88,    0
 24313,132798,19700927,   46,    0
 24313,132798,19700928,   83,    0
 24313,132798,19700929,   70,    0
 24313,132798,19700930,   69,    0
 24313,132798,19701001,   62,    0
 24313,132798,19701002,   73,    0
 24313,132798,19701003,   40,    0
 24313,132798,19701004,   20,    0
 24313,132798,19701005,   48,    0
 24313,132798,19701006,   71,    0
 24313,132798,19701007,   73,    0
 24313,132798,19701008,   81,    0
 24313,132798,19701009,   92,    0
 24313,132798,19701010,  100,    0
 24313,132798,19701011,  108,    0
 24313,132798,19701012,  100,    0
 24313,132798,19701013,   85,    0
 24313,132798,19701014,   72,    0
 24313,132798,19701015,   36,    0
 24313,132798,19701016,   23,    0
 24313,132798,19701017,    0,    0
 24313,132798,19701018,  -16,    0
 24313,132798,19701019,   30,    0
 24313,132798,19701020,   27,    0
 24313,132798,19701021,   -3,    0
 24313,132798,19701022,  -18,    0
 24313,132798,19701023,  -26,    0
 24313,132798,19701024,  -25,    0
 24313,132798,19701025,   27,    0
 24313,132798,19701026,   44,    0
 24313,132798,19701027,   30,    0
 24313,132798,19701028,   31,    0
 24313,132798,19701029,   45,    0
 24313,132798,19701030,   56,    0
 24313,132798,19701031,   68,    0
 24313,132798,19701101,   70,    0
 24313,132798,19701102,   82,    0
 24313,132798,19701103,   87,    0
 24313,132798,19701104,   73,    0
 24313,132798,19701105,   46,    0
 24313,132798,19701106,   41,    0
 24313,132798,19701107,   13,    0
 24313,132798,19701108,    8,    0
 24313,132798,19701109,   18,    0
 24313,132798,19701110,   15,    0
 24313,132798,19701111,    9,    0
 24313,132798,19701112,   24,    0
 24313,132798,19701113,   -5,    0
 24313,132798,19701114,   26,    0
 24313,132798,19701115,   14,    0
 24313,132798,19701116,    4,    0
 24313,132798,19701117,  -43,    0
 24313,132798,19701118,   -5,    0
 24313,132798,19701119,   15,    0
 24313,132798,19701120,   49,    0
 24313,132798,19701121,   30,    0
 24313,132798,19701122,   10,    0
 24313,132798,19701123,   -5,    0
 24313,132798,19701124,  -22,    0
