EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WEITENSFELD, AUSTRIA (STAID: 24314)
Blended and updated with sources:129691 131420 131433 135398 911225 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24314,129691,19530101,   -3,    0
 24314,129691,19530102,    7,    0
 24314,129691,19530103,   -8,    0
 24314,129691,19530104,  -41,    0
 24314,129691,19530105,  -38,    0
 24314,129691,19530106,  -34,    0
 24314,129691,19530107,  -30,    0
 24314,129691,19530108,  -29,    0
 24314,129691,19530109,  -37,    0
 24314,129691,19530110,  -83,    0
 24314,129691,19530111,  -72,    0
 24314,129691,19530112,  -76,    0
 24314,129691,19530113,  -73,    0
 24314,129691,19530114, -109,    0
 24314,129691,19530115, -104,    0
 24314,129691,19530116, -121,    0
 24314,129691,19530117,  -68,    0
 24314,129691,19530118,  -62,    0
 24314,129691,19530119,  -51,    0
 24314,129691,19530120,  -76,    0
 24314,129691,19530121, -141,    0
 24314,129691,19530122, -116,    0
 24314,129691,19530123,  -95,    0
 24314,129691,19530124,  -95,    0
 24314,129691,19530125,  -91,    0
 24314,129691,19530126,  -36,    0
 24314,129691,19530127,  -92,    0
 24314,129691,19530128,  -42,    0
 24314,129691,19530129,   19,    0
 24314,129691,19530130,  -11,    0
 24314,129691,19530131,  -29,    0
 24314,129691,19530201,  -22,    0
 24314,129691,19530202,  -38,    0
 24314,129691,19530203,  -61,    0
 24314,129691,19530204,  -53,    0
 24314,129691,19530205,  -89,    0
 24314,129691,19530206,  -88,    0
 24314,129691,19530207,  -99,    0
 24314,129691,19530208, -111,    0
 24314,129691,19530209, -136,    0
 24314,129691,19530210,  -90,    0
 24314,129691,19530211,  -25,    0
 24314,129691,19530212,  -34,    0
 24314,129691,19530213,  -53,    0
 24314,129691,19530214,  -18,    0
 24314,129691,19530215,  -25,    0
 24314,129691,19530216,  -16,    0
 24314,129691,19530217,  -80,    0
 24314,129691,19530218,  -25,    0
 24314,129691,19530219,   -6,    0
 24314,129691,19530220,   -5,    0
 24314,129691,19530221,    8,    0
 24314,129691,19530222,   50,    0
 24314,129691,19530223,    6,    0
 24314,129691,19530224,   18,    0
 24314,129691,19530225,    7,    0
 24314,129691,19530226,    5,    0
 24314,129691,19530227,   -3,    0
 24314,129691,19530228,   25,    0
 24314,129691,19530301,    3,    0
 24314,129691,19530302,  -14,    0
 24314,129691,19530303,   11,    0
 24314,129691,19530304,   41,    0
 24314,129691,19530305,   35,    0
 24314,129691,19530306,   22,    0
 24314,129691,19530307,   21,    0
 24314,129691,19530308,   -4,    0
 24314,129691,19530309,  -28,    0
 24314,129691,19530310,  -21,    0
 24314,129691,19530311,    3,    0
 24314,129691,19530312,  -14,    0
 24314,129691,19530313,    0,    0
 24314,129691,19530314,  -20,    0
 24314,129691,19530315,  -19,    0
 24314,129691,19530316,    3,    0
 24314,129691,19530317,   14,    0
 24314,129691,19530318,   11,    0
 24314,129691,19530319,   29,    0
 24314,129691,19530320,   43,    0
 24314,129691,19530321,   49,    0
 24314,129691,19530322,   45,    0
 24314,129691,19530323,   51,    0
 24314,129691,19530324,   55,    0
 24314,129691,19530325,   61,    0
 24314,129691,19530326,   68,    0
 24314,129691,19530327,   68,    0
 24314,129691,19530328,   60,    0
