EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VELDEN, AUSTRIA (STAID: 24340)
Blended and updated with sources:130029 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24340,130029,19610101,  -41,    0
 24340,130029,19610102,  -13,    0
 24340,130029,19610103,  -25,    0
 24340,130029,19610104,   15,    0
 24340,130029,19610105,   24,    0
 24340,130029,19610106,  -17,    0
 24340,130029,19610107,  -35,    0
 24340,130029,19610108,  -68,    0
 24340,130029,19610109,  -27,    0
 24340,130029,19610110,  -26,    0
 24340,130029,19610111,  -30,    0
 24340,130029,19610112,    5,    0
 24340,130029,19610113,  -12,    0
 24340,130029,19610114,  -29,    0
 24340,130029,19610115,  -36,    0
 24340,130029,19610116,  -35,    0
 24340,130029,19610117,  -73,    0
 24340,130029,19610118,  -72,    0
 24340,130029,19610119, -121,    0
 24340,130029,19610120, -115,    0
 24340,130029,19610121,  -94,    0
 24340,130029,19610122,  -80,    0
 24340,130029,19610123,  -69,    0
 24340,130029,19610124,  -45,    0
 24340,130029,19610125,  -21,    0
 24340,130029,19610126,  -14,    0
 24340,130029,19610127,  -46,    0
 24340,130029,19610128,  -52,    0
 24340,130029,19610129,  -63,    0
 24340,130029,19610130,  -62,    0
 24340,130029,19610131,   13,    0
 24340,130029,19610201,   -9,    0
 24340,130029,19610202,  -26,    0
 24340,130029,19610203,  -11,    0
 24340,130029,19610204,  -16,    0
 24340,130029,19610205,   25,    0
 24340,130029,19610206,   -2,    0
 24340,130029,19610207,  -39,    0
 24340,130029,19610208,   -2,    0
 24340,130029,19610209,  -14,    0
 24340,130029,19610210,   41,    0
 24340,130029,19610211,   14,    0
 24340,130029,19610212,   23,    0
 24340,130029,19610213,   31,    0
 24340,130029,19610214,   47,    0
 24340,130029,19610215,   33,    0
 24340,130029,19610216,   43,    0
 24340,130029,19610217,   16,    0
 24340,130029,19610218,   26,    0
 24340,130029,19610219,   32,    0
 24340,130029,19610220,   32,    0
 24340,130029,19610221,   36,    0
 24340,130029,19610222,   34,    0
 24340,130029,19610223,   37,    0
 24340,130029,19610224,   26,    0
 24340,130029,19610225,   21,    0
 24340,130029,19610226,   25,    0
 24340,130029,19610227,   46,    0
 24340,130029,19610228,   61,    0
 24340,130029,19610301,   30,    0
 24340,130029,19610302,   32,    0
 24340,130029,19610303,   26,    0
 24340,130029,19610304,   51,    0
 24340,130029,19610305,   53,    0
 24340,130029,19610306,   69,    0
 24340,130029,19610307,   77,    0
