EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KREMS, AUSTRIA (STAID: 24383)
Blended and updated with sources:125323 130588 131940 134722 911070 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24383,134722,19360101,   38,    0
 24383,134722,19360102,   33,    0
 24383,134722,19360103,   34,    0
 24383,134722,19360104,   51,    0
 24383,134722,19360105,   36,    0
 24383,134722,19360106,    9,    0
 24383,134722,19360107,   -3,    0
 24383,134722,19360108,   30,    0
 24383,134722,19360109,    2,    0
 24383,134722,19360110,   56,    0
 24383,134722,19360111,  102,    0
 24383,134722,19360112,   56,    0
 24383,134722,19360113,   17,    0
 24383,134722,19360114,   17,    0
 24383,134722,19360115,    2,    0
 24383,134722,19360116,  -15,    0
 24383,134722,19360117,   -4,    0
 24383,134722,19360118,   14,    0
 24383,134722,19360119,  -14,    0
 24383,134722,19360120,   20,    0
 24383,134722,19360121,   39,    0
 24383,134722,19360122,   21,    0
 24383,134722,19360123,   29,    0
 24383,134722,19360124,   14,    0
 24383,134722,19360125,    9,    0
 24383,134722,19360126,   18,    0
 24383,134722,19360127,   26,    0
 24383,134722,19360128,   44,    0
 24383,134722,19360129,   21,    0
 24383,134722,19360130,   35,    0
 24383,134722,19360131,   34,    0
 24383,134722,19360201,   70,    0
 24383,134722,19360202,   57,    0
 24383,134722,19360203,   52,    0
 24383,134722,19360204,   33,    0
 24383,134722,19360205,   17,    0
 24383,134722,19360206,   -2,    0
 24383,134722,19360207,   -9,    0
 24383,134722,19360208,   -7,    0
 24383,134722,19360209,  -10,    0
 24383,134722,19360210,  -43,    0
 24383,134722,19360211,  -73,    0
 24383,134722,19360212,  -83,    0
 24383,134722,19360213,  -22,    0
 24383,134722,19360214,   -6,    0
 24383,134722,19360215,  -22,    0
 24383,134722,19360216,    1,    0
 24383,134722,19360217,   -1,    0
 24383,134722,19360218,   13,    0
 24383,134722,19360219,   19,    0
 24383,134722,19360220,   47,    0
 24383,134722,19360221,   45,    0
 24383,134722,19360222,   12,    0
 24383,134722,19360223,   39,    0
 24383,134722,19360224,   48,    0
 24383,134722,19360225,   49,    0
 24383,134722,19360226,   49,    0
 24383,134722,19360227,   39,    0
 24383,134722,19360228,   59,    0
 24383,134722,19360229,   52,    0
 24383,134722,19360301,   58,    0
 24383,134722,19360302,   42,    0
 24383,134722,19360303,   37,    0
 24383,134722,19360304,   64,    0
 24383,134722,19360305,   75,    0
 24383,134722,19360306,   71,    0
 24383,134722,19360307,   46,    0
 24383,134722,19360308,   39,    0
 24383,134722,19360309,   47,    0
 24383,134722,19360310,   41,    0
 24383,134722,19360311,   51,    0
 24383,134722,19360312,   52,    0
 24383,134722,19360313,   37,    0
 24383,134722,19360314,   38,    0
 24383,134722,19360315,   51,    0
 24383,134722,19360316,   36,    0
 24383,134722,19360317,   32,    0
 24383,134722,19360318,   26,    0
 24383,134722,19360319,   47,    0
 24383,134722,19360320,   64,    0
 24383,134722,19360321,   82,    0
 24383,134722,19360322,   83,    0
 24383,134722,19360323,   87,    0
 24383,134722,19360324,  103,    0
 24383,134722,19360325,  103,    0
 24383,134722,19360326,  106,    0
 24383,134722,19360327,   96,    0
 24383,134722,19360328,   79,    0
 24383,134722,19360329,   81,    0
 24383,134722,19360330,   98,    0
 24383,134722,19360331,  122,    0
 24383,134722,19360401,  123,    0
 24383,134722,19360402,  144,    0
 24383,134722,19360403,  153,    0
 24383,134722,19360404,  110,    0
 24383,134722,19360405,   77,    0
 24383,134722,19360406,   55,    0
 24383,134722,19360407,   54,    0
 24383,134722,19360408,   68,    0
 24383,134722,19360409,   71,    0
 24383,134722,19360410,   92,    0
 24383,134722,19360411,   90,    0
 24383,134722,19360412,   58,    0
 24383,134722,19360413,   64,    0
 24383,134722,19360414,   98,    0
 24383,134722,19360415,  116,    0
 24383,134722,19360416,  138,    0
