EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KORNAT, AUSTRIA (STAID: 24428)
Blended and updated with sources:131173 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24428,131173,19480101,  -45,    0
 24428,131173,19480102,   -3,    0
 24428,131173,19480103,   73,    0
 24428,131173,19480104,   93,    0
 24428,131173,19480105,   23,    0
 24428,131173,19480106,   38,    0
 24428,131173,19480107,    8,    0
 24428,131173,19480108,   15,    0
 24428,131173,19480109,   -5,    0
 24428,131173,19480110,   -2,    0
 24428,131173,19480111,   -1,    0
 24428,131173,19480112,   31,    0
 24428,131173,19480113,   41,    0
 24428,131173,19480114,   59,    0
 24428,131173,19480115,    6,    0
 24428,131173,19480116,   -2,    0
 24428,131173,19480117,  -15,    0
 24428,131173,19480118,    9,    0
 24428,131173,19480119,   -7,    0
 24428,131173,19480120,  -46,    0
 24428,131173,19480121,  -30,    0
 24428,131173,19480122,  -44,    0
 24428,131173,19480123,  -55,    0
 24428,131173,19480124,   -3,    0
 24428,131173,19480125,    6,    0
 24428,131173,19480126,    5,    0
 24428,131173,19480127,    1,    0
 24428,131173,19480128,    9,    0
 24428,131173,19480129,   26,    0
 24428,131173,19480130,   37,    0
 24428,131173,19480131,   39,    0
 24428,131173,19480201,   42,    0
 24428,131173,19480202,   37,    0
 24428,131173,19480203,   60,    0
 24428,131173,19480204,   52,    0
 24428,131173,19480205,   18,    0
 24428,131173,19480206,   -7,    0
 24428,131173,19480207,  -15,    0
 24428,131173,19480208,   38,    0
 24428,131173,19480209,  100,    0
 24428,131173,19480210,   48,    0
 24428,131173,19480211,   36,    0
 24428,131173,19480212,   33,    0
 24428,131173,19480213,   18,    0
 24428,131173,19480214,   -3,    0
 24428,131173,19480215,  -12,    0
 24428,131173,19480216,  -13,    0
 24428,131173,19480217,  -53,    0
 24428,131173,19480218,  -74,    0
 24428,131173,19480219, -104,    0
 24428,131173,19480220, -126,    0
 24428,131173,19480221,  -94,    0
 24428,131173,19480222,  -71,    0
 24428,131173,19480223,  -50,    0
 24428,131173,19480224,  -65,    0
 24428,131173,19480225,  -67,    0
 24428,131173,19480226,  -64,    0
 24428,131173,19480227,  -50,    0
 24428,131173,19480228,  -18,    0
 24428,131173,19480229,    8,    0
 24428,131173,19480301,   -2,    0
 24428,131173,19480302,   14,    0
 24428,131173,19480303,   31,    0
 24428,131173,19480304,   69,    0
 24428,131173,19480305,   67,    0
 24428,131173,19480306,   64,    0
 24428,131173,19480307,   76,    0
 24428,131173,19480308,   88,    0
 24428,131173,19480309,  100,    0
 24428,131173,19480310,  116,    0
 24428,131173,19480311,   88,    0
 24428,131173,19480312,   42,    0
 24428,131173,19480313,   45,    0
 24428,131173,19480314,   69,    0
 24428,131173,19480315,   48,    0
 24428,131173,19480316,   80,    0
 24428,131173,19480317,   61,    0
 24428,131173,19480318,   57,    0
 24428,131173,19480319,   62,    0
 24428,131173,19480320,   57,    0
 24428,131173,19480321,   87,    0
 24428,131173,19480322,  103,    0
 24428,131173,19480323,   91,    0
 24428,131173,19480324,   38,    0
 24428,131173,19480325,   50,    0
 24428,131173,19480326,   52,    0
 24428,131173,19480327,   18,    0
 24428,131173,19480328,   16,    0
 24428,131173,19480329,   58,    0
 24428,131173,19480330,   67,    0
 24428,131173,19480331,   58,    0
 24428,131173,19480401,-9999,    9
 24428,131173,19480402,-9999,    9
 24428,131173,19480403,-9999,    9
 24428,131173,19480404,-9999,    9
 24428,131173,19480405,-9999,    9
 24428,131173,19480406,-9999,    9
 24428,131173,19480407,-9999,    9
 24428,131173,19480408,-9999,    9
 24428,131173,19480409,-9999,    9
 24428,131173,19480410,-9999,    9
 24428,131173,19480411,-9999,    9
 24428,131173,19480412,-9999,    9
 24428,131173,19480413,-9999,    9
 24428,131173,19480414,-9999,    9
 24428,131173,19480415,-9999,    9
 24428,131173,19480416,-9999,    9
 24428,131173,19480417,-9999,    9
 24428,131173,19480418,-9999,    9
 24428,131173,19480419,-9999,    9
 24428,131173,19480420,-9999,    9
 24428,131173,19480421,-9999,    9
 24428,131173,19480422,-9999,    9
 24428,131173,19480423,-9999,    9
 24428,131173,19480424,-9999,    9
 24428,131173,19480425,-9999,    9
 24428,131173,19480426,-9999,    9
 24428,131173,19480427,-9999,    9
 24428,131173,19480428,-9999,    9
 24428,131173,19480429,-9999,    9
 24428,131173,19480430,-9999,    9
 24428,131173,19480501,-9999,    9
 24428,131173,19480502,-9999,    9
 24428,131173,19480503,-9999,    9
 24428,131173,19480504,-9999,    9
 24428,131173,19480505,-9999,    9
 24428,131173,19480506,-9999,    9
 24428,131173,19480507,-9999,    9
 24428,131173,19480508,-9999,    9
 24428,131173,19480509,-9999,    9
 24428,131173,19480510,-9999,    9
 24428,131173,19480511,-9999,    9
 24428,131173,19480512,-9999,    9
 24428,131173,19480513,-9999,    9
 24428,131173,19480514,-9999,    9
 24428,131173,19480515,-9999,    9
 24428,131173,19480516,-9999,    9
 24428,131173,19480517,-9999,    9
 24428,131173,19480518,-9999,    9
 24428,131173,19480519,-9999,    9
 24428,131173,19480520,-9999,    9
 24428,131173,19480521,-9999,    9
 24428,131173,19480522,-9999,    9
 24428,131173,19480523,-9999,    9
 24428,131173,19480524,-9999,    9
 24428,131173,19480525,-9999,    9
 24428,131173,19480526,-9999,    9
 24428,131173,19480527,-9999,    9
 24428,131173,19480528,-9999,    9
 24428,131173,19480529,-9999,    9
 24428,131173,19480530,-9999,    9
 24428,131173,19480531,-9999,    9
 24428,131173,19480601,-9999,    9
 24428,131173,19480602,-9999,    9
 24428,131173,19480603,-9999,    9
 24428,131173,19480604,-9999,    9
 24428,131173,19480605,-9999,    9
 24428,131173,19480606,-9999,    9
 24428,131173,19480607,-9999,    9
 24428,131173,19480608,-9999,    9
 24428,131173,19480609,-9999,    9
 24428,131173,19480610,-9999,    9
 24428,131173,19480611,-9999,    9
 24428,131173,19480612,-9999,    9
 24428,131173,19480613,-9999,    9
 24428,131173,19480614,-9999,    9
 24428,131173,19480615,-9999,    9
 24428,131173,19480616,-9999,    9
 24428,131173,19480617,-9999,    9
 24428,131173,19480618,-9999,    9
 24428,131173,19480619,-9999,    9
 24428,131173,19480620,-9999,    9
 24428,131173,19480621,-9999,    9
 24428,131173,19480622,-9999,    9
 24428,131173,19480623,-9999,    9
 24428,131173,19480624,-9999,    9
 24428,131173,19480625,-9999,    9
 24428,131173,19480626,-9999,    9
 24428,131173,19480627,-9999,    9
 24428,131173,19480628,-9999,    9
 24428,131173,19480629,-9999,    9
 24428,131173,19480630,-9999,    9
 24428,131173,19480701,-9999,    9
 24428,131173,19480702,-9999,    9
 24428,131173,19480703,-9999,    9
 24428,131173,19480704,-9999,    9
 24428,131173,19480705,-9999,    9
 24428,131173,19480706,-9999,    9
 24428,131173,19480707,-9999,    9
 24428,131173,19480708,-9999,    9
 24428,131173,19480709,-9999,    9
 24428,131173,19480710,-9999,    9
 24428,131173,19480711,-9999,    9
 24428,131173,19480712,-9999,    9
 24428,131173,19480713,-9999,    9
 24428,131173,19480714,-9999,    9
 24428,131173,19480715,-9999,    9
 24428,131173,19480716,-9999,    9
 24428,131173,19480717,-9999,    9
 24428,131173,19480718,-9999,    9
 24428,131173,19480719,-9999,    9
 24428,131173,19480720,-9999,    9
 24428,131173,19480721,-9999,    9
 24428,131173,19480722,-9999,    9
 24428,131173,19480723,-9999,    9
 24428,131173,19480724,-9999,    9
 24428,131173,19480725,-9999,    9
 24428,131173,19480726,-9999,    9
 24428,131173,19480727,-9999,    9
 24428,131173,19480728,-9999,    9
 24428,131173,19480729,-9999,    9
 24428,131173,19480730,-9999,    9
 24428,131173,19480731,-9999,    9
 24428,131173,19480801,-9999,    9
 24428,131173,19480802,-9999,    9
 24428,131173,19480803,-9999,    9
 24428,131173,19480804,-9999,    9
 24428,131173,19480805,-9999,    9
 24428,131173,19480806,-9999,    9
 24428,131173,19480807,-9999,    9
 24428,131173,19480808,-9999,    9
 24428,131173,19480809,-9999,    9
 24428,131173,19480810,-9999,    9
 24428,131173,19480811,-9999,    9
 24428,131173,19480812,-9999,    9
 24428,131173,19480813,-9999,    9
 24428,131173,19480814,-9999,    9
 24428,131173,19480815,-9999,    9
 24428,131173,19480816,-9999,    9
 24428,131173,19480817,-9999,    9
 24428,131173,19480818,-9999,    9
 24428,131173,19480819,-9999,    9
 24428,131173,19480820,-9999,    9
 24428,131173,19480821,-9999,    9
 24428,131173,19480822,-9999,    9
 24428,131173,19480823,-9999,    9
 24428,131173,19480824,-9999,    9
 24428,131173,19480825,-9999,    9
 24428,131173,19480826,-9999,    9
 24428,131173,19480827,-9999,    9
 24428,131173,19480828,-9999,    9
 24428,131173,19480829,-9999,    9
 24428,131173,19480830,-9999,    9
 24428,131173,19480831,-9999,    9
 24428,131173,19480901,-9999,    9
 24428,131173,19480902,-9999,    9
 24428,131173,19480903,-9999,    9
 24428,131173,19480904,-9999,    9
 24428,131173,19480905,-9999,    9
 24428,131173,19480906,-9999,    9
 24428,131173,19480907,-9999,    9
 24428,131173,19480908,-9999,    9
 24428,131173,19480909,-9999,    9
 24428,131173,19480910,-9999,    9
 24428,131173,19480911,-9999,    9
 24428,131173,19480912,-9999,    9
 24428,131173,19480913,-9999,    9
 24428,131173,19480914,-9999,    9
 24428,131173,19480915,-9999,    9
 24428,131173,19480916,-9999,    9
 24428,131173,19480917,-9999,    9
 24428,131173,19480918,-9999,    9
 24428,131173,19480919,-9999,    9
 24428,131173,19480920,-9999,    9
 24428,131173,19480921,-9999,    9
 24428,131173,19480922,-9999,    9
 24428,131173,19480923,-9999,    9
 24428,131173,19480924,-9999,    9
 24428,131173,19480925,-9999,    9
 24428,131173,19480926,-9999,    9
 24428,131173,19480927,-9999,    9
 24428,131173,19480928,-9999,    9
 24428,131173,19480929,-9999,    9
 24428,131173,19480930,-9999,    9
 24428,131173,19481001,-9999,    9
 24428,131173,19481002,-9999,    9
 24428,131173,19481003,-9999,    9
 24428,131173,19481004,-9999,    9
 24428,131173,19481005,-9999,    9
 24428,131173,19481006,-9999,    9
 24428,131173,19481007,-9999,    9
 24428,131173,19481008,-9999,    9
 24428,131173,19481009,-9999,    9
 24428,131173,19481010,-9999,    9
 24428,131173,19481011,-9999,    9
 24428,131173,19481012,-9999,    9
 24428,131173,19481013,-9999,    9
 24428,131173,19481014,-9999,    9
 24428,131173,19481015,-9999,    9
 24428,131173,19481016,-9999,    9
 24428,131173,19481017,-9999,    9
 24428,131173,19481018,-9999,    9
 24428,131173,19481019,-9999,    9
 24428,131173,19481020,-9999,    9
 24428,131173,19481021,-9999,    9
 24428,131173,19481022,-9999,    9
 24428,131173,19481023,-9999,    9
 24428,131173,19481024,-9999,    9
 24428,131173,19481025,-9999,    9
 24428,131173,19481026,-9999,    9
 24428,131173,19481027,-9999,    9
 24428,131173,19481028,-9999,    9
 24428,131173,19481029,-9999,    9
 24428,131173,19481030,-9999,    9
 24428,131173,19481031,-9999,    9
 24428,131173,19481101,   65,    0
 24428,131173,19481102,   73,    0
 24428,131173,19481103,   73,    0
 24428,131173,19481104,   83,    0
 24428,131173,19481105,   73,    0
 24428,131173,19481106,   70,    0
 24428,131173,19481107,   82,    0
 24428,131173,19481108,   39,    0
 24428,131173,19481109,   28,    0
 24428,131173,19481110,    3,    0
 24428,131173,19481111,   55,    0
 24428,131173,19481112,   88,    0
 24428,131173,19481113,   10,    0
 24428,131173,19481114,   83,    0
 24428,131173,19481115,  118,    0
 24428,131173,19481116,   40,    0
 24428,131173,19481117,   25,    0
 24428,131173,19481118,   48,    0
 24428,131173,19481119,   43,    0
 24428,131173,19481120,   50,    0
 24428,131173,19481121,   65,    0
 24428,131173,19481122,   31,    0
 24428,131173,19481123,   25,    0
 24428,131173,19481124,   30,    0
 24428,131173,19481125,  -42,    0
 24428,131173,19481126,   30,    0
 24428,131173,19481127,   51,    0
 24428,131173,19481128,   30,    0
 24428,131173,19481129,  -13,    0
 24428,131173,19481130,  -18,    0
 24428,131173,19481201,   15,    0
 24428,131173,19481202,   49,    0
 24428,131173,19481203,   65,    0
 24428,131173,19481204,   62,    0
 24428,131173,19481205,   41,    0
 24428,131173,19481206,    6,    0
 24428,131173,19481207,   22,    0
 24428,131173,19481208,   -9,    0
 24428,131173,19481209,    9,    0
 24428,131173,19481210,    5,    0
 24428,131173,19481211,   43,    0
 24428,131173,19481212,   38,    0
 24428,131173,19481213,   59,    0
 24428,131173,19481214,    3,    0
 24428,131173,19481215,  -16,    0
 24428,131173,19481216,   17,    0
 24428,131173,19481217,  -16,    0
 24428,131173,19481218,  -45,    0
 24428,131173,19481219,  -51,    0
 24428,131173,19481220,  -69,    0
 24428,131173,19481221,  -59,    0
 24428,131173,19481222,  -75,    0
 24428,131173,19481223,  -56,    0
 24428,131173,19481224,  -50,    0
 24428,131173,19481225,  -74,    0
 24428,131173,19481226,  -83,    0
 24428,131173,19481227,  -99,    0
 24428,131173,19481228,  -67,    0
 24428,131173,19481229,  -41,    0
 24428,131173,19481230,  -27,    0
 24428,131173,19481231,  -17,    0
 24428,131173,19490101,   -7,    0
 24428,131173,19490102,    1,    0
 24428,131173,19490103,   19,    0
 24428,131173,19490104,   11,    0
 24428,131173,19490105,   35,    0
