EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TERNBERG, AUSTRIA (STAID: 24435)
Blended and updated with sources:125544 131264 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24435,125544,19480101,   -1,    0
 24435,125544,19480102,   34,    0
 24435,125544,19480103,   73,    0
 24435,125544,19480104,   96,    0
 24435,125544,19480105,   56,    0
 24435,125544,19480106,   51,    0
 24435,125544,19480107,   40,    0
 24435,125544,19480108,   62,    0
 24435,125544,19480109,   36,    0
 24435,125544,19480110,   25,    0
 24435,125544,19480111,   51,    0
 24435,125544,19480112,   51,    0
 24435,125544,19480113,  106,    0
 24435,125544,19480114,   97,    0
 24435,125544,19480115,   44,    0
 24435,125544,19480116,   33,    0
 24435,125544,19480117,   10,    0
 24435,125544,19480118,   20,    0
 24435,125544,19480119,   25,    0
 24435,125544,19480120,    0,    0
 24435,125544,19480121,    9,    0
 24435,125544,19480122,  -30,    0
 24435,125544,19480123,  -39,    0
 24435,125544,19480124,  -36,    0
 24435,125544,19480125,   15,    0
 24435,125544,19480126,   35,    0
 24435,125544,19480127,   40,    0
 24435,125544,19480128,   75,    0
 24435,125544,19480129,   15,    0
 24435,125544,19480130,   50,    0
 24435,125544,19480131,   96,    0
 24435,125544,19480201,   88,    0
 24435,125544,19480202,   60,    0
 24435,125544,19480203,   85,    0
 24435,125544,19480204,   60,    0
 24435,125544,19480205,   35,    0
 24435,125544,19480206,   40,    0
 24435,125544,19480207,   40,    0
 24435,125544,19480208,   47,    0
 24435,125544,19480209,   95,    0
 24435,125544,19480210,   71,    0
 24435,125544,19480211,   40,    0
 24435,125544,19480212,   50,    0
 24435,125544,19480213,   35,    0
 24435,125544,19480214,   25,    0
 24435,125544,19480215,   -5,    0
 24435,125544,19480216,   -5,    0
 24435,125544,19480217,  -30,    0
 24435,125544,19480218,  -50,    0
 24435,125544,19480219,  -91,    0
 24435,125544,19480220,  -90,    0
 24435,125544,19480221,  -50,    0
 24435,125544,19480222,  -15,    0
 24435,125544,19480223,  -30,    0
 24435,125544,19480224,  -55,    0
 24435,125544,19480225,  -90,    0
 24435,125544,19480226,  -60,    0
 24435,125544,19480227,  -40,    0
 24435,125544,19480228,  -35,    0
 24435,125544,19480229,  -30,    0
 24435,125544,19480301,    4,    0
 24435,125544,19480302,   -9,    0
 24435,125544,19480303,  -20,    0
 24435,125544,19480304,   25,    0
 24435,125544,19480305,   36,    0
 24435,125544,19480306,   40,    0
 24435,125544,19480307,   55,    0
 24435,125544,19480308,   65,    0
 24435,125544,19480309,   92,    0
 24435,125544,19480310,  110,    0
 24435,125544,19480311,   75,    0
 24435,125544,19480312,   70,    0
 24435,125544,19480313,   54,    0
 24435,125544,19480314,   65,    0
 24435,125544,19480315,   50,    0
 24435,125544,19480316,   85,    0
 24435,125544,19480317,   45,    0
 24435,125544,19480318,   40,    0
 24435,125544,19480319,   48,    0
 24435,125544,19480320,   53,    0
 24435,125544,19480321,  115,    0
 24435,125544,19480322,  100,    0
 24435,125544,19480323,   75,    0
 24435,125544,19480324,   35,    0
 24435,125544,19480325,   50,    0
 24435,125544,19480326,   80,    0
 24435,125544,19480327,   15,    0
 24435,125544,19480328,   35,    0
 24435,125544,19480329,   55,    0
 24435,125544,19480330,   75,    0
 24435,125544,19480331,   66,    0
 24435,125544,19480401,   95,    0
 24435,125544,19480402,   80,    0
 24435,125544,19480403,   75,    0
 24435,125544,19480404,   90,    0
 24435,125544,19480405,   85,    0
 24435,125544,19480406,   55,    0
 24435,125544,19480407,   60,    0
 24435,125544,19480408,   70,    0
 24435,125544,19480409,   70,    0
 24435,125544,19480410,   60,    0
 24435,125544,19480411,   65,    0
 24435,125544,19480412,   65,    0
 24435,125544,19480413,   76,    0
 24435,125544,19480414,   85,    0
 24435,125544,19480415,   75,    0
 24435,125544,19480416,  110,    0
 24435,125544,19480417,  150,    0
 24435,125544,19480418,  165,    0
 24435,125544,19480419,  155,    0
 24435,125544,19480420,  126,    0
