EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DEUTSCHLANDSBERG, AUSTRIA (STAID: 24439)
Blended and updated with sources:131316 135528 911285 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24439,135528,18950801,-9999,    9
 24439,135528,18950802,-9999,    9
 24439,135528,18950803,-9999,    9
 24439,135528,18950804,-9999,    9
 24439,135528,18950805,-9999,    9
 24439,135528,18950806,-9999,    9
 24439,135528,18950807,-9999,    9
 24439,135528,18950808,-9999,    9
 24439,135528,18950809,-9999,    9
 24439,135528,18950810,-9999,    9
 24439,135528,18950811,-9999,    9
 24439,135528,18950812,-9999,    9
 24439,135528,18950813,-9999,    9
 24439,135528,18950814,-9999,    9
 24439,135528,18950815,-9999,    9
 24439,135528,18950816,-9999,    9
 24439,135528,18950817,-9999,    9
 24439,135528,18950818,-9999,    9
 24439,135528,18950819,-9999,    9
 24439,135528,18950820,-9999,    9
 24439,135528,18950821,-9999,    9
 24439,135528,18950822,-9999,    9
 24439,135528,18950823,-9999,    9
 24439,135528,18950824,-9999,    9
 24439,135528,18950825,-9999,    9
 24439,135528,18950826,-9999,    9
 24439,135528,18950827,-9999,    9
 24439,135528,18950828,-9999,    9
 24439,135528,18950829,-9999,    9
 24439,135528,18950830,-9999,    9
 24439,135528,18950831,-9999,    9
 24439,135528,18950901,-9999,    9
 24439,135528,18950902,-9999,    9
 24439,135528,18950903,-9999,    9
 24439,135528,18950904,-9999,    9
 24439,135528,18950905,-9999,    9
 24439,135528,18950906,-9999,    9
 24439,135528,18950907,-9999,    9
 24439,135528,18950908,-9999,    9
 24439,135528,18950909,-9999,    9
 24439,135528,18950910,-9999,    9
 24439,135528,18950911,-9999,    9
 24439,135528,18950912,-9999,    9
 24439,135528,18950913,-9999,    9
 24439,135528,18950914,-9999,    9
 24439,135528,18950915,-9999,    9
 24439,135528,18950916,-9999,    9
 24439,135528,18950917,-9999,    9
 24439,135528,18950918,-9999,    9
 24439,135528,18950919,-9999,    9
 24439,135528,18950920,-9999,    9
 24439,135528,18950921,-9999,    9
 24439,135528,18950922,-9999,    9
 24439,135528,18950923,-9999,    9
 24439,135528,18950924,-9999,    9
