EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PREITENEGG, AUSTRIA (STAID: 24442)
Blended and updated with sources:131355 135021 911214 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24442,135021,19500701,  222,    0
 24442,135021,19500702,  226,    0
 24442,135021,19500703,  250,    0
 24442,135021,19500704,  236,    0
 24442,135021,19500705,  257,    0
 24442,135021,19500706,  213,    0
 24442,135021,19500707,  197,    0
 24442,135021,19500708,  144,    0
 24442,135021,19500709,  159,    0
 24442,135021,19500710,  185,    0
 24442,135021,19500711,  154,    0
 24442,135021,19500712,  149,    0
 24442,135021,19500713,  166,    0
 24442,135021,19500714,  196,    0
 24442,135021,19500715,  141,    0
 24442,135021,19500716,  149,    0
 24442,135021,19500717,  174,    0
 24442,135021,19500718,  186,    0
 24442,135021,19500719,  202,    0
 24442,135021,19500720,  196,    0
 24442,135021,19500721,  176,    0
 24442,135021,19500722,  191,    0
 24442,135021,19500723,  189,    0
 24442,135021,19500724,  162,    0
 24442,135021,19500725,  181,    0
 24442,135021,19500726,  181,    0
 24442,135021,19500727,  194,    0
 24442,135021,19500728,  184,    0
 24442,135021,19500729,  175,    0
 24442,135021,19500730,  158,    0
 24442,135021,19500731,  139,    0
 24442,135021,19500801,  172,    0
 24442,135021,19500802,  168,    0
 24442,135021,19500803,  102,    0
 24442,135021,19500804,   79,    0
 24442,135021,19500805,  105,    0
 24442,135021,19500806,  159,    0
 24442,135021,19500807,  162,    0
 24442,135021,19500808,  157,    0
 24442,135021,19500809,  163,    0
 24442,135021,19500810,  174,    0
 24442,135021,19500811,  176,    0
 24442,135021,19500812,  176,    0
 24442,135021,19500813,  168,    0
 24442,135021,19500814,  164,    0
 24442,135021,19500815,  159,    0
 24442,135021,19500816,  162,    0
 24442,135021,19500817,  164,    0
 24442,135021,19500818,  166,    0
 24442,135021,19500819,  134,    0
 24442,135021,19500820,  154,    0
 24442,135021,19500821,  159,    0
 24442,135021,19500822,  177,    0
 24442,135021,19500823,  196,    0
 24442,135021,19500824,  225,    0
 24442,135021,19500825,  216,    0
 24442,135021,19500826,  221,    0
 24442,135021,19500827,  216,    0
 24442,135021,19500828,  222,    0
 24442,135021,19500829,  209,    0
 24442,135021,19500830,  189,    0
 24442,135021,19500831,  171,    0
 24442,135021,19500901,  153,    0
 24442,135021,19500902,  113,    0
 24442,135021,19500903,  115,    0
 24442,135021,19500904,   84,    0
 24442,135021,19500905,  118,    0
 24442,135021,19500906,  144,    0
 24442,135021,19500907,  164,    0
 24442,135021,19500908,  135,    0
 24442,135021,19500909,  124,    0
 24442,135021,19500910,  165,    0
 24442,135021,19500911,  173,    0
 24442,135021,19500912,  191,    0
 24442,135021,19500913,  172,    0
 24442,135021,19500914,  184,    0
 24442,135021,19500915,  187,    0
 24442,135021,19500916,  104,    0
 24442,135021,19500917,   65,    0
 24442,135021,19500918,  101,    0
 24442,135021,19500919,   94,    0
 24442,135021,19500920,   97,    0
 24442,135021,19500921,   86,    0
 24442,135021,19500922,   76,    0
 24442,135021,19500923,   76,    0
 24442,135021,19500924,   83,    0
 24442,135021,19500925,   94,    0
 24442,135021,19500926,  113,    0
 24442,135021,19500927,   92,    0
 24442,135021,19500928,   92,    0
 24442,135021,19500929,  114,    0
 24442,135021,19500930,  112,    0
 24442,135021,19501001,  104,    0
 24442,135021,19501002,   75,    0
 24442,135021,19501003,   75,    0
 24442,135021,19501004,   62,    0
 24442,135021,19501005,   82,    0
 24442,135021,19501006,  101,    0
 24442,135021,19501007,  106,    0
 24442,135021,19501008,  106,    0
 24442,135021,19501009,  115,    0
 24442,135021,19501010,  109,    0
 24442,135021,19501011,  111,    0
 24442,135021,19501012,   70,    0
 24442,135021,19501013,   53,    0
 24442,135021,19501014,   62,    0
 24442,135021,19501015,   66,    0
 24442,135021,19501016,   91,    0
 24442,135021,19501017,  100,    0
 24442,135021,19501018,  101,    0
 24442,135021,19501019,  118,    0
 24442,135021,19501020,   81,    0
 24442,135021,19501021,   81,    0
 24442,135021,19501022,   61,    0
 24442,135021,19501023,   51,    0
 24442,135021,19501024,   33,    0
 24442,135021,19501025,    2,    0
 24442,135021,19501026,  -12,    0
 24442,135021,19501027,  -26,    0
 24442,135021,19501028,  -45,    0
 24442,135021,19501029,  -33,    0
 24442,135021,19501030,  -32,    0
 24442,135021,19501031,   -3,    0
 24442,135021,19501101,   27,    0
 24442,135021,19501102,   25,    0
 24442,135021,19501103,   10,    0
 24442,135021,19501104,   -5,    0
 24442,135021,19501105,  -10,    0
 24442,135021,19501106,  -40,    0
 24442,135021,19501107,  -29,    0
 24442,135021,19501108,  -17,    0
 24442,135021,19501109,  -24,    0
 24442,135021,19501110,   17,    0
 24442,135021,19501111,   25,    0
 24442,135021,19501112,   51,    0
 24442,135021,19501113,   66,    0
 24442,135021,19501114,   40,    0
 24442,135021,19501115,    5,    0
 24442,135021,19501116,  -31,    0
 24442,135021,19501117,   21,    0
 24442,135021,19501118,   21,    0
 24442,135021,19501119,   12,    0
 24442,135021,19501120,   26,    0
 24442,135021,19501121,   40,    0
 24442,135021,19501122,   36,    0
 24442,135021,19501123,   32,    0
 24442,135021,19501124,  -10,    0
 24442,135021,19501125,   16,    0
 24442,135021,19501126,   14,    0
 24442,135021,19501127,   -4,    0
 24442,135021,19501128,   -7,    0
 24442,135021,19501129,   11,    0
 24442,135021,19501130,   22,    0
 24442,135021,19501201,   -2,    0
 24442,135021,19501202,   16,    0
 24442,135021,19501203,   25,    0
 24442,135021,19501204,    5,    0
 24442,135021,19501205,  -33,    0
 24442,135021,19501206,  -43,    0
 24442,135021,19501207,  -28,    0
 24442,135021,19501208,   21,    0
 24442,135021,19501209,   -2,    0
 24442,135021,19501210,    0,    0
 24442,135021,19501211,  -16,    0
 24442,135021,19501212,  -10,    0
 24442,135021,19501213,  -25,    0
 24442,135021,19501214,  -32,    0
 24442,135021,19501215,   -5,    0
 24442,135021,19501216,  -14,    0
 24442,135021,19501217,  -33,    0
 24442,135021,19501218,  -57,    0
 24442,135021,19501219,  -69,    0
 24442,135021,19501220,  -48,    0
 24442,135021,19501221,  -76,    0
 24442,135021,19501222,  -77,    0
 24442,135021,19501223,  -25,    0
 24442,135021,19501224,    7,    0
 24442,135021,19501225,    1,    0
 24442,135021,19501226,   -2,    0
 24442,135021,19501227,  -21,    0
 24442,135021,19501228,  -35,    0
 24442,135021,19501229,  -40,    0
 24442,135021,19501230,  -62,    0
 24442,135021,19501231,  -77,    0
 24442,135021,19510101,  -77,    0
 24442,135021,19510102,  -43,    0
 24442,135021,19510103,    2,    0
 24442,135021,19510104,   -2,    0
 24442,135021,19510105,   -8,    0
 24442,135021,19510106,   10,    0
 24442,135021,19510107,   11,    0
 24442,135021,19510108,    1,    0
 24442,135021,19510109,   -8,    0
 24442,135021,19510110,  -14,    0
 24442,135021,19510111,  -21,    0
 24442,135021,19510112,   -6,    0
 24442,135021,19510113,   15,    0
 24442,135021,19510114,    1,    0
 24442,135021,19510115,  -45,    0
 24442,135021,19510116,  -21,    0
 24442,135021,19510117,  -16,    0
 24442,135021,19510118,  -37,    0
 24442,135021,19510119,  -19,    0
 24442,135021,19510120,  -25,    0
 24442,135021,19510121,  -32,    0
 24442,135021,19510122,  -56,    0
 24442,135021,19510123,  -13,    0
 24442,135021,19510124,  -19,    0
 24442,135021,19510125,  -14,    0
 24442,135021,19510126,    6,    0
 24442,135021,19510127,  -17,    0
 24442,135021,19510128,  -10,    0
 24442,135021,19510129,  -44,    0
 24442,135021,19510130,  -39,    0
 24442,135021,19510131,  -27,    0
 24442,135021,19510201,   -8,    0
 24442,135021,19510202,  -10,    0
 24442,135021,19510203,  -49,    0
 24442,135021,19510204,  -52,    0
 24442,135021,19510205,  -19,    0
 24442,135021,19510206,   29,    0
 24442,135021,19510207,   27,    0
 24442,135021,19510208,   11,    0
 24442,135021,19510209,  -18,    0
 24442,135021,19510210,  -15,    0
 24442,135021,19510211,   21,    0
 24442,135021,19510212,   31,    0
 24442,135021,19510213,   61,    0
 24442,135021,19510214,   21,    0
 24442,135021,19510215,   -4,    0
 24442,135021,19510216,    0,    0
 24442,135021,19510217,  -10,    0
 24442,135021,19510218,   -4,    0
 24442,135021,19510219,  -42,    0
 24442,135021,19510220,   -9,    0
 24442,135021,19510221,    1,    0
 24442,135021,19510222,  -20,    0
 24442,135021,19510223,  -20,    0
 24442,135021,19510224,  -32,    0
 24442,135021,19510225,   -5,    0
 24442,135021,19510226,  -26,    0
 24442,135021,19510227,  -33,    0
 24442,135021,19510228,  -52,    0
 24442,135021,19510301,  -66,    0
 24442,135021,19510302,  -62,    0
 24442,135021,19510303,  -42,    0
 24442,135021,19510304,  -37,    0
 24442,135021,19510305,  -40,    0
 24442,135021,19510306,  -22,    0
 24442,135021,19510307,    5,    0
 24442,135021,19510308,   13,    0
 24442,135021,19510309,   10,    0
 24442,135021,19510310,    1,    0
 24442,135021,19510311,   -4,    0
 24442,135021,19510312,   21,    0
 24442,135021,19510313,   35,    0
 24442,135021,19510314,   26,    0
 24442,135021,19510315,   16,    0
 24442,135021,19510316,   39,    0
 24442,135021,19510317,   46,    0
 24442,135021,19510318,   68,    0
 24442,135021,19510319,   52,    0
 24442,135021,19510320,   36,    0
 24442,135021,19510321,  -22,    0
 24442,135021,19510322,  -24,    0
 24442,135021,19510323,   22,    0
 24442,135021,19510324,   21,    0
 24442,135021,19510325,  -15,    0
 24442,135021,19510326,   -9,    0
 24442,135021,19510327,   13,    0
 24442,135021,19510328,    1,    0
 24442,135021,19510329,  -28,    0
 24442,135021,19510330,  -14,    0
 24442,135021,19510331,   22,    0
 24442,135021,19510401,   24,    0
 24442,135021,19510402,   29,    0
 24442,135021,19510403,   51,    0
 24442,135021,19510404,   48,    0
 24442,135021,19510405,   66,    0
 24442,135021,19510406,   69,    0
 24442,135021,19510407,   71,    0
 24442,135021,19510408,   35,    0
 24442,135021,19510409,   31,    0
 24442,135021,19510410,   36,    0
 24442,135021,19510411,   13,    0
 24442,135021,19510412,    8,    0
 24442,135021,19510413,   40,    0
 24442,135021,19510414,   51,    0
 24442,135021,19510415,   16,    0
 24442,135021,19510416,   34,    0
 24442,135021,19510417,   76,    0
 24442,135021,19510418,   89,    0
 24442,135021,19510419,   90,    0
 24442,135021,19510420,   66,    0
 24442,135021,19510421,   82,    0
 24442,135021,19510422,   35,    0
 24442,135021,19510423,   30,    0
 24442,135021,19510424,   66,    0
 24442,135021,19510425,  100,    0
 24442,135021,19510426,  122,    0
 24442,135021,19510427,  104,    0
 24442,135021,19510428,  101,    0
 24442,135021,19510429,   64,    0
 24442,135021,19510430,   75,    0
 24442,135021,19510501,   66,    0
 24442,135021,19510502,   90,    0
 24442,135021,19510503,  110,    0
 24442,135021,19510504,  108,    0
 24442,135021,19510505,   94,    0
 24442,135021,19510506,   96,    0
 24442,135021,19510507,   91,    0
 24442,135021,19510508,   74,    0
 24442,135021,19510509,   91,    0
 24442,135021,19510510,   69,    0
 24442,135021,19510511,   45,    0
 24442,135021,19510512,   51,    0
