EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ST.VEIT/GLAN, AUSTRIA (STAID: 24445)
Blended and updated with sources:130172 131394 135320 911231 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24445,130172,19500401,   61,    0
 24445,130172,19500402,   70,    0
 24445,130172,19500403,   70,    0
 24445,130172,19500404,   64,    0
 24445,130172,19500405,   64,    0
 24445,130172,19500406,   62,    0
 24445,130172,19500407,   69,    0
 24445,130172,19500408,   85,    0
 24445,130172,19500409,  109,    0
 24445,130172,19500410,  117,    0
 24445,130172,19500411,   96,    0
 24445,130172,19500412,   73,    0
 24445,130172,19500413,  112,    0
 24445,130172,19500414,   90,    0
 24445,130172,19500415,  111,    0
 24445,130172,19500416,   46,    0
 24445,130172,19500417,   66,    0
 24445,130172,19500418,   68,    0
 24445,130172,19500419,   83,    0
 24445,130172,19500420,  115,    0
 24445,130172,19500421,  131,    0
 24445,130172,19500422,  116,    0
 24445,130172,19500423,  118,    0
 24445,130172,19500424,   79,    0
 24445,130172,19500425,   62,    0
 24445,130172,19500426,   56,    0
 24445,130172,19500427,   77,    0
 24445,130172,19500428,   83,    0
 24445,130172,19500429,   86,    0
 24445,130172,19500430,  110,    0
 24445,130172,19500501,  121,    0
 24445,130172,19500502,  113,    0
 24445,130172,19500503,  127,    0
 24445,130172,19500504,  111,    0
 24445,130172,19500505,  106,    0
 24445,130172,19500506,  129,    0
 24445,130172,19500507,  154,    0
 24445,130172,19500508,  145,    0
 24445,130172,19500509,  146,    0
 24445,130172,19500510,  137,    0
 24445,130172,19500511,  136,    0
 24445,130172,19500512,  113,    0
 24445,130172,19500513,  123,    0
 24445,130172,19500514,  129,    0
 24445,130172,19500515,  141,    0
 24445,130172,19500516,  151,    0
 24445,130172,19500517,  145,    0
 24445,130172,19500518,  135,    0
 24445,130172,19500519,  152,    0
 24445,130172,19500520,  153,    0
 24445,130172,19500521,  180,    0
 24445,130172,19500522,  195,    0
 24445,130172,19500523,  223,    0
 24445,130172,19500524,  197,    0
 24445,130172,19500525,  186,    0
 24445,130172,19500526,  192,    0
 24445,130172,19500527,  148,    0
 24445,130172,19500528,  139,    0
 24445,130172,19500529,  136,    0
 24445,130172,19500530,  152,    0
 24445,130172,19500531,  171,    0
 24445,130172,19500601,  157,    0
 24445,130172,19500602,  146,    0
 24445,130172,19500603,  169,    0
 24445,130172,19500604,  160,    0
 24445,130172,19500605,  163,    0
 24445,130172,19500606,  177,    0
 24445,130172,19500607,  185,    0
 24445,130172,19500608,  202,    0
 24445,130172,19500609,  175,    0
 24445,130172,19500610,  190,    0
 24445,130172,19500611,  205,    0
 24445,130172,19500612,  211,    0
 24445,130172,19500613,  204,    0
 24445,130172,19500614,  190,    0
 24445,130172,19500615,  211,    0
 24445,130172,19500616,  212,    0
 24445,130172,19500617,  201,    0
 24445,130172,19500618,  169,    0
 24445,130172,19500619,  186,    0
 24445,130172,19500620,  202,    0
 24445,130172,19500621,  197,    0
 24445,130172,19500622,  195,    0
 24445,130172,19500623,  171,    0
