EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SPITTAL/DRAU, AUSTRIA (STAID: 24454)
Blended and updated with sources:131498 131511 911272 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24454,131511,19770401,   49,    0
 24454,131511,19770402,   71,    0
 24454,131511,19770403,   76,    0
 24454,131511,19770404,   75,    0
 24454,131511,19770405,   30,    0
 24454,131511,19770406,   57,    0
 24454,131511,19770407,   72,    0
 24454,131511,19770408,   62,    0
 24454,131511,19770409,   48,    0
 24454,131511,19770410,   31,    0
 24454,131511,19770411,   31,    0
 24454,131511,19770412,   34,    0
 24454,131511,19770413,   64,    0
 24454,131511,19770414,   64,    0
 24454,131511,19770415,   44,    0
 24454,131511,19770416,   26,    0
 24454,131511,19770417,   46,    0
 24454,131511,19770418,   82,    0
 24454,131511,19770419,   92,    0
 24454,131511,19770420,   60,    0
 24454,131511,19770421,   59,    0
 24454,131511,19770422,  104,    0
 24454,131511,19770423,  104,    0
 24454,131511,19770424,   82,    0
 24454,131511,19770425,   92,    0
 24454,131511,19770426,  114,    0
 24454,131511,19770427,  135,    0
 24454,131511,19770428,  109,    0
 24454,131511,19770429,  125,    0
 24454,131511,19770430,  136,    0
 24454,131511,19770501,  137,    0
 24454,131511,19770502,  144,    0
 24454,131511,19770503,  137,    0
 24454,131511,19770504,  153,    0
 24454,131511,19770505,  147,    0
 24454,131511,19770506,   96,    0
 24454,131511,19770507,   80,    0
 24454,131511,19770508,   98,    0
 24454,131511,19770509,   98,    0
 24454,131511,19770510,   93,    0
 24454,131511,19770511,  121,    0
 24454,131511,19770512,  150,    0
 24454,131511,19770513,  135,    0
 24454,131511,19770514,   75,    0
 24454,131511,19770515,  104,    0
 24454,131511,19770516,  108,    0
 24454,131511,19770517,  120,    0
 24454,131511,19770518,   99,    0
 24454,131511,19770519,  152,    0
 24454,131511,19770520,  184,    0
 24454,131511,19770521,  149,    0
 24454,131511,19770522,  141,    0
 24454,131511,19770523,  118,    0
 24454,131511,19770524,  142,    0
 24454,131511,19770525,  161,    0
 24454,131511,19770526,  150,    0
 24454,131511,19770527,  114,    0
 24454,131511,19770528,  123,    0
 24454,131511,19770529,  125,    0
 24454,131511,19770530,  128,    0
 24454,131511,19770531,  131,    0
 24454,131511,19770601,  128,    0
 24454,131511,19770602,  124,    0
 24454,131511,19770603,  120,    0
 24454,131511,19770604,  119,    0
 24454,131511,19770605,  124,    0
 24454,131511,19770606,  146,    0
 24454,131511,19770607,  147,    0
 24454,131511,19770608,  154,    0
 24454,131511,19770609,  180,    0
 24454,131511,19770610,  199,    0
 24454,131511,19770611,  204,    0
 24454,131511,19770612,  209,    0
 24454,131511,19770613,  211,    0
 24454,131511,19770614,  207,    0
 24454,131511,19770615,  184,    0
 24454,131511,19770616,  154,    0
 24454,131511,19770617,  177,    0
 24454,131511,19770618,  192,    0
 24454,131511,19770619,  181,    0
 24454,131511,19770620,  179,    0
 24454,131511,19770621,  179,    0
 24454,131511,19770622,  137,    0
 24454,131511,19770623,  174,    0
 24454,131511,19770624,  169,    0
 24454,131511,19770625,  167,    0
 24454,131511,19770626,  149,    0
 24454,131511,19770627,  164,    0
 24454,131511,19770628,  146,    0
 24454,131511,19770629,  163,    0
 24454,131511,19770630,  163,    0
 24454,131511,19770701,  167,    0
 24454,131511,19770702,  165,    0
 24454,131511,19770703,  196,    0
 24454,131511,19770704,  208,    0
 24454,131511,19770705,  199,    0
 24454,131511,19770706,  187,    0
 24454,131511,19770707,  183,    0
 24454,131511,19770708,  188,    0
 24454,131511,19770709,  177,    0
 24454,131511,19770710,  174,    0
 24454,131511,19770711,  186,    0
 24454,131511,19770712,  185,    0
 24454,131511,19770713,  179,    0
 24454,131511,19770714,  175,    0
 24454,131511,19770715,  170,    0
 24454,131511,19770716,  163,    0
 24454,131511,19770717,  162,    0
 24454,131511,19770718,  189,    0
 24454,131511,19770719,  185,    0
 24454,131511,19770720,  180,    0
 24454,131511,19770721,  142,    0
 24454,131511,19770722,  137,    0
 24454,131511,19770723,  132,    0
 24454,131511,19770724,  167,    0
 24454,131511,19770725,  180,    0
 24454,131511,19770726,  143,    0
 24454,131511,19770727,  138,    0
 24454,131511,19770728,  156,    0
 24454,131511,19770729,  160,    0
 24454,131511,19770730,  184,    0
 24454,131511,19770731,  170,    0
 24454,131511,19770801,  155,    0
 24454,131511,19770802,  139,    0
 24454,131511,19770803,  153,    0
 24454,131511,19770804,  175,    0
 24454,131511,19770805,  180,    0
 24454,131511,19770806,  183,    0
 24454,131511,19770807,  183,    0
 24454,131511,19770808,  183,    0
 24454,131511,19770809,  164,    0
 24454,131511,19770810,  161,    0
 24454,131511,19770811,  155,    0
 24454,131511,19770812,  147,    0
 24454,131511,19770813,  165,    0
 24454,131511,19770814,  162,    0
 24454,131511,19770815,  155,    0
 24454,131511,19770816,  181,    0
 24454,131511,19770817,  187,    0
 24454,131511,19770818,  196,    0
 24454,131511,19770819,  163,    0
 24454,131511,19770820,  127,    0
 24454,131511,19770821,  131,    0
 24454,131511,19770822,  150,    0
 24454,131511,19770823,  146,    0
 24454,131511,19770824,  121,    0
 24454,131511,19770825,  138,    0
 24454,131511,19770826,  153,    0
 24454,131511,19770827,  158,    0
 24454,131511,19770828,  154,    0
 24454,131511,19770829,  183,    0
 24454,131511,19770830,  192,    0
 24454,131511,19770831,  188,    0
 24454,131511,19770901,  176,    0
 24454,131511,19770902,  168,    0
 24454,131511,19770903,  162,    0
 24454,131511,19770904,  160,    0
 24454,131511,19770905,  178,    0
 24454,131511,19770906,  166,    0
 24454,131511,19770907,  170,    0
 24454,131511,19770908,  168,    0
 24454,131511,19770909,  134,    0
 24454,131511,19770910,  121,    0
 24454,131511,19770911,  141,    0
 24454,131511,19770912,  151,    0
 24454,131511,19770913,  162,    0
 24454,131511,19770914,  126,    0
 24454,131511,19770915,  130,    0
 24454,131511,19770916,  132,    0
 24454,131511,19770917,   96,    0
 24454,131511,19770918,   54,    0
 24454,131511,19770919,   83,    0
 24454,131511,19770920,   73,    0
 24454,131511,19770921,   90,    0
 24454,131511,19770922,  104,    0
 24454,131511,19770923,   53,    0
 24454,131511,19770924,   81,    0
 24454,131511,19770925,   87,    0
 24454,131511,19770926,  103,    0
 24454,131511,19770927,  114,    0
 24454,131511,19770928,   98,    0
 24454,131511,19770929,   83,    0
 24454,131511,19770930,  118,    0
 24454,131511,19771001,  104,    0
 24454,131511,19771002,   87,    0
 24454,131511,19771003,   72,    0
 24454,131511,19771004,   77,    0
 24454,131511,19771005,  100,    0
 24454,131511,19771006,  123,    0
 24454,131511,19771007,  143,    0
 24454,131511,19771008,  154,    0
 24454,131511,19771009,  122,    0
 24454,131511,19771010,  118,    0
 24454,131511,19771011,  112,    0
 24454,131511,19771012,  128,    0
 24454,131511,19771013,  112,    0
 24454,131511,19771014,  101,    0
 24454,131511,19771015,  106,    0
 24454,131511,19771016,  116,    0
 24454,131511,19771017,   80,    0
 24454,131511,19771018,   78,    0
 24454,131511,19771019,   84,    0
 24454,131511,19771020,   75,    0
 24454,131511,19771021,   73,    0
 24454,131511,19771022,   85,    0
 24454,131511,19771023,  104,    0
 24454,131511,19771024,   98,    0
 24454,131511,19771025,   99,    0
 24454,131511,19771026,  117,    0
 24454,131511,19771027,   98,    0
 24454,131511,19771028,  106,    0
 24454,131511,19771029,   80,    0
 24454,131511,19771030,  100,    0
 24454,131511,19771031,   86,    0
 24454,131511,19771101,   65,    0
 24454,131511,19771102,   51,    0
 24454,131511,19771103,   71,    0
 24454,131511,19771104,   82,    0
 24454,131511,19771105,   73,    0
 24454,131511,19771106,   75,    0
 24454,131511,19771107,   68,    0
 24454,131511,19771108,   57,    0
 24454,131511,19771109,   51,    0
 24454,131511,19771110,   88,    0
 24454,131511,19771111,   82,    0
 24454,131511,19771112,   71,    0
 24454,131511,19771113,   32,    0
 24454,131511,19771114,   13,    0
 24454,131511,19771115,   -2,    0
 24454,131511,19771116,   26,    0
 24454,131511,19771117,   -6,    0
 24454,131511,19771118,   -4,    0
 24454,131511,19771119,   -8,    0
 24454,131511,19771120,  -21,    0
 24454,131511,19771121,   -7,    0
 24454,131511,19771122,   25,    0
 24454,131511,19771123,  -17,    0
 24454,131511,19771124,  -24,    0
 24454,131511,19771125,  -34,    0
 24454,131511,19771126,   10,    0
 24454,131511,19771127,   15,    0
 24454,131511,19771128,  -27,    0
 24454,131511,19771129,  -29,    0
 24454,131511,19771130,  -40,    0
 24454,131511,19771201,  -21,    0
 24454,131511,19771202,  -34,    0
