EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KIRCHDORF/TIROL, AUSTRIA (STAID: 24470)
Blended and updated with sources:131719 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24470,131719,20060615,  190,    0
 24470,131719,20060616,  203,    0
 24470,131719,20060617,  195,    0
 24470,131719,20060618,  211,    0
 24470,131719,20060619,  208,    0
 24470,131719,20060620,  214,    0
 24470,131719,20060621,  220,    0
 24470,131719,20060622,  207,    0
 24470,131719,20060623,  186,    0
 24470,131719,20060624,  202,    0
 24470,131719,20060625,  227,    0
 24470,131719,20060626,  199,    0
 24470,131719,20060627,  226,    0
 24470,131719,20060628,  190,    0
 24470,131719,20060629,  162,    0
 24470,131719,20060630,  157,    0
 24470,131719,20060701,  161,    0
 24470,131719,20060702,  160,    0
 24470,131719,20060703,  183,    0
 24470,131719,20060704,  198,    0
 24470,131719,20060705,  208,    0
 24470,131719,20060706,  215,    0
 24470,131719,20060707,  175,    0
 24470,131719,20060708,  184,    0
 24470,131719,20060709,  199,    0
 24470,131719,20060710,  197,    0
 24470,131719,20060711,  204,    0
 24470,131719,20060712,  199,    0
 24470,131719,20060713,  208,    0
 24470,131719,20060714,  194,    0
 24470,131719,20060715,  203,    0
 24470,131719,20060716,  169,    0
 24470,131719,20060717,  168,    0
 24470,131719,20060718,  179,    0
 24470,131719,20060719,  202,    0
 24470,131719,20060720,  225,    0
 24470,131719,20060721,  230,    0
 24470,131719,20060722,  229,    0
 24470,131719,20060723,  215,    0
 24470,131719,20060724,  211,    0
 24470,131719,20060725,  219,    0
 24470,131719,20060726,  215,    0
 24470,131719,20060727,  241,    0
 24470,131719,20060728,  211,    0
 24470,131719,20060729,  167,    0
 24470,131719,20060730,  210,    0
 24470,131719,20060731,  216,    0
 24470,131719,20060801,  200,    0
 24470,131719,20060802,  170,    0
 24470,131719,20060803,  141,    0
 24470,131719,20060804,  115,    0
 24470,131719,20060805,  133,    0
 24470,131719,20060806,  127,    0
 24470,131719,20060807,  140,    0
 24470,131719,20060808,  165,    0
 24470,131719,20060809,  140,    0
 24470,131719,20060810,  147,    0
 24470,131719,20060811,  121,    0
 24470,131719,20060812,  112,    0
 24470,131719,20060813,  131,    0
 24470,131719,20060814,  131,    0
 24470,131719,20060815,  146,    0
 24470,131719,20060816,  161,    0
 24470,131719,20060817,  189,    0
 24470,131719,20060818,  178,    0
 24470,131719,20060819,  196,    0
 24470,131719,20060820,  172,    0
 24470,131719,20060821,  151,    0
 24470,131719,20060822,  125,    0
 24470,131719,20060823,  154,    0
 24470,131719,20060824,  153,    0
 24470,131719,20060825,  149,    0
 24470,131719,20060826,  142,    0
 24470,131719,20060827,  143,    0
 24470,131719,20060828,  136,    0
 24470,131719,20060829,  106,    0
 24470,131719,20060830,   83,    0
 24470,131719,20060831,  122,    0
 24470,131719,20060901,  130,    0
 24470,131719,20060902,  161,    0
 24470,131719,20060903,  163,    0
 24470,131719,20060904,  201,    0
 24470,131719,20060905,  202,    0
 24470,131719,20060906,  186,    0
 24470,131719,20060907,  217,    0
 24470,131719,20060908,  160,    0
 24470,131719,20060909,  136,    0
 24470,131719,20060910,  159,    0
 24470,131719,20060911,  169,    0
 24470,131719,20060912,  167,    0
 24470,131719,20060913,  166,    0
 24470,131719,20060914,  169,    0
 24470,131719,20060915,  165,    0
 24470,131719,20060916,  151,    0
 24470,131719,20060917,  179,    0
 24470,131719,20060918,  141,    0
 24470,131719,20060919,  138,    0
 24470,131719,20060920,  164,    0
 24470,131719,20060921,  149,    0
 24470,131719,20060922,  156,    0
 24470,131719,20060923,  166,    0
 24470,131719,20060924,  164,    0
 24470,131719,20060925,  170,    0
 24470,131719,20060926,  154,    0
 24470,131719,20060927,  164,    0
 24470,131719,20060928,  154,    0
 24470,131719,20060929,  151,    0
 24470,131719,20060930,  158,    0
 24470,131719,20061001,  161,    0
 24470,131719,20061002,  168,    0
 24470,131719,20061003,  167,    0
 24470,131719,20061004,  125,    0
 24470,131719,20061005,  100,    0
 24470,131719,20061006,  108,    0
 24470,131719,20061007,   70,    0
 24470,131719,20061008,  117,    0
 24470,131719,20061009,  107,    0
 24470,131719,20061010,  109,    0
 24470,131719,20061011,  117,    0
 24470,131719,20061012,  112,    0
 24470,131719,20061013,  118,    0
 24470,131719,20061014,  104,    0
 24470,131719,20061015,  124,    0
 24470,131719,20061016,   82,    0
 24470,131719,20061017,   90,    0
 24470,131719,20061018,   83,    0
 24470,131719,20061019,  106,    0
 24470,131719,20061020,  123,    0
 24470,131719,20061021,  105,    0
 24470,131719,20061022,  116,    0
 24470,131719,20061023,  126,    0
 24470,131719,20061024,  119,    0
 24470,131719,20061025,  116,    0
 24470,131719,20061026,  125,    0
 24470,131719,20061027,  126,    0
 24470,131719,20061028,  146,    0
 24470,131719,20061029,  122,    0
 24470,131719,20061030,   98,    0
 24470,131719,20061031,   78,    0
 24470,131719,20061101,   64,    0
 24470,131719,20061102,    3,    0
 24470,131719,20061103,  -14,    0
 24470,131719,20061104,   -1,    0
 24470,131719,20061105,   -6,    0
 24470,131719,20061106,   28,    0
 24470,131719,20061107,   10,    0
 24470,131719,20061108,   10,    0
 24470,131719,20061109,   26,    0
 24470,131719,20061110,   41,    0
 24470,131719,20061111,   10,    0
 24470,131719,20061112,   42,    0
 24470,131719,20061113,   36,    0
 24470,131719,20061114,   61,    0
 24470,131719,20061115,   94,    0
 24470,131719,20061116,   72,    0
 24470,131719,20061117,   56,    0
 24470,131719,20061118,   78,    0
 24470,131719,20061119,   74,    0
 24470,131719,20061120,   48,    0
 24470,131719,20061121,   41,    0
 24470,131719,20061122,   22,    0
 24470,131719,20061123,   15,    0
 24470,131719,20061124,   41,    0
 24470,131719,20061125,   69,    0
 24470,131719,20061126,   65,    0
 24470,131719,20061127,   47,    0
 24470,131719,20061128,   18,    0
 24470,131719,20061129,   14,    0
 24470,131719,20061130,   43,    0
 24470,131719,20061201,   13,    0
 24470,131719,20061202,    3,    0
 24470,131719,20061203,    7,    0
 24470,131719,20061204,   21,    0
 24470,131719,20061205,   65,    0
 24470,131719,20061206,   59,    0
 24470,131719,20061207,   52,    0
 24470,131719,20061208,   79,    0
 24470,131719,20061209,   48,    0
 24470,131719,20061210,   13,    0
 24470,131719,20061211,  -10,    0
 24470,131719,20061212,   -6,    0
 24470,131719,20061213,   -9,    0
 24470,131719,20061214,   -5,    0
 24470,131719,20061215,    1,    0
 24470,131719,20061216,   -4,    0
 24470,131719,20061217,   -3,    0
 24470,131719,20061218,   21,    0
 24470,131719,20061219,   -9,    0
 24470,131719,20061220,  -36,    0
 24470,131719,20061221,  -23,    0
 24470,131719,20061222,  -43,    0
 24470,131719,20061223,  -36,    0
