EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DUERRNBERG, AUSTRIA (STAID: 24475)
Blended and updated with sources:131784 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24475,131784,19660901,  116,    0
 24475,131784,19660902,  147,    0
 24475,131784,19660903,  165,    0
 24475,131784,19660904,  160,    0
 24475,131784,19660905,  144,    0
 24475,131784,19660906,  142,    0
 24475,131784,19660907,  190,    0
 24475,131784,19660908,  197,    0
 24475,131784,19660909,  173,    0
 24475,131784,19660910,  195,    0
 24475,131784,19660911,  195,    0
 24475,131784,19660912,  231,    0
 24475,131784,19660913,  169,    0
 24475,131784,19660914,  144,    0
 24475,131784,19660915,  151,    0
 24475,131784,19660916,  119,    0
 24475,131784,19660917,  104,    0
 24475,131784,19660918,  104,    0
 24475,131784,19660919,  108,    0
 24475,131784,19660920,  123,    0
 24475,131784,19660921,  125,    0
 24475,131784,19660922,  139,    0
 24475,131784,19660923,  124,    0
 24475,131784,19660924,  137,    0
 24475,131784,19660925,  113,    0
 24475,131784,19660926,  123,    0
 24475,131784,19660927,  140,    0
 24475,131784,19660928,  131,    0
 24475,131784,19660929,  128,    0
 24475,131784,19660930,  114,    0
 24475,131784,19661001,  131,    0
 24475,131784,19661002,  149,    0
 24475,131784,19661003,  170,    0
 24475,131784,19661004,  210,    0
 24475,131784,19661005,  175,    0
 24475,131784,19661006,  151,    0
 24475,131784,19661007,  184,    0
 24475,131784,19661008,  187,    0
 24475,131784,19661009,  202,    0
 24475,131784,19661010,  165,    0
 24475,131784,19661011,  158,    0
 24475,131784,19661012,  147,    0
 24475,131784,19661013,  138,    0
 24475,131784,19661014,  156,    0
 24475,131784,19661015,  158,    0
 24475,131784,19661016,  155,    0
 24475,131784,19661017,  114,    0
 24475,131784,19661018,  117,    0
 24475,131784,19661019,  131,    0
 24475,131784,19661020,   98,    0
 24475,131784,19661021,   94,    0
 24475,131784,19661022,   99,    0
 24475,131784,19661023,  132,    0
 24475,131784,19661024,  128,    0
 24475,131784,19661025,  165,    0
 24475,131784,19661026,  130,    0
 24475,131784,19661027,   65,    0
 24475,131784,19661028,   50,    0
 24475,131784,19661029,   30,    0
 24475,131784,19661030,   -3,    0
 24475,131784,19661031,  -10,    0
 24475,131784,19661101,  -28,    0
 24475,131784,19661102,  -20,    0
 24475,131784,19661103,   35,    0
 24475,131784,19661104,   66,    0
 24475,131784,19661105,   53,    0
 24475,131784,19661106,  140,    0
 24475,131784,19661107,  134,    0
 24475,131784,19661108,  111,    0
 24475,131784,19661109,  131,    0
 24475,131784,19661110,   80,    0
 24475,131784,19661111,   20,    0
 24475,131784,19661112,   -4,    0
 24475,131784,19661113,   -5,    0
 24475,131784,19661114,  -43,    0
 24475,131784,19661115,  -17,    0
 24475,131784,19661116,    3,    0
 24475,131784,19661117,    0,    0
 24475,131784,19661118,  -10,    0
 24475,131784,19661119,  -10,    0
 24475,131784,19661120,  -18,    0
 24475,131784,19661121,    0,    0
 24475,131784,19661122,   -2,    0
 24475,131784,19661123,  -25,    0
 24475,131784,19661124,  -40,    0
 24475,131784,19661125,  -33,    0
 24475,131784,19661126,  -33,    0
 24475,131784,19661127,    5,    0
 24475,131784,19661128,   11,    0
 24475,131784,19661129,    8,    0
 24475,131784,19661130,  -19,    0
 24475,131784,19661201,   25,    0
 24475,131784,19661202,   63,    0
 24475,131784,19661203,  -10,    0
 24475,131784,19661204,  -15,    0
 24475,131784,19661205,  -30,    0
 24475,131784,19661206,  -35,    0
 24475,131784,19661207,  -40,    0
 24475,131784,19661208,  -38,    0
 24475,131784,19661209,  -24,    0
 24475,131784,19661210,   18,    0
 24475,131784,19661211,   18,    0
 24475,131784,19661212,   20,    0
 24475,131784,19661213,    8,    0
 24475,131784,19661214,   -8,    0
 24475,131784,19661215,  -20,    0
 24475,131784,19661216,  -28,    0
 24475,131784,19661217,    8,    0
 24475,131784,19661218,   46,    0
 24475,131784,19661219,   47,    0
 24475,131784,19661220,   34,    0
 24475,131784,19661221,  -13,    0
 24475,131784,19661222,  -38,    0
 24475,131784,19661223,  -15,    0
 24475,131784,19661224,   15,    0
 24475,131784,19661225,   18,    0
 24475,131784,19661226,  -34,    0
 24475,131784,19661227,  -32,    0
 24475,131784,19661228,  -15,    0
 24475,131784,19661229,   26,    0
 24475,131784,19661230,   31,    0
 24475,131784,19661231,   14,    0
 24475,131784,19670101,   39,    0
 24475,131784,19670102,  -11,    0
 24475,131784,19670103,  -35,    0
 24475,131784,19670104,  -45,    0
 24475,131784,19670105,  -58,    0
 24475,131784,19670106,  -73,    0
 24475,131784,19670107,  -89,    0
 24475,131784,19670108, -104,    0
 24475,131784,19670109, -113,    0
 24475,131784,19670110, -110,    0
 24475,131784,19670111,  -73,    0
 24475,131784,19670112,  -31,    0
 24475,131784,19670113,  -15,    0
 24475,131784,19670114,   10,    0
 24475,131784,19670115,    0,    0
 24475,131784,19670116,   -2,    0
 24475,131784,19670117,    3,    0
 24475,131784,19670118,   22,    0
 24475,131784,19670119,    3,    0
 24475,131784,19670120,   18,    0
 24475,131784,19670121,   11,    0
 24475,131784,19670122,   12,    0
 24475,131784,19670123,   11,    0
 24475,131784,19670124,   33,    0
 24475,131784,19670125,   17,    0
 24475,131784,19670126,   31,    0
 24475,131784,19670127,   20,    0
 24475,131784,19670128,   40,    0
 24475,131784,19670129,   75,    0
 24475,131784,19670130,   88,    0
 24475,131784,19670131,   76,    0
 24475,131784,19670201,   43,    0
 24475,131784,19670202,   45,    0
 24475,131784,19670203,   50,    0
 24475,131784,19670204,   52,    0
 24475,131784,19670205,   13,    0
 24475,131784,19670206,    8,    0
 24475,131784,19670207,   15,    0
 24475,131784,19670208,    5,    0
 24475,131784,19670209,  -24,    0
 24475,131784,19670210,  -56,    0
 24475,131784,19670211,  -35,    0
 24475,131784,19670212,  -47,    0
 24475,131784,19670213,  -65,    0
 24475,131784,19670214,  -49,    0
 24475,131784,19670215,  -10,    0
 24475,131784,19670216,   30,    0
 24475,131784,19670217,   50,    0
 24475,131784,19670218,   37,    0
 24475,131784,19670219,   49,    0
 24475,131784,19670220,   41,    0
 24475,131784,19670221,   63,    0
 24475,131784,19670222,   59,    0
 24475,131784,19670223,   84,    0
 24475,131784,19670224,   75,    0
 24475,131784,19670225,   66,    0
 24475,131784,19670226,   70,    0
 24475,131784,19670227,   67,    0
 24475,131784,19670228,   74,    0
 24475,131784,19670301,   24,    0
 24475,131784,19670302,   30,    0
 24475,131784,19670303,   49,    0
 24475,131784,19670304,   50,    0
 24475,131784,19670305,   93,    0
 24475,131784,19670306,   83,    0
 24475,131784,19670307,   64,    0
 24475,131784,19670308,   94,    0
 24475,131784,19670309,  144,    0
 24475,131784,19670310,  107,    0
 24475,131784,19670311,   68,    0
 24475,131784,19670312,   22,    0
 24475,131784,19670313,   33,    0
 24475,131784,19670314,   -9,    0
 24475,131784,19670315,   20,    0
 24475,131784,19670316,   19,    0
 24475,131784,19670317,   -9,    0
 24475,131784,19670318,   19,    0
 24475,131784,19670319,   -4,    0
 24475,131784,19670320,    5,    0
