EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RIED IM INNKREIS, AUSTRIA (STAID: 24489)
Blended and updated with sources:125414 131966 911053 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24489,131966,19360101,   -1,    0
 24489,131966,19360102,    2,    0
 24489,131966,19360103,   34,    0
 24489,131966,19360104,   49,    0
 24489,131966,19360105,   14,    0
 24489,131966,19360106,   -3,    0
 24489,131966,19360107,    5,    0
 24489,131966,19360108,   15,    0
 24489,131966,19360109,    9,    0
 24489,131966,19360110,   62,    0
 24489,131966,19360111,   64,    0
 24489,131966,19360112,   24,    0
 24489,131966,19360113,   -4,    0
 24489,131966,19360114,  -11,    0
 24489,131966,19360115,  -67,    0
 24489,131966,19360116,  -97,    0
 24489,131966,19360117,  -71,    0
 24489,131966,19360118,  -24,    0
 24489,131966,19360119,  -66,    0
 24489,131966,19360120,  -53,    0
 24489,131966,19360121,   -7,    0
 24489,131966,19360122,    5,    0
 24489,131966,19360123,    8,    0
 24489,131966,19360124,  -20,    0
 24489,131966,19360125,   -8,    0
 24489,131966,19360126,    1,    0
 24489,131966,19360127,   -6,    0
 24489,131966,19360128,   15,    0
 24489,131966,19360129,   18,    0
 24489,131966,19360130,    4,    0
 24489,131966,19360131,   28,    0
 24489,131966,19360201,   49,    0
 24489,131966,19360202,   47,    0
 24489,131966,19360203,   37,    0
 24489,131966,19360204,    2,    0
 24489,131966,19360205,  -20,    0
 24489,131966,19360206,  -30,    0
 24489,131966,19360207,  -23,    0
 24489,131966,19360208,  -52,    0
 24489,131966,19360209,  -41,    0
 24489,131966,19360210, -117,    0
 24489,131966,19360211, -144,    0
 24489,131966,19360212, -117,    0
 24489,131966,19360213,  -81,    0
 24489,131966,19360214,  -75,    0
 24489,131966,19360215,  -50,    0
 24489,131966,19360216,   -6,    0
 24489,131966,19360217,   -5,    0
 24489,131966,19360218,    9,    0
 24489,131966,19360219,   17,    0
 24489,131966,19360220,   34,    0
 24489,131966,19360221,   26,    0
 24489,131966,19360222,   19,    0
 24489,131966,19360223,   53,    0
 24489,131966,19360224,   28,    0
 24489,131966,19360225,   16,    0
 24489,131966,19360226,    8,    0
 24489,131966,19360227,   10,    0
 24489,131966,19360228,   50,    0
 24489,131966,19360229,   42,    0
 24489,131966,19360301,   42,    0
 24489,131966,19360302,   33,    0
 24489,131966,19360303,   53,    0
 24489,131966,19360304,   95,    0
 24489,131966,19360305,  103,    0
 24489,131966,19360306,   40,    0
 24489,131966,19360307,   25,    0
 24489,131966,19360308,   23,    0
 24489,131966,19360309,   42,    0
 24489,131966,19360310,   40,    0
 24489,131966,19360311,   30,    0
 24489,131966,19360312,   42,    0
 24489,131966,19360313,   19,    0
 24489,131966,19360314,   15,    0
 24489,131966,19360315,   18,    0
 24489,131966,19360316,    8,    0
 24489,131966,19360317,   -1,    0
 24489,131966,19360318,   10,    0
 24489,131966,19360319,   42,    0
 24489,131966,19360320,   50,    0
 24489,131966,19360321,   61,    0
 24489,131966,19360322,   69,    0
 24489,131966,19360323,   92,    0
 24489,131966,19360324,   95,    0
 24489,131966,19360325,   77,    0
 24489,131966,19360326,   94,    0
 24489,131966,19360327,   91,    0
 24489,131966,19360328,   78,    0
 24489,131966,19360329,   82,    0
 24489,131966,19360330,   85,    0
 24489,131966,19360331,  103,    0
 24489,131966,19360401,   95,    0
 24489,131966,19360402,  137,    0
 24489,131966,19360403,  130,    0
 24489,131966,19360404,  130,    0
 24489,131966,19360405,   60,    0
 24489,131966,19360406,   50,    0
 24489,131966,19360407,   42,    0
 24489,131966,19360408,   51,    0
 24489,131966,19360409,   81,    0
 24489,131966,19360410,   74,    0
 24489,131966,19360411,   64,    0
 24489,131966,19360412,   23,    0
 24489,131966,19360413,   35,    0
 24489,131966,19360414,   74,    0
 24489,131966,19360415,  118,    0
 24489,131966,19360416,  119,    0
 24489,131966,19360417,   83,    0
 24489,131966,19360418,   22,    0
 24489,131966,19360419,   33,    0
 24489,131966,19360420,   42,    0
 24489,131966,19360421,   50,    0
 24489,131966,19360422,   72,    0
 24489,131966,19360423,   49,    0
 24489,131966,19360424,   44,    0
 24489,131966,19360425,   67,    0
 24489,131966,19360426,  116,    0
 24489,131966,19360427,  125,    0
 24489,131966,19360428,  111,    0
 24489,131966,19360429,  137,    0
 24489,131966,19360430,  132,    0
 24489,131966,19360501,  114,    0
 24489,131966,19360502,  102,    0
 24489,131966,19360503,  111,    0
 24489,131966,19360504,  130,    0
 24489,131966,19360505,  126,    0
 24489,131966,19360506,  132,    0
 24489,131966,19360507,  131,    0
 24489,131966,19360508,  140,    0
 24489,131966,19360509,  147,    0
 24489,131966,19360510,  151,    0
 24489,131966,19360511,  149,    0
 24489,131966,19360512,  155,    0
 24489,131966,19360513,  143,    0
 24489,131966,19360514,  138,    0
 24489,131966,19360515,  111,    0
 24489,131966,19360516,  114,    0
 24489,131966,19360517,  139,    0
 24489,131966,19360518,  148,    0
 24489,131966,19360519,  131,    0
 24489,131966,19360520,  133,    0
 24489,131966,19360521,  143,    0
 24489,131966,19360522,   65,    0
 24489,131966,19360523,   59,    0
 24489,131966,19360524,  107,    0
 24489,131966,19360525,  112,    0
 24489,131966,19360526,  133,    0
 24489,131966,19360527,  144,    0
 24489,131966,19360528,  136,    0
 24489,131966,19360529,  140,    0
 24489,131966,19360530,  121,    0
 24489,131966,19360531,  131,    0
 24489,131966,19360601,   90,    0
 24489,131966,19360602,  105,    0
 24489,131966,19360603,  120,    0
 24489,131966,19360604,  143,    0
 24489,131966,19360605,   67,    0
 24489,131966,19360606,   76,    0
 24489,131966,19360607,  116,    0
 24489,131966,19360608,  124,    0
 24489,131966,19360609,  111,    0
 24489,131966,19360610,  108,    0
 24489,131966,19360611,  120,    0
 24489,131966,19360612,  136,    0
 24489,131966,19360613,  128,    0
 24489,131966,19360614,  147,    0
 24489,131966,19360615,  171,    0
 24489,131966,19360616,  192,    0
 24489,131966,19360617,  197,    0
 24489,131966,19360618,  204,    0
 24489,131966,19360619,  190,    0
 24489,131966,19360620,  182,    0
 24489,131966,19360621,  187,    0
 24489,131966,19360622,  196,    0
 24489,131966,19360623,  218,    0
 24489,131966,19360624,  191,    0
 24489,131966,19360625,  177,    0
 24489,131966,19360626,  176,    0
