EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BADEN, AUSTRIA (STAID: 24495)
Blended and updated with sources:130835 132044 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24495,132044,19540401,   73,    0
 24495,132044,19540402,   79,    0
 24495,132044,19540403,   90,    0
 24495,132044,19540404,  105,    0
 24495,132044,19540405,  135,    0
 24495,132044,19540406,  106,    0
 24495,132044,19540407,   61,    0
 24495,132044,19540408,   69,    0
 24495,132044,19540409,   60,    0
 24495,132044,19540410,   43,    0
 24495,132044,19540411,   53,    0
 24495,132044,19540412,   53,    0
 24495,132044,19540413,   75,    0
 24495,132044,19540414,   90,    0
 24495,132044,19540415,   72,    0
 24495,132044,19540416,   34,    0
 24495,132044,19540417,   34,    0
 24495,132044,19540418,   48,    0
 24495,132044,19540419,   50,    0
 24495,132044,19540420,   40,    0
 24495,132044,19540421,   73,    0
 24495,132044,19540422,   79,    0
 24495,132044,19540423,   82,    0
 24495,132044,19540424,   76,    0
 24495,132044,19540425,  100,    0
 24495,132044,19540426,   97,    0
 24495,132044,19540427,   78,    0
 24495,132044,19540428,   74,    0
 24495,132044,19540429,   79,    0
 24495,132044,19540430,  115,    0
 24495,132044,19540501,  130,    0
 24495,132044,19540502,  130,    0
 24495,132044,19540503,  135,    0
 24495,132044,19540504,  118,    0
 24495,132044,19540505,  112,    0
 24495,132044,19540506,  110,    0
 24495,132044,19540507,   93,    0
 24495,132044,19540508,   85,    0
 24495,132044,19540509,  136,    0
 24495,132044,19540510,  146,    0
 24495,132044,19540511,  185,    0
 24495,132044,19540512,  170,    0
 24495,132044,19540513,  136,    0
 24495,132044,19540514,  100,    0
 24495,132044,19540515,   99,    0
 24495,132044,19540516,  130,    0
 24495,132044,19540517,  109,    0
 24495,132044,19540518,  128,    0
 24495,132044,19540519,  125,    0
 24495,132044,19540520,  118,    0
