EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ST.ANDRAE/LAVANTTAL, AUSTRIA (STAID: 24508)
Blended and updated with sources:131342 132213 135476 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24508,135476,19530101,   12,    0
 24508,135476,19530102,   12,    0
 24508,135476,19530103,    6,    0
 24508,135476,19530104,   -9,    0
 24508,135476,19530105,  -50,    0
 24508,135476,19530106,  -16,    0
 24508,135476,19530107,   -9,    0
 24508,135476,19530108,  -20,    0
 24508,135476,19530109,    5,    0
 24508,135476,19530110,  -48,    0
 24508,135476,19530111,  -53,    0
 24508,135476,19530112,  -35,    0
 24508,135476,19530113,  -53,    0
 24508,135476,19530114,  -38,    0
 24508,135476,19530115,  -72,    0
 24508,135476,19530116, -109,    0
 24508,135476,19530117,  -27,    0
 24508,135476,19530118,  -45,    0
 24508,135476,19530119,  -50,    0
 24508,135476,19530120,  -53,    0
 24508,135476,19530121,  -96,    0
 24508,135476,19530122,  -82,    0
 24508,135476,19530123,  -76,    0
 24508,135476,19530124,  -78,    0
 24508,135476,19530125,  -78,    0
 24508,135476,19530126,   -2,    0
 24508,135476,19530127,  -51,    0
 24508,135476,19530128,  -43,    0
 24508,135476,19530129,  -25,    0
 24508,135476,19530130,  -17,    0
 24508,135476,19530131,   -7,    0
 24508,135476,19530201,   -1,    0
 24508,135476,19530202,  -13,    0
 24508,135476,19530203,  -23,    0
 24508,135476,19530204,  -30,    0
 24508,135476,19530205,  -55,    0
 24508,135476,19530206,  -54,    0
 24508,135476,19530207,  -61,    0
 24508,135476,19530208,  -57,    0
 24508,135476,19530209,  -91,    0
 24508,135476,19530210,  -60,    0
 24508,135476,19530211,   16,    0
 24508,135476,19530212,  -17,    0
 24508,135476,19530213,  -17,    0
 24508,135476,19530214,    7,    0
 24508,135476,19530215,  -12,    0
 24508,135476,19530216,    7,    0
 24508,135476,19530217,  -13,    0
 24508,135476,19530218,  -19,    0
 24508,135476,19530219,   -1,    0
