EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ACHENKIRCH, AUSTRIA (STAID: 24521)
Blended and updated with sources:132382 132395 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24521,132382,19870801,  132,    0
 24521,132382,19870802,  121,    0
 24521,132382,19870803,  165,    0
 24521,132382,19870804,  127,    0
 24521,132382,19870805,   81,    0
 24521,132382,19870806,   73,    0
 24521,132382,19870807,   95,    0
 24521,132382,19870808,  125,    0
 24521,132382,19870809,  133,    0
 24521,132382,19870810,  117,    0
 24521,132382,19870811,  117,    0
 24521,132382,19870812,  133,    0
 24521,132382,19870813,  153,    0
 24521,132382,19870814,  143,    0
 24521,132382,19870815,  153,    0
 24521,132382,19870816,  160,    0
 24521,132382,19870817,  186,    0
 24521,132382,19870818,  145,    0
 24521,132382,19870819,  174,    0
 24521,132382,19870820,  179,    0
 24521,132382,19870821,  175,    0
 24521,132382,19870822,  182,    0
 24521,132382,19870823,  185,    0
 24521,132382,19870824,  179,    0
 24521,132382,19870825,  147,    0
 24521,132382,19870826,  137,    0
 24521,132382,19870827,  147,    0
 24521,132382,19870828,  110,    0
 24521,132382,19870829,  142,    0
 24521,132382,19870830,  152,    0
 24521,132382,19870831,  164,    0
 24521,132382,19870901,  167,    0
 24521,132382,19870902,  173,    0
 24521,132382,19870903,  174,    0
 24521,132382,19870904,  158,    0
 24521,132382,19870905,  165,    0
 24521,132382,19870906,  118,    0
 24521,132382,19870907,  137,    0
 24521,132382,19870908,  119,    0
 24521,132382,19870909,  128,    0
 24521,132382,19870910,  124,    0
 24521,132382,19870911,  129,    0
 24521,132382,19870912,  165,    0
 24521,132382,19870913,  178,    0
 24521,132382,19870914,  176,    0
 24521,132382,19870915,  162,    0
 24521,132382,19870916,  186,    0
 24521,132382,19870917,  186,    0
 24521,132382,19870918,  172,    0
 24521,132382,19870919,  162,    0
 24521,132382,19870920,  169,    0
 24521,132382,19870921,  167,    0
 24521,132382,19870922,  166,    0
 24521,132382,19870923,  175,    0
 24521,132382,19870924,  126,    0
 24521,132382,19870925,  135,    0
 24521,132382,19870926,  127,    0
 24521,132382,19870927,   92,    0
 24521,132382,19870928,   66,    0
 24521,132382,19870929,   68,    0
 24521,132382,19870930,   54,    0
 24521,132382,19871001,   56,    0
 24521,132382,19871002,   61,    0
 24521,132382,19871003,   64,    0
 24521,132382,19871004,  105,    0
 24521,132382,19871005,  141,    0
 24521,132382,19871006,  143,    0
 24521,132382,19871007,   93,    0
 24521,132382,19871008,  100,    0
 24521,132382,19871009,   84,    0
 24521,132382,19871010,  117,    0
 24521,132382,19871011,  159,    0
 24521,132382,19871012,   77,    0
 24521,132382,19871013,   63,    0
 24521,132382,19871014,   51,    0
 24521,132382,19871015,  113,    0
 24521,132382,19871016,  167,    0
 24521,132382,19871017,  104,    0
 24521,132382,19871018,   70,    0
 24521,132382,19871019,   83,    0
 24521,132382,19871020,   67,    0
 24521,132382,19871021,   88,    0
 24521,132382,19871022,   57,    0
 24521,132382,19871023,   67,    0
 24521,132382,19871024,  105,    0
 24521,132382,19871025,   99,    0
 24521,132382,19871026,   94,    0
 24521,132382,19871027,  109,    0
 24521,132382,19871028,  106,    0
 24521,132382,19871029,  104,    0
 24521,132382,19871030,   80,    0
 24521,132382,19871031,   88,    0
 24521,132382,19871101,   65,    0
 24521,132382,19871102,   73,    0
 24521,132382,19871103,   57,    0
 24521,132382,19871104,   51,    0
 24521,132382,19871105,   55,    0
 24521,132382,19871106,   50,    0
 24521,132382,19871107,   46,    0
 24521,132382,19871108,   41,    0
 24521,132382,19871109,   33,    0
 24521,132382,19871110,   35,    0
 24521,132382,19871111,   43,    0
 24521,132382,19871112,   45,    0
 24521,132382,19871113,   42,    0
 24521,132382,19871114,   37,    0
 24521,132382,19871115,   13,    0
 24521,132382,19871116,   20,    0
 24521,132382,19871117,   50,    0
 24521,132382,19871118,   34,    0
 24521,132382,19871119,   31,    0
 24521,132382,19871120,   33,    0
 24521,132382,19871121,    6,    0
 24521,132382,19871122,   -1,    0
 24521,132382,19871123,   -7,    0
 24521,132382,19871124,   -1,    0
 24521,132382,19871125,   34,    0
 24521,132382,19871126,    0,    0
 24521,132382,19871127,  -36,    0
 24521,132382,19871128,  -16,    0
 24521,132382,19871129,  -14,    0
 24521,132382,19871130,   -3,    0
 24521,132382,19871201,   -3,    0
 24521,132382,19871202,  -10,    0
 24521,132382,19871203,  -32,    0
 24521,132382,19871204,  -30,    0
 24521,132382,19871205,   -9,    0
 24521,132382,19871206,    4,    0
 24521,132382,19871207,   13,    0
 24521,132382,19871208,  -28,    0
 24521,132382,19871209,  -57,    0
 24521,132382,19871210,  -58,    0
 24521,132382,19871211,  -72,    0
 24521,132382,19871212,  -65,    0
 24521,132382,19871213,  -65,    0
 24521,132382,19871214,  -58,    0
 24521,132382,19871215,  -35,    0
 24521,132382,19871216,  -20,    0
 24521,132382,19871217,   33,    0
 24521,132382,19871218,   31,    0
 24521,132382,19871219,   39,    0
 24521,132382,19871220,   33,    0
