EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEUMARKTER SATTEL, AUSTRIA (STAID: 24546)
Blended and updated with sources:132707 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24546,132707,19870101,   38,    0
 24546,132707,19870102,   18,    0
 24546,132707,19870103,  -20,    0
 24546,132707,19870104,  -37,    0
 24546,132707,19870105,  -48,    0
 24546,132707,19870106,  -53,    0
 24546,132707,19870107,  -70,    0
 24546,132707,19870108, -119,    0
 24546,132707,19870109,  -80,    0
 24546,132707,19870110,  -57,    0
 24546,132707,19870111,  -99,    0
 24546,132707,19870112, -168,    0
 24546,132707,19870113, -163,    0
 24546,132707,19870114,  -95,    0
 24546,132707,19870115,  -98,    0
 24546,132707,19870116,  -69,    0
 24546,132707,19870117,  -64,    0
 24546,132707,19870118,  -58,    0
 24546,132707,19870119,  -13,    0
 24546,132707,19870120,  -19,    0
 24546,132707,19870121,  -57,    0
 24546,132707,19870122,  -57,    0
 24546,132707,19870123,  -33,    0
 24546,132707,19870124,    3,    0
 24546,132707,19870125,  -11,    0
 24546,132707,19870126,  -23,    0
 24546,132707,19870127,  -31,    0
 24546,132707,19870128,  -35,    0
 24546,132707,19870129,  -51,    0
 24546,132707,19870130, -102,    0
 24546,132707,19870131, -122,    0
 24546,132707,19870201,  -96,    0
 24546,132707,19870202,  -91,    0
 24546,132707,19870203,  -54,    0
 24546,132707,19870204,    4,    0
 24546,132707,19870205,    2,    0
 24546,132707,19870206,    2,    0
 24546,132707,19870207,   38,    0
 24546,132707,19870208,   26,    0
 24546,132707,19870209,   60,    0
 24546,132707,19870210,   16,    0
 24546,132707,19870211,   24,    0
 24546,132707,19870212,   37,    0
 24546,132707,19870213,   40,    0
 24546,132707,19870214,   43,    0
 24546,132707,19870215,   29,    0
 24546,132707,19870216,   13,    0
 24546,132707,19870217,    1,    0
 24546,132707,19870218,   -1,    0
 24546,132707,19870219,  -22,    0
 24546,132707,19870220,  -14,    0
 24546,132707,19870221,  -13,    0
 24546,132707,19870222,  -34,    0
 24546,132707,19870223,  -25,    0
 24546,132707,19870224,  -68,    0
 24546,132707,19870225,  -92,    0
 24546,132707,19870226,  -54,    0
 24546,132707,19870227,  -25,    0
 24546,132707,19870228,   12,    0
 24546,132707,19870301,   28,    0
 24546,132707,19870302,   16,    0
 24546,132707,19870303,  -45,    0
 24546,132707,19870304, -114,    0
 24546,132707,19870305, -106,    0
 24546,132707,19870306, -107,    0
 24546,132707,19870307,  -99,    0
 24546,132707,19870308,  -89,    0
 24546,132707,19870309,  -75,    0
 24546,132707,19870310,  -48,    0
 24546,132707,19870311,  -73,    0
 24546,132707,19870312,  -52,    0
 24546,132707,19870313,  -64,    0
 24546,132707,19870314,  -68,    0
 24546,132707,19870315,  -61,    0
 24546,132707,19870316,  -56,    0
 24546,132707,19870317,  -59,    0
 24546,132707,19870318,  -17,    0
 24546,132707,19870319,  -15,    0
 24546,132707,19870320,  -38,    0
 24546,132707,19870321,  -64,    0
 24546,132707,19870322,  -36,    0
 24546,132707,19870323,    3,    0
 24546,132707,19870324,   22,    0
 24546,132707,19870325,   64,    0
 24546,132707,19870326,   48,    0
 24546,132707,19870327,   48,    0
 24546,132707,19870328,   44,    0
 24546,132707,19870329,    8,    0
 24546,132707,19870330,    5,    0
 24546,132707,19870331,  -24,    0
 24546,132707,19870401,   -8,    0
 24546,132707,19870402,  -11,    0
 24546,132707,19870403,    4,    0
 24546,132707,19870404,   59,    0
 24546,132707,19870405,   66,    0
 24546,132707,19870406,   52,    0
 24546,132707,19870407,   67,    0
 24546,132707,19870408,   78,    0
 24546,132707,19870409,   65,    0
 24546,132707,19870410,   73,    0
 24546,132707,19870411,   51,    0
 24546,132707,19870412,   40,    0
 24546,132707,19870413,   20,    0
 24546,132707,19870414,   51,    0
 24546,132707,19870415,   53,    0
 24546,132707,19870416,   57,    0
 24546,132707,19870417,   83,    0
 24546,132707,19870418,  102,    0
 24546,132707,19870419,  113,    0
 24546,132707,19870420,  101,    0
 24546,132707,19870421,   64,    0
 24546,132707,19870422,   51,    0
 24546,132707,19870423,   66,    0
 24546,132707,19870424,   75,    0
 24546,132707,19870425,  105,    0
 24546,132707,19870426,   96,    0
 24546,132707,19870427,   77,    0
 24546,132707,19870428,   68,    0
 24546,132707,19870429,   89,    0
 24546,132707,19870430,  101,    0
 24546,132707,19870501,  123,    0
 24546,132707,19870502,  129,    0
 24546,132707,19870503,  113,    0
 24546,132707,19870504,   66,    0
 24546,132707,19870505,   53,    0
 24546,132707,19870506,   74,    0
 24546,132707,19870507,   48,    0
 24546,132707,19870508,   59,    0
 24546,132707,19870509,   97,    0
 24546,132707,19870510,  110,    0
 24546,132707,19870511,  107,    0
 24546,132707,19870512,   66,    0
 24546,132707,19870513,   40,    0
 24546,132707,19870514,   39,    0
 24546,132707,19870515,   60,    0
 24546,132707,19870516,   54,    0
 24546,132707,19870517,   40,    0
 24546,132707,19870518,   86,    0
 24546,132707,19870519,   92,    0
 24546,132707,19870520,   84,    0
 24546,132707,19870521,   56,    0
 24546,132707,19870522,   37,    0
 24546,132707,19870523,   50,    0
 24546,132707,19870524,   84,    0
 24546,132707,19870525,  109,    0
 24546,132707,19870526,   94,    0
 24546,132707,19870527,  123,    0
 24546,132707,19870528,  101,    0
 24546,132707,19870529,  101,    0
 24546,132707,19870530,   87,    0
 24546,132707,19870531,  100,    0
 24546,132707,19870601,   95,    0
 24546,132707,19870602,   96,    0
 24546,132707,19870603,  116,    0
 24546,132707,19870604,  127,    0
 24546,132707,19870605,  113,    0
 24546,132707,19870606,  121,    0
 24546,132707,19870607,  153,    0
 24546,132707,19870608,  167,    0
 24546,132707,19870609,  113,    0
 24546,132707,19870610,  121,    0
 24546,132707,19870611,  133,    0
 24546,132707,19870612,  149,    0
 24546,132707,19870613,  159,    0
 24546,132707,19870614,  170,    0
 24546,132707,19870615,  181,    0
 24546,132707,19870616,  113,    0
 24546,132707,19870617,   82,    0
 24546,132707,19870618,   70,    0
 24546,132707,19870619,   92,    0
 24546,132707,19870620,   88,    0
