EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STOLZALPE, AUSTRIA (STAID: 24550)
Blended and updated with sources:132746 132759 135333 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24550,132759,19380101,  -88,    0
 24550,132759,19380102,  -80,    0
 24550,132759,19380103, -110,    0
 24550,132759,19380104, -107,    0
 24550,132759,19380105, -130,    0
 24550,132759,19380106, -112,    0
 24550,132759,19380107,  -67,    0
 24550,132759,19380108,  -65,    0
 24550,132759,19380109,  -70,    0
 24550,132759,19380110,  -35,    0
 24550,132759,19380111,  -51,    0
 24550,132759,19380112,  -27,    0
 24550,132759,19380113,   40,    0
 24550,132759,19380114,   42,    0
 24550,132759,19380115,   15,    0
 24550,132759,19380116,    8,    0
 24550,132759,19380117,   10,    0
 24550,132759,19380118,    7,    0
 24550,132759,19380119,  -25,    0
 24550,132759,19380120,   -2,    0
 24550,132759,19380121,   -4,    0
 24550,132759,19380122,    0,    0
 24550,132759,19380123,   18,    0
 24550,132759,19380124,   72,    0
 24550,132759,19380125,   85,    0
 24550,132759,19380126,   20,    0
 24550,132759,19380127,  -22,    0
 24550,132759,19380128,  -46,    0
 24550,132759,19380129,  -50,    0
 24550,132759,19380130,  -50,    0
 24550,132759,19380131,  -28,    0
 24550,132759,19380201,  -25,    0
 24550,132759,19380202,  -20,    0
 24550,132759,19380203,  -10,    0
 24550,132759,19380204,   20,    0
 24550,132759,19380205,    0,    0
 24550,132759,19380206,   -8,    0
 24550,132759,19380207,   20,    0
 24550,132759,19380208,  -13,    0
 24550,132759,19380209,  -26,    0
 24550,132759,19380210,  -28,    0
 24550,132759,19380211,  -34,    0
 24550,132759,19380212,  -48,    0
 24550,132759,19380213,  -47,    0
 24550,132759,19380214,  -53,    0
 24550,132759,19380215,  -62,    0
 24550,132759,19380216,  -47,    0
 24550,132759,19380217,  -25,    0
 24550,132759,19380218,   10,    0
 24550,132759,19380219,  -10,    0
 24550,132759,19380220,  -48,    0
 24550,132759,19380221,   -7,    0
 24550,132759,19380222,  -25,    0
 24550,132759,19380223,  -12,    0
 24550,132759,19380224,  -30,    0
 24550,132759,19380225,   10,    0
 24550,132759,19380226,   -3,    0
