EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HEILIGENBLUT, AUSTRIA (STAID: 24577)
Blended and updated with sources:133110 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24577,133110,19771001,   71,    0
 24577,133110,19771002,   41,    0
 24577,133110,19771003,   40,    0
 24577,133110,19771004,   35,    0
 24577,133110,19771005,   59,    0
 24577,133110,19771006,   74,    0
 24577,133110,19771007,   99,    0
 24577,133110,19771008,  111,    0
 24577,133110,19771009,   86,    0
 24577,133110,19771010,   74,    0
 24577,133110,19771011,   91,    0
 24577,133110,19771012,-9999,    9
 24577,133110,19771013,-9999,    9
 24577,133110,19771014,-9999,    9
 24577,133110,19771015,-9999,    9
 24577,133110,19771016,-9999,    9
 24577,133110,19771017,-9999,    9
 24577,133110,19771018,-9999,    9
 24577,133110,19771019,-9999,    9
 24577,133110,19771020,-9999,    9
 24577,133110,19771021,-9999,    9
 24577,133110,19771022,-9999,    9
 24577,133110,19771023,-9999,    9
 24577,133110,19771024,   75,    0
 24577,133110,19771025,   94,    0
 24577,133110,19771026,   90,    0
 24577,133110,19771027,   77,    0
 24577,133110,19771028,   89,    0
 24577,133110,19771029,   80,    0
 24577,133110,19771030,   68,    0
 24577,133110,19771031,   37,    0
 24577,133110,19771101,   41,    0
 24577,133110,19771102,   18,    0
 24577,133110,19771103,   43,    0
 24577,133110,19771104,   51,    0
 24577,133110,19771105,   45,    0
 24577,133110,19771106,   43,    0
 24577,133110,19771107,   30,    0
 24577,133110,19771108,   26,    0
 24577,133110,19771109,   60,    0
 24577,133110,19771110,   94,    0
 24577,133110,19771111,   57,    0
 24577,133110,19771112,   54,    0
 24577,133110,19771113,   22,    0
 24577,133110,19771114,   -4,    0
 24577,133110,19771115,    0,    0
 24577,133110,19771116,  -11,    0
 24577,133110,19771117,  -33,    0
 24577,133110,19771118,  -33,    0
 24577,133110,19771119,  -28,    0
 24577,133110,19771120,  -70,    0
 24577,133110,19771121,  -23,    0
 24577,133110,19771122,  -25,    0
 24577,133110,19771123,  -65,    0
 24577,133110,19771124,  -50,    0
 24577,133110,19771125,  -60,    0
 24577,133110,19771126,  -39,    0
 24577,133110,19771127,  -37,    0
 24577,133110,19771128,  -66,    0
 24577,133110,19771129,  -92,    0
 24577,133110,19771130,  -70,    0
 24577,133110,19771201,  -60,    0
 24577,133110,19771202,  -55,    0
 24577,133110,19771203,  -26,    0
 24577,133110,19771204,  -75,    0
 24577,133110,19771205, -111,    0
 24577,133110,19771206,  -75,    0
 24577,133110,19771207,  -34,    0
 24577,133110,19771208,  -31,    0
 24577,133110,19771209,    5,    0
 24577,133110,19771210,   -3,    0
 24577,133110,19771211,  -17,    0
 24577,133110,19771212,  -34,    0
 24577,133110,19771213,  -17,    0
 24577,133110,19771214,  -26,    0
 24577,133110,19771215,    1,    0
 24577,133110,19771216,   -6,    0
 24577,133110,19771217,  -59,    0
 24577,133110,19771218,  -79,    0
 24577,133110,19771219,  -73,    0
 24577,133110,19771220,  -75,    0
 24577,133110,19771221, -103,    0
 24577,133110,19771222, -118,    0
 24577,133110,19771223,  -75,    0
 24577,133110,19771224,    8,    0
 24577,133110,19771225,   34,    0
 24577,133110,19771226,  -10,    0
 24577,133110,19771227,  -33,    0
 24577,133110,19771228,  -11,    0
 24577,133110,19771229,  -48,    0
 24577,133110,19771230,  -65,    0
 24577,133110,19771231,  -36,    0
 24577,133110,19780101,  -30,    0
 24577,133110,19780102,  -90,    0
 24577,133110,19780103,  -58,    0
 24577,133110,19780104,  -39,    0
 24577,133110,19780105,  -68,    0
 24577,133110,19780106,  -68,    0
 24577,133110,19780107,  -33,    0
 24577,133110,19780108,  -80,    0
 24577,133110,19780109,  -87,    0
 24577,133110,19780110,  -25,    0
 24577,133110,19780111,  -55,    0
 24577,133110,19780112,  -14,    0
 24577,133110,19780113,   -3,    0
 24577,133110,19780114,  -27,    0
 24577,133110,19780115,  -48,    0
 24577,133110,19780116,  -34,    0
 24577,133110,19780117,  -88,    0
 24577,133110,19780118,  -63,    0
 24577,133110,19780119,  -80,    0
 24577,133110,19780120,  -79,    0
 24577,133110,19780121,  -51,    0
 24577,133110,19780122,  -69,    0
 24577,133110,19780123,  -82,    0
 24577,133110,19780124,  -59,    0
 24577,133110,19780125,  -28,    0
 24577,133110,19780126,  -80,    0
 24577,133110,19780127,  -57,    0
 24577,133110,19780128,  -70,    0
 24577,133110,19780129,  -21,    0
 24577,133110,19780130,  -61,    0
 24577,133110,19780131,  -44,    0
 24577,133110,19780201,  -88,    0
 24577,133110,19780202,  -50,    0
 24577,133110,19780203,  -44,    0
 24577,133110,19780204,  -78,    0
 24577,133110,19780205, -114,    0
 24577,133110,19780206,  -85,    0
 24577,133110,19780207,  -19,    0
 24577,133110,19780208,  -38,    0
 24577,133110,19780209,  -75,    0
 24577,133110,19780210,  -99,    0
 24577,133110,19780211,  -68,    0
 24577,133110,19780212,  -34,    0
 24577,133110,19780213,  -63,    0
 24577,133110,19780214,  -76,    0
 24577,133110,19780215,  -69,    0
 24577,133110,19780216, -111,    0
 24577,133110,19780217,  -61,    0
 24577,133110,19780218,  -44,    0
 24577,133110,19780219,  -50,    0
 24577,133110,19780220,  -75,    0
 24577,133110,19780221,  -96,    0
 24577,133110,19780222,  -40,    0
 24577,133110,19780223,  -25,    0
 24577,133110,19780224,    4,    0
 24577,133110,19780225,   33,    0
 24577,133110,19780226,   20,    0
 24577,133110,19780227,   41,    0
 24577,133110,19780228,   39,    0
 24577,133110,19780301,   37,    0
 24577,133110,19780302,   17,    0
 24577,133110,19780303,   28,    0
 24577,133110,19780304,   16,    0
 24577,133110,19780305,    5,    0
 24577,133110,19780306,   28,    0
 24577,133110,19780307,    9,    0
 24577,133110,19780308,   -4,    0
 24577,133110,19780309,   21,    0
 24577,133110,19780310,   22,    0
 24577,133110,19780311,   57,    0
 24577,133110,19780312,   51,    0
 24577,133110,19780313,   18,    0
 24577,133110,19780314,   26,    0
 24577,133110,19780315,    6,    0
 24577,133110,19780316,  -11,    0
 24577,133110,19780317,   -4,    0
 24577,133110,19780318,  -31,    0
 24577,133110,19780319,  -42,    0
 24577,133110,19780320,  -55,    0
 24577,133110,19780321,    6,    0
 24577,133110,19780322,  -28,    0
 24577,133110,19780323,  -40,    0
 24577,133110,19780324,  -50,    0
 24577,133110,19780325,  -16,    0
 24577,133110,19780326,  -15,    0
 24577,133110,19780327,  -16,    0
 24577,133110,19780328,   39,    0
 24577,133110,19780329,   35,    0
 24577,133110,19780330,   34,    0
