EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RAURIS, AUSTRIA (STAID: 24580)
Blended and updated with sources:133136 133149 135112 911346 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24580,133136,18750901,-9999,    9
 24580,133136,18750902,-9999,    9
 24580,133136,18750903,-9999,    9
 24580,133136,18750904,-9999,    9
 24580,133136,18750905,-9999,    9
 24580,133136,18750906,-9999,    9
 24580,133136,18750907,-9999,    9
 24580,133136,18750908,-9999,    9
 24580,133136,18750909,-9999,    9
 24580,133136,18750910,-9999,    9
 24580,133136,18750911,-9999,    9
 24580,133136,18750912,-9999,    9
 24580,133136,18750913,-9999,    9
 24580,133136,18750914,-9999,    9
 24580,133136,18750915,-9999,    9
 24580,133136,18750916,-9999,    9
 24580,133136,18750917,-9999,    9
 24580,133136,18750918,-9999,    9
 24580,133136,18750919,-9999,    9
 24580,133136,18750920,-9999,    9
 24580,133136,18750921,-9999,    9
 24580,133136,18750922,-9999,    9
 24580,133136,18750923,-9999,    9
 24580,133136,18750924,-9999,    9
 24580,133136,18750925,-9999,    9
 24580,133136,18750926,-9999,    9
 24580,133136,18750927,-9999,    9
 24580,133136,18750928,-9999,    9
 24580,133136,18750929,-9999,    9
 24580,133136,18750930,-9999,    9
 24580,133136,18751001,-9999,    9
 24580,133136,18751002,-9999,    9
 24580,133136,18751003,-9999,    9
 24580,133136,18751004,-9999,    9
 24580,133136,18751005,-9999,    9
 24580,133136,18751006,-9999,    9
 24580,133136,18751007,-9999,    9
 24580,133136,18751008,-9999,    9
 24580,133136,18751009,-9999,    9
 24580,133136,18751010,-9999,    9
 24580,133136,18751011,-9999,    9
 24580,133136,18751012,-9999,    9
 24580,133136,18751013,-9999,    9
 24580,133136,18751014,-9999,    9
 24580,133136,18751015,-9999,    9
 24580,133136,18751016,-9999,    9
 24580,133136,18751017,-9999,    9
 24580,133136,18751018,-9999,    9
 24580,133136,18751019,-9999,    9
 24580,133136,18751020,-9999,    9
 24580,133136,18751021,-9999,    9
 24580,133136,18751022,-9999,    9
 24580,133136,18751023,-9999,    9
 24580,133136,18751024,-9999,    9
 24580,133136,18751025,-9999,    9
 24580,133136,18751026,-9999,    9
 24580,133136,18751027,-9999,    9
 24580,133136,18751028,-9999,    9
 24580,133136,18751029,-9999,    9
 24580,133136,18751030,-9999,    9
 24580,133136,18751031,-9999,    9
 24580,133136,18751101,-9999,    9
 24580,133136,18751102,-9999,    9
 24580,133136,18751103,-9999,    9
 24580,133136,18751104,-9999,    9
 24580,133136,18751105,-9999,    9
 24580,133136,18751106,-9999,    9
 24580,133136,18751107,-9999,    9
 24580,133136,18751108,-9999,    9
 24580,133136,18751109,-9999,    9
 24580,133136,18751110,-9999,    9
