EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ENZINGERBODEN, AUSTRIA (STAID: 24587)
Blended and updated with sources:133227 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24587,133227,19620301,-9999,    9
 24587,133227,19620302,-9999,    9
 24587,133227,19620303,-9999,    9
 24587,133227,19620304,-9999,    9
 24587,133227,19620305,-9999,    9
 24587,133227,19620306,-9999,    9
 24587,133227,19620307,-9999,    9
 24587,133227,19620308,-9999,    9
 24587,133227,19620309,-9999,    9
 24587,133227,19620310,-9999,    9
 24587,133227,19620311,-9999,    9
 24587,133227,19620312,-9999,    9
 24587,133227,19620313,-9999,    9
 24587,133227,19620314,-9999,    9
 24587,133227,19620315,-9999,    9
 24587,133227,19620316,-9999,    9
 24587,133227,19620317,-9999,    9
 24587,133227,19620318,-9999,    9
 24587,133227,19620319,-9999,    9
 24587,133227,19620320,-9999,    9
 24587,133227,19620321,-9999,    9
 24587,133227,19620322,-9999,    9
 24587,133227,19620323,-9999,    9
 24587,133227,19620324,-9999,    9
 24587,133227,19620325,-9999,    9
 24587,133227,19620326,-9999,    9
 24587,133227,19620327,-9999,    9
 24587,133227,19620328,-9999,    9
 24587,133227,19620329,-9999,    9
 24587,133227,19620330,-9999,    9
 24587,133227,19620331,-9999,    9
 24587,133227,19620401,-9999,    9
 24587,133227,19620402,-9999,    9
 24587,133227,19620403,-9999,    9
 24587,133227,19620404,-9999,    9
 24587,133227,19620405,-9999,    9
 24587,133227,19620406,-9999,    9
 24587,133227,19620407,-9999,    9
 24587,133227,19620408,-9999,    9
 24587,133227,19620409,-9999,    9
 24587,133227,19620410,-9999,    9
 24587,133227,19620411,-9999,    9
 24587,133227,19620412,-9999,    9
 24587,133227,19620413,-9999,    9
 24587,133227,19620414,-9999,    9
 24587,133227,19620415,-9999,    9
 24587,133227,19620416,-9999,    9
 24587,133227,19620417,-9999,    9
 24587,133227,19620418,-9999,    9
 24587,133227,19620419,-9999,    9
 24587,133227,19620420,-9999,    9
 24587,133227,19620421,-9999,    9
 24587,133227,19620422,-9999,    9
