EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEUSTIFT/MILDERS, AUSTRIA (STAID: 24603)
Blended and updated with sources:133435 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24603,133435,20041101,-9999,    9
 24603,133435,20041102,-9999,    9
 24603,133435,20041103,-9999,    9
 24603,133435,20041104,-9999,    9
 24603,133435,20041105,-9999,    9
 24603,133435,20041106,   53,    0
 24603,133435,20041107,   19,    0
 24603,133435,20041108,    0,    0
 24603,133435,20041109,  -18,    0
 24603,133435,20041110,  -37,    0
 24603,133435,20041111,  -19,    0
 24603,133435,20041112,   11,    0
 24603,133435,20041113,    6,    0
 24603,133435,20041114,  -22,    0
 24603,133435,20041115,  -22,    0
 24603,133435,20041116,  -25,    0
 24603,133435,20041117,   -7,    0
 24603,133435,20041118,   -2,    0
 24603,133435,20041119,    1,    0
 24603,133435,20041120,  -30,    0
 24603,133435,20041121,  -45,    0
 24603,133435,20041122,    1,    0
 24603,133435,20041123,   53,    0
 24603,133435,20041124,   23,    0
 24603,133435,20041125,   -6,    0
 24603,133435,20041126,    8,    0
 24603,133435,20041127,    3,    0
 24603,133435,20041128,   16,    0
 24603,133435,20041129,   23,    0
 24603,133435,20041130,   35,    0
 24603,133435,20041201,   36,    0
 24603,133435,20041202,   31,    0
 24603,133435,20041203,   19,    0
 24603,133435,20041204,    1,    0
 24603,133435,20041205,   -1,    0
 24603,133435,20041206,  -13,    0
 24603,133435,20041207,    9,    0
 24603,133435,20041208,   15,    0
 24603,133435,20041209,   12,    0
 24603,133435,20041210,   17,    0
 24603,133435,20041211,   19,    0
 24603,133435,20041212,   19,    0
 24603,133435,20041213,    4,    0
 24603,133435,20041214,   -1,    0
 24603,133435,20041215,   -3,    0
 24603,133435,20041216,    2,    0
 24603,133435,20041217,    4,    0
 24603,133435,20041218,  -18,    0
 24603,133435,20041219,  -25,    0
 24603,133435,20041220,  -63,    0
 24603,133435,20041221,  -89,    0
 24603,133435,20041222, -112,    0
 24603,133435,20041223,  -29,    0
 24603,133435,20041224,  -12,    0
 24603,133435,20041225,    6,    0
 24603,133435,20041226,   21,    0
 24603,133435,20041227,  -18,    0
 24603,133435,20041228,  -24,    0
 24603,133435,20041229,  -32,    0
 24603,133435,20041230,  -70,    0
 24603,133435,20041231,  -64,    0
 24603,133435,20050101,  -42,    0
 24603,133435,20050102,  -23,    0
 24603,133435,20050103,  -22,    0
 24603,133435,20050104,  -20,    0
 24603,133435,20050105,  -11,    0
 24603,133435,20050106,    5,    0
 24603,133435,20050107,   -4,    0
 24603,133435,20050108,   30,    0
 24603,133435,20050109,   -4,    0
 24603,133435,20050110,    5,    0
 24603,133435,20050111,   -8,    0
 24603,133435,20050112,  -23,    0
 24603,133435,20050113,  -22,    0
 24603,133435,20050114,  -45,    0
 24603,133435,20050115,  -55,    0
 24603,133435,20050116,  -41,    0
 24603,133435,20050117,  -15,    0
 24603,133435,20050118,  -23,    0
 24603,133435,20050119,  -19,    0
 24603,133435,20050120,  -31,    0
 24603,133435,20050121,    3,    0
 24603,133435,20050122,  -28,    0
 24603,133435,20050123,  -54,    0
 24603,133435,20050124,  -63,    0
 24603,133435,20050125,  -89,    0
 24603,133435,20050126,  -96,    0
 24603,133435,20050127, -109,    0
 24603,133435,20050128, -122,    0
 24603,133435,20050129, -129,    0
 24603,133435,20050130, -129,    0
 24603,133435,20050131,  -81,    0
 24603,133435,20050201,  -27,    0
 24603,133435,20050202,  -54,    0
 24603,133435,20050203,   -9,    0
 24603,133435,20050204,  -52,    0
 24603,133435,20050205,  -65,    0
 24603,133435,20050206,  -42,    0
 24603,133435,20050207,  -50,    0
 24603,133435,20050208,  -40,    0
 24603,133435,20050209,  -19,    0
 24603,133435,20050210,  -16,    0
 24603,133435,20050211,   18,    0
 24603,133435,20050212,   39,    0
 24603,133435,20050213,   11,    0
 24603,133435,20050214,  -47,    0
 24603,133435,20050215,  -46,    0
 24603,133435,20050216,  -62,    0
 24603,133435,20050217,  -73,    0
 24603,133435,20050218,  -63,    0
 24603,133435,20050219,  -46,    0
 24603,133435,20050220,  -32,    0
 24603,133435,20050221,  -34,    0
 24603,133435,20050222,  -43,    0
 24603,133435,20050223,  -46,    0
 24603,133435,20050224,  -58,    0
 24603,133435,20050225,  -75,    0
 24603,133435,20050226,  -37,    0
 24603,133435,20050227,  -49,    0
 24603,133435,20050228, -107,    0
 24603,133435,20050301, -111,    0
 24603,133435,20050302,  -73,    0
 24603,133435,20050303,  -40,    0
 24603,133435,20050304,  -26,    0
 24603,133435,20050305,  -44,    0
 24603,133435,20050306,  -47,    0
 24603,133435,20050307,  -79,    0
 24603,133435,20050308,  -29,    0
 24603,133435,20050309,   -2,    0
 24603,133435,20050310,  -10,    0
 24603,133435,20050311,   -7,    0
 24603,133435,20050312,    1,    0
 24603,133435,20050313,   -2,    0
 24603,133435,20050314,   16,    0
 24603,133435,20050315,   51,    0
 24603,133435,20050316,   53,    0
 24603,133435,20050317,   52,    0
 24603,133435,20050318,   86,    0
 24603,133435,20050319,   55,    0
 24603,133435,20050320,   53,    0
 24603,133435,20050321,   69,    0
 24603,133435,20050322,   86,    0
 24603,133435,20050323,   91,    0
 24603,133435,20050324,  107,    0
 24603,133435,20050325,   69,    0
 24603,133435,20050326,   78,    0
 24603,133435,20050327,   93,    0
 24603,133435,20050328,   78,    0
 24603,133435,20050329,   77,    0
 24603,133435,20050330,   69,    0
 24603,133435,20050331,   63,    0
 24603,133435,20050401,   64,    0
 24603,133435,20050402,   74,    0
 24603,133435,20050403,   76,    0
 24603,133435,20050404,   84,    0
 24603,133435,20050405,   81,    0
 24603,133435,20050406,   95,    0
