EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PIOESMES, AUSTRIA (STAID: 24606)
Blended and updated with sources:133474 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24606,133474,19670101,   19,    0
 24606,133474,19670102,   -6,    0
 24606,133474,19670103,  -81,    0
 24606,133474,19670104,  -96,    0
 24606,133474,19670105, -107,    0
 24606,133474,19670106, -122,    0
 24606,133474,19670107, -148,    0
 24606,133474,19670108, -179,    0
 24606,133474,19670109, -173,    0
 24606,133474,19670110, -160,    0
 24606,133474,19670111, -115,    0
 24606,133474,19670112,  -59,    0
 24606,133474,19670113,  -60,    0
 24606,133474,19670114,  -23,    0
 24606,133474,19670115,  -28,    0
 24606,133474,19670116,  -74,    0
 24606,133474,19670117,  -63,    0
 24606,133474,19670118,  -55,    0
 24606,133474,19670119,  -44,    0
 24606,133474,19670120,  -66,    0
 24606,133474,19670121,  -46,    0
 24606,133474,19670122,  -54,    0
 24606,133474,19670123,  -75,    0
 24606,133474,19670124,  -27,    0
 24606,133474,19670125,  -25,    0
 24606,133474,19670126,  -13,    0
 24606,133474,19670127,   11,    0
 24606,133474,19670128,  -15,    0
 24606,133474,19670129,    4,    0
 24606,133474,19670130,    8,    0
 24606,133474,19670131,   -4,    0
 24606,133474,19670201,  -14,    0
 24606,133474,19670202,  -10,    0
 24606,133474,19670203,   -6,    0
 24606,133474,19670204,    3,    0
 24606,133474,19670205,  -38,    0
 24606,133474,19670206,  -63,    0
 24606,133474,19670207,  -33,    0
 24606,133474,19670208,  -74,    0
 24606,133474,19670209, -110,    0
 24606,133474,19670210, -140,    0
 24606,133474,19670211, -108,    0
 24606,133474,19670212, -120,    0
 24606,133474,19670213, -133,    0
 24606,133474,19670214,  -99,    0
 24606,133474,19670215,  -78,    0
 24606,133474,19670216,  -74,    0
 24606,133474,19670217,  -50,    0
 24606,133474,19670218,  -41,    0
 24606,133474,19670219,  -10,    0
 24606,133474,19670220,    8,    0
 24606,133474,19670221,   20,    0
 24606,133474,19670222,   25,    0
 24606,133474,19670223,   33,    0
 24606,133474,19670224,  -33,    0
 24606,133474,19670225,   -4,    0
 24606,133474,19670226,   19,    0
 24606,133474,19670227,   17,    0
 24606,133474,19670228,    5,    0
 24606,133474,19670301,   13,    0
 24606,133474,19670302,   -8,    0
 24606,133474,19670303,   15,    0
 24606,133474,19670304,   16,    0
 24606,133474,19670305,   13,    0
 24606,133474,19670306,   32,    0
 24606,133474,19670307,   28,    0
 24606,133474,19670308,   41,    0
 24606,133474,19670309,   41,    0
 24606,133474,19670310,   42,    0
 24606,133474,19670311,   25,    0
 24606,133474,19670312,    6,    0
 24606,133474,19670313,   -8,    0
 24606,133474,19670314,  -45,    0
 24606,133474,19670315,  -18,    0
 24606,133474,19670316,  -15,    0
 24606,133474,19670317,  -15,    0
 24606,133474,19670318,  -17,    0
 24606,133474,19670319,  -42,    0
 24606,133474,19670320,  -33,    0
 24606,133474,19670321,    4,    0
 24606,133474,19670322,   23,    0
 24606,133474,19670323,   21,    0
 24606,133474,19670324,  -25,    0
 24606,133474,19670325,  -12,    0
 24606,133474,19670326,   21,    0
 24606,133474,19670327,   35,    0
 24606,133474,19670328,    3,    0
 24606,133474,19670329,  -12,    0
 24606,133474,19670330,  -48,    0
 24606,133474,19670331,  -28,    0
 24606,133474,19670401,  -16,    0
 24606,133474,19670402,  -22,    0
 24606,133474,19670403,  -19,    0
 24606,133474,19670404,   10,    0
 24606,133474,19670405,   19,    0
 24606,133474,19670406,   10,    0
 24606,133474,19670407,  -21,    0
 24606,133474,19670408,   18,    0
 24606,133474,19670409,   47,    0
 24606,133474,19670410,   55,    0
 24606,133474,19670411,   11,    0
 24606,133474,19670412,   21,    0
 24606,133474,19670413,   41,    0
 24606,133474,19670414,   15,    0
 24606,133474,19670415,   51,    0
 24606,133474,19670416,   61,    0
 24606,133474,19670417,   50,    0
 24606,133474,19670418,   60,    0
 24606,133474,19670419,   17,    0
 24606,133474,19670420,   64,    0
 24606,133474,19670421,   49,    0
 24606,133474,19670422,  -25,    0
 24606,133474,19670423,  -31,    0
 24606,133474,19670424,  -31,    0
 24606,133474,19670425,  -43,    0
 24606,133474,19670426,  -19,    0
 24606,133474,19670427,    9,    0
 24606,133474,19670428,   29,    0
 24606,133474,19670429,   52,    0
 24606,133474,19670430,   58,    0
 24606,133474,19670501,   74,    0
 24606,133474,19670502,   68,    0
 24606,133474,19670503,    4,    0
 24606,133474,19670504,    3,    0
 24606,133474,19670505,   66,    0
 24606,133474,19670506,   73,    0
 24606,133474,19670507,   99,    0
 24606,133474,19670508,   91,    0
 24606,133474,19670509,  104,    0
 24606,133474,19670510,  103,    0
 24606,133474,19670511,  102,    0
 24606,133474,19670512,  117,    0
 24606,133474,19670513,  123,    0
 24606,133474,19670514,  120,    0
 24606,133474,19670515,  122,    0
 24606,133474,19670516,   90,    0
 24606,133474,19670517,   77,    0
 24606,133474,19670518,   47,    0
 24606,133474,19670519,   72,    0
 24606,133474,19670520,   54,    0
 24606,133474,19670521,   78,    0
 24606,133474,19670522,   77,    0
 24606,133474,19670523,   63,    0
 24606,133474,19670524,   70,    0
 24606,133474,19670525,   68,    0
 24606,133474,19670526,   85,    0
 24606,133474,19670527,  110,    0
 24606,133474,19670528,  135,    0
 24606,133474,19670529,  127,    0
 24606,133474,19670530,   70,    0
 24606,133474,19670531,   45,    0
 24606,133474,19670601,   39,    0
 24606,133474,19670602,   71,    0
 24606,133474,19670603,   97,    0
 24606,133474,19670604,  100,    0
 24606,133474,19670605,  106,    0
 24606,133474,19670606,  137,    0
 24606,133474,19670607,  135,    0
 24606,133474,19670608,  115,    0
 24606,133474,19670609,   53,    0
 24606,133474,19670610,   43,    0
 24606,133474,19670611,   59,    0
 24606,133474,19670612,   58,    0
 24606,133474,19670613,   52,    0
 24606,133474,19670614,   54,    0
 24606,133474,19670615,   51,    0
 24606,133474,19670616,   69,    0
 24606,133474,19670617,   93,    0
 24606,133474,19670618,  117,    0
 24606,133474,19670619,  110,    0
 24606,133474,19670620,   91,    0
 24606,133474,19670621,  113,    0
 24606,133474,19670622,  138,    0
 24606,133474,19670623,  149,    0
 24606,133474,19670624,  169,    0
 24606,133474,19670625,  170,    0
 24606,133474,19670626,  163,    0
 24606,133474,19670627,  156,    0
 24606,133474,19670628,  108,    0
 24606,133474,19670629,  115,    0
 24606,133474,19670630,  152,    0
 24606,133474,19670701,  176,    0
 24606,133474,19670702,  164,    0
 24606,133474,19670703,  133,    0
 24606,133474,19670704,  124,    0
 24606,133474,19670705,  127,    0
 24606,133474,19670706,  140,    0
 24606,133474,19670707,  133,    0
 24606,133474,19670708,  134,    0
 24606,133474,19670709,   80,    0
 24606,133474,19670710,  101,    0
 24606,133474,19670711,  136,    0
 24606,133474,19670712,  157,    0
 24606,133474,19670713,  168,    0
 24606,133474,19670714,  175,    0
 24606,133474,19670715,  157,    0
 24606,133474,19670716,  145,    0
 24606,133474,19670717,  167,    0
 24606,133474,19670718,  164,    0
 24606,133474,19670719,  175,    0
 24606,133474,19670720,  174,    0
 24606,133474,19670721,  177,    0
 24606,133474,19670722,  167,    0
 24606,133474,19670723,  163,    0
 24606,133474,19670724,  159,    0
 24606,133474,19670725,  139,    0
 24606,133474,19670726,  122,    0
 24606,133474,19670727,  150,    0
 24606,133474,19670728,  142,    0
 24606,133474,19670729,  127,    0
 24606,133474,19670730,  139,    0
 24606,133474,19670731,  164,    0
 24606,133474,19670801,  172,    0
 24606,133474,19670802,  159,    0
 24606,133474,19670803,  163,    0
 24606,133474,19670804,  147,    0
 24606,133474,19670805,  110,    0
 24606,133474,19670806,   85,    0
 24606,133474,19670807,  133,    0
 24606,133474,19670808,  132,    0
 24606,133474,19670809,  157,    0
 24606,133474,19670810,  116,    0
 24606,133474,19670811,  100,    0
 24606,133474,19670812,  104,    0
 24606,133474,19670813,   92,    0
 24606,133474,19670814,  113,    0
 24606,133474,19670815,  128,    0
 24606,133474,19670816,  155,    0
 24606,133474,19670817,  156,    0
 24606,133474,19670818,  148,    0
 24606,133474,19670819,  145,    0
 24606,133474,19670820,  113,    0
 24606,133474,19670821,  136,    0
 24606,133474,19670822,  139,    0
 24606,133474,19670823,  137,    0
 24606,133474,19670824,  134,    0
 24606,133474,19670825,  115,    0
 24606,133474,19670826,  128,    0
 24606,133474,19670827,  127,    0
 24606,133474,19670828,  132,    0
 24606,133474,19670829,  122,    0
 24606,133474,19670830,  135,    0
 24606,133474,19670831,  126,    0
 24606,133474,19670901,  127,    0
 24606,133474,19670902,  138,    0
 24606,133474,19670903,  128,    0
 24606,133474,19670904,   82,    0
 24606,133474,19670905,   85,    0
 24606,133474,19670906,  109,    0
 24606,133474,19670907,   77,    0
 24606,133474,19670908,   61,    0
 24606,133474,19670909,   68,    0
 24606,133474,19670910,   49,    0
 24606,133474,19670911,   35,    0
 24606,133474,19670912,   59,    0
 24606,133474,19670913,   60,    0
 24606,133474,19670914,   92,    0
 24606,133474,19670915,   69,    0
 24606,133474,19670916,   61,    0
 24606,133474,19670917,   83,    0
 24606,133474,19670918,   81,    0
 24606,133474,19670919,   86,    0
 24606,133474,19670920,   88,    0
 24606,133474,19670921,  133,    0
 24606,133474,19670922,  116,    0
 24606,133474,19670923,   83,    0
 24606,133474,19670924,  113,    0
 24606,133474,19670925,  136,    0
 24606,133474,19670926,  146,    0
 24606,133474,19670927,  122,    0
 24606,133474,19670928,  125,    0
 24606,133474,19670929,  111,    0
 24606,133474,19670930,  125,    0
 24606,133474,19671001,  120,    0
 24606,133474,19671002,   98,    0
 24606,133474,19671003,   83,    0
 24606,133474,19671004,   88,    0
 24606,133474,19671005,   48,    0
 24606,133474,19671006,   64,    0
 24606,133474,19671007,  115,    0
 24606,133474,19671008,   84,    0
 24606,133474,19671009,  102,    0
 24606,133474,19671010,   88,    0
 24606,133474,19671011,   95,    0
 24606,133474,19671012,   88,    0
 24606,133474,19671013,   75,    0
 24606,133474,19671014,   80,    0
 24606,133474,19671015,   84,    0
 24606,133474,19671016,  125,    0
 24606,133474,19671017,  118,    0
 24606,133474,19671018,   56,    0
 24606,133474,19671019,   39,    0
 24606,133474,19671020,   71,    0
 24606,133474,19671021,   77,    0
 24606,133474,19671022,   71,    0
 24606,133474,19671023,   72,    0
 24606,133474,19671024,   77,    0
 24606,133474,19671025,   77,    0
 24606,133474,19671026,   66,    0
 24606,133474,19671027,   69,    0
 24606,133474,19671028,   65,    0
 24606,133474,19671029,    8,    0
 24606,133474,19671030,  -25,    0
 24606,133474,19671031,   -7,    0
 24606,133474,19671101,    9,    0
 24606,133474,19671102,   35,    0
 24606,133474,19671103,    3,    0
 24606,133474,19671104,  -33,    0
 24606,133474,19671105,    0,    0
 24606,133474,19671106,    4,    0
 24606,133474,19671107,    8,    0
 24606,133474,19671108,    6,    0
 24606,133474,19671109,   40,    0
 24606,133474,19671110,   17,    0
 24606,133474,19671111,   -6,    0
 24606,133474,19671112,   34,    0
 24606,133474,19671113,   38,    0
 24606,133474,19671114,   43,    0
 24606,133474,19671115,   75,    0
 24606,133474,19671116,   75,    0
 24606,133474,19671117,   32,    0
 24606,133474,19671118,   58,    0
 24606,133474,19671119,   38,    0
 24606,133474,19671120,    8,    0
 24606,133474,19671121,   23,    0
 24606,133474,19671122,   13,    0
 24606,133474,19671123,   22,    0
 24606,133474,19671124,   17,    0
 24606,133474,19671125,   10,    0
 24606,133474,19671126,    7,    0
 24606,133474,19671127,   -5,    0
 24606,133474,19671128,  -43,    0
 24606,133474,19671129,  -17,    0
 24606,133474,19671130,  -34,    0
 24606,133474,19671201,  -38,    0
 24606,133474,19671202,  -32,    0
 24606,133474,19671203,   -9,    0
 24606,133474,19671204,  -19,    0
 24606,133474,19671205,  -23,    0
 24606,133474,19671206,   -5,    0
 24606,133474,19671207,  -35,    0
 24606,133474,19671208, -116,    0
 24606,133474,19671209, -139,    0
 24606,133474,19671210, -135,    0
 24606,133474,19671211, -115,    0
 24606,133474,19671212, -110,    0
 24606,133474,19671213,  -96,    0
 24606,133474,19671214,  -68,    0
 24606,133474,19671215,  -59,    0
 24606,133474,19671216,  -36,    0
 24606,133474,19671217,  -75,    0
 24606,133474,19671218,  -97,    0
 24606,133474,19671219,  -70,    0
 24606,133474,19671220,  -95,    0
 24606,133474,19671221, -103,    0
 24606,133474,19671222,   -4,    0
 24606,133474,19671223,   35,    0
 24606,133474,19671224,   12,    0
 24606,133474,19671225,  -36,    0
 24606,133474,19671226,  -49,    0
 24606,133474,19671227,  -68,    0
 24606,133474,19671228,  -74,    0
 24606,133474,19671229,  -29,    0
 24606,133474,19671230,  -75,    0
 24606,133474,19671231,  -96,    0
 24606,133474,19680101,  -99,    0
 24606,133474,19680102,  -86,    0
 24606,133474,19680103,  -94,    0
 24606,133474,19680104,  -63,    0
 24606,133474,19680105,  -45,    0
 24606,133474,19680106,  -24,    0
 24606,133474,19680107,  -52,    0
 24606,133474,19680108,  -99,    0
 24606,133474,19680109, -130,    0
 24606,133474,19680110, -148,    0
 24606,133474,19680111, -138,    0
 24606,133474,19680112, -147,    0
 24606,133474,19680113, -199,    0
 24606,133474,19680114, -114,    0
 24606,133474,19680115,   20,    0
 24606,133474,19680116,   -4,    0
 24606,133474,19680117,  -30,    0
 24606,133474,19680118,  -36,    0
 24606,133474,19680119,  -61,    0
 24606,133474,19680120,  -92,    0
 24606,133474,19680121,  -76,    0
 24606,133474,19680122,  -40,    0
 24606,133474,19680123,  -52,    0
 24606,133474,19680124,  -71,    0
 24606,133474,19680125,  -76,    0
 24606,133474,19680126,  -45,    0
 24606,133474,19680127,  -27,    0
 24606,133474,19680128,  -73,    0
 24606,133474,19680129,  -57,    0
 24606,133474,19680130,  -45,    0
 24606,133474,19680131,  -37,    0
 24606,133474,19680201,  -47,    0
 24606,133474,19680202,  -55,    0
 24606,133474,19680203,  -38,    0
 24606,133474,19680204,  -52,    0
 24606,133474,19680205,  -50,    0
 24606,133474,19680206,  -37,    0
 24606,133474,19680207,  -37,    0
 24606,133474,19680208,  -42,    0
 24606,133474,19680209,  -34,    0
 24606,133474,19680210,  -42,    0
 24606,133474,19680211,  -66,    0
 24606,133474,19680212,   -1,    0
 24606,133474,19680213,    4,    0
 24606,133474,19680214,   12,    0
 24606,133474,19680215,    7,    0
 24606,133474,19680216,  -18,    0
 24606,133474,19680217,  -60,    0
 24606,133474,19680218, -100,    0
 24606,133474,19680219,  -73,    0
 24606,133474,19680220,  -38,    0
 24606,133474,19680221,    7,    0
 24606,133474,19680222,   13,    0
 24606,133474,19680223,    7,    0
 24606,133474,19680224,   13,    0
 24606,133474,19680225,   -3,    0
 24606,133474,19680226,  -27,    0
 24606,133474,19680227,  -48,    0
 24606,133474,19680228,  -55,    0
 24606,133474,19680229,  -56,    0
 24606,133474,19680301,  -55,    0
 24606,133474,19680302,  -57,    0
 24606,133474,19680303,  -29,    0
 24606,133474,19680304,  -44,    0
 24606,133474,19680305,  -59,    0
 24606,133474,19680306,  -25,    0
 24606,133474,19680307,  -43,    0
 24606,133474,19680308,  -40,    0
 24606,133474,19680309,  -53,    0
 24606,133474,19680310,  -45,    0
 24606,133474,19680311,  -40,    0
 24606,133474,19680312, -108,    0
 24606,133474,19680313,  -65,    0
 24606,133474,19680314,  -44,    0
 24606,133474,19680315,  -40,    0
 24606,133474,19680316,  -26,    0
 24606,133474,19680317,  -32,    0
 24606,133474,19680318,   -6,    0
 24606,133474,19680319,  -38,    0
 24606,133474,19680320,  -17,    0
 24606,133474,19680321,   11,    0
 24606,133474,19680322,   11,    0
 24606,133474,19680323,  -20,    0
 24606,133474,19680324,   22,    0
 24606,133474,19680325,   25,    0
 24606,133474,19680326,   29,    0
 24606,133474,19680327,   30,    0
 24606,133474,19680328,   47,    0
 24606,133474,19680329,   48,    0
 24606,133474,19680330,   46,    0
 24606,133474,19680331,   43,    0
 24606,133474,19680401,   41,    0
 24606,133474,19680402,   48,    0
 24606,133474,19680403,    8,    0
 24606,133474,19680404,  -45,    0
 24606,133474,19680405,   59,    0
 24606,133474,19680406,   71,    0
 24606,133474,19680407,   36,    0
