EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAIMING, AUSTRIA (STAID: 24610)
Blended and updated with sources:133526 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24610,133526,19650901,  105,    0
 24610,133526,19650902,  159,    0
 24610,133526,19650903,  149,    0
 24610,133526,19650904,  129,    0
 24610,133526,19650905,  122,    0
 24610,133526,19650906,  110,    0
 24610,133526,19650907,  135,    0
 24610,133526,19650908,  138,    0
 24610,133526,19650909,  151,    0
 24610,133526,19650910,  104,    0
 24610,133526,19650911,  126,    0
 24610,133526,19650912,   84,    0
 24610,133526,19650913,  109,    0
 24610,133526,19650914,  149,    0
 24610,133526,19650915,  147,    0
 24610,133526,19650916,  149,    0
 24610,133526,19650917,  142,    0
 24610,133526,19650918,  138,    0
 24610,133526,19650919,  124,    0
 24610,133526,19650920,   99,    0
 24610,133526,19650921,   79,    0
 24610,133526,19650922,  115,    0
 24610,133526,19650923,  112,    0
 24610,133526,19650924,  125,    0
 24610,133526,19650925,  120,    0
 24610,133526,19650926,  138,    0
 24610,133526,19650927,  110,    0
 24610,133526,19650928,   87,    0
 24610,133526,19650929,   86,    0
 24610,133526,19650930,  125,    0
 24610,133526,19651001,  146,    0
 24610,133526,19651002,  149,    0
 24610,133526,19651003,  128,    0
 24610,133526,19651004,  114,    0
 24610,133526,19651005,  115,    0
 24610,133526,19651006,  117,    0
 24610,133526,19651007,  119,    0
 24610,133526,19651008,  117,    0
 24610,133526,19651009,   77,    0
 24610,133526,19651010,   92,    0
 24610,133526,19651011,   78,    0
 24610,133526,19651012,   68,    0
 24610,133526,19651013,   75,    0
 24610,133526,19651014,   79,    0
 24610,133526,19651015,   84,    0
 24610,133526,19651016,   75,    0
 24610,133526,19651017,   80,    0
 24610,133526,19651018,   80,    0
 24610,133526,19651019,   36,    0
 24610,133526,19651020,   34,    0
 24610,133526,19651021,   25,    0
 24610,133526,19651022,   44,    0
 24610,133526,19651023,   44,    0
 24610,133526,19651024,   18,    0
 24610,133526,19651025,   53,    0
 24610,133526,19651026,   60,    0
 24610,133526,19651027,   64,    0
 24610,133526,19651028,   61,    0
 24610,133526,19651029,   56,    0
 24610,133526,19651030,   77,    0
 24610,133526,19651031,   55,    0
 24610,133526,19651101,   85,    0
 24610,133526,19651102,  104,    0
 24610,133526,19651103,   45,    0
 24610,133526,19651104,   41,    0
 24610,133526,19651105,   36,    0
 24610,133526,19651106,   73,    0
 24610,133526,19651107,  103,    0
 24610,133526,19651108,   78,    0
 24610,133526,19651109,   63,    0
 24610,133526,19651110,    6,    0
 24610,133526,19651111,   32,    0
 24610,133526,19651112,   32,    0
 24610,133526,19651113,   10,    0
 24610,133526,19651114,  -16,    0
 24610,133526,19651115,  -35,    0
 24610,133526,19651116,  -30,    0
 24610,133526,19651117,  -30,    0
 24610,133526,19651118,   12,    0
 24610,133526,19651119,   15,    0
 24610,133526,19651120,   29,    0
 24610,133526,19651121,   44,    0
 24610,133526,19651122,   27,    0
 24610,133526,19651123,  -22,    0
 24610,133526,19651124,  -55,    0
 24610,133526,19651125,  -30,    0
 24610,133526,19651126,  -32,    0
 24610,133526,19651127,    3,    0
 24610,133526,19651128,   27,    0
 24610,133526,19651129,   -9,    0
 24610,133526,19651130,   -8,    0
