EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GALZIG, AUSTRIA (STAID: 24620)
Blended and updated with sources:133656 911110 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24620,133656,19930901,    0,    0
 24620,133656,19930902,    0,    0
 24620,133656,19930903,   17,    0
 24620,133656,19930904,    1,    0
 24620,133656,19930905,  -13,    0
 24620,133656,19930906,   26,    0
 24620,133656,19930907,   74,    0
 24620,133656,19930908,   81,    0
 24620,133656,19930909,   97,    0
 24620,133656,19930910,   59,    0
 24620,133656,19930911,   52,    0
 24620,133656,19930912,   57,    0
 24620,133656,19930913,   89,    0
 24620,133656,19930914,   46,    0
 24620,133656,19930915,   49,    0
 24620,133656,19930916,   48,    0
 24620,133656,19930917,   38,    0
 24620,133656,19930918,   56,    0
 24620,133656,19930919,   92,    0
 24620,133656,19930920,  125,    0
 24620,133656,19930921,  130,    0
 24620,133656,19930922,  130,    0
 24620,133656,19930923,  104,    0
 24620,133656,19930924,  102,    0
 24620,133656,19930925,   50,    0
 24620,133656,19930926,   -8,    0
 24620,133656,19930927,   13,    0
 24620,133656,19930928,   19,    0
 24620,133656,19930929,  -10,    0
 24620,133656,19930930,   29,    0
 24620,133656,19931001,   56,    0
 24620,133656,19931002,   39,    0
 24620,133656,19931003,   -8,    0
 24620,133656,19931004,   15,    0
 24620,133656,19931005,   67,    0
 24620,133656,19931006,   76,    0
 24620,133656,19931007,   63,    0
 24620,133656,19931008,   38,    0
 24620,133656,19931009,   18,    0
 24620,133656,19931010,   43,    0
 24620,133656,19931011,   75,    0
 24620,133656,19931012,   77,    0
 24620,133656,19931013,   61,    0
 24620,133656,19931014,   64,    0
 24620,133656,19931015,   27,    0
 24620,133656,19931016,   23,    0
 24620,133656,19931017,   36,    0
 24620,133656,19931018,   30,    0
 24620,133656,19931019,   46,    0
 24620,133656,19931020,   37,    0
 24620,133656,19931021,  -22,    0
 24620,133656,19931022,  -60,    0
 24620,133656,19931023,  -22,    0
 24620,133656,19931024,  -35,    0
 24620,133656,19931025,  -33,    0
 24620,133656,19931026,  -35,    0
 24620,133656,19931027,  -21,    0
 24620,133656,19931028,   37,    0
 24620,133656,19931029,   56,    0
 24620,133656,19931030,   40,    0
 24620,133656,19931031,   22,    0
 24620,133656,19931101,   33,    0
 24620,133656,19931102,   40,    0
 24620,133656,19931103,   43,    0
 24620,133656,19931104,   27,    0
 24620,133656,19931105,   23,    0
 24620,133656,19931106,   25,    0
 24620,133656,19931107,   27,    0
 24620,133656,19931108,   -3,    0
 24620,133656,19931109,  -21,    0
 24620,133656,19931110,  -21,    0
 24620,133656,19931111,   10,    0
 24620,133656,19931112,  -42,    0
 24620,133656,19931113,  -62,    0
 24620,133656,19931114,  -13,    0
 24620,133656,19931115,  -45,    0
 24620,133656,19931116,  -85,    0
 24620,133656,19931117,  -97,    0
 24620,133656,19931118,  -99,    0
 24620,133656,19931119, -108,    0
 24620,133656,19931120, -113,    0
 24620,133656,19931121, -108,    0
 24620,133656,19931122, -119,    0
 24620,133656,19931123, -106,    0
 24620,133656,19931124,  -46,    0
 24620,133656,19931125,  -20,    0
 24620,133656,19931126,   -4,    0
 24620,133656,19931127,   18,    0
 24620,133656,19931128,  -29,    0
 24620,133656,19931129, -101,    0
 24620,133656,19931130,  -62,    0
 24620,133656,19931201,  -44,    0
 24620,133656,19931202,  -43,    0
 24620,133656,19931203,   16,    0
 24620,133656,19931204,   62,    0
 24620,133656,19931205,    3,    0
 24620,133656,19931206,  -25,    0
 24620,133656,19931207,  -27,    0
 24620,133656,19931208,  -33,    0
 24620,133656,19931209,    1,    0
 24620,133656,19931210,  -14,    0
 24620,133656,19931211,  -45,    0
 24620,133656,19931212,  -97,    0
 24620,133656,19931213,  -34,    0
 24620,133656,19931214,  -26,    0
 24620,133656,19931215,  -59,    0
 24620,133656,19931216,  -55,    0
 24620,133656,19931217,  -58,    0
 24620,133656,19931218,  -18,    0
 24620,133656,19931219,   11,    0
 24620,133656,19931220,   32,    0
 24620,133656,19931221,   -5,    0
 24620,133656,19931222,  -91,    0
 24620,133656,19931223,  -74,    0
 24620,133656,19931224,  -84,    0
 24620,133656,19931225, -106,    0
 24620,133656,19931226, -127,    0
 24620,133656,19931227, -135,    0
 24620,133656,19931228, -116,    0
 24620,133656,19931229,  -65,    0
 24620,133656,19931230,  -27,    0
 24620,133656,19931231,    2,    0
 24620,133656,19940101,  -34,    0
 24620,133656,19940102,  -71,    0
 24620,133656,19940103,  -35,    0
 24620,133656,19940104,  -26,    0
 24620,133656,19940105,  -43,    0
 24620,133656,19940106,  -11,    0
 24620,133656,19940107,   13,    0
 24620,133656,19940108,   -6,    0
 24620,133656,19940109,  -20,    0
 24620,133656,19940110,  -12,    0
 24620,133656,19940111,  -30,    0
 24620,133656,19940112,  -14,    0
 24620,133656,19940113,    9,    0
 24620,133656,19940114,  -14,    0
 24620,133656,19940115,  -65,    0
 24620,133656,19940116,  -88,    0
 24620,133656,19940117,  -94,    0
 24620,133656,19940118, -120,    0
 24620,133656,19940119,  -75,    0
 24620,133656,19940120,  -74,    0
 24620,133656,19940121,  -97,    0
 24620,133656,19940122,  -21,    0
 24620,133656,19940123,   -2,    0
 24620,133656,19940124,  -29,    0
 24620,133656,19940125,  -19,    0
 24620,133656,19940126,  -56,    0
 24620,133656,19940127,  -75,    0
 24620,133656,19940128,  -69,    0
 24620,133656,19940129, -125,    0
 24620,133656,19940130,  -81,    0
 24620,133656,19940131,  -52,    0
 24620,133656,19940201,  -57,    0
 24620,133656,19940202,  -45,    0
 24620,133656,19940203,  -32,    0
