EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BRAND, AUSTRIA (STAID: 24626)
Blended and updated with sources:133734 911304 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24626,133734,20010601,-9999,    9
 24626,133734,20010602,-9999,    9
 24626,133734,20010603,-9999,    9
 24626,133734,20010604,-9999,    9
 24626,133734,20010605,-9999,    9
 24626,133734,20010606,-9999,    9
 24626,133734,20010607,-9999,    9
 24626,133734,20010608,-9999,    9
 24626,133734,20010609,-9999,    9
 24626,133734,20010610,-9999,    9
 24626,133734,20010611,-9999,    9
 24626,133734,20010612,-9999,    9
 24626,133734,20010613,-9999,    9
 24626,133734,20010614,-9999,    9
 24626,133734,20010615,-9999,    9
 24626,133734,20010616,-9999,    9
 24626,133734,20010617,-9999,    9
 24626,133734,20010618,-9999,    9
 24626,133734,20010619,-9999,    9
 24626,133734,20010620,-9999,    9
 24626,133734,20010621,-9999,    9
 24626,133734,20010622,-9999,    9
 24626,133734,20010623,-9999,    9
 24626,133734,20010624,-9999,    9
 24626,133734,20010625,-9999,    9
 24626,133734,20010626,-9999,    9
 24626,133734,20010627,-9999,    9
 24626,133734,20010628,-9999,    9
 24626,133734,20010629,-9999,    9
 24626,133734,20010630,-9999,    9
 24626,133734,20010701,-9999,    9
 24626,133734,20010702,-9999,    9
 24626,133734,20010703,-9999,    9
 24626,133734,20010704,-9999,    9
 24626,133734,20010705,-9999,    9
 24626,133734,20010706,-9999,    9
 24626,133734,20010707,-9999,    9
 24626,133734,20010708,-9999,    9
 24626,133734,20010709,-9999,    9
 24626,133734,20010710,-9999,    9
 24626,133734,20010711,-9999,    9
 24626,133734,20010712,-9999,    9
 24626,133734,20010713,-9999,    9
 24626,133734,20010714,-9999,    9
 24626,133734,20010715,-9999,    9
 24626,133734,20010716,-9999,    9
 24626,133734,20010717,-9999,    9
 24626,133734,20010718,-9999,    9
 24626,133734,20010719,-9999,    9
 24626,133734,20010720,-9999,    9
 24626,133734,20010721,-9999,    9
 24626,133734,20010722,-9999,    9
 24626,133734,20010723,-9999,    9
 24626,133734,20010724,-9999,    9
 24626,133734,20010725,-9999,    9
 24626,133734,20010726,-9999,    9
 24626,133734,20010727,-9999,    9
 24626,133734,20010728,-9999,    9
 24626,133734,20010729,-9999,    9
 24626,133734,20010730,-9999,    9
 24626,133734,20010731,-9999,    9
 24626,133734,20010801,  203,    0
 24626,133734,20010802,  197,    0
 24626,133734,20010803,  199,    0
 24626,133734,20010804,  145,    0
 24626,133734,20010805,  134,    0
 24626,133734,20010806,  140,    0
 24626,133734,20010807,  162,    0
 24626,133734,20010808,  164,    0
 24626,133734,20010809,  146,    0
 24626,133734,20010810,-9999,    9
 24626,133734,20010811,-9999,    9
 24626,133734,20010812,-9999,    9
 24626,133734,20010813,-9999,    9
 24626,133734,20010814,-9999,    9
 24626,133734,20010815,-9999,    9
 24626,133734,20010816,-9999,    9
 24626,133734,20010817,-9999,    9
 24626,133734,20010818,-9999,    9
 24626,133734,20010819,-9999,    9
 24626,133734,20010820,-9999,    9
 24626,133734,20010821,-9999,    9
 24626,133734,20010822,-9999,    9
 24626,133734,20010823,-9999,    9
 24626,133734,20010824,-9999,    9
 24626,133734,20010825,-9999,    9
 24626,133734,20010826,-9999,    9
 24626,133734,20010827,-9999,    9
 24626,133734,20010828,-9999,    9
 24626,133734,20010829,-9999,    9
 24626,133734,20010830,-9999,    9
 24626,133734,20010831,-9999,    9
 24626,133734,20010901,-9999,    9
 24626,133734,20010902,-9999,    9
 24626,133734,20010903,  124,    0
 24626,133734,20010904,  108,    0
 24626,133734,20010905,   69,    0
 24626,133734,20010906,   95,    0
 24626,133734,20010907,   97,    0
 24626,133734,20010908,   98,    0
 24626,133734,20010909,   64,    0
 24626,133734,20010910,   47,    0
 24626,133734,20010911,   60,    0
 24626,133734,20010912,   59,    0
 24626,133734,20010913,   97,    0
 24626,133734,20010914,   99,    0
 24626,133734,20010915,   75,    0
 24626,133734,20010916,   55,    0
 24626,133734,20010917,   46,    0
 24626,133734,20010918,   63,    0
 24626,133734,20010919,   73,    0
 24626,133734,20010920,  113,    0
 24626,133734,20010921,   98,    0
 24626,133734,20010922,   92,    0
 24626,133734,20010923,   90,    0
 24626,133734,20010924,   92,    0
 24626,133734,20010925,   75,    0
 24626,133734,20010926,   78,    0
 24626,133734,20010927,   95,    0
 24626,133734,20010928,  114,    0
 24626,133734,20010929,  103,    0
 24626,133734,20010930,  107,    0
 24626,133734,20011001,  132,    0
 24626,133734,20011002,  176,    0
 24626,133734,20011003,  151,    0
 24626,133734,20011004,  120,    0
 24626,133734,20011005,   97,    0
 24626,133734,20011006,  138,    0
 24626,133734,20011007,  143,    0
 24626,133734,20011008,  114,    0
 24626,133734,20011009,  118,    0
 24626,133734,20011010,  114,    0
 24626,133734,20011011,  114,    0
 24626,133734,20011012,  135,    0
 24626,133734,20011013,  151,    0
 24626,133734,20011014,  142,    0
 24626,133734,20011015,  134,    0
 24626,133734,20011016,  127,    0
 24626,133734,20011017,  115,    0
 24626,133734,20011018,  134,    0
 24626,133734,20011019,  126,    0
 24626,133734,20011020,  159,    0
 24626,133734,20011021,  131,    0
 24626,133734,20011022,   96,    0
 24626,133734,20011023,   91,    0
 24626,133734,20011024,   80,    0
 24626,133734,20011025,   66,    0
 24626,133734,20011026,   81,    0
 24626,133734,20011027,   89,    0
 24626,133734,20011028,  105,    0
 24626,133734,20011029,  106,    0
 24626,133734,20011030,  112,    0
 24626,133734,20011031,  142,    0
 24626,133734,20011101,   75,    0
 24626,133734,20011102,   32,    0
 24626,133734,20011103,   43,    0
 24626,133734,20011104,   63,    0
 24626,133734,20011105,   28,    0
 24626,133734,20011106,   50,    0
 24626,133734,20011107,   47,    0
 24626,133734,20011108,   57,    0
 24626,133734,20011109,    5,    0
 24626,133734,20011110,  -34,    0
 24626,133734,20011111,  -19,    0
 24626,133734,20011112,  -16,    0
 24626,133734,20011113,  -11,    0
 24626,133734,20011114,  -23,    0
 24626,133734,20011115,  -46,    0
 24626,133734,20011116,  -20,    0
 24626,133734,20011117,  -21,    0
 24626,133734,20011118,    9,    0
 24626,133734,20011119,  -21,    0
 24626,133734,20011120,  -42,    0
 24626,133734,20011121,  -49,    0
 24626,133734,20011122,  -24,    0
 24626,133734,20011123,  -15,    0
 24626,133734,20011124,  -52,    0
 24626,133734,20011125,   -8,    0
 24626,133734,20011126,   26,    0
 24626,133734,20011127,   13,    0
 24626,133734,20011128,   -4,    0
 24626,133734,20011129,  -21,    0
 24626,133734,20011130,    9,    0
 24626,133734,20011201,   26,    0
 24626,133734,20011202,   36,    0
 24626,133734,20011203,   20,    0
 24626,133734,20011204,   28,    0
 24626,133734,20011205,   20,    0
 24626,133734,20011206,   52,    0
 24626,133734,20011207,  -11,    0
 24626,133734,20011208,  -41,    0
 24626,133734,20011209,  -49,    0
 24626,133734,20011210,  -65,    0
 24626,133734,20011211,  -53,    0
 24626,133734,20011212,  -25,    0
 24626,133734,20011213,  -64,    0
 24626,133734,20011214, -142,    0
 24626,133734,20011215, -110,    0
 24626,133734,20011216, -119,    0
 24626,133734,20011217, -104,    0
 24626,133734,20011218,  -80,    0
 24626,133734,20011219,  -78,    0
 24626,133734,20011220,  -86,    0
 24626,133734,20011221, -100,    0
 24626,133734,20011222,  -52,    0
 24626,133734,20011223,  -57,    0
 24626,133734,20011224, -118,    0
 24626,133734,20011225,  -46,    0
 24626,133734,20011226,  -30,    0
 24626,133734,20011227,  -82,    0
 24626,133734,20011228,  -21,    0
 24626,133734,20011229,   25,    0
 24626,133734,20011230,  -35,    0
 24626,133734,20011231,  -81,    0
 24626,133734,20020101,  -83,    0
 24626,133734,20020102,  -81,    0
 24626,133734,20020103,  -76,    0
 24626,133734,20020104,  -79,    0
 24626,133734,20020105,  -50,    0
 24626,133734,20020106,  -31,    0
 24626,133734,20020107,  -54,    0
 24626,133734,20020108,  -45,    0
 24626,133734,20020109,  -33,    0
 24626,133734,20020110,  -37,    0
 24626,133734,20020111,  -41,    0
 24626,133734,20020112,  -14,    0
 24626,133734,20020113,  -19,    0
 24626,133734,20020114,  -41,    0
 24626,133734,20020115,  -41,    0
 24626,133734,20020116,  -40,    0
 24626,133734,20020117,  -32,    0
 24626,133734,20020118,  -46,    0
 24626,133734,20020119,  -29,    0
 24626,133734,20020120,   14,    0
 24626,133734,20020121,   19,    0
 24626,133734,20020122,   22,    0
 24626,133734,20020123,   32,    0
 24626,133734,20020124,   57,    0
 24626,133734,20020125,   30,    0
 24626,133734,20020126,   40,    0
 24626,133734,20020127,   39,    0
 24626,133734,20020128,   53,    0
 24626,133734,20020129,   53,    0
 24626,133734,20020130,   68,    0
 24626,133734,20020131,   56,    0
 24626,133734,20020201,   48,    0
 24626,133734,20020202,   70,    0
 24626,133734,20020203,   94,    0
 24626,133734,20020204,   74,    0
 24626,133734,20020205,   62,    0
 24626,133734,20020206,   59,    0
 24626,133734,20020207,   -2,    0
 24626,133734,20020208,   -4,    0
 24626,133734,20020209,   48,    0
 24626,133734,20020210,   21,    0
 24626,133734,20020211,   44,    0
 24626,133734,20020212,   50,    0
 24626,133734,20020213,   59,    0
 24626,133734,20020214,   37,    0
 24626,133734,20020215,   11,    0
 24626,133734,20020216,   -5,    0
 24626,133734,20020217,   32,    0
 24626,133734,20020218,   18,    0
 24626,133734,20020219,   -2,    0
 24626,133734,20020220,    9,    0
 24626,133734,20020221,  -20,    0
 24626,133734,20020222,  -52,    0
 24626,133734,20020223,   28,    0
 24626,133734,20020224,   -8,    0
 24626,133734,20020225,   -6,    0
 24626,133734,20020226,   43,    0
 24626,133734,20020227,   40,    0
 24626,133734,20020228,   24,    0
 24626,133734,20020301,-9999,    9
 24626,133734,20020302,-9999,    9
 24626,133734,20020303,-9999,    9
 24626,133734,20020304,-9999,    9
 24626,133734,20020305,-9999,    9
 24626,133734,20020306,-9999,    9
 24626,133734,20020307,-9999,    9
 24626,133734,20020308,-9999,    9
 24626,133734,20020309,-9999,    9
 24626,133734,20020310,-9999,    9
 24626,133734,20020311,-9999,    9
 24626,133734,20020312,-9999,    9
 24626,133734,20020313,-9999,    9
 24626,133734,20020314,-9999,    9
 24626,133734,20020315,-9999,    9
 24626,133734,20020316,-9999,    9
 24626,133734,20020317,-9999,    9
 24626,133734,20020318,-9999,    9
 24626,133734,20020319,-9999,    9
 24626,133734,20020320,-9999,    9
 24626,133734,20020321,-9999,    9
 24626,133734,20020322,-9999,    9
 24626,133734,20020323,-9999,    9
 24626,133734,20020324,-9999,    9
 24626,133734,20020325,-9999,    9
 24626,133734,20020326,-9999,    9
 24626,133734,20020327,-9999,    9
 24626,133734,20020328,-9999,    9
 24626,133734,20020329,-9999,    9
 24626,133734,20020330,-9999,    9
 24626,133734,20020331,-9999,    9
 24626,133734,20020401,   71,    0
 24626,133734,20020402,   91,    0
 24626,133734,20020403,   95,    0
 24626,133734,20020404,   82,    0
 24626,133734,20020405,   55,    0
 24626,133734,20020406,   33,    0
 24626,133734,20020407,   26,    0
 24626,133734,20020408,   34,    0
 24626,133734,20020409,   39,    0
 24626,133734,20020410,   35,    0
 24626,133734,20020411,   71,    0
 24626,133734,20020412,   85,    0
 24626,133734,20020413,   65,    0
 24626,133734,20020414,   38,    0
 24626,133734,20020415,   11,    0
 24626,133734,20020416,   22,    0
 24626,133734,20020417,   41,    0
 24626,133734,20020418,   59,    0
 24626,133734,20020419,   42,    0
 24626,133734,20020420,   29,    0
 24626,133734,20020421,   65,    0
 24626,133734,20020422,   80,    0
 24626,133734,20020423,   85,    0
 24626,133734,20020424,   70,    0
 24626,133734,20020425,   74,    0
 24626,133734,20020426,  115,    0
 24626,133734,20020427,   70,    0
 24626,133734,20020428,   70,    0
 24626,133734,20020429,   97,    0
 24626,133734,20020430,  105,    0
 24626,133734,20020501,  143,    0
 24626,133734,20020502,   93,    0
 24626,133734,20020503,   66,    0
 24626,133734,20020504,   51,    0
 24626,133734,20020505,   40,    0
 24626,133734,20020506,   75,    0
 24626,133734,20020507,   98,    0
 24626,133734,20020508,  137,    0
 24626,133734,20020509,  147,    0
 24626,133734,20020510,  114,    0
 24626,133734,20020511,  106,    0
 24626,133734,20020512,  104,    0
 24626,133734,20020513,  132,    0
 24626,133734,20020514,  129,    0
 24626,133734,20020515,  126,    0
 24626,133734,20020516,  152,    0
 24626,133734,20020517,  170,    0
 24626,133734,20020518,  161,    0
 24626,133734,20020519,  100,    0
 24626,133734,20020520,  127,    0
 24626,133734,20020521,  140,    0
 24626,133734,20020522,  157,    0
 24626,133734,20020523,  136,    0
 24626,133734,20020524,   90,    0
 24626,133734,20020525,  115,    0
 24626,133734,20020526,   91,    0
 24626,133734,20020527,   69,    0
 24626,133734,20020528,   58,    0
 24626,133734,20020529,   93,    0
 24626,133734,20020530,  122,    0
 24626,133734,20020531,  137,    0
 24626,133734,20020601,  146,    0
 24626,133734,20020602,  150,    0
 24626,133734,20020603,  142,    0
 24626,133734,20020604,  168,    0
 24626,133734,20020605,  189,    0
 24626,133734,20020606,  144,    0
 24626,133734,20020607,  111,    0
 24626,133734,20020608,  108,    0
 24626,133734,20020609,  100,    0
 24626,133734,20020610,   89,    0
 24626,133734,20020611,  119,    0
 24626,133734,20020612,  146,    0
 24626,133734,20020613,  177,    0
 24626,133734,20020614,  188,    0
 24626,133734,20020615,  201,    0
 24626,133734,20020616,  191,    0
 24626,133734,20020617,  217,    0
 24626,133734,20020618,  232,    0
 24626,133734,20020619,  219,    0
 24626,133734,20020620,  202,    0
 24626,133734,20020621,  203,    0
 24626,133734,20020622,  204,    0
 24626,133734,20020623,  224,    0
 24626,133734,20020624,  194,    0
 24626,133734,20020625,  148,    0
 24626,133734,20020626,  165,    0
 24626,133734,20020627,  175,    0
 24626,133734,20020628,  128,    0
 24626,133734,20020629,  113,    0
 24626,133734,20020630,  133,    0
 24626,133734,20020701,  151,    0
 24626,133734,20020702,  166,    0
 24626,133734,20020703,  159,    0
 24626,133734,20020704,  104,    0
 24626,133734,20020705,  128,    0
 24626,133734,20020706,  133,    0
 24626,133734,20020707,  147,    0
 24626,133734,20020708,  175,    0
 24626,133734,20020709,  190,    0
 24626,133734,20020710,  190,    0
 24626,133734,20020711,  151,    0
 24626,133734,20020712,  165,    0
 24626,133734,20020713,  149,    0
 24626,133734,20020714,  129,    0
 24626,133734,20020715,  157,    0
 24626,133734,20020716,  155,    0
 24626,133734,20020717,  142,    0
 24626,133734,20020718,  139,    0
 24626,133734,20020719,  144,    0
 24626,133734,20020720,  162,    0
 24626,133734,20020721,  157,    0
 24626,133734,20020722,  154,    0
 24626,133734,20020723,  158,    0
 24626,133734,20020724,  161,    0
 24626,133734,20020725,  120,    0
 24626,133734,20020726,  115,    0
 24626,133734,20020727,  164,    0
 24626,133734,20020728,  176,    0
 24626,133734,20020729,  192,    0
 24626,133734,20020730,  184,    0
 24626,133734,20020731,  171,    0
 24626,133734,20020801,-9999,    9
 24626,133734,20020802,-9999,    9
 24626,133734,20020803,-9999,    9
 24626,133734,20020804,-9999,    9
 24626,133734,20020805,-9999,    9
 24626,133734,20020806,-9999,    9
 24626,133734,20020807,-9999,    9
 24626,133734,20020808,-9999,    9
 24626,133734,20020809,-9999,    9
 24626,133734,20020810,-9999,    9
 24626,133734,20020811,-9999,    9
 24626,133734,20020812,-9999,    9
 24626,133734,20020813,-9999,    9
 24626,133734,20020814,-9999,    9
 24626,133734,20020815,-9999,    9
 24626,133734,20020816,-9999,    9
 24626,133734,20020817,-9999,    9
 24626,133734,20020818,-9999,    9
 24626,133734,20020819,-9999,    9
 24626,133734,20020820,-9999,    9
 24626,133734,20020821,-9999,    9
 24626,133734,20020822,-9999,    9
 24626,133734,20020823,-9999,    9
 24626,133734,20020824,-9999,    9
 24626,133734,20020825,-9999,    9
 24626,133734,20020826,-9999,    9
 24626,133734,20020827,-9999,    9
 24626,133734,20020828,-9999,    9
 24626,133734,20020829,-9999,    9
 24626,133734,20020830,-9999,    9
 24626,133734,20020831,-9999,    9
 24626,133734,20020901,-9999,    9
 24626,133734,20020902,-9999,    9
 24626,133734,20020903,-9999,    9
 24626,133734,20020904,-9999,    9
 24626,133734,20020905,-9999,    9
 24626,133734,20020906,-9999,    9
 24626,133734,20020907,-9999,    9
 24626,133734,20020908,-9999,    9
 24626,133734,20020909,-9999,    9
 24626,133734,20020910,-9999,    9
 24626,133734,20020911,-9999,    9
 24626,133734,20020912,-9999,    9
 24626,133734,20020913,-9999,    9
 24626,133734,20020914,-9999,    9
 24626,133734,20020915,-9999,    9
 24626,133734,20020916,-9999,    9
 24626,133734,20020917,-9999,    9
 24626,133734,20020918,-9999,    9
 24626,133734,20020919,-9999,    9
 24626,133734,20020920,-9999,    9
 24626,133734,20020921,-9999,    9
 24626,133734,20020922,-9999,    9
 24626,133734,20020923,-9999,    9
 24626,133734,20020924,-9999,    9
 24626,133734,20020925,-9999,    9
 24626,133734,20020926,-9999,    9
 24626,133734,20020927,-9999,    9
 24626,133734,20020928,-9999,    9
 24626,133734,20020929,-9999,    9
 24626,133734,20020930,-9999,    9
 24626,133734,20021001,-9999,    9
 24626,133734,20021002,-9999,    9
 24626,133734,20021003,-9999,    9
 24626,133734,20021004,-9999,    9
 24626,133734,20021005,-9999,    9
 24626,133734,20021006,-9999,    9
 24626,133734,20021007,-9999,    9
 24626,133734,20021008,-9999,    9
 24626,133734,20021009,-9999,    9
 24626,133734,20021010,-9999,    9
 24626,133734,20021011,-9999,    9
 24626,133734,20021012,-9999,    9
 24626,133734,20021013,-9999,    9
 24626,133734,20021014,-9999,    9
 24626,133734,20021015,-9999,    9
 24626,133734,20021016,-9999,    9
 24626,133734,20021017,-9999,    9
 24626,133734,20021018,-9999,    9
 24626,133734,20021019,-9999,    9
 24626,133734,20021020,-9999,    9
 24626,133734,20021021,-9999,    9
 24626,133734,20021022,-9999,    9
 24626,133734,20021023,-9999,    9
 24626,133734,20021024,-9999,    9
 24626,133734,20021025,-9999,    9
 24626,133734,20021026,-9999,    9
 24626,133734,20021027,-9999,    9
 24626,133734,20021028,-9999,    9
 24626,133734,20021029,-9999,    9
 24626,133734,20021030,-9999,    9
 24626,133734,20021031,-9999,    9
 24626,133734,20021101,-9999,    9
 24626,133734,20021102,-9999,    9
 24626,133734,20021103,-9999,    9
 24626,133734,20021104,-9999,    9
 24626,133734,20021105,-9999,    9
 24626,133734,20021106,-9999,    9
 24626,133734,20021107,-9999,    9
 24626,133734,20021108,-9999,    9
 24626,133734,20021109,-9999,    9
 24626,133734,20021110,-9999,    9
 24626,133734,20021111,-9999,    9
 24626,133734,20021112,-9999,    9
 24626,133734,20021113,-9999,    9
 24626,133734,20021114,-9999,    9
