EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIRKFELD, AUSTRIA (STAID: 24641)
Blended and updated with sources:133929 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24641,133929,19411001,-9999,    9
 24641,133929,19411002,-9999,    9
 24641,133929,19411003,-9999,    9
 24641,133929,19411004,-9999,    9
 24641,133929,19411005,-9999,    9
 24641,133929,19411006,-9999,    9
 24641,133929,19411007,-9999,    9
 24641,133929,19411008,-9999,    9
 24641,133929,19411009,-9999,    9
 24641,133929,19411010,-9999,    9
 24641,133929,19411011,-9999,    9
 24641,133929,19411012,-9999,    9
 24641,133929,19411013,-9999,    9
 24641,133929,19411014,-9999,    9
 24641,133929,19411015,-9999,    9
 24641,133929,19411016,-9999,    9
 24641,133929,19411017,-9999,    9
 24641,133929,19411018,-9999,    9
 24641,133929,19411019,-9999,    9
 24641,133929,19411020,-9999,    9
 24641,133929,19411021,-9999,    9
 24641,133929,19411022,-9999,    9
 24641,133929,19411023,-9999,    9
 24641,133929,19411024,-9999,    9
 24641,133929,19411025,-9999,    9
 24641,133929,19411026,-9999,    9
 24641,133929,19411027,-9999,    9
 24641,133929,19411028,-9999,    9
 24641,133929,19411029,-9999,    9
 24641,133929,19411030,-9999,    9
 24641,133929,19411031,-9999,    9
 24641,133929,19411101,-9999,    9
 24641,133929,19411102,-9999,    9
 24641,133929,19411103,-9999,    9
 24641,133929,19411104,-9999,    9
 24641,133929,19411105,-9999,    9
 24641,133929,19411106,-9999,    9
 24641,133929,19411107,-9999,    9
 24641,133929,19411108,-9999,    9
 24641,133929,19411109,-9999,    9
 24641,133929,19411110,-9999,    9
 24641,133929,19411111,-9999,    9
 24641,133929,19411112,-9999,    9
 24641,133929,19411113,-9999,    9
 24641,133929,19411114,-9999,    9
 24641,133929,19411115,-9999,    9
 24641,133929,19411116,-9999,    9
 24641,133929,19411117,-9999,    9
 24641,133929,19411118,-9999,    9
 24641,133929,19411119,-9999,    9
 24641,133929,19411120,-9999,    9
 24641,133929,19411121,-9999,    9
 24641,133929,19411122,-9999,    9
 24641,133929,19411123,-9999,    9
 24641,133929,19411124,-9999,    9
 24641,133929,19411125,-9999,    9
 24641,133929,19411126,-9999,    9
 24641,133929,19411127,-9999,    9
 24641,133929,19411128,-9999,    9
 24641,133929,19411129,-9999,    9
 24641,133929,19411130,-9999,    9
 24641,133929,19411201,  -12,    0
 24641,133929,19411202,  -31,    0
 24641,133929,19411203,  -25,    0
 24641,133929,19411204,    3,    0
 24641,133929,19411205,  -10,    0
 24641,133929,19411206,   27,    0
 24641,133929,19411207,    3,    0
 24641,133929,19411208,    3,    0
 24641,133929,19411209,   -8,    0
 24641,133929,19411210,   -2,    0
 24641,133929,19411211,   48,    0
 24641,133929,19411212,   41,    0
 24641,133929,19411213,    6,    0
 24641,133929,19411214,   11,    0
 24641,133929,19411215,   30,    0
 24641,133929,19411216,   56,    0
 24641,133929,19411217,   25,    0
 24641,133929,19411218,   10,    0
 24641,133929,19411219,    9,    0
 24641,133929,19411220,   -2,    0
 24641,133929,19411221,   19,    0
 24641,133929,19411222,  -23,    0
 24641,133929,19411223,  -27,    0
 24641,133929,19411224,   29,    0
 24641,133929,19411225,   43,    0
 24641,133929,19411226,  -49,    0
 24641,133929,19411227, -109,    0
 24641,133929,19411228,  -78,    0
 24641,133929,19411229, -103,    0
 24641,133929,19411230,  -82,    0
 24641,133929,19411231,  -65,    0
 24641,133929,19420101,-9999,    9
 24641,133929,19420102,-9999,    9
 24641,133929,19420103,-9999,    9
 24641,133929,19420104,-9999,    9
 24641,133929,19420105,-9999,    9
 24641,133929,19420106,-9999,    9
 24641,133929,19420107,-9999,    9
 24641,133929,19420108,-9999,    9
 24641,133929,19420109,-9999,    9
 24641,133929,19420110,-9999,    9
 24641,133929,19420111,-9999,    9
 24641,133929,19420112,-9999,    9
 24641,133929,19420113,-9999,    9
 24641,133929,19420114,-9999,    9
 24641,133929,19420115,-9999,    9
 24641,133929,19420116,-9999,    9
 24641,133929,19420117,-9999,    9
 24641,133929,19420118,-9999,    9
 24641,133929,19420119,-9999,    9
 24641,133929,19420120,-9999,    9
 24641,133929,19420121,-9999,    9
 24641,133929,19420122,-9999,    9
 24641,133929,19420123,-9999,    9
 24641,133929,19420124,-9999,    9
 24641,133929,19420125,-9999,    9
 24641,133929,19420126,-9999,    9
 24641,133929,19420127,-9999,    9
 24641,133929,19420128,-9999,    9
 24641,133929,19420129,-9999,    9
 24641,133929,19420130,-9999,    9
 24641,133929,19420131,-9999,    9
 24641,133929,19420201,-9999,    9
 24641,133929,19420202,-9999,    9
 24641,133929,19420203,-9999,    9
 24641,133929,19420204,-9999,    9
