EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KALWANG, AUSTRIA (STAID: 24644)
Blended and updated with sources:133968 133981 911362 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24644,133968,19661201,  -36,    0
 24644,133968,19661202,    3,    0
 24644,133968,19661203,    1,    0
 24644,133968,19661204,  -52,    0
 24644,133968,19661205,  -27,    0
 24644,133968,19661206,  -24,    0
 24644,133968,19661207,  -19,    0
 24644,133968,19661208,  -35,    0
 24644,133968,19661209,  -37,    0
 24644,133968,19661210,  -52,    0
 24644,133968,19661211,   -9,    0
 24644,133968,19661212,  -42,    0
 24644,133968,19661213,  -19,    0
 24644,133968,19661214,  -21,    0
 24644,133968,19661215,  -20,    0
 24644,133968,19661216,  -56,    0
 24644,133968,19661217,  -24,    0
 24644,133968,19661218,   19,    0
 24644,133968,19661219,   48,    0
 24644,133968,19661220,   19,    0
 24644,133968,19661221,   -5,    0
 24644,133968,19661222,  -52,    0
 24644,133968,19661223,  -75,    0
 24644,133968,19661224,  -34,    0
 24644,133968,19661225,   -4,    0
 24644,133968,19661226,  -55,    0
 24644,133968,19661227, -119,    0
 24644,133968,19661228,  -81,    0
 24644,133968,19661229,  -40,    0
 24644,133968,19661230,   -8,    0
 24644,133968,19661231,  -20,    0
 24644,133968,19670101,    2,    0
 24644,133968,19670102,    6,    0
 24644,133968,19670103,  -40,    0
 24644,133968,19670104,  -45,    0
 24644,133968,19670105,  -57,    0
 24644,133968,19670106,  -74,    0
 24644,133968,19670107,  -75,    0
 24644,133968,19670108,  -89,    0
 24644,133968,19670109,  -92,    0
 24644,133968,19670110, -126,    0
 24644,133968,19670111, -119,    0
 24644,133968,19670112,  -39,    0
 24644,133968,19670113,   -9,    0
 24644,133968,19670114,   20,    0
 24644,133968,19670115,   10,    0
 24644,133968,19670116,  -20,    0
 24644,133968,19670117,  -36,    0
 24644,133968,19670118,  -77,    0
 24644,133968,19670119,  -77,    0
 24644,133968,19670120,  -89,    0
 24644,133968,19670121,  -54,    0
 24644,133968,19670122,  -49,    0
 24644,133968,19670123,  -17,    0
 24644,133968,19670124,   -5,    0
 24644,133968,19670125,    4,    0
 24644,133968,19670126,   13,    0
 24644,133968,19670127,    8,    0
 24644,133968,19670128,  -17,    0
 24644,133968,19670129,   -6,    0
 24644,133968,19670130,   -2,    0
 24644,133968,19670131,  -16,    0
 24644,133968,19670201,   -2,    0
 24644,133968,19670202,   29,    0
 24644,133968,19670203,   53,    0
 24644,133968,19670204,   42,    0
 24644,133968,19670205,   18,    0
 24644,133968,19670206,   -5,    0
 24644,133968,19670207,  -19,    0
 24644,133968,19670208,  -11,    0
 24644,133968,19670209,  -42,    0
 24644,133968,19670210,  -72,    0
 24644,133968,19670211,  -57,    0
 24644,133968,19670212,  -64,    0
 24644,133968,19670213, -109,    0
 24644,133968,19670214,  -95,    0
 24644,133968,19670215,  -89,    0
 24644,133968,19670216,  -64,    0
 24644,133968,19670217,  -22,    0
 24644,133968,19670218,    9,    0
 24644,133968,19670219,   23,    0
 24644,133968,19670220,    7,    0
 24644,133968,19670221,   13,    0
 24644,133968,19670222,   23,    0
 24644,133968,19670223,   27,    0
 24644,133968,19670224,    1,    0
 24644,133968,19670225,   -9,    0
 24644,133968,19670226,   21,    0
 24644,133968,19670227,   41,    0
 24644,133968,19670228,   26,    0
 24644,133968,19670301,   34,    0
 24644,133968,19670302,   30,    0
 24644,133968,19670303,   21,    0
 24644,133968,19670304,   51,    0
 24644,133968,19670305,   23,    0
 24644,133968,19670306,   39,    0
 24644,133968,19670307,   44,    0
 24644,133968,19670308,   63,    0
 24644,133968,19670309,   83,    0
 24644,133968,19670310,   70,    0
 24644,133968,19670311,   56,    0
 24644,133968,19670312,   20,    0
 24644,133968,19670313,    3,    0
 24644,133968,19670314,   -9,    0
 24644,133968,19670315,   19,    0
 24644,133968,19670316,   27,    0
 24644,133968,19670317,   18,    0
 24644,133968,19670318,  -17,    0
 24644,133968,19670319,    5,    0
 24644,133968,19670320,  -10,    0
 24644,133968,19670321,   -8,    0
 24644,133968,19670322,   30,    0
 24644,133968,19670323,   37,    0
 24644,133968,19670324,    7,    0
 24644,133968,19670325,   19,    0
 24644,133968,19670326,   35,    0
 24644,133968,19670327,   50,    0
 24644,133968,19670328,   45,    0
 24644,133968,19670329,   11,    0
 24644,133968,19670330,   18,    0
 24644,133968,19670331,    3,    0
 24644,133968,19670401,   22,    0
 24644,133968,19670402,   10,    0
 24644,133968,19670403,   12,    0
 24644,133968,19670404,   36,    0
 24644,133968,19670405,   33,    0
 24644,133968,19670406,   12,    0
 24644,133968,19670407,   29,    0
 24644,133968,19670408,   30,    0
 24644,133968,19670409,  106,    0
 24644,133968,19670410,   97,    0
 24644,133968,19670411,   89,    0
 24644,133968,19670412,   91,    0
 24644,133968,19670413,  100,    0
 24644,133968,19670414,   73,    0
 24644,133968,19670415,   85,    0
 24644,133968,19670416,  102,    0
 24644,133968,19670417,  105,    0
