EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DACHSTEIN-SCHLADMING GLETSCHER, AUSTRIA (STAID: 24658)
Blended and updated with sources:134150 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24658,134150,20171113,    0,    0
 24658,134150,20171114, -107,    0
 24658,134150,20171115,  -73,    0
 24658,134150,20171116,  -25,    0
 24658,134150,20171117,  -42,    0
 24658,134150,20171118,  -86,    0
 24658,134150,20171119,  -99,    0
 24658,134150,20171120, -105,    0
 24658,134150,20171121,  -45,    0
 24658,134150,20171122,   -7,    0
 24658,134150,20171123,   15,    0
 24658,134150,20171124,   -7,    0
 24658,134150,20171125,  -34,    0
 24658,134150,20171126, -115,    0
 24658,134150,20171127, -126,    0
 24658,134150,20171128,  -68,    0
 24658,134150,20171129,  -84,    0
 24658,134150,20171130, -114,    0
 24658,134150,20171201, -159,    0
 24658,134150,20171202, -158,    0
 24658,134150,20171203, -160,    0
 24658,134150,20171204, -124,    0
 24658,134150,20171205,  -94,    0
 24658,134150,20171206,  -54,    0
 24658,134150,20171207,  -31,    0
 24658,134150,20171208,  -69,    0
 24658,134150,20171209, -153,    0
 24658,134150,20171210, -129,    0
 24658,134150,20171211,  -39,    0
 24658,134150,20171212,  -57,    0
 24658,134150,20171213,  -94,    0
 24658,134150,20171214,  -73,    0
 24658,134150,20171215,  -94,    0
 24658,134150,20171216, -124,    0
 24658,134150,20171217, -131,    0
 24658,134150,20171218, -156,    0
 24658,134150,20171219, -135,    0
 24658,134150,20171220, -115,    0
 24658,134150,20171221,  -86,    0
 24658,134150,20171222,  -63,    0
 24658,134150,20171223,  -62,    0
 24658,134150,20171224,  -19,    0
 24658,134150,20171225,   15,    0
 24658,134150,20171226,  -18,    0
 24658,134150,20171227,  -62,    0
 24658,134150,20171228,  -96,    0
 24658,134150,20171229, -155,    0
 24658,134150,20171230,  -85,    0
 24658,134150,20171231,   -2,    0
 24658,134150,20180101,  -27,    0
 24658,134150,20180102,  -86,    0
 24658,134150,20180103,  -59,    0
 24658,134150,20180104,  -65,    0
 24658,134150,20180105,  -17,    0
 24658,134150,20180106,  -28,    0
 24658,134150,20180107,  -26,    0
 24658,134150,20180108,  -18,    0
 24658,134150,20180109,  -29,    0
 24658,134150,20180110,  -72,    0
 24658,134150,20180111,  -97,    0
 24658,134150,20180112, -103,    0
 24658,134150,20180113,  -82,    0
 24658,134150,20180114,  -93,    0
 24658,134150,20180115, -101,    0
 24658,134150,20180116,  -76,    0
 24658,134150,20180117, -118,    0
 24658,134150,20180118,  -99,    0
 24658,134150,20180119,  -88,    0
 24658,134150,20180120, -125,    0
 24658,134150,20180121, -119,    0
 24658,134150,20180122,  -99,    0
 24658,134150,20180123,  -73,    0
 24658,134150,20180124,  -31,    0
 24658,134150,20180125,    2,    0
 24658,134150,20180126,  -29,    0
 24658,134150,20180127,  -40,    0
 24658,134150,20180128,  -32,    0
 24658,134150,20180129,  -13,    0
 24658,134150,20180130,  -28,    0
 24658,134150,20180131,  -30,    0
 24658,134150,20180201,  -59,    0
 24658,134150,20180202, -125,    0
 24658,134150,20180203, -138,    0
 24658,134150,20180204, -161,    0
 24658,134150,20180205, -141,    0
 24658,134150,20180206,  -71,    0
 24658,134150,20180207,  -79,    0
 24658,134150,20180208,  -92,    0
 24658,134150,20180209, -112,    0
 24658,134150,20180210, -119,    0
 24658,134150,20180211, -135,    0
 24658,134150,20180212, -110,    0
 24658,134150,20180213, -171,    0
 24658,134150,20180214, -169,    0
 24658,134150,20180215, -134,    0
 24658,134150,20180216,  -43,    0
 24658,134150,20180217,  -39,    0
 24658,134150,20180218,  -87,    0
 24658,134150,20180219, -112,    0
 24658,134150,20180220, -140,    0
 24658,134150,20180221, -136,    0
 24658,134150,20180222, -117,    0
 24658,134150,20180223,  -77,    0
 24658,134150,20180224,  -73,    0
 24658,134150,20180225, -183,    0
 24658,134150,20180226, -253,    0
 24658,134150,20180227, -246,    0
 24658,134150,20180228, -203,    0
 24658,134150,20180301,  -90,    0
 24658,134150,20180302,  -42,    0
 24658,134150,20180303,  -61,    0
 24658,134150,20180304,  -54,    0
 24658,134150,20180305,  -44,    0
 24658,134150,20180306,  -54,    0
 24658,134150,20180307,  -71,    0
 24658,134150,20180308,  -91,    0
 24658,134150,20180309,  -45,    0
 24658,134150,20180310,   -6,    0
 24658,134150,20180311,  -15,    0
 24658,134150,20180312,  -32,    0
 24658,134150,20180313,  -60,    0
 24658,134150,20180314,  -75,    0
 24658,134150,20180315,  -54,    0
 24658,134150,20180316,  -54,    0
 24658,134150,20180317,  -64,    0
 24658,134150,20180318,  -58,    0
 24658,134150,20180319,  -96,    0
 24658,134150,20180320, -141,    0
 24658,134150,20180321, -168,    0
 24658,134150,20180322, -146,    0
 24658,134150,20180323, -123,    0
 24658,134150,20180324, -104,    0
 24658,134150,20180325,  -75,    0
 24658,134150,20180326,  -78,    0
 24658,134150,20180327, -100,    0
 24658,134150,20180328,  -71,    0
 24658,134150,20180329,  -53,    0
 24658,134150,20180330,  -53,    0
 24658,134150,20180331,  -50,    0
 24658,134150,20180401,  -83,    0
 24658,134150,20180402,  -58,    0
 24658,134150,20180403,    6,    0
 24658,134150,20180404,   10,    0
 24658,134150,20180405,  -25,    0
 24658,134150,20180406,  -24,    0
 24658,134150,20180407,   10,    0
 24658,134150,20180408,   13,    0
 24658,134150,20180409,   16,    0
 24658,134150,20180410,  -15,    0
 24658,134150,20180411,  -12,    0
 24658,134150,20180412,   -3,    0
 24658,134150,20180413,  -19,    0
 24658,134150,20180414,  -15,    0
 24658,134150,20180415,   28,    0
 24658,134150,20180416,   13,    0
 24658,134150,20180417,  -14,    0
 24658,134150,20180418,    2,    0
 24658,134150,20180419,   45,    0
 24658,134150,20180420,   46,    0
 24658,134150,20180421,   50,    0
 24658,134150,20180422,   61,    0
 24658,134150,20180423,   54,    0
 24658,134150,20180424,   25,    0
 24658,134150,20180425,   54,    0
 24658,134150,20180426,    1,    0
 24658,134150,20180427,    8,    0
 24658,134150,20180428,   31,    0
 24658,134150,20180429,   50,    0
 24658,134150,20180430,   27,    0
 24658,134150,20180501,   -2,    0
 24658,134150,20180502,   19,    0
 24658,134150,20180503,   34,    0
 24658,134150,20180504,   26,    0
 24658,134150,20180505,   28,    0
 24658,134150,20180506,   41,    0
 24658,134150,20180507,   36,    0
 24658,134150,20180508,   32,    0
 24658,134150,20180509,    7,    0
 24658,134150,20180510,   30,    0
 24658,134150,20180511,   34,    0
 24658,134150,20180512,   39,    0
 24658,134150,20180513,   49,    0
 24658,134150,20180514,   27,    0
 24658,134150,20180515,   -4,    0
 24658,134150,20180516,  -16,    0
 24658,134150,20180517,  -13,    0
 24658,134150,20180518,   -6,    0
 24658,134150,20180519,    9,    0
 24658,134150,20180520,   13,    0
 24658,134150,20180521,   31,    0
 24658,134150,20180522,   37,    0
 24658,134150,20180523,   41,    0
 24658,134150,20180524,   48,    0
 24658,134150,20180525,   44,    0
 24658,134150,20180526,   60,    0
 24658,134150,20180527,   63,    0
 24658,134150,20180528,   74,    0
 24658,134150,20180529,   67,    0
 24658,134150,20180530,   63,    0
 24658,134150,20180531,   68,    0
 24658,134150,20180601,   62,    0
 24658,134150,20180602,   57,    0
 24658,134150,20180603,   64,    0
 24658,134150,20180604,   72,    0
 24658,134150,20180605,   68,    0
 24658,134150,20180606,   65,    0
 24658,134150,20180607,   60,    0
 24658,134150,20180608,   66,    0
 24658,134150,20180609,   60,    0
 24658,134150,20180610,   69,    0
 24658,134150,20180611,   95,    0
 24658,134150,20180612,   82,    0
 24658,134150,20180613,   49,    0
 24658,134150,20180614,   17,    0
 24658,134150,20180615,   18,    0
 24658,134150,20180616,   25,    0
 24658,134150,20180617,   53,    0
 24658,134150,20180618,   38,    0
 24658,134150,20180619,   44,    0
 24658,134150,20180620,   68,    0
 24658,134150,20180621,   90,    0
