EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MITTERSILL, AUSTRIA (STAID: 24659)
Blended and updated with sources:134163 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24659,134163,20171201,  -64,    0
 24659,134163,20171202,  -87,    0
 24659,134163,20171203,  -79,    0
 24659,134163,20171204,  -58,    0
 24659,134163,20171205,   13,    0
 24659,134163,20171206,  -19,    0
 24659,134163,20171207,  -69,    0
 24659,134163,20171208,  -61,    0
 24659,134163,20171209,  -54,    0
 24659,134163,20171210, -108,    0
 24659,134163,20171211,   39,    0
 24659,134163,20171212,   76,    0
 24659,134163,20171213,  -39,    0
 24659,134163,20171214,  -50,    0
 24659,134163,20171215,  -15,    0
 24659,134163,20171216,  -20,    0
 24659,134163,20171217,  -10,    0
 24659,134163,20171218,  -54,    0
 24659,134163,20171219,  -62,    0
 24659,134163,20171220,  -19,    0
 24659,134163,20171221,  -74,    0
 24659,134163,20171222,    7,    0
 24659,134163,20171223,   22,    0
 24659,134163,20171224,  -31,    0
 24659,134163,20171225,  -62,    0
 24659,134163,20171226,  -74,    0
 24659,134163,20171227,   10,    0
 24659,134163,20171228,   40,    0
 24659,134163,20171229,  -62,    0
 24659,134163,20171230,  -59,    0
 24659,134163,20171231,  -15,    0
 24659,134163,20180101,    0,    0
 24659,134163,20180102,    1,    0
 24659,134163,20180103,   -3,    0
 24659,134163,20180104,   10,    0
 24659,134163,20180105,    8,    0
 24659,134163,20180106,   11,    0
 24659,134163,20180107,  -11,    0
 24659,134163,20180108,    4,    0
 24659,134163,20180109,   53,    0
 24659,134163,20180110,    3,    0
 24659,134163,20180111,  -18,    0
 24659,134163,20180112,  -16,    0
 24659,134163,20180113,  -53,    0
 24659,134163,20180114,  -44,    0
 24659,134163,20180115,  -24,    0
 24659,134163,20180116,  -22,    0
 24659,134163,20180117,   -4,    0
 24659,134163,20180118,  -29,    0
