EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AMSTETTEN, AUSTRIA (STAID: 24666)
Blended and updated with sources:134254 911018 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 24666,134254,19360101,   20,    0
 24666,134254,19360102,   14,    0
 24666,134254,19360103,   23,    0
 24666,134254,19360104,   43,    0
 24666,134254,19360105,   29,    0
 24666,134254,19360106,    8,    0
 24666,134254,19360107,  -12,    0
 24666,134254,19360108,    9,    0
 24666,134254,19360109,    2,    0
 24666,134254,19360110,   31,    0
 24666,134254,19360111,   84,    0
 24666,134254,19360112,   40,    0
 24666,134254,19360113,   18,    0
 24666,134254,19360114,   14,    0
 24666,134254,19360115,  -15,    0
 24666,134254,19360116,  -25,    0
 24666,134254,19360117,  -13,    0
 24666,134254,19360118,    3,    0
 24666,134254,19360119,  -23,    0
 24666,134254,19360120,    0,    0
 24666,134254,19360121,   30,    0
 24666,134254,19360122,   16,    0
 24666,134254,19360123,   13,    0
 24666,134254,19360124,    4,    0
 24666,134254,19360125,   10,    0
 24666,134254,19360126,    6,    0
 24666,134254,19360127,   10,    0
 24666,134254,19360128,   25,    0
 24666,134254,19360129,    9,    0
 24666,134254,19360130,   19,    0
 24666,134254,19360131,   38,    0
 24666,134254,19360201,   71,    0
 24666,134254,19360202,   51,    0
 24666,134254,19360203,   56,    0
 24666,134254,19360204,   25,    0
 24666,134254,19360205,    8,    0
 24666,134254,19360206,  -10,    0
 24666,134254,19360207,  -11,    0
 24666,134254,19360208,  -18,    0
 24666,134254,19360209,  -35,    0
 24666,134254,19360210,  -84,    0
 24666,134254,19360211,  -95,    0
 24666,134254,19360212,  -98,    0
 24666,134254,19360213,  -60,    0
 24666,134254,19360214,  -49,    0
 24666,134254,19360215,  -40,    0
 24666,134254,19360216,   -3,    0
 24666,134254,19360217,   -5,    0
 24666,134254,19360218,   10,    0
 24666,134254,19360219,   25,    0
 24666,134254,19360220,   45,    0
 24666,134254,19360221,   43,    0
 24666,134254,19360222,   15,    0
 24666,134254,19360223,   48,    0
 24666,134254,19360224,   35,    0
 24666,134254,19360225,   39,    0
 24666,134254,19360226,   35,    0
 24666,134254,19360227,   20,    0
 24666,134254,19360228,   61,    0
 24666,134254,19360229,   50,    0
 24666,134254,19360301,   56,    0
 24666,134254,19360302,   35,    0
 24666,134254,19360303,   35,    0
 24666,134254,19360304,   79,    0
 24666,134254,19360305,   82,    0
 24666,134254,19360306,   61,    0
 24666,134254,19360307,   35,    0
 24666,134254,19360308,   30,    0
 24666,134254,19360309,   50,    0
 24666,134254,19360310,   50,    0
 24666,134254,19360311,   62,    0
 24666,134254,19360312,   60,    0
 24666,134254,19360313,   38,    0
 24666,134254,19360314,   40,    0
 24666,134254,19360315,   37,    0
 24666,134254,19360316,   31,    0
 24666,134254,19360317,   29,    0
 24666,134254,19360318,   28,    0
 24666,134254,19360319,   50,    0
 24666,134254,19360320,   50,    0
 24666,134254,19360321,   77,    0
 24666,134254,19360322,   70,    0
 24666,134254,19360323,   85,    0
 24666,134254,19360324,  103,    0
 24666,134254,19360325,   93,    0
 24666,134254,19360326,  104,    0
 24666,134254,19360327,   89,    0
 24666,134254,19360328,   77,    0
 24666,134254,19360329,   92,    0
 24666,134254,19360330,   85,    0
 24666,134254,19360331,  119,    0
 24666,134254,19360401,   99,    0
 24666,134254,19360402,  125,    0
 24666,134254,19360403,  141,    0
 24666,134254,19360404,  124,    0
 24666,134254,19360405,   73,    0
 24666,134254,19360406,   64,    0
 24666,134254,19360407,   60,    0
 24666,134254,19360408,   71,    0
 24666,134254,19360409,   74,    0
 24666,134254,19360410,   91,    0
 24666,134254,19360411,   74,    0
 24666,134254,19360412,   42,    0
 24666,134254,19360413,   60,    0
 24666,134254,19360414,   96,    0
 24666,134254,19360415,  110,    0
 24666,134254,19360416,  125,    0
 24666,134254,19360417,  111,    0
 24666,134254,19360418,   57,    0
 24666,134254,19360419,   44,    0
 24666,134254,19360420,   56,    0
 24666,134254,19360421,   77,    0
 24666,134254,19360422,  110,    0
 24666,134254,19360423,   64,    0
 24666,134254,19360424,   60,    0
 24666,134254,19360425,   74,    0
 24666,134254,19360426,  112,    0
 24666,134254,19360427,  112,    0
 24666,134254,19360428,  138,    0
 24666,134254,19360429,  140,    0
 24666,134254,19360430,  150,    0
 24666,134254,19360501,  125,    0
 24666,134254,19360502,  117,    0
 24666,134254,19360503,  120,    0
 24666,134254,19360504,  145,    0
 24666,134254,19360505,  141,    0
 24666,134254,19360506,  151,    0
 24666,134254,19360507,  137,    0
 24666,134254,19360508,  154,    0
 24666,134254,19360509,  159,    0
 24666,134254,19360510,  168,    0
 24666,134254,19360511,  171,    0
 24666,134254,19360512,  170,    0
 24666,134254,19360513,  157,    0
 24666,134254,19360514,  156,    0
 24666,134254,19360515,  140,    0
 24666,134254,19360516,  132,    0
 24666,134254,19360517,  142,    0
 24666,134254,19360518,  148,    0
 24666,134254,19360519,  144,    0
 24666,134254,19360520,  141,    0
 24666,134254,19360521,  161,    0
 24666,134254,19360522,   96,    0
 24666,134254,19360523,   72,    0
 24666,134254,19360524,  115,    0
 24666,134254,19360525,  132,    0
 24666,134254,19360526,  144,    0
 24666,134254,19360527,  155,    0
 24666,134254,19360528,  159,    0
 24666,134254,19360529,  153,    0
 24666,134254,19360530,  157,    0
 24666,134254,19360531,  154,    0
 24666,134254,19360601,  115,    0
 24666,134254,19360602,  116,    0
 24666,134254,19360603,  140,    0
 24666,134254,19360604,  155,    0
 24666,134254,19360605,  113,    0
 24666,134254,19360606,   88,    0
 24666,134254,19360607,  130,    0
 24666,134254,19360608,  140,    0
 24666,134254,19360609,  129,    0
 24666,134254,19360610,  128,    0
 24666,134254,19360611,  136,    0
 24666,134254,19360612,  148,    0
 24666,134254,19360613,  156,    0
 24666,134254,19360614,  163,    0
 24666,134254,19360615,  179,    0
 24666,134254,19360616,  187,    0
 24666,134254,19360617,  209,    0
 24666,134254,19360618,  219,    0
 24666,134254,19360619,  200,    0
 24666,134254,19360620,  189,    0
 24666,134254,19360621,  195,    0
 24666,134254,19360622,  198,    0
 24666,134254,19360623,  208,    0
 24666,134254,19360624,  208,    0
 24666,134254,19360625,  203,    0
 24666,134254,19360626,  202,    0
 24666,134254,19360627,  196,    0
 24666,134254,19360628,  200,    0
 24666,134254,19360629,  210,    0
 24666,134254,19360630,  205,    0
 24666,134254,19360701,  212,    0
 24666,134254,19360702,  186,    0
 24666,134254,19360703,  183,    0
 24666,134254,19360704,  170,    0
 24666,134254,19360705,  192,    0
 24666,134254,19360706,  227,    0
 24666,134254,19360707,  235,    0
 24666,134254,19360708,  220,    0
 24666,134254,19360709,  212,    0
 24666,134254,19360710,  185,    0
 24666,134254,19360711,  182,    0
 24666,134254,19360712,  142,    0
 24666,134254,19360713,  165,    0
 24666,134254,19360714,  174,    0
 24666,134254,19360715,  181,    0
 24666,134254,19360716,  167,    0
 24666,134254,19360717,  192,    0
 24666,134254,19360718,  210,    0
 24666,134254,19360719,  209,    0
 24666,134254,19360720,  187,    0
 24666,134254,19360721,  175,    0
 24666,134254,19360722,  177,    0
 24666,134254,19360723,  150,    0
 24666,134254,19360724,  180,    0
 24666,134254,19360725,  187,    0
 24666,134254,19360726,  199,    0
 24666,134254,19360727,  214,    0
 24666,134254,19360728,  215,    0
 24666,134254,19360729,  190,    0
 24666,134254,19360730,  191,    0
 24666,134254,19360731,  141,    0
 24666,134254,19360801,  156,    0
